sample id,source,batch number,batch date,target composition,xrf composition,rep,reaction,current density,voltage,fe_h2,fe_co,fe_ch4,fe_c2h4,fe_gas_total,fe_liquid,Ag,Au,Cd,Cu,Ga,Hg,In,Ni,Pd,Pt,Rh,Sn,Tl,Zn
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep1,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,Ag-0.129-Cu-0.083-Pd-0.788,1,HER,50,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.129,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.788,0.0,0.0,0.0,0.0,0.0
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep1,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,Ag-0.129-Cu-0.083-Pd-0.788,1,CO2R,50,2.74,48.14538911,38.6345776,0.008806855,0.0,86.78877356,13.21122644,0.129,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.788,0.0,0.0,0.0,0.0,0.0
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep1,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,Ag-0.129-Cu-0.083-Pd-0.788,1,CO2R,100,3.05,34.72640147,53.64194499,0.012109425,0.0,88.38292734,11.61707266,0.129,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.788,0.0,0.0,0.0,0.0,0.0
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep1,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,Ag-0.129-Cu-0.083-Pd-0.788,1,CO2R,150,3.16,30.51790161,59.28781925,0.013210282,0.0,89.82123784,10.17876216,0.129,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.788,0.0,0.0,0.0,0.0,0.0
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep1,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,Ag-0.129-Cu-0.083-Pd-0.788,1,CO2R,200,3.31,23.04756325,60.06630648,0.01568721,0.001685914,83.13371431,16.86628569,0.129,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.788,0.0,0.0,0.0,0.0,0.0
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep1,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,Ag-0.129-Cu-0.083-Pd-0.788,1,CO2R,300,3.55,61.60915692,20.26031434,0.021283232,0.012925342,81.90615129,18.09384871,0.129,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.788,0.0,0.0,0.0,0.0,0.0
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep2,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,Ag-0.129-Cu-0.083-Pd-0.788,2,HER,50,2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.129,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.788,0.0,0.0,0.0,0.0,0.0
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep2,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,Ag-0.129-Cu-0.083-Pd-0.788,2,CO2R,50,2.91,44.36627676,41.92043222,0.007705998,0.0,86.29441498,13.70558502,0.129,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.788,0.0,0.0,0.0,0.0,0.0
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep2,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,Ag-0.129-Cu-0.083-Pd-0.788,2,CO2R,100,3.19,30.46893637,54.1502947,0.011008568,0.0,84.63221679,15.36778321,0.129,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.788,0.0,0.0,0.0,0.0,0.0
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep2,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,Ag-0.129-Cu-0.083-Pd-0.788,2,CO2R,150,3.37,30.08809559,60.14243615,0.009540759,0.001404928,90.24345459,9.756545412,0.129,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.788,0.0,0.0,0.0,0.0,0.0
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep2,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,Ag-0.129-Cu-0.083-Pd-0.788,2,CO2R,200,3.52,26.19138295,65.47028487,0.01045814,0.002528871,91.67638486,8.323615144,0.129,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.788,0.0,0.0,0.0,0.0,0.0
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep2,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,Ag-0.129-Cu-0.083-Pd-0.788,2,CO2R,300,3.54,47.90704974,25.94056974,0.018164138,0.008429571,73.87619036,26.12380964,0.129,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.788,0.0,0.0,0.0,0.0,0.0
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep3,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,Ag-0.129-Cu-0.083-Pd-0.788,3,HER,50,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.129,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.788,0.0,0.0,0.0,0.0,0.0
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep3,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,Ag-0.129-Cu-0.083-Pd-0.788,3,CO2R,50,2.93,35.80740338,46.9891945,0.02091628,0.0,82.8204799,17.1795201,0.129,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.788,0.0,0.0,0.0,0.0,0.0
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep3,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,Ag-0.129-Cu-0.083-Pd-0.788,3,CO2R,100,3.24,28.04201804,60.0589391,0.01376071,0.0,88.11669501,11.88330499,0.129,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.788,0.0,0.0,0.0,0.0,0.0
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep3,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,Ag-0.129-Cu-0.083-Pd-0.788,3,CO2R,150,3.44,26.8400678,66.6453831,0.012476377,0.0,93.49957492,6.500425084,0.129,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.788,0.0,0.0,0.0,0.0,0.0
