sample id,source,batch number,batch date,composition,rep,reaction,current density,voltage,fe_h2,fe_co,fe_ch4,fe_c2h4,fe_gas_total,fe_liquid
uoft4_240405_Ag-0.5-Au-0.5_pp0,uoft,4,240405,Ag-0.5-Au-0.5,std,HER,50,0,0,0,0,0,0,0
uoft4_240405_Ag-0.889-Cu-0.111_pp0,uoft,4,240405,Ag-0.889-Cu-0.111,std,HER,50,0,0,0,0,0,0,0
uoft10_241125_Pt-1.0_pp0,uoft,10,241125,Pt-1.0,avg,CO2R,300,3.65,81.60622737,0,0.007797736,0,81.61517846,18.384821544069300
uoft10_241125_Pt-1.0_pp0,uoft,10,241125,Pt-1.0,std,CO2R,200,0.04,3.621945080096880,0,0.001167635,0,3.6231127150950700,3.6231127150950700
uoft10_241125_Pt-1.0_pp0,uoft,10,241125,Pt-1.0,avg,CO2R,200,3.55,87.85259160057750,0,0.012109425169256700,0,87.86643104403560,12.133568955964400
uoft10_241125_Pt-1.0_pp0,uoft,10,241125,Pt-1.0,avg,CO2R,50,3.06,92.55121471,0,0.020365851,0,92.57158056610430,7.428419433895680
uoft10_241125_Pt-1.0_pp0,uoft,10,241125,Pt-1.0,std,CO2R,150,0.04,3.901227770567400,0,0.000518949,0,3.901746719,3.9017467194554800
uoft10_241125_Pt-1.0_pp0,uoft,10,241125,Pt-1.0,std,CO2R,50,0.07,6.950476875317930,0,0.00233527,0,6.948141605321540,6.948141605321540
uoft10_241125_Pt-1.0_pp0,uoft,10,241125,Pt-1.0,avg,CO2R,150,3.55,89.91378769172820,0,0.014311139,0,89.93007599432320,10.069924005676800
uoft10_241125_Pt-1.0_pp0,uoft,10,241125,Pt-1.0,std,CO2R,300,0.08,5.777415593172060,0,0.000129737,0,5.777285855950040,5.7772858559500300
uoft10_241125_Pt-1.0_pp0,uoft,10,241125,Pt-1.0,std,CO2R,100,0.01,5.332930717848360,0,0.001167635,0,5.331763082850160,5.331763083
uoft10_241125_Pt-1.0_pp0,uoft,10,241125,Pt-1.0,avg,CO2R,100,3.44,91.72822197576850,0,0.020090637,0,91.75078406767940,8.249215932320650
uoft10_241125_Pt-1.0_pp0_rep1,uoft,10,241125,Pt-1.0,1,CO2R,50,3.01,97.46594405,0,0.018714566,0,97.48465861187160,2.5153413881284300
uoft10_241125_Pt-1.0_pp0_rep1,uoft,10,241125,Pt-1.0,1,CO2R,100,3.43,95.49917345,0,0.019264995,0,95.5209099,4.479090100757210
uoft10_241125_Pt-1.0_pp0_rep1,uoft,10,241125,Pt-1.0,1,CO2R,150,3.57,92.6723723,0,0.014678091,0,92.68902755812250,7.3109724418774700
uoft10_241125_Pt-1.0_pp0_rep1,uoft,10,241125,Pt-1.0,1,CO2R,200,3.52,90.41369353,0,0.012935068,0,90.42835861,9.571641386117510
uoft10_241125_Pt-1.0_pp0_rep1,uoft,10,241125,Pt-1.0,1,CO2R,300,3.6,85.69147711816530,0,0.007705998,0,85.70033646152610,14.299663538473900
uoft4_240405_Au-0.5-Pd-0.5_pp0,uoft,4,240405,Au-0.5-Pd-0.5,std,HER,50,0,0,0,0,0,0,0
uoft4_240405_Rh-1.0_pp0,uoft,4,240405,Rh-1.0,std,HER,50,0,0,0,0,0,0,0
uoft10_241125_Pt-1.0_pp0_rep2,uoft,10,241125,Pt-1.0,2,CO2R,100,3.45,87.95727050157990,0,0.02091628,0,87.98065823611590,12.019341763884100
uoft10_241125_Pt-1.0_pp0_rep2,uoft,10,241125,Pt-1.0,2,CO2R,300,3.71,77.52097763083560,0,0.007889474,0,77.53002045,22.46997955
uoft10_241125_Pt-1.0_pp0_rep2,uoft,10,241125,Pt-1.0,2,CO2R,150,3.52,87.15520308020680,0,0.013944187,0,87.17112443052390,12.82887556947610
uoft10_241125_Pt-1.0_pp0_rep2,uoft,10,241125,Pt-1.0,2,CO2R,200,3.58,85.29148967335580,0,0.011283783,0,85.30450347418860,14.695496525811400
