theta,intensity
5.0000,2.201
5.0400,2.115
5.0800,2.175
5.1200,2.094
5.1600,2.148
5.2000,2.081
5.2400,2.071
5.2800,2.128
5.3200,2.105
5.3600,2.070
5.4000,2.069
5.4400,2.048
5.4800,2.021
5.5200,2.025
5.5600,1.994
5.6000,2.041
5.6400,1.889
5.6800,1.978
5.7200,2.006
5.7600,1.933
5.8000,1.914
5.8400,1.889
5.8800,1.914
5.9200,1.909
5.9600,1.864
6.0000,1.840
6.0400,1.834
6.0800,1.864
6.1200,1.839
6.1600,1.788
6.2000,1.746
6.2400,1.766
6.2800,1.712
6.3200,1.684
6.3600,1.675
6.4000,1.728
6.4400,1.642
6.4800,1.669
6.5200,1.638
6.5600,1.638
6.6000,1.549
6.6400,1.626
6.6800,1.589
6.7200,1.551
6.7600,1.533
6.8000,1.546
6.8400,1.537
6.8800,1.484
6.9200,1.539
6.9600,1.526
7.0000,1.478
7.0400,1.456
7.0800,1.510
7.1200,1.559
7.1600,1.443
7.2000,1.483
7.2400,1.527
7.2800,1.468
7.3200,1.462
7.3600,1.419
7.4000,1.439
7.4400,1.446
7.4800,1.472
7.5200,1.457
7.5600,1.423
7.6000,1.427
7.6400,1.408
7.6800,1.452
7.7200,1.496
7.7600,1.473
7.8000,1.460
7.8400,1.459
7.8800,1.459
7.9200,1.432
7.9600,1.452
8.0000,1.439
8.0400,1.449
8.0800,1.417
8.1200,1.440
8.1600,1.376
8.2000,1.459
8.2400,1.474
8.2800,1.405
8.3200,1.436
8.3600,1.416
8.4000,1.409
8.4400,1.376
8.4800,1.425
8.5200,1.410
8.5600,1.432
8.6000,1.392
8.6400,1.432
8.6800,1.489
8.7200,1.407
8.7600,1.398
8.8000,1.436
8.8400,1.419
8.8800,1.446
8.9200,1.387
8.9600,1.389
9.0000,1.394
9.0400,1.444
9.0800,1.419
9.1200,1.388
9.1600,1.370
9.2000,1.392
9.2400,1.333
9.2800,1.357
9.3200,1.416
9.3600,1.424
9.4000,1.379
9.4400,1.401
9.4800,1.373
9.5200,1.388
9.5600,1.352
9.6000,1.399
9.6400,1.384
9.6800,1.415
9.7200,1.392
9.7600,1.426
9.8000,1.410
9.8400,1.402
9.8800,1.419
9.9200,1.409
9.9600,1.353
10.0000,1.386
10.0400,1.392
10.0800,1.376
10.1200,1.335
10.1600,1.367
10.2000,1.356
10.2400,1.358
10.2800,1.395
10.3200,1.386
10.3600,1.368
10.4000,1.362
10.4400,1.387
10.4800,1.378
10.5200,1.329
10.5600,1.371
10.6000,1.354
10.6400,1.345
10.6800,1.326
10.7200,1.348
10.7600,1.374
10.8000,1.376
10.8400,1.334
10.8800,1.329
10.9200,1.373
10.9600,1.368
11.0000,1.339
11.0400,1.355
11.0800,1.360
11.1200,1.317
11.1600,1.328
11.2000,1.351
11.2400,1.351
11.2800,1.334
11.3200,1.303
11.3600,1.294
11.4000,1.290
11.4400,1.305
11.4800,1.343
11.5200,1.282
11.5600,1.329
