theta,intensity
5.0000,2.492
5.0400,2.134
5.0800,2.299
5.1200,2.193
5.1600,2.314
5.2000,2.217
5.2400,2.257
5.2800,2.141
5.3200,2.093
5.3600,2.139
5.4000,2.136
5.4400,2.162
5.4800,2.131
5.5200,2.128
5.5600,2.080
5.6000,1.996
5.6400,2.039
5.6800,2.028
5.7200,1.966
5.7600,1.972
5.8000,1.978
5.8400,1.938
5.8800,1.954
5.9200,1.910
5.9600,1.884
6.0000,1.922
6.0400,1.834
6.0800,1.819
6.1200,1.840
6.1600,1.773
6.2000,1.783
6.2400,1.754
6.2800,1.708
6.3200,1.748
6.3600,1.679
6.4000,1.688
6.4400,1.671
6.4800,1.648
6.5200,1.610
6.5600,1.610
6.6000,1.556
6.6400,1.562
6.6800,1.605
6.7200,1.527
6.7600,1.562
6.8000,1.525
6.8400,1.555
6.8800,1.524
6.9200,1.556
6.9600,1.505
7.0000,1.538
7.0400,1.502
7.0800,1.513
7.1200,1.520
7.1600,1.457
7.2000,1.440
7.2400,1.482
7.2800,1.408
7.3200,1.507
7.3600,1.470
7.4000,1.452
7.4400,1.486
7.4800,1.531
7.5200,1.453
7.5600,1.519
7.6000,1.478
7.6400,1.426
7.6800,1.502
7.7200,1.410
7.7600,1.465
7.8000,1.520
7.8400,1.476
7.8800,1.451
7.9200,1.453
7.9600,1.463
8.0000,1.446
8.0400,1.482
8.0800,1.442
8.1200,1.456
8.1600,1.436
8.2000,1.499
8.2400,1.459
8.2800,1.483
8.3200,1.488
8.3600,1.418
8.4000,1.403
8.4400,1.485
8.4800,1.450
8.5200,1.472
8.5600,1.460
8.6000,1.433
8.6400,1.443
8.6800,1.405
8.7200,1.428
8.7600,1.439
8.8000,1.431
8.8400,1.420
8.8800,1.458
8.9200,1.426
8.9600,1.367
9.0000,1.445
9.0400,1.413
9.0800,1.353
9.1200,1.433
9.1600,1.422
9.2000,1.471
9.2400,1.388
9.2800,1.370
9.3200,1.421
9.3600,1.367
9.4000,1.390
9.4400,1.459
9.4800,1.441
9.5200,1.414
9.5600,1.371
9.6000,1.430
9.6400,1.410
9.6800,1.402
9.7200,1.390
9.7600,1.406
9.8000,1.391
9.8400,1.409
9.8800,1.374
9.9200,1.379
9.9600,1.423
10.0000,1.467
10.0400,1.439
10.0800,1.393
10.1200,1.346
10.1600,1.379
10.2000,1.419
10.2400,1.424
10.2800,1.377
10.3200,1.421
10.3600,1.431
10.4000,1.377
10.4400,1.390
10.4800,1.342
10.5200,1.403
10.5600,1.380
10.6000,1.392
10.6400,1.393
10.6800,1.376
10.7200,1.388
10.7600,1.417
10.8000,1.383
10.8400,1.378
10.8800,1.368
10.9200,1.381
10.9600,1.369
11.0000,1.289
11.0400,1.381
11.0800,1.338
11.1200,1.385
11.1600,1.345
11.2000,1.350
11.2400,1.357
11.2800,1.343
11.3200,1.351
11.3600,1.362
11.4000,1.397
11.4400,1.359
11.4800,1.359
11.5200,1.280
11.5600,1.423
11.6000,1.384
11.6400,1.364
11.6800,1.359
11.7200,1.340
11.7600,1.387
11.8000,1.316
11.8400,1.331
11.8800,1.313
11.9200,1.358
11.9600,1.317
12.0000,1.345
12.0400,1.378
12.0800,1.331
12.1200,1.362
12.1600,1.340
12.2000,1.342
12.2400,1.381
12.2800,1.372
12.3200,1.383
12.3600,1.307
12.4000,1.309
12.4400,1.358
12.4800,1.358
12.5200,1.339
12.5600,1.351
12.6000,1.343
12.6400,1.344
12.6800,1.325
12.7200,1.315
12.7600,1.313
12.8000,1.337
12.8400,1.290
12.8800,1.321
12.9200,1.370
12.9600,1.305
13.0000,1.330
13.0400,1.310
13.0800,1.342
13.1200,1.321
13.1600,1.333
13.2000,1.283
13.2400,1.334
13.2800,1.336
13.3200,1.310
13.3600,1.316
13.4000,1.301
13.4400,1.294
13.4800,1.381
13.5200,1.342
13.5600,1.315
13.6000,1.316
13.6400,1.319
13.6800,1.314
13.7200,1.296
13.7600,1.316
13.8000,1.252
13.8400,1.293
13.8800,1.339
13.9200,1.346
13.9600,1.307
14.0000,1.292
14.0400,1.275
14.0800,1.355
14.1200,1.325
14.1600,1.329
14.2000,1.288
14.2400,1.291
14.2800,1.306
14.3200,1.304
14.3600,1.275
14.4000,1.329
14.4400,1.268
14.4800,1.321
14.5200,1.291
14.5600,1.306
14.6000,1.328
14.6400,1.273
14.6800,1.226
14.7200,1.266
14.7600,1.267
14.8000,1.249
14.8400,1.256
14.8800,1.247
14.9200,1.237
14.9600,1.275
15.0000,1.319
15.0400,1.302
15.0800,1.269
15.1200,1.273
15.1600,1.287
15.2000,1.218
15.2400,1.250
15.2800,1.273
15.3200,1.244
15.3600,1.256
15.4000,1.201
15.4400,1.253
15.4800,1.229
15.5200,1.235
15.5600,1.272
15.6000,1.295
15.6400,1.308
15.6800,1.279
15.7200,1.296
15.7600,1.257
15.8000,1.270
15.8400,1.253
15.8800,1.295
15.9200,1.234
15.9600,1.237
16.0000,1.229
16.0400,1.252
16.0800,1.256
16.1200,1.237
16.1600,1.262
16.2000,1.252
16.2400,1.217
16.2800,1.261
16.3200,1.241
16.3600,1.280
16.4000,1.253
16.4400,1.223
16.4800,1.202
16.5200,1.219
16.5600,1.221
16.6000,1.264
16.6400,1.277
16.6800,1.263
16.7200,1.287
16.7600,1.344
16.8000,1.252
16.8400,1.242
16.8800,1.278
16.9200,1.271
16.9600,1.235
