theta,intensity
5.0000,2.409
5.0400,2.353
5.0800,2.416
5.1200,2.373
5.1600,2.324
5.2000,2.367
5.2400,2.304
5.2800,2.327
5.3200,2.342
5.3600,2.322
5.4000,2.264
5.4400,2.292
5.4800,2.288
5.5200,2.209
5.5600,2.297
5.6000,2.315
5.6400,2.284
5.6800,2.134
5.7200,2.211
5.7600,2.154
5.8000,2.152
5.8400,2.147
5.8800,2.154
5.9200,2.144
5.9600,2.140
6.0000,2.075
6.0400,2.146
6.0800,2.153
6.1200,2.118
6.1600,2.026
6.2000,2.045
6.2400,2.039
6.2800,2.035
6.3200,2.021
6.3600,2.006
6.4000,1.968
6.4400,2.012
6.4800,1.989
6.5200,1.946
6.5600,1.942
6.6000,1.906
6.6400,1.942
6.6800,1.926
6.7200,1.879
6.7600,1.879
6.8000,1.803
6.8400,1.835
6.8800,1.786
6.9200,1.844
6.9600,1.793
7.0000,1.803
7.0400,1.783
7.0800,1.822
7.1200,1.823
7.1600,1.779
7.2000,1.699
7.2400,1.682
7.2800,1.772
7.3200,1.700
7.3600,1.643
7.4000,1.674
7.4400,1.643
7.4800,1.655
7.5200,1.689
7.5600,1.668
7.6000,1.694
7.6400,1.656
7.6800,1.607
7.7200,1.559
7.7600,1.636
7.8000,1.606
7.8400,1.597
7.8800,1.584
7.9200,1.587
7.9600,1.551
8.0000,1.555
8.0400,1.544
8.0800,1.559
8.1200,1.544
8.1600,1.523
8.2000,1.574
8.2400,1.479
8.2800,1.438
8.3200,1.521
8.3600,1.497
8.4000,1.474
8.4400,1.462
8.4800,1.505
8.5200,1.426
8.5600,1.446
8.6000,1.495
8.6400,1.446
8.6800,1.457
8.7200,1.413
8.7600,1.452
8.8000,1.429
8.8400,1.456
8.8800,1.442
8.9200,1.417
8.9600,1.420
9.0000,1.409
9.0400,1.389
9.0800,1.392
9.1200,1.386
9.1600,1.403
9.2000,1.346
9.2400,1.367
9.2800,1.415
9.3200,1.401
9.3600,1.401
9.4000,1.421
9.4400,1.356
9.4800,1.338
9.5200,1.370
9.5600,1.320
9.6000,1.323
9.6400,1.372
9.6800,1.377
9.7200,1.331
9.7600,1.334
9.8000,1.310
9.8400,1.319
9.8800,1.345
9.9200,1.358
9.9600,1.333
10.0000,1.327
10.0400,1.362
10.0800,1.392
10.1200,1.333
10.1600,1.319
10.2000,1.327
10.2400,1.295
10.2800,1.350
10.3200,1.286
10.3600,1.330
10.4000,1.332
10.4400,1.320
10.4800,1.321
10.5200,1.322
10.5600,1.341
10.6000,1.237
10.6400,1.293
10.6800,1.290
10.7200,1.312
10.7600,1.288
10.8000,1.348
10.8400,1.350
10.8800,1.276
10.9200,1.275
10.9600,1.310
11.0000,1.266
11.0400,1.293
11.0800,1.291
11.1200,1.308
11.1600,1.313
11.2000,1.291
11.2400,1.267
11.2800,1.233
11.3200,1.307
11.3600,1.267
11.4000,1.295
11.4400,1.290
11.4800,1.267
11.5200,1.278
11.5600,1.301
11.6000,1.238
11.6400,1.203
11.6800,1.301
11.7200,1.318
11.7600,1.294
11.8000,1.292
11.8400,1.238
11.8800,1.263
11.9200,1.246
11.9600,1.297
12.0000,1.302
12.0400,1.254
12.0800,1.264
12.1200,1.256
