theta,intensity
5.0000,3.012
5.0400,2.852
5.0800,2.870
5.1200,2.949
5.1600,2.805
5.2000,2.734
5.2400,2.747
5.2800,2.749
5.3200,2.526
5.3600,2.702
5.4000,2.595
5.4400,2.586
5.4800,2.596
5.5200,2.669
5.5600,2.592
5.6000,2.504
5.6400,2.482
5.6800,2.504
5.7200,2.408
5.7600,2.378
5.8000,2.462
5.8400,2.346
5.8800,2.340
5.9200,2.265
5.9600,2.281
6.0000,2.295
6.0400,2.281
6.0800,2.221
6.1200,2.195
6.1600,2.179
6.2000,2.101
6.2400,2.081
6.2800,2.060
6.3200,2.073
6.3600,2.069
6.4000,1.917
6.4400,2.006
6.4800,1.950
6.5200,1.947
6.5600,1.899
6.6000,1.904
6.6400,1.830
6.6800,1.882
6.7200,1.848
6.7600,1.799
6.8000,1.751
6.8400,1.766
6.8800,1.730
6.9200,1.748
6.9600,1.692
7.0000,1.694
7.0400,1.660
7.0800,1.660
7.1200,1.653
7.1600,1.689
7.2000,1.620
7.2400,1.590
7.2800,1.666
7.3200,1.652
7.3600,1.554
7.4000,1.626
7.4400,1.571
7.4800,1.581
7.5200,1.546
7.5600,1.542
7.6000,1.550
7.6400,1.542
7.6800,1.521
7.7200,1.513
7.7600,1.548
7.8000,1.521
7.8400,1.504
7.8800,1.560
7.9200,1.534
7.9600,1.525
8.0000,1.449
8.0400,1.467
8.0800,1.494
8.1200,1.493
8.1600,1.545
8.2000,1.449
8.2400,1.481
8.2800,1.508
8.3200,1.539
8.3600,1.492
8.4000,1.514
8.4400,1.451
8.4800,1.432
8.5200,1.490
8.5600,1.497
8.6000,1.461
8.6400,1.478
8.6800,1.483
8.7200,1.502
8.7600,1.451
8.8000,1.481
8.8400,1.419
8.8800,1.469
8.9200,1.390
8.9600,1.475
9.0000,1.491
9.0400,1.441
9.0800,1.438
9.1200,1.432
9.1600,1.464
9.2000,1.447
9.2400,1.453
9.2800,1.495
9.3200,1.437
9.3600,1.401
9.4000,1.473
9.4400,1.464
9.4800,1.424
9.5200,1.445
9.5600,1.437
9.6000,1.441
9.6400,1.446
9.6800,1.418
9.7200,1.456
9.7600,1.427
9.8000,1.468
9.8400,1.465
9.8800,1.437
9.9200,1.452
9.9600,1.463
10.0000,1.410
10.0400,1.415
10.0800,1.467
10.1200,1.440
10.1600,1.430
10.2000,1.417
10.2400,1.439
10.2800,1.402
10.3200,1.419
10.3600,1.363
10.4000,1.415
10.4400,1.462
10.4800,1.446
10.5200,1.388
10.5600,1.394
10.6000,1.511
10.6400,1.424
10.6800,1.445
10.7200,1.384
10.7600,1.421
10.8000,1.407
10.8400,1.334
10.8800,1.396
10.9200,1.405
10.9600,1.386
11.0000,1.346
11.0400,1.418
11.0800,1.409
11.1200,1.391
11.1600,1.362
11.2000,1.428
11.2400,1.464
11.2800,1.407
11.3200,1.445
11.3600,1.375
11.4000,1.362
11.4400,1.338
11.4800,1.397
11.5200,1.438
11.5600,1.401
11.6000,1.384
11.6400,1.409
11.6800,1.385
11.7200,1.405
11.7600,1.326
11.8000,1.359
11.8400,1.325
11.8800,1.412
11.9200,1.380
11.9600,1.382
12.0000,1.425
12.0400,1.379
12.0800,1.370
12.1200,1.347
12.1600,1.402
12.2000,1.393
12.2400,1.386
12.2800,1.364
12.3200,1.330
12.3600,1.363
12.4000,1.357
12.4400,1.329
12.4800,1.407
12.5200,1.343
12.5600,1.367
12.6000,1.331
12.6400,1.364
12.6800,1.408
12.7200,1.346
12.7600,1.302
12.8000,1.341
12.8400,1.334
12.8800,1.308
12.9200,1.301
12.9600,1.311
13.0000,1.323
13.0400,1.339
13.0800,1.359
13.1200,1.327
13.1600,1.238
13.2000,1.359
13.2400,1.294
13.2800,1.310
13.3200,1.334
13.3600,1.320
13.4000,1.335
13.4400,1.315
13.4800,1.358
13.5200,1.346
13.5600,1.325
13.6000,1.328
13.6400,1.309
13.6800,1.287
13.7200,1.312
13.7600,1.356
13.8000,1.302
13.8400,1.340
13.8800,1.330
13.9200,1.290
13.9600,1.312
14.0000,1.279
14.0400,1.301
14.0800,1.371
14.1200,1.346
14.1600,1.307
14.2000,1.280
14.2400,1.343
14.2800,1.323
14.3200,1.325
14.3600,1.303
14.4000,1.310
14.4400,1.330
14.4800,1.335
14.5200,1.300
14.5600,1.310
14.6000,1.310
14.6400,1.253
14.6800,1.257
14.7200,1.347
14.7600,1.268
14.8000,1.274
14.8400,1.261
14.8800,1.265
14.9200,1.289
14.9600,1.288
15.0000,1.295
15.0400,1.260
15.0800,1.299
15.1200,1.236
15.1600,1.284
15.2000,1.263
15.2400,1.276
15.2800,1.273
15.3200,1.291
15.3600,1.277
15.4000,1.285
15.4400,1.259
15.4800,1.286
15.5200,1.300
15.5600,1.323
15.6000,1.295
15.6400,1.288
15.6800,1.281
15.7200,1.261
15.7600,1.263
15.8000,1.296
15.8400,1.289
15.8800,1.289
15.9200,1.259
15.9600,1.233
16.0000,1.302
16.0400,1.227
16.0800,1.278
16.1200,1.274
16.1600,1.259
16.2000,1.292
16.2400,1.250
16.2800,1.233
16.3200,1.295
16.3600,1.311
16.4000,1.240
16.4400,1.290
16.4800,1.287
16.5200,1.243
16.5600,1.259
16.6000,1.307
16.6400,1.303
16.6800,1.214
16.7200,1.255
16.7600,1.230
16.8000,1.265
16.8400,1.281
16.8800,1.256
16.9200,1.262
16.9600,1.248
17.0000,1.272
17.0400,1.292
17.0800,1.226
17.1200,1.251
17.1600,1.277
17.2000,1.268
17.2400,1.289
17.2800,1.233
17.3200,1.288
17.3600,1.269
17.4000,1.264
17.4400,1.245
17.4800,1.258
17.5200,1.269
17.5600,1.255
17.6000,1.239
17.6400,1.298
17.6800,1.236
17.7200,1.286
17.7600,1.289
17.8000,1.271
17.8400,1.239
17.8800,1.267
17.9200,1.284
17.9600,1.331
18.0000,1.266
18.0400,1.263
18.0800,1.259
18.1200,1.276
18.1600,1.266
18.2000,1.240
18.2400,1.293
18.2800,1.265
18.3200,1.284
18.3600,1.276
18.4000,1.258
18.4400,1.277
18.4800,1.279
18.5200,1.302
18.5600,1.229
18.6000,1.301
18.6400,1.283
18.6800,1.301
18.7200,1.258
18.7600,1.256
18.8000,1.287
18.8400,1.317
18.8800,1.285
18.9200,1.313
18.9600,1.314
19.0000,1.262
19.0400,1.279
19.0800,1.265
19.1200,1.315
19.1600,1.259
19.2000,1.273
19.2400,1.286
19.2800,1.285
19.3200,1.273
19.3600,1.273
19.4000,1.267
19.4400,1.203
19.4800,1.317
19.5200,1.253
19.5600,1.308
19.6000,1.301
19.6400,1.295
19.6800,1.292
19.7200,1.252
19.7600,1.283
19.8000,1.314
19.8400,1.343
19.8800,1.309
19.9200,1.260
19.9600,1.294
20.0000,1.261
20.0400,1.284
20.0800,1.279
20.1200,1.236
20.1600,1.244
20.2000,1.248
20.2400,1.294
20.2800,1.238
20.3200,1.279
20.3600,1.317
20.4000,1.263
20.4400,1.288
20.4800,1.260
20.5200,1.293
20.5600,1.295
20.6000,1.271
20.6400,1.326
20.6800,1.318
20.7200,1.277
20.7600,1.318
20.8000,1.246
20.8400,1.269
20.8800,1.297
20.9200,1.335
20.9600,1.246
21.0000,1.201
21.0400,1.235
21.0800,1.262
21.1200,1.313
21.1600,1.253
21.2000,1.281
21.2400,1.265
21.2800,1.197
21.3200,1.240
21.3600,1.276
21.4000,1.294
21.4400,1.265
21.4800,1.229
21.5200,1.291
21.5600,1.255
21.6000,1.213
21.6400,1.252
21.6800,1.269
21.7200,1.215
21.7600,1.231
21.8000,1.174
21.8400,1.220
21.8800,1.235
21.9200,1.206
21.9600,1.201
22.0000,1.242
22.0400,1.248
22.0800,1.215
22.1200,1.167
22.1600,1.195
22.2000,1.244
22.2400,1.239
22.2800,1.201
22.3200,1.153
22.3600,1.198
22.4000,1.192
22.4400,1.183
22.4800,1.185
22.5200,1.189
22.5600,1.209
22.6000,1.175
22.6400,1.223
22.6800,1.137
22.7200,1.165
22.7600,1.190
22.8000,1.185
22.8400,1.135
22.8800,1.169
22.9200,1.119
22.9600,1.157
23.0000,1.117
23.0400,1.298
23.0800,1.937
23.1200,2.639
23.1600,2.196
23.2000,1.642
23.2400,1.261
23.2800,1.163
23.3200,1.138
23.3600,1.152
23.4000,1.047
23.4400,1.102
23.4800,1.092
23.5200,1.102
23.5600,1.110
23.6000,1.085
23.6400,1.089
23.6800,1.084
23.7200,1.050
23.7600,1.087
23.8000,1.103
23.8400,1.093
23.8800,1.072
23.9200,1.093
23.9600,1.059
24.0000,1.052
24.0400,1.046
24.0800,1.043
24.1200,1.066
24.1600,1.028
24.2000,1.066
24.2400,1.001
24.2800,1.035
24.3200,0.998
24.3600,1.094
24.4000,1.033
24.4400,0.959
24.4800,1.004
24.5200,1.009
24.5600,1.037
24.6000,0.962
24.6400,1.049
24.6800,0.977
24.7200,0.995
24.7600,0.960
24.8000,0.942
24.8400,0.974
24.8800,0.947
24.9200,0.974
24.9600,0.966
25.0000,0.996
25.0400,1.033
25.0800,1.012
25.1200,0.991
25.1600,1.004
25.2000,0.993
25.2400,0.990
25.2800,0.941
25.3200,0.948
25.3600,0.951
25.4000,0.929
25.4400,0.968
25.4800,1.024
25.5200,0.960
25.5600,0.977
25.6000,0.931
25.6400,0.871
25.6800,0.905
25.7200,0.951
25.7600,0.963
25.8000,0.925
25.8400,0.887
25.8800,0.923
25.9200,0.896
25.9600,0.907
26.0000,0.975
26.0400,0.930
26.0800,0.902
26.1200,0.887
26.1600,0.913
26.2000,0.890
26.2400,0.852
26.2800,0.883
26.3200,0.882
26.3600,0.872
26.4000,0.897
26.4400,0.880
26.4800,0.867
26.5200,0.882
26.5600,0.874
26.6000,0.856
26.6400,0.863
26.6800,0.854
26.7200,0.845
26.7600,0.862
26.8000,0.873
26.8400,0.860
26.8800,0.812
26.9200,0.860
26.9600,0.837
27.0000,0.863
27.0400,0.830
27.0800,0.841
27.1200,0.862
27.1600,0.860
27.2000,0.851
27.2400,0.809
27.2800,0.849
27.3200,0.838
27.3600,0.782
27.4000,0.796
27.4400,0.812
27.4800,0.775
27.5200,0.824
27.5600,0.804
27.6000,0.839
27.6400,0.803
27.6800,0.808
27.7200,0.835
27.7600,0.796
27.8000,0.794
27.8400,0.790
27.8800,0.820
27.9200,0.798
27.9600,0.785
28.0000,0.808
28.0400,0.753
28.0800,0.769
28.1200,0.784
28.1600,0.804
28.2000,0.787
28.2400,0.797
28.2800,0.772
28.3200,0.770
28.3600,0.782
28.4000,0.759
28.4400,0.740
28.4800,0.736
28.5200,0.752
28.5600,0.744
28.6000,0.765
28.6400,0.801
28.6800,0.743
28.7200,0.752
28.7600,0.786
28.8000,0.745
28.8400,0.749
28.8800,0.771
28.9200,0.739
28.9600,0.736
29.0000,0.728
29.0400,0.712
29.0800,0.740
29.1200,0.746
29.1600,0.756
29.2000,0.724
29.2400,0.752
29.2800,0.735
29.3200,0.770
29.3600,0.727
29.4000,0.771
29.4400,0.734
29.4800,0.684
29.5200,0.696
29.5600,0.727
29.6000,0.692
29.6400,0.732
29.6800,0.741
29.7200,0.735
29.7600,0.730
29.8000,0.701
29.8400,0.730
29.8800,0.718
29.9200,0.686
29.9600,0.716
30.0000,0.725
30.0400,0.694
30.0800,0.708
30.1200,0.676
30.1600,0.700
30.2000,0.677
30.2400,0.692
30.2800,0.681
30.3200,0.697
30.3600,0.678
30.4000,0.695
30.4400,0.658
30.4800,0.687
30.5200,0.694
30.5600,0.671
30.6000,0.699
30.6400,0.676
30.6800,0.658
30.7200,0.701
30.7600,0.673
30.8000,0.679
30.8400,0.666
30.8800,0.648
30.9200,0.621
30.9600,0.676
31.0000,0.686
31.0400,0.641
31.0800,0.678
31.1200,0.667
31.1600,0.686
31.2000,0.687
31.2400,0.659
31.2800,0.639
31.3200,0.650
31.3600,0.651
31.4000,0.622
31.4400,0.632
31.4800,0.675
31.5200,0.651
31.5600,0.626
31.6000,0.641
31.6400,0.652
31.6800,0.658
31.7200,0.632
31.7600,0.599
31.8000,0.620
31.8400,0.618
31.8800,0.631
31.9200,0.605
31.9600,0.588
32.0000,0.619
32.0400,0.605
32.0800,0.606
32.1200,0.628
32.1600,0.630
32.2000,0.615
32.2400,0.598
32.2800,0.594
32.3200,0.642
32.3600,0.640
32.4000,0.634
32.4400,0.607
32.4800,0.603
32.5200,0.595
32.5600,0.636
32.6000,0.611
32.6400,0.614
32.6800,0.589
32.7200,0.625
32.7600,0.649
32.8000,0.678
32.8400,0.737
32.8800,0.987
32.9200,1.215
32.9600,1.146
33.0000,0.993
33.0400,0.820
33.0800,0.717
33.1200,0.606
33.1600,0.600
33.2000,0.578
33.2400,0.578
33.2800,0.603
33.3200,0.599
33.3600,0.573
33.4000,0.617
33.4400,0.602
33.4800,0.551
33.5200,0.549
33.5600,0.579
33.6000,0.592
33.6400,0.610
33.6800,0.597
33.7200,0.540
33.7600,0.581
33.8000,0.573
33.8400,0.582
33.8800,0.545
33.9200,0.568
33.9600,0.564
34.0000,0.576
34.0400,0.563
34.0800,0.583
34.1200,0.547
34.1600,0.558
34.2000,0.575
34.2400,0.567
34.2800,0.573
34.3200,0.545
34.3600,0.556
34.4000,0.516
34.4400,0.564
34.4800,0.584
34.5200,0.559
34.5600,0.562
34.6000,0.540
34.6400,0.526
34.6800,0.541
34.7200,0.557
34.7600,0.586
34.8000,0.535
34.8400,0.575
34.8800,0.564
34.9200,0.532
34.9600,0.511
35.0000,0.537
35.0400,0.539
35.0800,0.537
35.1200,0.513
35.1600,0.521
35.2000,0.528
35.2400,0.542
35.2800,0.535
35.3200,0.543
35.3600,0.508
35.4000,0.548
35.4400,0.568
35.4800,0.552
35.5200,0.517
35.5600,0.483
35.6000,0.515
35.6400,0.507
35.6800,0.488
35.7200,0.507
35.7600,0.508
35.8000,0.524
35.8400,0.519
35.8800,0.543
35.9200,0.512
35.9600,0.493
36.0000,0.487
36.0400,0.502
36.0800,0.507
36.1200,0.513
36.1600,0.518
36.2000,0.486
36.2400,0.511
36.2800,0.533
36.3200,0.521
36.3600,0.519
36.4000,0.502
36.4400,0.509
36.4800,0.527
36.5200,0.496
36.5600,0.494
36.6000,0.512
36.6400,0.521
36.6800,0.490
36.7200,0.509
36.7600,0.484
36.8000,0.502
36.8400,0.495
36.8800,0.467
36.9200,0.462
36.9600,0.505
37.0000,0.493
37.0400,0.476
37.0800,0.513
37.1200,0.508
37.1600,0.484
37.2000,0.465
37.2400,0.497
37.2800,0.505
37.3200,0.485
