theta,intensity
5.0000,2.178
5.0400,2.271
5.0800,2.249
5.1200,2.260
5.1600,2.244
5.2000,2.295
5.2400,2.272
5.2800,2.258
5.3200,2.266
5.3600,2.231
5.4000,2.248
5.4400,2.225
5.4800,2.231
5.5200,2.207
5.5600,2.185
5.6000,2.022
5.6400,2.189
5.6800,2.210
5.7200,2.126
5.7600,2.064
5.8000,2.021
5.8400,2.090
5.8800,2.079
5.9200,2.058
5.9600,2.053
6.0000,2.015
6.0400,2.014
6.0800,1.940
6.1200,1.961
6.1600,1.943
6.2000,1.914
6.2400,1.894
6.2800,1.917
6.3200,1.903
6.3600,1.829
6.4000,1.841
6.4400,1.838
6.4800,1.779
6.5200,1.832
6.5600,1.739
6.6000,1.744
6.6400,1.704
6.6800,1.682
6.7200,1.741
6.7600,1.674
6.8000,1.705
6.8400,1.645
6.8800,1.668
6.9200,1.655
6.9600,1.638
7.0000,1.593
7.0400,1.645
7.0800,1.616
7.1200,1.634
7.1600,1.588
7.2000,1.569
7.2400,1.537
7.2800,1.569
7.3200,1.562
7.3600,1.508
7.4000,1.581
7.4400,1.528
7.4800,1.545
7.5200,1.543
7.5600,1.529
7.6000,1.558
7.6400,1.490
7.6800,1.548
7.7200,1.486
7.7600,1.520
7.8000,1.556
7.8400,1.550
7.8800,1.569
7.9200,1.516
7.9600,1.515
8.0000,1.514
8.0400,1.538
8.0800,1.487
8.1200,1.523
8.1600,1.521
8.2000,1.481
8.2400,1.513
8.2800,1.468
8.3200,1.455
8.3600,1.506
8.4000,1.447
8.4400,1.489
8.4800,1.491
8.5200,1.516
8.5600,1.450
8.6000,1.539
8.6400,1.481
8.6800,1.471
8.7200,1.492
8.7600,1.463
8.8000,1.501
8.8400,1.443
8.8800,1.458
8.9200,1.462
8.9600,1.484
9.0000,1.457
9.0400,1.477
9.0800,1.451
9.1200,1.491
9.1600,1.428
9.2000,1.444
9.2400,1.482
9.2800,1.424
9.3200,1.447
9.3600,1.483
9.4000,1.417
9.4400,1.437
9.4800,1.475
9.5200,1.425
9.5600,1.483
9.6000,1.481
9.6400,1.449
9.6800,1.485
9.7200,1.423
9.7600,1.424
9.8000,1.454
9.8400,1.455
9.8800,1.456
9.9200,1.379
9.9600,1.468
10.0000,1.438
10.0400,1.392
10.0800,1.447
10.1200,1.448
10.1600,1.406
10.2000,1.393
10.2400,1.400
10.2800,1.464
10.3200,1.438
10.3600,1.461
10.4000,1.445
10.4400,1.419
10.4800,1.416
10.5200,1.430
10.5600,1.429
10.6000,1.434
10.6400,1.423
10.6800,1.447
10.7200,1.397
10.7600,1.421
10.8000,1.439
10.8400,1.386
10.8800,1.466
10.9200,1.448
10.9600,1.413
11.0000,1.448
11.0400,1.413
11.0800,1.445
11.1200,1.424
11.1600,1.414
11.2000,1.355
11.2400,1.378
11.2800,1.387
11.3200,1.402
11.3600,1.411
11.4000,1.409
11.4400,1.419
11.4800,1.386
11.5200,1.439
11.5600,1.430
11.6000,1.383
11.6400,1.360
11.6800,1.374
11.7200,1.365
11.7600,1.448
11.8000,1.330
11.8400,1.320
11.8800,1.404
11.9200,1.382
11.9600,1.390
12.0000,1.435
12.0400,1.406
12.0800,1.394
12.1200,1.324
12.1600,1.368
12.2000,1.339
12.2400,1.354
12.2800,1.379
12.3200,1.383
12.3600,1.325
12.4000,1.359
12.4400,1.342
12.4800,1.347
12.5200,1.351
12.5600,1.352
12.6000,1.360
12.6400,1.315
12.6800,1.388
12.7200,1.338
12.7600,1.371
12.8000,1.377
12.8400,1.347
12.8800,1.382
12.9200,1.404
12.9600,1.383
13.0000,1.337
13.0400,1.391
13.0800,1.407
13.1200,1.351
13.1600,1.334
13.2000,1.296
13.2400,1.351
13.2800,1.347
13.3200,1.385
13.3600,1.378
13.4000,1.339
13.4400,1.337
13.4800,1.337
13.5200,1.323
13.5600,1.345
13.6000,1.292
13.6400,1.308
13.6800,1.342
13.7200,1.371
13.7600,1.316
13.8000,1.346
13.8400,1.300
13.8800,1.317
13.9200,1.348
13.9600,1.372
14.0000,1.369
14.0400,1.335
14.0800,1.273
14.1200,1.325
14.1600,1.353
14.2000,1.346
14.2400,1.362
14.2800,1.305
14.3200,1.312
14.3600,1.304
14.4000,1.320
14.4400,1.356
14.4800,1.309
14.5200,1.268
14.5600,1.315
14.6000,1.338
14.6400,1.308
14.6800,1.330
14.7200,1.341
14.7600,1.305
14.8000,1.330
14.8400,1.298
14.8800,1.297
14.9200,1.349
14.9600,1.361
15.0000,1.296
15.0400,1.342
15.0800,1.321
15.1200,1.327
15.1600,1.360
15.2000,1.317
15.2400,1.301
15.2800,1.293
15.3200,1.293
15.3600,1.300
15.4000,1.313
15.4400,1.274
15.4800,1.302
15.5200,1.293
15.5600,1.334
15.6000,1.312
15.6400,1.290
15.6800,1.324
15.7200,1.213
15.7600,1.274
15.8000,1.310
15.8400,1.279
15.8800,1.315
15.9200,1.311
15.9600,1.282
16.0000,1.267
16.0400,1.264
16.0800,1.305
16.1200,1.281
16.1600,1.343
16.2000,1.294
16.2400,1.308
16.2800,1.253
16.3200,1.287
16.3600,1.308
16.4000,1.263
16.4400,1.261
16.4800,1.262
16.5200,1.311
16.5600,1.316
16.6000,1.351
16.6400,1.242
16.6800,1.286
16.7200,1.347
16.7600,1.330
16.8000,1.331
16.8400,1.253
16.8800,1.272
16.9200,1.287
16.9600,1.264
17.0000,1.298
17.0400,1.305
17.0800,1.321
17.1200,1.308
17.1600,1.332
17.2000,1.301
17.2400,1.303
17.2800,1.387
17.3200,1.309
17.3600,1.283
17.4000,1.260
17.4400,1.283
17.4800,1.272
17.5200,1.343
17.5600,1.267
17.6000,1.309
17.6400,1.273
17.6800,1.261
17.7200,1.350
17.7600,1.268
17.8000,1.299
17.8400,1.306
17.8800,1.287
17.9200,1.279
17.9600,1.229
18.0000,1.278
18.0400,1.303
18.0800,1.326
18.1200,1.283
18.1600,1.271
18.2000,1.248
18.2400,1.282
18.2800,1.298
18.3200,1.301
18.3600,1.280
18.4000,1.248
18.4400,1.283
18.4800,1.235
18.5200,1.302
18.5600,1.354
18.6000,1.303
18.6400,1.264
18.6800,1.323
18.7200,1.297
18.7600,1.318
18.8000,1.266
18.8400,1.312
18.8800,1.295
18.9200,1.239
18.9600,1.241
19.0000,1.294
19.0400,1.322
19.0800,1.281
19.1200,1.260
19.1600,1.280
19.2000,1.298
19.2400,1.269
19.2800,1.283
19.3200,1.293
19.3600,1.325
19.4000,1.303
19.4400,1.286
19.4800,1.276
19.5200,1.286
19.5600,1.303
19.6000,1.262
19.6400,1.291
19.6800,1.270
19.7200,1.286
19.7600,1.230
19.8000,1.236
19.8400,1.245
19.8800,1.253
19.9200,1.321
19.9600,1.325
20.0000,1.282
20.0400,1.318
20.0800,1.225
20.1200,1.311
20.1600,1.258
20.2000,1.317
20.2400,1.294
20.2800,1.304
20.3200,1.311
20.3600,1.268
20.4000,1.288
20.4400,1.312
20.4800,1.289
20.5200,1.314
20.5600,1.299
20.6000,1.288
20.6400,1.262
20.6800,1.273
20.7200,1.218
20.7600,1.305
20.8000,1.298
20.8400,1.280
20.8800,1.284
20.9200,1.230
20.9600,1.267
21.0000,1.330
21.0400,1.293
21.0800,1.253
21.1200,1.300
21.1600,1.278
21.2000,1.279
21.2400,1.249
21.2800,1.272
21.3200,1.242
21.3600,1.279
21.4000,1.272
