theta,intensity
5.0000,1.676
5.0400,1.698
5.0800,1.768
5.1200,1.676
5.1600,1.740
5.2000,1.808
5.2400,1.678
5.2800,1.725
5.3200,1.715
5.3600,1.746
5.4000,1.697
5.4400,1.674
5.4800,1.752
5.5200,1.699
5.5600,1.678
5.6000,1.716
5.6400,1.715
5.6800,1.667
5.7200,1.657
5.7600,1.661
5.8000,1.641
5.8400,1.607
5.8800,1.644
5.9200,1.663
5.9600,1.611
6.0000,1.688
6.0400,1.612
6.0800,1.638
6.1200,1.542
6.1600,1.541
6.2000,1.574
6.2400,1.587
6.2800,1.564
6.3200,1.533
6.3600,1.600
6.4000,1.587
6.4400,1.546
6.4800,1.470
6.5200,1.546
6.5600,1.542
6.6000,1.528
6.6400,1.482
6.6800,1.503
6.7200,1.500
6.7600,1.474
6.8000,1.534
6.8400,1.470
6.8800,1.435
6.9200,1.428
6.9600,1.498
7.0000,1.434
7.0400,1.457
7.0800,1.443
7.1200,1.384
7.1600,1.423
7.2000,1.394
7.2400,1.373
7.2800,1.410
7.3200,1.415
7.3600,1.406
7.4000,1.370
7.4400,1.408
7.4800,1.424
7.5200,1.377
7.5600,1.340
7.6000,1.337
7.6400,1.345
7.6800,1.376
7.7200,1.377
7.7600,1.319
7.8000,1.355
7.8400,1.342
7.8800,1.402
7.9200,1.303
7.9600,1.375
8.0000,1.345
8.0400,1.302
8.0800,1.317
8.1200,1.332
8.1600,1.283
8.2000,1.375
8.2400,1.370
8.2800,1.370
8.3200,1.314
8.3600,1.372
8.4000,1.374
8.4400,1.360
8.4800,1.377
8.5200,1.360
8.5600,1.337
8.6000,1.278
8.6400,1.346
8.6800,1.371
8.7200,1.349
8.7600,1.311
8.8000,1.320
8.8400,1.285
8.8800,1.339
8.9200,1.330
8.9600,1.327
9.0000,1.296
9.0400,1.352
9.0800,1.387
9.1200,1.332
9.1600,1.305
9.2000,1.329
9.2400,1.300
9.2800,1.353
9.3200,1.322
9.3600,1.314
9.4000,1.352
9.4400,1.339
9.4800,1.297
9.5200,1.331
9.5600,1.338
9.6000,1.280
9.6400,1.304
9.6800,1.337
9.7200,1.346
9.7600,1.291
9.8000,1.318
9.8400,1.326
9.8800,1.294
9.9200,1.275
9.9600,1.319
10.0000,1.339
10.0400,1.351
10.0800,1.323
10.1200,1.332
10.1600,1.356
10.2000,1.304
10.2400,1.254
10.2800,1.278
10.3200,1.345
10.3600,1.311
10.4000,1.271
10.4400,1.326
10.4800,1.308
10.5200,1.324
10.5600,1.261
10.6000,1.330
10.6400,1.331
10.6800,1.312
10.7200,1.336
10.7600,1.296
10.8000,1.312
10.8400,1.277
10.8800,1.311
10.9200,1.336
10.9600,1.294
11.0000,1.252
11.0400,1.236
11.0800,1.256
11.1200,1.307
11.1600,1.282
11.2000,1.301
11.2400,1.331
11.2800,1.292
11.3200,1.293
11.3600,1.204
11.4000,1.296
11.4400,1.251
11.4800,1.260
11.5200,1.246
11.5600,1.241
11.6000,1.284
11.6400,1.269
11.6800,1.296
11.7200,1.242
11.7600,1.318
11.8000,1.248
11.8400,1.263
11.8800,1.290
11.9200,1.306
11.9600,1.298
12.0000,1.272
12.0400,1.204
12.0800,1.279
12.1200,1.313
12.1600,1.234
12.2000,1.236
12.2400,1.256
12.2800,1.234
12.3200,1.291
12.3600,1.285
12.4000,1.243
12.4400,1.252
12.4800,1.207
12.5200,1.230
12.5600,1.272
12.6000,1.272
12.6400,1.291
12.6800,1.293
12.7200,1.262
12.7600,1.251
12.8000,1.231
12.8400,1.199
12.8800,1.242
12.9200,1.224
12.9600,1.269
13.0000,1.196
13.0400,1.227
13.0800,1.226
13.1200,1.256
13.1600,1.247
13.2000,1.240
13.2400,1.234
13.2800,1.175
13.3200,1.246
13.3600,1.206
13.4000,1.236
13.4400,1.224
13.4800,1.217
13.5200,1.189
13.5600,1.286
13.6000,1.221
13.6400,1.225
13.6800,1.258
13.7200,1.210
13.7600,1.217
13.8000,1.230
13.8400,1.188
13.8800,1.219
