theta,intensity
5.0000,2.148
5.0400,2.326
5.0800,2.093
5.1200,2.215
5.1600,2.203
5.2000,2.186
5.2400,2.126
5.2800,2.124
5.3200,2.098
5.3600,2.059
5.4000,2.028
5.4400,2.100
5.4800,2.093
5.5200,2.093
5.5600,1.970
5.6000,2.055
5.6400,2.005
5.6800,1.996
5.7200,1.901
5.7600,1.948
5.8000,1.905
5.8400,1.871
5.8800,1.869
5.9200,1.801
5.9600,1.877
6.0000,1.841
6.0400,1.788
6.0800,1.789
6.1200,1.800
6.1600,1.789
6.2000,1.702
6.2400,1.715
6.2800,1.685
6.3200,1.675
6.3600,1.669
6.4000,1.625
6.4400,1.626
6.4800,1.716
6.5200,1.598
6.5600,1.589
6.6000,1.597
6.6400,1.606
6.6800,1.580
6.7200,1.589
6.7600,1.549
6.8000,1.523
6.8400,1.550
6.8800,1.485
6.9200,1.535
6.9600,1.513
7.0000,1.514
7.0400,1.484
7.0800,1.503
7.1200,1.501
7.1600,1.508
7.2000,1.525
7.2400,1.508
7.2800,1.435
7.3200,1.460
7.3600,1.441
7.4000,1.490
7.4400,1.427
7.4800,1.455
7.5200,1.488
7.5600,1.462
7.6000,1.475
7.6400,1.485
7.6800,1.458
7.7200,1.444
7.7600,1.412
7.8000,1.409
7.8400,1.434
7.8800,1.452
7.9200,1.502
7.9600,1.486
8.0000,1.374
8.0400,1.436
8.0800,1.413
8.1200,1.441
8.1600,1.433
8.2000,1.463
8.2400,1.425
8.2800,1.480
8.3200,1.456
8.3600,1.453
8.4000,1.414
8.4400,1.462
8.4800,1.460
8.5200,1.420
8.5600,1.450
8.6000,1.404
8.6400,1.403
8.6800,1.417
8.7200,1.397
8.7600,1.401
8.8000,1.420
8.8400,1.356
8.8800,1.433
8.9200,1.432
8.9600,1.365
9.0000,1.424
9.0400,1.431
9.0800,1.458
9.1200,1.408
9.1600,1.458
9.2000,1.461
9.2400,1.393
9.2800,1.454
9.3200,1.472
9.3600,1.466
9.4000,1.400
9.4400,1.458
9.4800,1.395
9.5200,1.380
9.5600,1.406
9.6000,1.413
9.6400,1.425
9.6800,1.387
9.7200,1.409
9.7600,1.359
9.8000,1.387
9.8400,1.367
9.8800,1.357
9.9200,1.368
9.9600,1.382
10.0000,1.376
10.0400,1.387
10.0800,1.382
10.1200,1.361
10.1600,1.349
10.2000,1.363
10.2400,1.429
10.2800,1.405
10.3200,1.383
10.3600,1.393
10.4000,1.349
10.4400,1.380
10.4800,1.378
10.5200,1.414
10.5600,1.340
10.6000,1.400
10.6400,1.400
10.6800,1.357
10.7200,1.366
10.7600,1.311
10.8000,1.386
10.8400,1.316
10.8800,1.353
10.9200,1.352
10.9600,1.343
11.0000,1.370
11.0400,1.357
11.0800,1.348
11.1200,1.328
11.1600,1.372
11.2000,1.283
11.2400,1.374
11.2800,1.364
11.3200,1.366
11.3600,1.348
11.4000,1.397
