theta,intensity
5.0000,2.781
5.0400,2.542
5.0800,2.575
5.1200,2.397
5.1600,2.552
5.2000,2.553
5.2400,2.413
5.2800,2.477
5.3200,2.446
5.3600,2.469
5.4000,2.408
5.4400,2.359
5.4800,2.371
5.5200,2.474
5.5600,2.314
5.6000,2.356
5.6400,2.386
5.6800,2.281
5.7200,2.332
5.7600,2.298
5.8000,2.315
5.8400,2.323
5.8800,2.313
5.9200,2.297
5.9600,2.183
6.0000,2.161
6.0400,2.183
6.0800,2.191
6.1200,2.167
6.1600,2.130
6.2000,2.151
6.2400,2.098
6.2800,2.145
6.3200,2.140
6.3600,2.061
6.4000,2.026
6.4400,2.013
6.4800,1.980
6.5200,1.962
6.5600,1.942
6.6000,1.939
6.6400,1.966
6.6800,1.913
6.7200,1.923
6.7600,1.939
6.8000,1.844
6.8400,1.882
6.8800,1.862
6.9200,1.902
6.9600,1.855
7.0000,1.832
7.0400,1.757
7.0800,1.727
7.1200,1.732
7.1600,1.746
7.2000,1.693
7.2400,1.696
7.2800,1.646
7.3200,1.684
7.3600,1.668
7.4000,1.680
7.4400,1.655
7.4800,1.655
7.5200,1.622
7.5600,1.665
7.6000,1.599
7.6400,1.576
7.6800,1.582
7.7200,1.630
7.7600,1.602
7.8000,1.606
7.8400,1.535
7.8800,1.544
7.9200,1.546
7.9600,1.549
8.0000,1.527
8.0400,1.512
8.0800,1.531
8.1200,1.531
8.1600,1.471
8.2000,1.523
8.2400,1.516
8.2800,1.486
8.3200,1.513
8.3600,1.507
8.4000,1.540
8.4400,1.489
8.4800,1.533
8.5200,1.462
8.5600,1.444
8.6000,1.408
8.6400,1.451
8.6800,1.432
8.7200,1.446
8.7600,1.420
8.8000,1.434
8.8400,1.444
8.8800,1.442
8.9200,1.413
8.9600,1.460
9.0000,1.457
9.0400,1.475
9.0800,1.415
9.1200,1.431
9.1600,1.431
9.2000,1.408
9.2400,1.386
9.2800,1.376
9.3200,1.399
9.3600,1.391
9.4000,1.359
9.4400,1.357
9.4800,1.390
9.5200,1.396
9.5600,1.449
9.6000,1.356
9.6400,1.375
9.6800,1.355
9.7200,1.391
9.7600,1.417
9.8000,1.381
9.8400,1.402
9.8800,1.357
9.9200,1.462
9.9600,1.379
10.0000,1.359
10.0400,1.384
10.0800,1.380
10.1200,1.423
10.1600,1.391
10.2000,1.364
10.2400,1.353
10.2800,1.367
10.3200,1.427
10.3600,1.388
10.4000,1.363
10.4400,1.366
10.4800,1.369
10.5200,1.400
10.5600,1.397
10.6000,1.348
10.6400,1.365
10.6800,1.327
10.7200,1.359
10.7600,1.333
10.8000,1.387
10.8400,1.373
10.8800,1.400
10.9200,1.396
10.9600,1.377
11.0000,1.379
11.0400,1.380
11.0800,1.370
11.1200,1.358
11.1600,1.333
11.2000,1.320
11.2400,1.349
11.2800,1.332
11.3200,1.361
11.3600,1.345
11.4000,1.338
11.4400,1.346
11.4800,1.323
11.5200,1.364
11.5600,1.310
11.6000,1.328
11.6400,1.346
11.6800,1.331
11.7200,1.324
11.7600,1.337
11.8000,1.336
11.8400,1.366
11.8800,1.341
11.9200,1.358
11.9600,1.295
12.0000,1.319
12.0400,1.330
12.0800,1.310
12.1200,1.344
12.1600,1.312
12.2000,1.296
12.2400,1.362
12.2800,1.298
12.3200,1.297
12.3600,1.288
12.4000,1.291
12.4400,1.315
12.4800,1.348
12.5200,1.322
12.5600,1.298
12.6000,1.287
12.6400,1.314
12.6800,1.324
12.7200,1.285
12.7600,1.299
12.8000,1.335
12.8400,1.289
12.8800,1.253
12.9200,1.279
12.9600,1.342
13.0000,1.330
13.0400,1.295
13.0800,1.304
13.1200,1.358
13.1600,1.286
13.2000,1.300
13.2400,1.293
13.2800,1.300
13.3200,1.290
13.3600,1.260
13.4000,1.288
13.4400,1.267
13.4800,1.276
13.5200,1.286
13.5600,1.335
13.6000,1.280
13.6400,1.256
13.6800,1.288
13.7200,1.313
13.7600,1.289
13.8000,1.281
13.8400,1.311
13.8800,1.245
13.9200,1.289
13.9600,1.263
14.0000,1.281
14.0400,1.283
14.0800,1.297
14.1200,1.307
14.1600,1.296
14.2000,1.217
14.2400,1.277
14.2800,1.229
14.3200,1.253
14.3600,1.241
14.4000,1.210
14.4400,1.290
14.4800,1.282
14.5200,1.278
14.5600,1.276
14.6000,1.289
14.6400,1.255
14.6800,1.233
14.7200,1.226
14.7600,1.288
14.8000,1.310
14.8400,1.266
14.8800,1.310
14.9200,1.265
14.9600,1.265
15.0000,1.238
15.0400,1.281
15.0800,1.256
15.1200,1.215
15.1600,1.213
15.2000,1.250
15.2400,1.258
15.2800,1.274
15.3200,1.289
15.3600,1.311
15.4000,1.262
15.4400,1.248
15.4800,1.211
15.5200,1.211
15.5600,1.258
15.6000,1.270
15.6400,1.224
15.6800,1.227
15.7200,1.267
15.7600,1.242
15.8000,1.235
15.8400,1.244
15.8800,1.228
15.9200,1.196
15.9600,1.243
16.0000,1.232
16.0400,1.258
16.0800,1.172
16.1200,1.271
16.1600,1.220
16.2000,1.235
16.2400,1.229
16.2800,1.267
16.3200,1.255
16.3600,1.230
16.4000,1.250
16.4400,1.238
16.4800,1.220
16.5200,1.199
16.5600,1.251
16.6000,1.241
16.6400,1.236
16.6800,1.243
16.7200,1.219
16.7600,1.242
