theta,intensity
5.0000,1.748
5.0400,2.161
5.0800,2.220
5.1200,2.028
5.1600,2.013
5.2000,2.007
5.2400,2.056
5.2800,2.074
5.3200,1.963
5.3600,2.007
5.4000,2.043
5.4400,1.972
5.4800,2.036
5.5200,1.990
5.5600,1.966
5.6000,1.990
5.6400,1.955
5.6800,1.966
5.7200,1.985
5.7600,2.012
5.8000,1.943
5.8400,1.943
5.8800,1.886
5.9200,1.833
5.9600,1.899
6.0000,1.880
6.0400,1.851
6.0800,1.838
6.1200,1.858
6.1600,1.857
6.2000,1.828
6.2400,1.779
6.2800,1.793
6.3200,1.779
6.3600,1.782
6.4000,1.815
6.4400,1.767
6.4800,1.772
6.5200,1.688
6.5600,1.735
6.6000,1.707
6.6400,1.660
6.6800,1.596
6.7200,1.681
6.7600,1.631
6.8000,1.619
6.8400,1.634
6.8800,1.634
6.9200,1.623
6.9600,1.652
7.0000,1.512
7.0400,1.626
7.0800,1.574
7.1200,1.582
7.1600,1.507
7.2000,1.544
7.2400,1.538
7.2800,1.509
7.3200,1.517
7.3600,1.514
7.4000,1.555
7.4400,1.493
7.4800,1.502
7.5200,1.523
7.5600,1.502
7.6000,1.483
7.6400,1.433
7.6800,1.472
7.7200,1.454
7.7600,1.488
7.8000,1.463
7.8400,1.476
7.8800,1.528
7.9200,1.458
7.9600,1.429
8.0000,1.421
8.0400,1.443
8.0800,1.405
8.1200,1.433
8.1600,1.452
8.2000,1.406
8.2400,1.414
8.2800,1.417
8.3200,1.434
8.3600,1.404
8.4000,1.442
8.4400,1.454
8.4800,1.458
8.5200,1.457
8.5600,1.436
8.6000,1.406
8.6400,1.442
8.6800,1.430
8.7200,1.453
8.7600,1.386
8.8000,1.387
8.8400,1.401
8.8800,1.391
8.9200,1.422
8.9600,1.365
9.0000,1.401
9.0400,1.378
9.0800,1.407
9.1200,1.366
9.1600,1.378
9.2000,1.403
9.2400,1.387
9.2800,1.349
9.3200,1.390
9.3600,1.382
9.4000,1.371
9.4400,1.361
9.4800,1.405
9.5200,1.412
9.5600,1.365
9.6000,1.409
9.6400,1.360
9.6800,1.378
9.7200,1.358
9.7600,1.404
9.8000,1.379
9.8400,1.385
9.8800,1.396
9.9200,1.399
9.9600,1.376
10.0000,1.323
10.0400,1.313
10.0800,1.322
10.1200,1.428
10.1600,1.370
10.2000,1.393
10.2400,1.336
10.2800,1.391
