theta,intensity
5.0000,2.315
5.0400,2.365
5.0800,2.378
5.1200,2.327
5.1600,2.436
5.2000,2.368
5.2400,2.316
5.2800,2.218
5.3200,2.229
5.3600,2.256
5.4000,2.229
5.4400,2.183
5.4800,2.215
5.5200,2.192
5.5600,2.213
5.6000,2.147
5.6400,2.109
5.6800,2.019
5.7200,2.097
5.7600,2.058
5.8000,2.034
5.8400,2.001
5.8800,2.010
5.9200,2.034
5.9600,1.998
6.0000,2.003
6.0400,1.949
6.0800,1.929
6.1200,1.949
6.1600,1.905
6.2000,1.861
6.2400,1.883
6.2800,1.878
6.3200,1.789
6.3600,1.721
6.4000,1.796
6.4400,1.728
6.4800,1.762
6.5200,1.761
6.5600,1.738
6.6000,1.752
6.6400,1.714
6.6800,1.635
6.7200,1.563
6.7600,1.626
6.8000,1.661
6.8400,1.564
6.8800,1.597
6.9200,1.610
6.9600,1.533
7.0000,1.581
7.0400,1.518
7.0800,1.512
7.1200,1.545
7.1600,1.491
7.2000,1.505
7.2400,1.523
7.2800,1.489
7.3200,1.483
7.3600,1.467
7.4000,1.435
7.4400,1.447
7.4800,1.444
7.5200,1.510
7.5600,1.444
7.6000,1.493
7.6400,1.461
7.6800,1.481
7.7200,1.446
7.7600,1.477
7.8000,1.419
7.8400,1.485
7.8800,1.458
7.9200,1.444
7.9600,1.374
8.0000,1.371
8.0400,1.449
8.0800,1.458
8.1200,1.473
8.1600,1.449
8.2000,1.427
8.2400,1.427
8.2800,1.458
8.3200,1.404
8.3600,1.449
8.4000,1.409
8.4400,1.441
8.4800,1.440
8.5200,1.433
8.5600,1.442
8.6000,1.461
8.6400,1.416
8.6800,1.393
8.7200,1.408
8.7600,1.420
8.8000,1.452
8.8400,1.377
8.8800,1.395
8.9200,1.431
8.9600,1.437
9.0000,1.418
9.0400,1.334
9.0800,1.391
9.1200,1.371
9.1600,1.444
9.2000,1.374
9.2400,1.372
9.2800,1.376
9.3200,1.396
9.3600,1.430
9.4000,1.426
9.4400,1.416
9.4800,1.443
9.5200,1.421
9.5600,1.413
9.6000,1.390
9.6400,1.339
9.6800,1.412
9.7200,1.434
9.7600,1.380
9.8000,1.381
9.8400,1.341
9.8800,1.366
9.9200,1.407
9.9600,1.409
10.0000,1.377
10.0400,1.430
10.0800,1.331
10.1200,1.386
10.1600,1.387
10.2000,1.339
10.2400,1.370
10.2800,1.338
10.3200,1.418
10.3600,1.379
10.4000,1.438
10.4400,1.402
10.4800,1.374
10.5200,1.327
10.5600,1.353
10.6000,1.373
10.6400,1.338
10.6800,1.340
10.7200,1.312
10.7600,1.347
10.8000,1.376
10.8400,1.310
10.8800,1.332
10.9200,1.371
10.9600,1.307
11.0000,1.399
11.0400,1.322
11.0800,1.368
11.1200,1.337
11.1600,1.380
11.2000,1.346
11.2400,1.362
11.2800,1.316
11.3200,1.342
11.3600,1.364
11.4000,1.321
11.4400,1.361
11.4800,1.355
11.5200,1.367
11.5600,1.345
11.6000,1.351
11.6400,1.378
11.6800,1.288
11.7200,1.305
11.7600,1.311
11.8000,1.333
11.8400,1.350
11.8800,1.323
11.9200,1.345
11.9600,1.287
12.0000,1.315
12.0400,1.290
12.0800,1.311
12.1200,1.320
12.1600,1.356
12.2000,1.333
12.2400,1.282
12.2800,1.307
12.3200,1.310
12.3600,1.288
12.4000,1.308
12.4400,1.296
12.4800,1.293
12.5200,1.260
12.5600,1.279
12.6000,1.312
12.6400,1.285
12.6800,1.320
12.7200,1.237
12.7600,1.223
12.8000,1.322
12.8400,1.280
12.8800,1.284
12.9200,1.279
12.9600,1.246
13.0000,1.254
13.0400,1.334
13.0800,1.233
13.1200,1.263
13.1600,1.286
13.2000,1.233
13.2400,1.256
13.2800,1.224
