theta,intensity
5.0000,1.948
5.0400,2.024
5.0800,2.006
5.1200,1.889
5.1600,2.036
5.2000,1.850
5.2400,2.019
5.2800,1.989
5.3200,1.912
5.3600,1.882
5.4000,1.907
5.4400,2.024
5.4800,1.893
5.5200,1.849
5.5600,1.848
5.6000,1.828
5.6400,1.900
5.6800,1.941
5.7200,1.925
5.7600,1.803
5.8000,1.793
5.8400,1.801
5.8800,1.806
5.9200,1.784
5.9600,1.753
6.0000,1.820
6.0400,1.770
6.0800,1.750
6.1200,1.752
6.1600,1.711
6.2000,1.752
6.2400,1.732
6.2800,1.702
6.3200,1.735
6.3600,1.682
6.4000,1.686
6.4400,1.618
6.4800,1.643
6.5200,1.607
6.5600,1.653
6.6000,1.588
6.6400,1.575
6.6800,1.522
6.7200,1.598
6.7600,1.495
6.8000,1.517
6.8400,1.532
6.8800,1.521
6.9200,1.566
6.9600,1.556
7.0000,1.471
7.0400,1.529
7.0800,1.520
7.1200,1.504
7.1600,1.477
7.2000,1.469
7.2400,1.495
7.2800,1.501
7.3200,1.459
7.3600,1.407
7.4000,1.381
7.4400,1.464
7.4800,1.446
7.5200,1.453
7.5600,1.471
7.6000,1.448
7.6400,1.442
7.6800,1.438
7.7200,1.465
7.7600,1.447
7.8000,1.456
7.8400,1.442
7.8800,1.477
7.9200,1.460
7.9600,1.480
8.0000,1.467
8.0400,1.414
8.0800,1.476
8.1200,1.422
8.1600,1.487
8.2000,1.441
8.2400,1.463
8.2800,1.444
8.3200,1.443
8.3600,1.462
8.4000,1.462
8.4400,1.407
8.4800,1.499
8.5200,1.423
8.5600,1.427
8.6000,1.443
8.6400,1.415
8.6800,1.422
8.7200,1.383
8.7600,1.379
8.8000,1.459
8.8400,1.446
8.8800,1.426
8.9200,1.423
8.9600,1.387
9.0000,1.421
9.0400,1.435
9.0800,1.387
9.1200,1.486
9.1600,1.459
9.2000,1.393
9.2400,1.367
9.2800,1.430
9.3200,1.422
9.3600,1.379
9.4000,1.418
9.4400,1.396
9.4800,1.372
9.5200,1.327
9.5600,1.415
9.6000,1.410
9.6400,1.363
9.6800,1.379
9.7200,1.376
9.7600,1.371
9.8000,1.320
9.8400,1.411
9.8800,1.495
9.9200,1.412
9.9600,1.350
10.0000,1.382
10.0400,1.367
10.0800,1.391
10.1200,1.350
10.1600,1.346
10.2000,1.428
10.2400,1.411
10.2800,1.338
10.3200,1.361
10.3600,1.373
10.4000,1.329
10.4400,1.357
10.4800,1.406
10.5200,1.381
10.5600,1.333
10.6000,1.370
10.6400,1.339
10.6800,1.377
10.7200,1.417
10.7600,1.337
10.8000,1.332
10.8400,1.338
10.8800,1.338
10.9200,1.341
10.9600,1.339
11.0000,1.343
11.0400,1.335
11.0800,1.326
11.1200,1.384
11.1600,1.378
11.2000,1.377
11.2400,1.346
11.2800,1.307
11.3200,1.379
11.3600,1.346
11.4000,1.373
11.4400,1.302
11.4800,1.328
11.5200,1.326
11.5600,1.330
11.6000,1.329
11.6400,1.357
11.6800,1.318
11.7200,1.340
11.7600,1.298
11.8000,1.289
11.8400,1.341
