theta,intensity
5.0000,2.965
5.0400,2.748
5.0800,2.755
5.1200,2.737
5.1600,2.773
5.2000,2.660
5.2400,2.569
5.2800,2.425
5.3200,2.498
5.3600,2.475
5.4000,2.453
5.4400,2.507
5.4800,2.429
5.5200,2.398
5.5600,2.332
5.6000,2.315
5.6400,2.253
5.6800,2.239
5.7200,2.236
5.7600,2.248
5.8000,2.169
5.8400,2.117
5.8800,2.115
5.9200,2.072
5.9600,2.035
6.0000,2.066
6.0400,2.069
6.0800,2.009
6.1200,1.966
6.1600,1.914
6.2000,1.886
6.2400,1.886
6.2800,1.815
6.3200,1.781
6.3600,1.764
6.4000,1.749
6.4400,1.791
6.4800,1.731
6.5200,1.759
6.5600,1.617
6.6000,1.717
6.6400,1.673
6.6800,1.639
6.7200,1.640
6.7600,1.651
6.8000,1.651
6.8400,1.533
6.8800,1.624
6.9200,1.589
6.9600,1.547
7.0000,1.572
7.0400,1.590
7.0800,1.604
7.1200,1.554
7.1600,1.543
7.2000,1.561
7.2400,1.533
7.2800,1.519
7.3200,1.534
7.3600,1.531
7.4000,1.556
7.4400,1.520
7.4800,1.546
7.5200,1.535
7.5600,1.466
7.6000,1.472
7.6400,1.502
7.6800,1.494
7.7200,1.528
7.7600,1.517
7.8000,1.532
7.8400,1.430
7.8800,1.438
7.9200,1.510
7.9600,1.502
8.0000,1.483
8.0400,1.505
8.0800,1.462
8.1200,1.472
8.1600,1.474
8.2000,1.440
8.2400,1.451
8.2800,1.477
8.3200,1.429
8.3600,1.432
8.4000,1.484
8.4400,1.484
8.4800,1.478
8.5200,1.480
8.5600,1.472
8.6000,1.472
8.6400,1.428
8.6800,1.444
8.7200,1.452
8.7600,1.448
8.8000,1.459
8.8400,1.464
8.8800,1.472
8.9200,1.465
8.9600,1.484
9.0000,1.427
9.0400,1.446
9.0800,1.397
9.1200,1.508
9.1600,1.475
9.2000,1.465
9.2400,1.448
9.2800,1.453
9.3200,1.426
9.3600,1.451
9.4000,1.390
9.4400,1.436
9.4800,1.437
9.5200,1.424
9.5600,1.440
9.6000,1.484
9.6400,1.469
9.6800,1.449
9.7200,1.417
9.7600,1.389
9.8000,1.436
9.8400,1.471
9.8800,1.423
9.9200,1.453
9.9600,1.465
10.0000,1.441
10.0400,1.488
10.0800,1.457
10.1200,1.457
10.1600,1.456
10.2000,1.455
10.2400,1.410
10.2800,1.396
10.3200,1.435
10.3600,1.412
10.4000,1.432
10.4400,1.440
10.4800,1.412
10.5200,1.439
10.5600,1.418
10.6000,1.390
10.6400,1.432
10.6800,1.428
10.7200,1.433
10.7600,1.410
10.8000,1.432
10.8400,1.451
10.8800,1.413
10.9200,1.427
10.9600,1.377
11.0000,1.389
11.0400,1.397
11.0800,1.436
11.1200,1.342
11.1600,1.382
11.2000,1.419
11.2400,1.435
11.2800,1.379
11.3200,1.367
11.3600,1.400
11.4000,1.403
11.4400,1.326
11.4800,1.347
11.5200,1.393
11.5600,1.391
11.6000,1.386
11.6400,1.385
11.6800,1.400
11.7200,1.358
11.7600,1.398
11.8000,1.394
11.8400,1.330
11.8800,1.354
11.9200,1.396
11.9600,1.405
12.0000,1.390
12.0400,1.387
12.0800,1.345
12.1200,1.338
12.1600,1.362
12.2000,1.418
12.2400,1.390
12.2800,1.327
12.3200,1.311
12.3600,1.383
12.4000,1.371
12.4400,1.367
12.4800,1.323
12.5200,1.326
12.5600,1.329
12.6000,1.364
12.6400,1.353
12.6800,1.328
12.7200,1.475
12.7600,1.451
12.8000,1.381
12.8400,1.331
12.8800,1.397
12.9200,1.316
12.9600,1.359
13.0000,1.327
13.0400,1.340
13.0800,1.333
13.1200,1.317
13.1600,1.360
13.2000,1.380
13.2400,1.341
13.2800,1.382
13.3200,1.321
13.3600,1.385
13.4000,1.303
13.4400,1.385
13.4800,1.309
13.5200,1.311
13.5600,1.330
13.6000,1.354
13.6400,1.346
13.6800,1.334
13.7200,1.282
13.7600,1.328
13.8000,1.337
13.8400,1.293
13.8800,1.303
13.9200,1.308
13.9600,1.305
14.0000,1.327
14.0400,1.309
14.0800,1.324
14.1200,1.318
14.1600,1.283
14.2000,1.299
14.2400,1.335
14.2800,1.328
14.3200,1.297
14.3600,1.281
14.4000,1.292
14.4400,1.304
14.4800,1.279
14.5200,1.323
14.5600,1.271
14.6000,1.259
14.6400,1.267
14.6800,1.287
14.7200,1.286
14.7600,1.293
14.8000,1.310
14.8400,1.308
14.8800,1.309
14.9200,1.283
14.9600,1.309
15.0000,1.322
15.0400,1.311
15.0800,1.280
15.1200,1.257
15.1600,1.243
15.2000,1.288
15.2400,1.278
15.2800,1.301
15.3200,1.298
15.3600,1.262
15.4000,1.262
15.4400,1.314
15.4800,1.303
15.5200,1.308
15.5600,1.311
15.6000,1.269
15.6400,1.298
15.6800,1.289
15.7200,1.235
15.7600,1.313
15.8000,1.287
15.8400,1.283
15.8800,1.275
15.9200,1.240
15.9600,1.290
16.0000,1.226
16.0400,1.275
16.0800,1.256
16.1200,1.240
16.1600,1.249
16.2000,1.297
16.2400,1.272
16.2800,1.286
16.3200,1.310
16.3600,1.348
16.4000,1.279
16.4400,1.291
16.4800,1.301
16.5200,1.320
16.5600,1.301
16.6000,1.283
16.6400,1.297
16.6800,1.266
16.7200,1.298
16.7600,1.252
16.8000,1.249
16.8400,1.272
16.8800,1.253
16.9200,1.222
16.9600,1.272
17.0000,1.242
17.0400,1.250
17.0800,1.268
17.1200,1.265
17.1600,1.315
17.2000,1.234
17.2400,1.282
17.2800,1.260
17.3200,1.300
17.3600,1.285
17.4000,1.288
17.4400,1.251
17.4800,1.268
17.5200,1.289
17.5600,1.258
17.6000,1.268
17.6400,1.267
17.6800,1.311
17.7200,1.245
17.7600,1.237
17.8000,1.274
17.8400,1.262
17.8800,1.240
17.9200,1.295
17.9600,1.276
18.0000,1.265
18.0400,1.262
18.0800,1.262
18.1200,1.271
18.1600,1.271
18.2000,1.216
18.2400,1.273
18.2800,1.303
18.3200,1.303
18.3600,1.290
18.4000,1.300
18.4400,1.212
18.4800,1.220
18.5200,1.266
18.5600,1.320
18.6000,1.275
18.6400,1.246
18.6800,1.259
18.7200,1.271
18.7600,1.274
18.8000,1.232
18.8400,1.278
18.8800,1.299
18.9200,1.263
18.9600,1.232
19.0000,1.220
19.0400,1.268
19.0800,1.266
19.1200,1.257
19.1600,1.274
19.2000,1.240
19.2400,1.255
19.2800,1.242
19.3200,1.291
19.3600,1.296
19.4000,1.317
19.4400,1.309
19.4800,1.276
19.5200,1.255
19.5600,1.319
19.6000,1.243
19.6400,1.292
19.6800,1.337
19.7200,1.282
19.7600,1.297
19.8000,1.284
19.8400,1.282
19.8800,1.337
19.9200,1.298
19.9600,1.226
20.0000,1.300
20.0400,1.316
20.0800,1.330
20.1200,1.275
20.1600,1.274
20.2000,1.274
20.2400,1.282
20.2800,1.269
20.3200,1.303
20.3600,1.302
20.4000,1.275
20.4400,1.269
20.4800,1.265
20.5200,1.304
20.5600,1.302
20.6000,1.248
20.6400,1.303
20.6800,1.293
20.7200,1.269
20.7600,1.277
20.8000,1.241
20.8400,1.237
20.8800,1.262
20.9200,1.258
20.9600,1.276
21.0000,1.262
21.0400,1.255
21.0800,1.211
21.1200,1.262
21.1600,1.278
21.2000,1.269
21.2400,1.221
21.2800,1.248
21.3200,1.245
21.3600,1.223
21.4000,1.253
21.4400,1.203
21.4800,1.236
21.5200,1.288
21.5600,1.244
21.6000,1.200
21.6400,1.193
21.6800,1.238
21.7200,1.211
21.7600,1.186
21.8000,1.189
21.8400,1.208
21.8800,1.196
21.9200,1.190
21.9600,1.215
22.0000,1.240
22.0400,1.226
22.0800,1.219
22.1200,1.233
22.1600,1.168
22.2000,1.165
22.2400,1.194
22.2800,1.167
22.3200,1.175
22.3600,1.166
22.4000,1.186
22.4400,1.159
22.4800,1.186
22.5200,1.169
22.5600,1.177
22.6000,1.189
22.6400,1.204
22.6800,1.099
22.7200,1.158
22.7600,1.154
22.8000,1.171
22.8400,1.134
22.8800,1.144
22.9200,1.100
22.9600,1.158
23.0000,1.144
23.0400,1.115
23.0800,1.152
23.1200,1.140
23.1600,1.156
23.2000,1.104
23.2400,1.118
23.2800,1.131
23.3200,1.067
23.3600,1.089
23.4000,1.109
23.4400,1.109
23.4800,1.085
23.5200,1.091
23.5600,1.070
23.6000,1.110
23.6400,1.078
23.6800,1.057
23.7200,1.077
23.7600,1.037
23.8000,1.073
23.8400,1.078
23.8800,1.026
23.9200,1.014
23.9600,1.068
24.0000,1.023
24.0400,1.033
24.0800,1.064
24.1200,1.076
24.1600,1.067
24.2000,1.027
24.2400,1.024
24.2800,1.024
24.3200,1.034
24.3600,0.992
24.4000,1.010
24.4400,1.030
24.4800,1.019
24.5200,1.021
24.5600,0.960
24.6000,0.984
24.6400,1.007
24.6800,1.037
24.7200,1.028
24.7600,1.004
24.8000,0.982
24.8400,0.949
24.8800,0.991
24.9200,0.964
24.9600,0.978
25.0000,0.949
25.0400,0.934
25.0800,0.954
25.1200,0.962
25.1600,0.937
25.2000,0.952
25.2400,0.968
25.2800,0.924
25.3200,0.963
25.3600,0.926
25.4000,0.951
25.4400,0.929
25.4800,0.920
25.5200,0.937
25.5600,0.919
25.6000,0.904
25.6400,0.918
25.6800,0.936
25.7200,0.940
25.7600,0.873
25.8000,0.869
25.8400,0.885
25.8800,0.918
25.9200,0.886
25.9600,0.880
26.0000,0.894
26.0400,0.880
26.0800,0.893
26.1200,0.894
26.1600,0.893
26.2000,0.895
26.2400,0.877
26.2800,0.868
26.3200,0.850
26.3600,0.894
26.4000,0.870
26.4400,0.896
26.4800,0.904
26.5200,0.877
26.5600,0.887
26.6000,0.894
26.6400,0.858
26.6800,0.883
26.7200,0.871
26.7600,0.859
26.8000,0.862
26.8400,0.856
26.8800,0.829
26.9200,0.840
26.9600,0.809
27.0000,0.823
27.0400,0.840
27.0800,0.849
27.1200,0.818
27.1600,0.813
27.2000,0.820
27.2400,0.795
27.2800,0.800
27.3200,0.834
27.3600,0.814
27.4000,0.816
27.4400,0.832
27.4800,0.818
27.5200,0.826
27.5600,0.837
27.6000,0.797
27.6400,0.800
27.6800,0.796
27.7200,0.778
27.7600,0.796
27.8000,0.771
27.8400,0.777
27.8800,0.798
27.9200,0.831
27.9600,0.760
28.0000,0.804
28.0400,0.790
28.0800,0.762
28.1200,0.737
28.1600,0.777
28.2000,0.777
28.2400,0.775
28.2800,0.729
28.3200,0.772
28.3600,0.739
28.4000,0.738
28.4400,0.741
28.4800,0.725
28.5200,0.769
28.5600,0.767
28.6000,0.745
28.6400,0.730
28.6800,0.724
28.7200,0.724
28.7600,0.741
28.8000,0.735
28.8400,0.762
28.8800,0.729
28.9200,0.731
28.9600,0.718
29.0000,0.732
29.0400,0.709
29.0800,0.696
29.1200,0.700
29.1600,0.691
29.2000,0.734
29.2400,0.674
29.2800,0.691
29.3200,0.718
29.3600,0.709
29.4000,0.715
29.4400,0.726
29.4800,0.705
29.5200,0.713
29.5600,0.682
29.6000,0.714
29.6400,0.700
29.6800,0.683
29.7200,0.724
29.7600,0.714
29.8000,0.680
29.8400,0.693
29.8800,0.666
29.9200,0.721
29.9600,0.690
30.0000,0.671
30.0400,0.689
30.0800,0.668
30.1200,0.671
30.1600,0.671
30.2000,0.693
30.2400,0.693
30.2800,0.709
30.3200,0.662
30.3600,0.686
30.4000,0.665
30.4400,0.648
30.4800,0.645
30.5200,0.678
30.5600,0.667
30.6000,0.669
30.6400,0.654
30.6800,0.656
30.7200,0.626
30.7600,0.623
30.8000,0.655
30.8400,0.660
30.8800,0.675
30.9200,0.672
30.9600,0.682
31.0000,0.629
31.0400,0.663
31.0800,0.699
31.1200,0.666
31.1600,0.659
31.2000,0.683
31.2400,0.681
31.2800,0.640
31.3200,0.653
31.3600,0.644
31.4000,0.622
31.4400,0.648
31.4800,0.655
31.5200,0.616
31.5600,0.626
31.6000,0.647
31.6400,0.602
31.6800,0.639
31.7200,0.639
31.7600,0.624
31.8000,0.622
31.8400,0.626
31.8800,0.629
31.9200,0.595
31.9600,0.602
32.0000,0.625
32.0400,0.638
32.0800,0.591
32.1200,0.629
32.1600,0.614
32.2000,0.631
32.2400,0.632
32.2800,0.614
32.3200,0.628
32.3600,0.628
32.4000,0.605
32.4400,0.604
32.4800,0.594
32.5200,0.579
32.5600,0.648
32.6000,0.594
32.6400,0.620
32.6800,0.586
32.7200,0.575
32.7600,0.610
32.8000,0.598
32.8400,0.587
32.8800,0.601
32.9200,0.573
32.9600,0.608
33.0000,0.607
33.0400,0.603
33.0800,0.586
33.1200,0.567
33.1600,0.579
33.2000,0.577
33.2400,0.576
33.2800,0.588
33.3200,0.596
33.3600,0.606
33.4000,0.571
33.4400,0.588
33.4800,0.566
33.5200,0.587
33.5600,0.555
33.6000,0.561
33.6400,0.572
33.6800,0.568
33.7200,0.575
33.7600,0.535
33.8000,0.581
33.8400,0.566
33.8800,0.563
33.9200,0.535
33.9600,0.566
34.0000,0.575
34.0400,0.537
34.0800,0.549
34.1200,0.552
34.1600,0.529
34.2000,0.557
34.2400,0.553
34.2800,0.569
34.3200,0.557
34.3600,0.551
34.4000,0.567
34.4400,0.550
34.4800,0.533
34.5200,0.584
34.5600,0.552
34.6000,0.566
34.6400,0.532
34.6800,0.524
34.7200,0.546
34.7600,0.568
34.8000,0.578
34.8400,0.539
34.8800,0.538
34.9200,0.549
34.9600,0.535
35.0000,0.541
35.0400,0.551
35.0800,0.528
35.1200,0.536
35.1600,0.508
35.2000,0.554
35.2400,0.510
35.2800,0.529
35.3200,0.534
35.3600,0.510
35.4000,0.504
35.4400,0.529
35.4800,0.535
35.5200,0.525
35.5600,0.527
35.6000,0.525
35.6400,0.497
35.6800,0.490
35.7200,0.514
35.7600,0.517
35.8000,0.519
35.8400,0.531
35.8800,0.542
35.9200,0.494
35.9600,0.550
36.0000,0.545
36.0400,0.508
36.0800,0.489
36.1200,0.511
36.1600,0.504
36.2000,0.494
36.2400,0.483
36.2800,0.491
36.3200,0.509
36.3600,0.508
36.4000,0.491
36.4400,0.504
36.4800,0.478
36.5200,0.495
36.5600,0.520
36.6000,0.453
36.6400,0.477
36.6800,0.500
36.7200,0.511
36.7600,0.518
36.8000,0.486
36.8400,0.475
36.8800,0.482
36.9200,0.491
36.9600,0.506
37.0000,0.488
37.0400,0.522
37.0800,0.459
37.1200,0.492
37.1600,0.462
37.2000,0.482
37.2400,0.467
37.2800,0.463
37.3200,0.463
37.3600,0.463
37.4000,0.478
37.4400,0.465
37.4800,0.464
37.5200,0.466
37.5600,0.455
37.6000,0.449
37.6400,0.464
37.6800,0.435
37.7200,0.446
37.7600,0.471
37.8000,0.485
37.8400,0.451
37.8800,0.473
37.9200,0.443
37.9600,0.442
38.0000,0.466
38.0400,0.488
38.0800,0.475
38.1200,0.464
38.1600,0.444
38.2000,0.501
38.2400,0.490
38.2800,0.471
38.3200,0.462
38.3600,0.457
38.4000,0.453
38.4400,0.465
38.4800,0.448
38.5200,0.451
38.5600,0.451
38.6000,0.421
38.6400,0.462
38.6800,0.479
38.7200,0.477
38.7600,0.469
38.8000,0.472
38.8400,0.433
38.8800,0.429
38.9200,0.461
38.9600,0.446
39.0000,0.456
39.0400,0.433
39.0800,0.433
39.1200,0.454
39.1600,0.443
39.2000,0.456
39.2400,0.432
39.2800,0.439
39.3200,0.453
39.3600,0.442
39.4000,0.446
39.4400,0.455
39.4800,0.466
39.5200,0.433
39.5600,0.459
39.6000,0.431
39.6400,0.431
39.6800,0.442
39.7200,0.436
39.7600,0.449
39.8000,0.448
39.8400,0.441
39.8800,0.452
39.9200,0.449
39.9600,0.465
40.0000,0.461
40.0400,0.466
40.0800,0.440
40.1200,0.480
40.1600,0.483
40.2000,0.502
40.2400,0.473
40.2800,0.489
40.3200,0.490
40.3600,0.478
40.4000,0.507
40.4400,0.511
40.4800,0.552
40.5200,0.594
40.5600,0.562
40.6000,0.585
40.6400,0.646
40.6800,0.643
40.7200,0.679
40.7600,0.737
40.8000,0.795
40.8400,0.865
40.8800,1.009
40.9200,1.135
40.9600,1.234
41.0000,1.390
41.0400,1.453
41.0800,1.436
41.1200,1.486
41.1600,1.361
41.2000,1.242
41.2400,1.190
41.2800,1.029
41.3200,0.905
41.3600,0.794
41.4000,0.759
41.4400,0.699
41.4800,0.668
41.5200,0.626
41.5600,0.606
41.6000,0.573
41.6400,0.530
41.6800,0.551
41.7200,0.527
41.7600,0.498
41.8000,0.493
41.8400,0.489
41.8800,0.455
41.9200,0.450
41.9600,0.439
42.0000,0.419
42.0400,0.447
42.0800,0.417
42.1200,0.428
42.1600,0.448
42.2000,0.429
42.2400,0.441
42.2800,0.398
42.3200,0.399
42.3600,0.415
42.4000,0.402
42.4400,0.399
42.4800,0.383
42.5200,0.382
42.5600,0.378
42.6000,0.411
42.6400,0.397
42.6800,0.374
42.7200,0.361
42.7600,0.381
42.8000,0.386
42.8400,0.384
42.8800,0.390
42.9200,0.380
42.9600,0.349
43.0000,0.388
43.0400,0.382
43.0800,0.423
43.1200,0.390
43.1600,0.364
43.2000,0.371
43.2400,0.377
43.2800,0.382
43.3200,0.390
43.3600,0.372
43.4000,0.350
43.4400,0.367
43.4800,0.365
43.5200,0.342
43.5600,0.366
43.6000,0.341
43.6400,0.377
43.6800,0.384
43.7200,0.361
43.7600,0.352
43.8000,0.364
43.8400,0.331
43.8800,0.360
43.9200,0.372
43.9600,0.349
44.0000,0.361
44.0400,0.322
44.0800,0.357
44.1200,0.361
44.1600,0.366
44.2000,0.353
44.2400,0.332
44.2800,0.348
44.3200,0.346
44.3600,0.382
44.4000,0.335
44.4400,0.319
44.4800,0.351
44.5200,0.333
44.5600,0.337
44.6000,0.355
44.6400,0.354
44.6800,0.326
44.7200,0.331
44.7600,0.344
44.8000,0.341
44.8400,0.359
44.8800,0.336
44.9200,0.335
44.9600,0.364
45.0000,0.357
45.0400,0.344
45.0800,0.330
45.1200,0.332
45.1600,0.328
45.2000,0.356
45.2400,0.329
45.2800,0.326
45.3200,0.353
45.3600,0.327
45.4000,0.349
45.4400,0.363
45.4800,0.351
45.5200,0.337
45.5600,0.333
45.6000,0.329
45.6400,0.343
45.6800,0.335
45.7200,0.356
45.7600,0.342
45.8000,0.339
45.8400,0.347
45.8800,0.348
45.9200,0.331
45.9600,0.352
46.0000,0.334
46.0400,0.339
46.0800,0.327
46.1200,0.341
46.1600,0.325
46.2000,0.334
46.2400,0.356
46.2800,0.325
46.3200,0.321
46.3600,0.335
46.4000,0.337
46.4400,0.352
46.4800,0.347
46.5200,0.337
46.5600,0.344
46.6000,0.371
46.6400,0.326
46.6800,0.316
46.7200,0.336
46.7600,0.336
46.8000,0.371
46.8400,0.363
46.8800,0.347
46.9200,0.365
46.9600,0.367
47.0000,0.366
47.0400,0.368
47.0800,0.359
47.1200,0.371
47.1600,0.357
47.2000,0.399
47.2400,0.393
47.2800,0.423
47.3200,0.423
47.3600,0.406
47.4000,0.453
47.4400,0.453
47.4800,0.481
47.5200,0.462
47.5600,0.524
47.6000,0.529
47.6400,0.578
47.6800,0.611
47.7200,0.593
47.7600,0.591
47.8000,0.640
47.8400,0.633
47.8800,0.595
47.9200,0.576
47.9600,0.536
48.0000,0.532
48.0400,0.519
48.0800,0.491
48.1200,0.426
48.1600,0.415
48.2000,0.413
48.2400,0.395
48.2800,0.379
48.3200,0.368
48.3600,0.365
48.4000,0.376
48.4400,0.342
48.4800,0.326
48.5200,0.337
48.5600,0.304
48.6000,0.317
48.6400,0.309
48.6800,0.334
48.7200,0.323
48.7600,0.308
48.8000,0.318
48.8400,0.328
48.8800,0.308
48.9200,0.294
48.9600,0.292
49.0000,0.317
49.0400,0.304
49.0800,0.290
49.1200,0.327
49.1600,0.302
49.2000,0.312
49.2400,0.297
49.2800,0.291
49.3200,0.260
49.3600,0.297
49.4000,0.293
49.4400,0.274
49.4800,0.278
49.5200,0.300
49.5600,0.272
49.6000,0.269
49.6400,0.298
49.6800,0.258
49.7200,0.268
49.7600,0.278
49.8000,0.299
49.8400,0.286
49.8800,0.279
49.9200,0.286
49.9600,0.277
50.0000,0.271
50.0400,0.278
50.0800,0.267
50.1200,0.298
50.1600,0.282
50.2000,0.258
50.2400,0.282
50.2800,0.298
50.3200,0.266
50.3600,0.279
50.4000,0.276
50.4400,0.259
50.4800,0.243
50.5200,0.249
50.5600,0.276
50.6000,0.275
50.6400,0.292
50.6800,0.253
50.7200,0.264
50.7600,0.261
50.8000,0.279
50.8400,0.262
50.8800,0.279
50.9200,0.281
50.9600,0.249
51.0000,0.266
51.0400,0.272
51.0800,0.288
51.1200,0.246
51.1600,0.269
51.2000,0.261
