theta,intensity
5.0000,2.448
5.0400,2.761
5.0800,2.679
5.1200,2.703
5.1600,2.690
5.2000,2.751
5.2400,2.494
5.2800,2.625
5.3200,2.571
5.3600,2.621
5.4000,2.533
5.4400,2.655
5.4800,2.582
5.5200,2.522
5.5600,2.494
5.6000,2.510
5.6400,2.503
5.6800,2.457
5.7200,2.511
5.7600,2.436
5.8000,2.433
5.8400,2.417
5.8800,2.385
5.9200,2.454
5.9600,2.366
6.0000,2.397
6.0400,2.413
6.0800,2.299
6.1200,2.306
6.1600,2.267
6.2000,2.241
6.2400,2.285
6.2800,2.249
6.3200,2.201
6.3600,2.201
6.4000,2.156
6.4400,2.145
6.4800,2.107
6.5200,2.113
6.5600,2.164
6.6000,2.102
6.6400,2.024
6.6800,1.973
6.7200,1.957
6.7600,1.984
6.8000,1.954
6.8400,1.977
6.8800,1.913
6.9200,1.885
6.9600,1.820
7.0000,1.834
7.0400,1.872
7.0800,1.843
7.1200,1.768
7.1600,1.809
7.2000,1.839
7.2400,1.729
7.2800,1.625
7.3200,1.732
7.3600,1.679
7.4000,1.708
7.4400,1.707
7.4800,1.684
7.5200,1.642
7.5600,1.624
7.6000,1.598
7.6400,1.658
7.6800,1.638
7.7200,1.587
7.7600,1.517
7.8000,1.549
7.8400,1.562
7.8800,1.572
7.9200,1.510
7.9600,1.563
8.0000,1.548
8.0400,1.533
8.0800,1.525
8.1200,1.485
8.1600,1.491
8.2000,1.508
8.2400,1.460
8.2800,1.463
8.3200,1.546
8.3600,1.449
8.4000,1.472
8.4400,1.512
8.4800,1.471
8.5200,1.437
8.5600,1.480
8.6000,1.525
8.6400,1.411
8.6800,1.431
8.7200,1.439
8.7600,1.424
8.8000,1.437
8.8400,1.427
8.8800,1.447
8.9200,1.445
8.9600,1.435
9.0000,1.409
9.0400,1.436
9.0800,1.377
9.1200,1.372
9.1600,1.415
9.2000,1.493
9.2400,1.448
9.2800,1.415
9.3200,1.398
9.3600,1.397
9.4000,1.445
9.4400,1.422
9.4800,1.423
9.5200,1.471
9.5600,1.411
9.6000,1.408
9.6400,1.389
9.6800,1.431
9.7200,1.399
9.7600,1.436
9.8000,1.366
9.8400,1.363
9.8800,1.432
9.9200,1.405
9.9600,1.442
10.0000,1.380
10.0400,1.400
10.0800,1.400
10.1200,1.392
10.1600,1.366
10.2000,1.360
10.2400,1.422
10.2800,1.395
10.3200,1.403
10.3600,1.425
10.4000,1.425
10.4400,1.417
10.4800,1.446
10.5200,1.423
10.5600,1.336
10.6000,1.393
10.6400,1.368
10.6800,1.373
10.7200,1.417
10.7600,1.438
10.8000,1.420
10.8400,1.382
10.8800,1.356
10.9200,1.410
10.9600,1.300
11.0000,1.382
11.0400,1.361
11.0800,1.391
11.1200,1.365
11.1600,1.427
11.2000,1.410
11.2400,1.386
11.2800,1.364
11.3200,1.323
11.3600,1.338
11.4000,1.362
11.4400,1.345
11.4800,1.409
11.5200,1.338
11.5600,1.360
11.6000,1.318
11.6400,1.341
11.6800,1.360
11.7200,1.373
11.7600,1.365
11.8000,1.364
11.8400,1.365
11.8800,1.352
11.9200,1.340
11.9600,1.349
12.0000,1.348
12.0400,1.376
12.0800,1.375
12.1200,1.394
12.1600,1.377
12.2000,1.319
12.2400,1.383
12.2800,1.293
12.3200,1.309
12.3600,1.359
12.4000,1.293
12.4400,1.313
12.4800,1.348
12.5200,1.278
12.5600,1.346
12.6000,1.315
12.6400,1.384
12.6800,1.297
12.7200,1.360
12.7600,1.286
12.8000,1.278
12.8400,1.294
12.8800,1.283
12.9200,1.323
12.9600,1.275
13.0000,1.317
13.0400,1.333
13.0800,1.333
13.1200,1.305
13.1600,1.310
13.2000,1.340
13.2400,1.278
13.2800,1.321
13.3200,1.339
13.3600,1.246
13.4000,1.391
13.4400,1.302
13.4800,1.256
13.5200,1.289
13.5600,1.325
13.6000,1.269
13.6400,1.296
13.6800,1.321
13.7200,1.314
13.7600,1.296
13.8000,1.277
13.8400,1.328
13.8800,1.314
13.9200,1.320
13.9600,1.340
14.0000,1.277
14.0400,1.263
14.0800,1.286
14.1200,1.315
14.1600,1.252
14.2000,1.313
14.2400,1.232
14.2800,1.257
14.3200,1.291
14.3600,1.270
14.4000,1.273
14.4400,1.247
14.4800,1.290
14.5200,1.290
14.5600,1.237
14.6000,1.268
14.6400,1.303
14.6800,1.268
14.7200,1.270
14.7600,1.238
14.8000,1.321
14.8400,1.280
14.8800,1.312
14.9200,1.332
14.9600,1.225
15.0000,1.232
15.0400,1.272
15.0800,1.231
15.1200,1.262
15.1600,1.226
15.2000,1.240
15.2400,1.243
15.2800,1.219
15.3200,1.226
15.3600,1.259
15.4000,1.248
15.4400,1.244
15.4800,1.292
15.5200,1.274
15.5600,1.295
15.6000,1.224
15.6400,1.263
15.6800,1.239
15.7200,1.250
15.7600,1.248
15.8000,1.207
15.8400,1.185
15.8800,1.299
15.9200,1.243
15.9600,1.220
16.0000,1.270
16.0400,1.250
16.0800,1.203
16.1200,1.238
16.1600,1.258
16.2000,1.266
16.2400,1.214
16.2800,1.186
16.3200,1.248
16.3600,1.228
16.4000,1.259
16.4400,1.202
16.4800,1.201
16.5200,1.244
16.5600,1.281
16.6000,1.244
16.6400,1.251
16.6800,1.250
16.7200,1.286
16.7600,1.228
16.8000,1.255
16.8400,1.244
16.8800,1.211
16.9200,1.241
16.9600,1.237
17.0000,1.225
17.0400,1.204
17.0800,1.219
17.1200,1.165
17.1600,1.235
17.2000,1.269
17.2400,1.226
17.2800,1.230
17.3200,1.237
17.3600,1.186
17.4000,1.208
17.4400,1.241
17.4800,1.242
17.5200,1.189
17.5600,1.223
17.6000,1.211
17.6400,1.201
17.6800,1.225
17.7200,1.225
17.7600,1.224
17.8000,1.215
17.8400,1.208
17.8800,1.239
17.9200,1.210
17.9600,1.220
