theta,intensity
5.0000,3.773
5.0400,4.208
5.0800,4.245
5.1200,4.044
5.1600,4.170
5.2000,4.119
5.2400,4.002
5.2800,3.857
5.3200,4.094
5.3600,4.015
5.4000,3.865
5.4400,3.962
5.4800,3.861
5.5200,3.782
5.5600,3.715
5.6000,3.772
5.6400,3.696
5.6800,3.765
5.7200,3.749
5.7600,3.766
5.8000,3.704
5.8400,3.675
5.8800,3.668
5.9200,3.613
5.9600,3.553
6.0000,3.623
6.0400,3.542
6.0800,3.516
6.1200,3.513
6.1600,3.453
6.2000,3.435
6.2400,3.458
6.2800,3.364
6.3200,3.297
6.3600,3.332
6.4000,3.284
6.4400,3.323
6.4800,3.258
6.5200,3.309
6.5600,3.210
6.6000,3.248
6.6400,3.179
6.6800,3.091
6.7200,3.025
6.7600,3.066
6.8000,3.014
6.8400,2.998
6.8800,2.913
6.9200,2.985
6.9600,2.906
7.0000,2.797
7.0400,2.761
7.0800,2.823
7.1200,2.700
7.1600,2.697
7.2000,2.709
7.2400,2.710
7.2800,2.552
7.3200,2.593
7.3600,2.601
7.4000,2.511
7.4400,2.541
7.4800,2.423
7.5200,2.423
7.5600,2.355
7.6000,2.340
7.6400,2.371
7.6800,2.357
7.7200,2.267
7.7600,2.293
7.8000,2.255
7.8400,2.165
7.8800,2.212
7.9200,2.182
7.9600,2.158
8.0000,2.174
8.0400,2.092
8.0800,2.088
8.1200,2.073
8.1600,2.038
8.2000,2.060
8.2400,2.012
8.2800,1.977
8.3200,1.946
8.3600,1.990
8.4000,1.952
8.4400,1.904
8.4800,1.911
8.5200,1.874
8.5600,1.867
8.6000,1.898
8.6400,1.834
8.6800,1.817
8.7200,1.830
8.7600,1.797
8.8000,1.721
8.8400,1.721
8.8800,1.756
8.9200,1.737
8.9600,1.734
9.0000,1.719
9.0400,1.745
9.0800,1.693
9.1200,1.682
9.1600,1.613
9.2000,1.648
9.2400,1.636
9.2800,1.639
9.3200,1.606
9.3600,1.605
9.4000,1.637
9.4400,1.597
9.4800,1.602
9.5200,1.631
9.5600,1.591
9.6000,1.559
9.6400,1.591
9.6800,1.602
9.7200,1.576
9.7600,1.573
9.8000,1.526
9.8400,1.484
9.8800,1.509
9.9200,1.499
9.9600,1.534
10.0000,1.519
10.0400,1.485
10.0800,1.521
10.1200,1.490
10.1600,1.477
10.2000,1.447
10.2400,1.429
10.2800,1.460
10.3200,1.443
10.3600,1.479
10.4000,1.396
10.4400,1.402
10.4800,1.401
10.5200,1.345
10.5600,1.408
10.6000,1.411
10.6400,1.381
10.6800,1.386
10.7200,1.389
10.7600,1.392
10.8000,1.408
10.8400,1.412
10.8800,1.414
10.9200,1.385
10.9600,1.397
11.0000,1.346
11.0400,1.411
11.0800,1.373
11.1200,1.309
11.1600,1.390
11.2000,1.332
11.2400,1.325
11.2800,1.418
11.3200,1.372
11.3600,1.365
11.4000,1.354
11.4400,1.341
11.4800,1.319
11.5200,1.331
11.5600,1.339
11.6000,1.252
11.6400,1.359
11.6800,1.332
11.7200,1.296
11.7600,1.282
11.8000,1.374
11.8400,1.345
11.8800,1.322
11.9200,1.261
11.9600,1.289
12.0000,1.299
12.0400,1.319
12.0800,1.301
12.1200,1.323
12.1600,1.304
12.2000,1.318
12.2400,1.301
12.2800,1.323
12.3200,1.301
12.3600,1.254
12.4000,1.276
12.4400,1.298
12.4800,1.265
12.5200,1.250
12.5600,1.284
12.6000,1.243
12.6400,1.294
12.6800,1.288
12.7200,1.273
12.7600,1.276
12.8000,1.323
12.8400,1.282
12.8800,1.296
12.9200,1.240
12.9600,1.287
13.0000,1.301
13.0400,1.275
13.0800,1.298
13.1200,1.292
13.1600,1.245
13.2000,1.273
13.2400,1.271
13.2800,1.283
13.3200,1.324
13.3600,1.274
13.4000,1.288
13.4400,1.213
13.4800,1.296
13.5200,1.236
13.5600,1.277
13.6000,1.221
13.6400,1.270
13.6800,1.266
13.7200,1.237
13.7600,1.228
13.8000,1.246
13.8400,1.201
13.8800,1.305
13.9200,1.250
13.9600,1.243
14.0000,1.303
14.0400,1.237
14.0800,1.259
14.1200,1.230
14.1600,1.243
14.2000,1.235
14.2400,1.285
14.2800,1.201
14.3200,1.286
14.3600,1.270
14.4000,1.248
14.4400,1.235
14.4800,1.245
14.5200,1.224
14.5600,1.231
14.6000,1.228
14.6400,1.258
14.6800,1.226
14.7200,1.260
14.7600,1.232
14.8000,1.229
14.8400,1.242
14.8800,1.219
14.9200,1.203
14.9600,1.256
15.0000,1.230
15.0400,1.181
15.0800,1.239
15.1200,1.184
15.1600,1.183
15.2000,1.253
15.2400,1.226
15.2800,1.246
15.3200,1.194
15.3600,1.198
15.4000,1.225
15.4400,1.213
15.4800,1.239
15.5200,1.225
15.5600,1.196
15.6000,1.225
15.6400,1.207
15.6800,1.235
15.7200,1.241
15.7600,1.205
15.8000,1.195
15.8400,1.214
15.8800,1.202
15.9200,1.167
15.9600,1.196
16.0000,1.208
16.0400,1.215
16.0800,1.197
16.1200,1.197
16.1600,1.159
16.2000,1.167
16.2400,1.110
16.2800,1.204
16.3200,1.226
16.3600,1.197
16.4000,1.179
16.4400,1.171
16.4800,1.143
16.5200,1.195
16.5600,1.119
16.6000,1.161
16.6400,1.167
16.6800,1.225
16.7200,1.181
16.7600,1.207
16.8000,1.225
16.8400,1.173
16.8800,1.176
16.9200,1.136
16.9600,1.167
17.0000,1.141
17.0400,1.121
17.0800,1.167
17.1200,1.190
17.1600,1.162
17.2000,1.177
17.2400,1.142
17.2800,1.217
17.3200,1.150
17.3600,1.193
17.4000,1.190
17.4400,1.112
17.4800,1.213
17.5200,1.176
17.5600,1.172
17.6000,1.117
17.6400,1.162
17.6800,1.133
17.7200,1.150
17.7600,1.136
17.8000,1.101
17.8400,1.144
17.8800,1.169
17.9200,1.178
17.9600,1.142
18.0000,1.186
18.0400,1.125
18.0800,1.182
18.1200,1.160
18.1600,1.152
18.2000,1.159
18.2400,1.108
18.2800,1.165
18.3200,1.140
18.3600,1.140
18.4000,1.159
18.4400,1.140
18.4800,1.084
18.5200,1.178
18.5600,1.147
18.6000,1.139
18.6400,1.175
18.6800,1.171
18.7200,1.156
18.7600,1.112
18.8000,1.102
18.8400,1.113
18.8800,1.132
18.9200,1.175
18.9600,1.122
19.0000,1.103
19.0400,1.175
19.0800,1.165
19.1200,1.108
19.1600,1.118
19.2000,1.164
19.2400,1.129
19.2800,1.129
19.3200,1.134
19.3600,1.143
19.4000,1.107
19.4400,1.155
19.4800,1.115
19.5200,1.133
19.5600,1.116
19.6000,1.113
19.6400,1.155
19.6800,1.118
19.7200,1.127
19.7600,1.147
19.8000,1.116
19.8400,1.065
19.8800,1.095
19.9200,1.052
19.9600,1.152
20.0000,1.137
20.0400,1.134
20.0800,1.068
20.1200,1.060
20.1600,1.075
20.2000,1.071
20.2400,1.097
20.2800,1.110
20.3200,1.110
20.3600,1.108
20.4000,1.089
20.4400,1.054
20.4800,1.145
20.5200,1.080
20.5600,1.047
20.6000,1.112
20.6400,1.078
20.6800,1.062
20.7200,1.101
20.7600,1.061
20.8000,1.098
20.8400,1.091
20.8800,1.097
20.9200,1.108
20.9600,1.107
21.0000,1.087
21.0400,1.039
21.0800,1.012
21.1200,1.065
21.1600,1.067
21.2000,1.041
21.2400,1.111
21.2800,1.083
21.3200,1.089
21.3600,1.035
21.4000,1.068
21.4400,1.067
21.4800,1.081
21.5200,1.121
21.5600,1.135
21.6000,1.109
21.6400,1.096
21.6800,1.129
21.7200,1.223
21.7600,1.239
21.8000,1.330
21.8400,1.342
21.8800,1.388
21.9200,1.322
21.9600,1.275
22.0000,1.200
22.0400,1.201
22.0800,1.094
22.1200,1.122
22.1600,1.129
22.2000,1.118
22.2400,1.091
22.2800,1.080
22.3200,1.091
22.3600,1.152
22.4000,1.147
22.4400,1.086
22.4800,1.093
22.5200,1.116
22.5600,1.068
22.6000,1.107
22.6400,1.114
22.6800,1.065
22.7200,1.114
22.7600,1.165
22.8000,1.194
22.8400,1.163
22.8800,1.188
22.9200,1.206
22.9600,1.203
23.0000,1.204
23.0400,1.098
23.0800,1.036
23.1200,1.090
23.1600,1.025
23.2000,1.025
23.2400,0.999
23.2800,1.007
23.3200,1.005
23.3600,0.999
23.4000,0.993
23.4400,0.995
23.4800,0.984
23.5200,0.992
23.5600,0.962
23.6000,0.897
23.6400,0.927
23.6800,0.980
23.7200,1.010
23.7600,0.954
23.8000,0.971
23.8400,0.994
23.8800,1.001
23.9200,0.930
23.9600,0.960
24.0000,0.931
24.0400,0.971
24.0800,0.923
24.1200,0.924
24.1600,0.959
24.2000,0.950
24.2400,0.963
24.2800,0.933
24.3200,0.926
24.3600,0.929
24.4000,0.889
24.4400,0.932
24.4800,0.904
24.5200,0.930
24.5600,0.933
24.6000,0.911
24.6400,0.916
24.6800,0.919
24.7200,0.932
24.7600,0.912
24.8000,0.911
24.8400,0.946
24.8800,0.916
24.9200,0.928
24.9600,0.881
25.0000,0.845
25.0400,0.890
25.0800,0.910
25.1200,0.869
25.1600,0.887
25.2000,0.891
25.2400,0.860
25.2800,0.922
25.3200,0.903
25.3600,0.896
25.4000,0.926
25.4400,0.869
25.4800,0.878
25.5200,0.847
25.5600,0.889
25.6000,0.835
25.6400,0.836
25.6800,0.884
25.7200,0.888
25.7600,0.880
25.8000,0.894
25.8400,0.820
25.8800,0.867
25.9200,0.816
25.9600,0.835
26.0000,0.835
26.0400,0.846
26.0800,0.834
26.1200,0.812
26.1600,0.853
26.2000,0.775
26.2400,0.815
26.2800,0.766
26.3200,0.827
26.3600,0.823
26.4000,0.793
26.4400,0.793
26.4800,0.855
26.5200,0.833
26.5600,0.820
26.6000,0.772
26.6400,0.780
26.6800,0.802
26.7200,0.809
26.7600,0.817
26.8000,0.797
26.8400,0.840
26.8800,0.804
26.9200,0.804
26.9600,0.793
27.0000,0.817
27.0400,0.785
27.0800,0.809
27.1200,0.795
27.1600,0.805
27.2000,0.753
27.2400,0.780
27.2800,0.749
27.3200,0.769
27.3600,0.779
27.4000,0.808
27.4400,0.734
27.4800,0.807
27.5200,0.841
27.5600,0.755
27.6000,0.797
27.6400,0.784
27.6800,0.808
27.7200,0.811
27.7600,0.896
27.8000,0.980
27.8400,1.146
27.8800,1.483
27.9200,1.760
27.9600,1.841
28.0000,1.638
28.0400,1.332
28.0800,1.043
28.1200,0.920
28.1600,0.816
28.2000,0.761
28.2400,0.781
28.2800,0.763
28.3200,0.737
28.3600,0.738
28.4000,0.781
28.4400,0.701
28.4800,0.761
28.5200,0.755
28.5600,0.741
28.6000,0.724
28.6400,0.717
28.6800,0.695
28.7200,0.742
28.7600,0.729
28.8000,0.734
28.8400,0.678
28.8800,0.737
28.9200,0.713
28.9600,0.740
29.0000,0.682
29.0400,0.760
29.0800,0.674
29.1200,0.704
29.1600,0.739
29.2000,0.710
29.2400,0.686
29.2800,0.735
29.3200,0.834
29.3600,1.109
29.4000,1.226
29.4400,1.072
29.4800,0.924
29.5200,0.784
29.5600,0.708
29.6000,0.701
29.6400,0.674
29.6800,0.705
29.7200,0.695
29.7600,0.647
29.8000,0.643
29.8400,0.687
29.8800,0.661
29.9200,0.704
29.9600,0.705
30.0000,0.689
30.0400,0.684
30.0800,0.689
30.1200,0.688
30.1600,0.706
30.2000,0.741
30.2400,0.785
30.2800,0.824
30.3200,0.879
30.3600,0.927
30.4000,1.026
30.4400,1.188
30.4800,1.205
30.5200,1.162
30.5600,1.082
30.6000,0.999
30.6400,0.963
30.6800,0.830
30.7200,0.786
30.7600,0.756
30.8000,0.793
30.8400,0.770
30.8800,0.726
30.9200,0.751
30.9600,0.790
31.0000,0.825
31.0400,0.903
31.0800,1.016
31.1200,0.974
31.1600,0.963
31.2000,0.880
31.2400,0.859
31.2800,0.776
31.3200,0.727
31.3600,0.697
31.4000,0.689
31.4400,0.689
31.4800,0.662
31.5200,0.678
31.5600,0.672
31.6000,0.650
31.6400,0.707
31.6800,0.710
31.7200,0.738
31.7600,0.877
31.8000,1.019
31.8400,1.037
31.8800,0.989
31.9200,0.866
31.9600,0.767
32.0000,0.655
32.0400,0.616
32.0800,0.648
32.1200,0.622
32.1600,0.611
32.2000,0.587
32.2400,0.599
32.2800,0.595
32.3200,0.632
32.3600,0.640
32.4000,0.617
32.4400,0.627
32.4800,0.632
32.5200,0.564
32.5600,0.580
32.6000,0.574
32.6400,0.595
32.6800,0.626
32.7200,0.573
32.7600,0.599
32.8000,0.550
32.8400,0.624
32.8800,0.567
32.9200,0.544
32.9600,0.580
33.0000,0.647
33.0400,0.583
33.0800,0.576
33.1200,0.594
33.1600,0.556
33.2000,0.581
33.2400,0.597
33.2800,0.594
33.3200,0.587
33.3600,0.577
33.4000,0.575
33.4400,0.604
33.4800,0.581
33.5200,0.580
33.5600,0.600
33.6000,0.586
33.6400,0.557
33.6800,0.586
33.7200,0.564
33.7600,0.579
33.8000,0.531
33.8400,0.600
33.8800,0.602
33.9200,0.592
33.9600,0.608
34.0000,0.586
34.0400,0.580
34.0800,0.594
34.1200,0.572
34.1600,0.590
34.2000,0.569
34.2400,0.621
34.2800,0.627
34.3200,0.675
34.3600,0.695
34.4000,0.813
34.4400,0.875
34.4800,1.051
34.5200,0.966
34.5600,0.955
34.6000,0.845
34.6400,0.795
34.6800,0.714
34.7200,0.684
34.7600,0.629
34.8000,0.617
34.8400,0.599
34.8800,0.599
34.9200,0.586
34.9600,0.599
35.0000,0.550
35.0400,0.580
35.0800,0.519
35.1200,0.541
35.1600,0.547
35.2000,0.552
35.2400,0.520
35.2800,0.537
35.3200,0.559
35.3600,0.539
35.4000,0.515
35.4400,0.533
35.4800,0.545
35.5200,0.561
35.5600,0.524
35.6000,0.557
35.6400,0.540
35.6800,0.534
35.7200,0.552
35.7600,0.513
35.8000,0.539
35.8400,0.553
35.8800,0.535
35.9200,0.532
35.9600,0.538
36.0000,0.560
36.0400,0.527
36.0800,0.506
36.1200,0.534
36.1600,0.535
36.2000,0.534
36.2400,0.527
36.2800,0.529
36.3200,0.513
36.3600,0.533
36.4000,0.560
36.4400,0.535
36.4800,0.535
36.5200,0.558
36.5600,0.532
36.6000,0.478
36.6400,0.524
36.6800,0.523
36.7200,0.531
36.7600,0.524
36.8000,0.542
36.8400,0.566
36.8800,0.546
36.9200,0.529
36.9600,0.578
37.0000,0.554
37.0400,0.538
37.0800,0.537
37.1200,0.562
37.1600,0.540
37.2000,0.563
37.2400,0.606
37.2800,0.546
37.3200,0.587
37.3600,0.569
37.4000,0.597
37.4400,0.627
37.4800,0.619
37.5200,0.657
37.5600,0.632
37.6000,0.689
37.6400,0.706
37.6800,0.742
37.7200,0.756
37.7600,0.784
37.8000,0.857
37.8400,0.854
37.8800,0.935
37.9200,1.031
37.9600,1.074
38.0000,1.264
38.0400,1.516
38.0800,1.831
38.1200,2.277
38.1600,3.070
38.2000,4.606
38.2400,7.004
38.2800,9.903
38.3200,12.961
38.3600,15.229
38.4000,15.527
38.4400,14.300
38.4800,11.819
38.5200,9.238
38.5600,6.693
38.6000,4.629
38.6400,3.264
38.6800,2.428
38.7200,1.861
38.7600,1.532
38.8000,1.342
38.8400,1.139
38.8800,1.058
38.9200,0.950
38.9600,0.880
39.0000,0.835
39.0400,0.839
39.0800,0.770
39.1200,0.779
39.1600,0.761
39.2000,0.757
39.2400,0.781
39.2800,0.783
39.3200,0.843
39.3600,0.892
39.4000,1.016
39.4400,1.429
39.4800,2.157
39.5200,3.042
39.5600,3.598
39.6000,3.796
39.6400,3.445
39.6800,2.855
39.7200,2.252
39.7600,1.606
39.8000,1.144
39.8400,0.911
39.8800,0.804
39.9200,0.791
39.9600,0.748
40.0000,0.777
40.0400,0.812
40.0800,0.955
40.1200,1.329
40.1600,1.910
40.2000,2.809
40.2400,3.505
40.2800,3.666
40.3200,3.258
40.3600,2.697
40.4000,2.020
40.4400,1.447
40.4800,1.020
40.5200,0.770
40.5600,0.671
40.6000,0.606
40.6400,0.542
40.6800,0.529
40.7200,0.531
40.7600,0.539
40.8000,0.510
40.8400,0.496
40.8800,0.486
40.9200,0.472
40.9600,0.438
41.0000,0.455
41.0400,0.489
41.0800,0.469
41.1200,0.482
41.1600,0.468
41.2000,0.440
41.2400,0.432
41.2800,0.438
41.3200,0.440
41.3600,0.476
41.4000,0.447
41.4400,0.426
41.4800,0.446
41.5200,0.450
41.5600,0.418
41.6000,0.425
41.6400,0.422
41.6800,0.415
41.7200,0.420
41.7600,0.403
41.8000,0.423
41.8400,0.465
41.8800,0.432
41.9200,0.450
41.9600,0.423
42.0000,0.442
42.0400,0.429
42.0800,0.439
42.1200,0.422
42.1600,0.420
42.2000,0.431
42.2400,0.435
42.2800,0.409
42.3200,0.428
42.3600,0.453
42.4000,0.420
42.4400,0.432
42.4800,0.453
42.5200,0.442
42.5600,0.441
42.6000,0.448
42.6400,0.416
42.6800,0.436
42.7200,0.443
42.7600,0.440
42.8000,0.454
42.8400,0.459
42.8800,0.461
42.9200,0.463
42.9600,0.483
43.0000,0.486
43.0400,0.482
43.0800,0.529
43.1200,0.559
43.1600,0.537
43.2000,0.618
43.2400,0.646
43.2800,0.739
43.3200,0.791
43.3600,0.940
43.4000,1.090
43.4400,1.353
43.4800,1.425
43.5200,1.589
43.5600,1.697
43.6000,1.688
43.6400,1.633
43.6800,1.623
43.7200,1.520
43.7600,1.447
43.8000,1.391
43.8400,1.261
43.8800,1.175
43.9200,1.107
43.9600,1.086
44.0000,1.046
44.0400,1.026
44.0800,0.973
44.1200,0.992
44.1600,1.051
44.2000,1.021
44.2400,1.060
44.2800,1.084
44.3200,1.234
44.3600,1.352
44.4000,1.563
44.4400,1.852
44.4800,2.182
44.5200,2.531
44.5600,2.746
44.6000,2.691
44.6400,2.590
44.6800,2.367
44.7200,1.999
44.7600,1.714
44.8000,1.434
44.8400,1.131
44.8800,1.036
44.9200,0.911
44.9600,0.809
45.0000,0.753
45.0400,0.739
45.0800,0.732
45.1200,0.690
45.1600,0.617
45.2000,0.593
45.2400,0.644
45.2800,0.587
45.3200,0.534
45.3600,0.537
45.4000,0.536
45.4400,0.502
45.4800,0.498
45.5200,0.515
45.5600,0.486
45.6000,0.493
45.6400,0.509
45.6800,0.501
45.7200,0.459
45.7600,0.473
45.8000,0.503
45.8400,0.472
45.8800,0.488
45.9200,0.494
45.9600,0.471
46.0000,0.454
46.0400,0.451
46.0800,0.507
46.1200,0.472
46.1600,0.495
46.2000,0.485
46.2400,0.517
46.2800,0.518
46.3200,0.499
46.3600,0.508
46.4000,0.515
46.4400,0.544
46.4800,0.564
46.5200,0.557
46.5600,0.584
46.6000,0.592
46.6400,0.607
46.6800,0.603
46.7200,0.640
46.7600,0.614
46.8000,0.613
46.8400,0.579
46.8800,0.610
46.9200,0.585
46.9600,0.562
47.0000,0.538
47.0400,0.524
47.0800,0.503
47.1200,0.466
47.1600,0.423
47.2000,0.407
47.2400,0.396
47.2800,0.369
47.3200,0.381
47.3600,0.339
47.4000,0.406
47.4400,0.361
47.4800,0.362
47.5200,0.364
47.5600,0.328
47.6000,0.338
47.6400,0.349
47.6800,0.355
47.7200,0.352
47.7600,0.371
47.8000,0.354
47.8400,0.367
47.8800,0.358
47.9200,0.350
47.9600,0.330
48.0000,0.319
48.0400,0.330
48.0800,0.332
48.1200,0.327
48.1600,0.320
48.2000,0.315
48.2400,0.294
48.2800,0.324
48.3200,0.312
48.3600,0.304
48.4000,0.289
48.4400,0.294
48.4800,0.294
48.5200,0.296
48.5600,0.314
48.6000,0.312
48.6400,0.302
48.6800,0.280
48.7200,0.291
48.7600,0.284
48.8000,0.284
48.8400,0.316
48.8800,0.297
48.9200,0.283
48.9600,0.269
49.0000,0.287
49.0400,0.283
49.0800,0.292
49.1200,0.300
49.1600,0.300
49.2000,0.283
49.2400,0.298
49.2800,0.272
49.3200,0.291
49.3600,0.307
49.4000,0.330
49.4400,0.307
49.4800,0.319
49.5200,0.334
49.5600,0.343
49.6000,0.374
49.6400,0.397
49.6800,0.448
49.7200,0.488
49.7600,0.490
49.8000,0.427
49.8400,0.432
49.8800,0.426
49.9200,0.380
49.9600,0.399
50.0000,0.376
50.0400,0.397
