theta,intensity
5.0000,2.366
5.0400,2.389
5.0800,2.515
5.1200,2.350
5.1600,2.500
5.2000,2.460
5.2400,2.485
5.2800,2.434
5.3200,2.438
5.3600,2.388
5.4000,2.380
5.4400,2.412
5.4800,2.426
5.5200,2.365
5.5600,2.349
5.6000,2.255
5.6400,2.208
5.6800,2.278
5.7200,2.361
5.7600,2.261
5.8000,2.269
5.8400,2.251
5.8800,2.233
5.9200,2.227
5.9600,2.196
6.0000,2.243
6.0400,2.144
6.0800,2.167
6.1200,2.166
6.1600,2.061
6.2000,2.107
6.2400,2.100
6.2800,2.046
6.3200,2.031
6.3600,1.976
6.4000,2.061
6.4400,1.998
6.4800,1.983
6.5200,1.926
6.5600,1.888
6.6000,1.936
6.6400,1.870
6.6800,1.824
6.7200,1.890
6.7600,1.843
6.8000,1.812
6.8400,1.787
6.8800,1.739
6.9200,1.728
6.9600,1.721
7.0000,1.690
7.0400,1.684
7.0800,1.689
7.1200,1.705
7.1600,1.583
7.2000,1.592
7.2400,1.633
7.2800,1.627
7.3200,1.581
7.3600,1.564
7.4000,1.651
7.4400,1.539
7.4800,1.528
7.5200,1.502
7.5600,1.550
7.6000,1.480
7.6400,1.514
7.6800,1.467
7.7200,1.492
7.7600,1.440
7.8000,1.488
7.8400,1.463
7.8800,1.435
7.9200,1.455
7.9600,1.474
8.0000,1.455
8.0400,1.458
8.0800,1.506
8.1200,1.495
8.1600,1.419
8.2000,1.459
8.2400,1.420
8.2800,1.400
8.3200,1.393
8.3600,1.416
8.4000,1.373
8.4400,1.429
8.4800,1.406
8.5200,1.437
8.5600,1.412
8.6000,1.432
8.6400,1.435
8.6800,1.380
8.7200,1.396
8.7600,1.383
8.8000,1.394
8.8400,1.419
8.8800,1.452
8.9200,1.400
8.9600,1.426
9.0000,1.385
9.0400,1.387
9.0800,1.384
9.1200,1.362
9.1600,1.420
9.2000,1.367
9.2400,1.403
9.2800,1.394
9.3200,1.448
9.3600,1.400
9.4000,1.374
9.4400,1.380
9.4800,1.371
9.5200,1.369
9.5600,1.391
9.6000,1.423
9.6400,1.391
9.6800,1.355
9.7200,1.367
9.7600,1.361
9.8000,1.338
9.8400,1.344
9.8800,1.377
9.9200,1.381
9.9600,1.344
10.0000,1.383
10.0400,1.369
10.0800,1.349
10.1200,1.374
10.1600,1.335
10.2000,1.311
10.2400,1.354
10.2800,1.354
10.3200,1.356
10.3600,1.314
10.4000,1.360
10.4400,1.397
10.4800,1.377
10.5200,1.310
10.5600,1.312
10.6000,1.315
10.6400,1.285
10.6800,1.352
10.7200,1.322
10.7600,1.294
10.8000,1.346
10.8400,1.351
10.8800,1.362
10.9200,1.362
10.9600,1.341
11.0000,1.375
11.0400,1.372
11.0800,1.354
11.1200,1.328
11.1600,1.312
11.2000,1.346
11.2400,1.315
11.2800,1.343
11.3200,1.354
11.3600,1.259
11.4000,1.323
11.4400,1.280
11.4800,1.286
11.5200,1.366
11.5600,1.256
11.6000,1.347
11.6400,1.331
11.6800,1.245
11.7200,1.345
11.7600,1.316
11.8000,1.286
11.8400,1.319
11.8800,1.336
11.9200,1.343
11.9600,1.371
12.0000,1.263
12.0400,1.254
12.0800,1.267
12.1200,1.322
12.1600,1.280
12.2000,1.267
12.2400,1.263
12.2800,1.296
12.3200,1.271
12.3600,1.280
12.4000,1.259
12.4400,1.267
12.4800,1.271
12.5200,1.211
12.5600,1.294
12.6000,1.223
12.6400,1.256
12.6800,1.236
12.7200,1.260
12.7600,1.289
12.8000,1.274
12.8400,1.191
12.8800,1.272
12.9200,1.277
12.9600,1.276
13.0000,1.279
13.0400,1.248
13.0800,1.232
13.1200,1.260
13.1600,1.251
13.2000,1.243
13.2400,1.256
13.2800,1.258
13.3200,1.216
13.3600,1.223
13.4000,1.262
13.4400,1.295
13.4800,1.242
13.5200,1.194
13.5600,1.241
13.6000,1.227
13.6400,1.258
13.6800,1.254
13.7200,1.267
13.7600,1.250
13.8000,1.260
13.8400,1.227
13.8800,1.215
13.9200,1.222
13.9600,1.172
14.0000,1.219
14.0400,1.246
14.0800,1.277
14.1200,1.244
14.1600,1.208
14.2000,1.229
14.2400,1.243
14.2800,1.217
14.3200,1.201
14.3600,1.214
14.4000,1.200
14.4400,1.210
14.4800,1.214
14.5200,1.183
14.5600,1.240
14.6000,1.192
14.6400,1.165
14.6800,1.218
14.7200,1.233
14.7600,1.184
14.8000,1.176
14.8400,1.165
14.8800,1.232
14.9200,1.189
14.9600,1.198
15.0000,1.196
15.0400,1.182
15.0800,1.157
15.1200,1.251
15.1600,1.230
15.2000,1.184
15.2400,1.203
15.2800,1.273
15.3200,1.172
15.3600,1.162
15.4000,1.244
15.4400,1.220
15.4800,1.176
15.5200,1.147
15.5600,1.209
15.6000,1.182
15.6400,1.121
15.6800,1.139
15.7200,1.188
15.7600,1.221
15.8000,1.193
15.8400,1.165
15.8800,1.214
15.9200,1.213
15.9600,1.152
16.0000,1.168
16.0400,1.158
16.0800,1.186
16.1200,1.141
16.1600,1.172
16.2000,1.182
16.2400,1.171
16.2800,1.177
16.3200,1.200
16.3600,1.141
16.4000,1.142
16.4400,1.175
16.4800,1.144
16.5200,1.171
16.5600,1.178
16.6000,1.120
16.6400,1.180
16.6800,1.161
16.7200,1.175
16.7600,1.161
16.8000,1.199
16.8400,1.103
16.8800,1.117
16.9200,1.121
16.9600,1.122
17.0000,1.150
17.0400,1.165
17.0800,1.120
17.1200,1.144
17.1600,1.140
17.2000,1.173
17.2400,1.228
17.2800,1.165
17.3200,1.123
17.3600,1.158
17.4000,1.165
17.4400,1.152
17.4800,1.117
17.5200,1.141
17.5600,1.143
17.6000,1.148
17.6400,1.105
17.6800,1.155
17.7200,1.139
17.7600,1.170
17.8000,1.140
17.8400,1.090
17.8800,1.139
17.9200,1.144
17.9600,1.154
18.0000,1.134
18.0400,1.089
18.0800,1.147
18.1200,1.154
18.1600,1.139
18.2000,1.111
18.2400,1.177
18.2800,1.135
18.3200,1.116
18.3600,1.137
18.4000,1.123
18.4400,1.094
18.4800,1.079
18.5200,1.097
18.5600,1.073
18.6000,1.147
18.6400,1.177
18.6800,1.126
18.7200,1.144
18.7600,1.095
18.8000,1.081
18.8400,1.133
18.8800,1.094
18.9200,1.122
18.9600,1.088
19.0000,1.092
19.0400,1.106
19.0800,1.085
19.1200,1.072
19.1600,1.081
19.2000,1.070
19.2400,1.149
19.2800,1.126
19.3200,1.084
19.3600,1.120
19.4000,1.110
19.4400,1.107
19.4800,1.084
19.5200,1.097
19.5600,1.123
19.6000,1.110
19.6400,1.059
19.6800,1.096
19.7200,1.077
19.7600,1.102
