theta,intensity
5.0000,2.691
5.0400,2.735
5.0800,2.722
5.1200,2.613
5.1600,2.707
5.2000,2.498
5.2400,2.417
5.2800,2.571
5.3200,2.572
5.3600,2.529
5.4000,2.484
5.4400,2.497
5.4800,2.468
5.5200,2.397
5.5600,2.392
5.6000,2.377
5.6400,2.369
5.6800,2.304
5.7200,2.380
5.7600,2.355
5.8000,2.288
5.8400,2.238
5.8800,2.334
5.9200,2.298
5.9600,2.311
6.0000,2.262
6.0400,2.177
6.0800,2.173
6.1200,2.171
6.1600,2.137
6.2000,2.120
6.2400,2.070
6.2800,2.086
6.3200,2.087
6.3600,2.040
6.4000,1.957
6.4400,1.972
6.4800,1.947
6.5200,1.926
6.5600,1.937
6.6000,1.872
6.6400,1.837
6.6800,1.816
6.7200,1.770
6.7600,1.772
6.8000,1.778
6.8400,1.690
6.8800,1.705
6.9200,1.646
6.9600,1.705
7.0000,1.684
7.0400,1.613
7.0800,1.590
7.1200,1.613
7.1600,1.580
7.2000,1.595
7.2400,1.523
7.2800,1.528
7.3200,1.520
7.3600,1.564
7.4000,1.493
7.4400,1.512
7.4800,1.502
7.5200,1.481
7.5600,1.490
7.6000,1.447
7.6400,1.540
7.6800,1.449
7.7200,1.447
7.7600,1.447
7.8000,1.455
7.8400,1.536
7.8800,1.447
7.9200,1.476
7.9600,1.420
8.0000,1.474
8.0400,1.520
8.0800,1.504
8.1200,1.447
8.1600,1.448
8.2000,1.430
8.2400,1.449
8.2800,1.404
8.3200,1.461
8.3600,1.454
8.4000,1.417
8.4400,1.465
8.4800,1.428
8.5200,1.450
8.5600,1.494
8.6000,1.478
8.6400,1.416
8.6800,1.394
8.7200,1.474
8.7600,1.438
8.8000,1.414
8.8400,1.457
8.8800,1.443
8.9200,1.420
8.9600,1.456
9.0000,1.384
9.0400,1.436
9.0800,1.380
9.1200,1.489
9.1600,1.518
9.2000,1.434
9.2400,1.427
9.2800,1.336
9.3200,1.429
9.3600,1.418
9.4000,1.376
9.4400,1.419
9.4800,1.443
9.5200,1.479
9.5600,1.423
9.6000,1.411
9.6400,1.409
9.6800,1.363
9.7200,1.387
9.7600,1.419
9.8000,1.384
9.8400,1.433
9.8800,1.377
9.9200,1.429
9.9600,1.364
10.0000,1.409
10.0400,1.389
10.0800,1.361
10.1200,1.390
10.1600,1.388
10.2000,1.413
10.2400,1.346
10.2800,1.381
10.3200,1.301
10.3600,1.415
10.4000,1.397
10.4400,1.310
10.4800,1.379
10.5200,1.312
10.5600,1.355
10.6000,1.350
10.6400,1.384
10.6800,1.392
10.7200,1.399
10.7600,1.328
10.8000,1.343
10.8400,1.385
10.8800,1.396
10.9200,1.330
10.9600,1.337
11.0000,1.362
11.0400,1.333
11.0800,1.368
11.1200,1.384
11.1600,1.365
11.2000,1.398
11.2400,1.329
11.2800,1.352
11.3200,1.325
11.3600,1.332
11.4000,1.355
11.4400,1.323
11.4800,1.283
11.5200,1.354
11.5600,1.365
11.6000,1.369
11.6400,1.348
11.6800,1.354
11.7200,1.339
11.7600,1.307
11.8000,1.344
11.8400,1.354
11.8800,1.370
11.9200,1.355
11.9600,1.335
12.0000,1.340
12.0400,1.316
12.0800,1.380
12.1200,1.362
12.1600,1.377
12.2000,1.384
12.2400,1.321
12.2800,1.348
12.3200,1.332
12.3600,1.322
12.4000,1.376
12.4400,1.331
12.4800,1.329
12.5200,1.318
12.5600,1.315
12.6000,1.348
12.6400,1.316
12.6800,1.294
12.7200,1.286
12.7600,1.371
12.8000,1.301
12.8400,1.273
12.8800,1.325
12.9200,1.319
12.9600,1.358
13.0000,1.315
13.0400,1.305
13.0800,1.340
13.1200,1.255
13.1600,1.317
13.2000,1.349
13.2400,1.318
13.2800,1.261
13.3200,1.319
13.3600,1.298
13.4000,1.322
13.4400,1.280
13.4800,1.252
13.5200,1.304
13.5600,1.311
13.6000,1.296
13.6400,1.325
13.6800,1.335
13.7200,1.306
13.7600,1.276
13.8000,1.280
13.8400,1.318
13.8800,1.291
13.9200,1.293
13.9600,1.233
14.0000,1.292
14.0400,1.213
14.0800,1.224
14.1200,1.310
14.1600,1.318
14.2000,1.280
14.2400,1.297
14.2800,1.303
14.3200,1.273
14.3600,1.303
14.4000,1.262
14.4400,1.302
14.4800,1.271
14.5200,1.319
14.5600,1.249
14.6000,1.278
14.6400,1.267
14.6800,1.281
14.7200,1.260
14.7600,1.304
14.8000,1.279
14.8400,1.273
14.8800,1.290
14.9200,1.306
14.9600,1.292
15.0000,1.298
15.0400,1.249
15.0800,1.285
15.1200,1.297
15.1600,1.260
15.2000,1.245
15.2400,1.316
15.2800,1.305
15.3200,1.241
15.3600,1.302
15.4000,1.250
15.4400,1.283
15.4800,1.266
15.5200,1.250
15.5600,1.253
15.6000,1.247
15.6400,1.318
15.6800,1.222
15.7200,1.235
15.7600,1.247
15.8000,1.261
15.8400,1.248
15.8800,1.250
15.9200,1.282
15.9600,1.261
16.0000,1.203
16.0400,1.249
16.0800,1.243
16.1200,1.240
16.1600,1.214
16.2000,1.245
16.2400,1.235
16.2800,1.217
16.3200,1.305
16.3600,1.283
16.4000,1.259
16.4400,1.239
16.4800,1.250
16.5200,1.205
16.5600,1.248
16.6000,1.220
16.6400,1.230
16.6800,1.282
16.7200,1.242
16.7600,1.276
16.8000,1.236
16.8400,1.278
16.8800,1.293
16.9200,1.214
16.9600,1.316
17.0000,1.286
17.0400,1.171
17.0800,1.231
17.1200,1.190
17.1600,1.245
17.2000,1.238
17.2400,1.244
17.2800,1.219
17.3200,1.276
17.3600,1.230
17.4000,1.231
17.4400,1.268
17.4800,1.224
17.5200,1.210
17.5600,1.243
17.6000,1.215
17.6400,1.239
17.6800,1.233
17.7200,1.215
17.7600,1.220
17.8000,1.295
17.8400,1.245
17.8800,1.197
17.9200,1.204
17.9600,1.256
18.0000,1.291
18.0400,1.230
18.0800,1.247
18.1200,1.201
18.1600,1.234
18.2000,1.167
18.2400,1.244
18.2800,1.234
18.3200,1.228
18.3600,1.236
18.4000,1.228
18.4400,1.213
18.4800,1.246
18.5200,1.224
18.5600,1.236
18.6000,1.217
18.6400,1.204
18.6800,1.224
18.7200,1.268
18.7600,1.270
18.8000,1.240
18.8400,1.232
18.8800,1.226
18.9200,1.224
18.9600,1.208
19.0000,1.280
19.0400,1.251
19.0800,1.243
19.1200,1.171
19.1600,1.283
19.2000,1.266
19.2400,1.257
19.2800,1.257
19.3200,1.230
19.3600,1.185
19.4000,1.232
19.4400,1.243
19.4800,1.190
19.5200,1.202
19.5600,1.246
19.6000,1.248
19.6400,1.186
19.6800,1.190
19.7200,1.255
19.7600,1.240
19.8000,1.214
19.8400,1.197
19.8800,1.215
19.9200,1.188
19.9600,1.201
20.0000,1.179
20.0400,1.201
20.0800,1.200
20.1200,1.236
20.1600,1.292
20.2000,1.218
20.2400,1.227
20.2800,1.235
20.3200,1.216
20.3600,1.233
20.4000,1.245
20.4400,1.268
20.4800,1.248
20.5200,1.287
20.5600,1.225
20.6000,1.169
20.6400,1.209
20.6800,1.260
20.7200,1.188
20.7600,1.199
20.8000,1.225
20.8400,1.222
20.8800,1.225
20.9200,1.211
20.9600,1.190
21.0000,1.195
21.0400,1.184
21.0800,1.135
21.1200,1.170
21.1600,1.178
21.2000,1.202
21.2400,1.194
21.2800,1.199
21.3200,1.176
21.3600,1.164
21.4000,1.140
21.4400,1.253
21.4800,1.197
21.5200,1.176
21.5600,1.197
21.6000,1.179
21.6400,1.197
21.6800,1.204
21.7200,1.141
21.7600,1.151
21.8000,1.168
21.8400,1.135
21.8800,1.164
21.9200,1.195
21.9600,1.147
22.0000,1.136
22.0400,1.141
22.0800,1.163
22.1200,1.181
22.1600,1.201
22.2000,1.192
22.2400,1.132
22.2800,1.149
22.3200,1.125
22.3600,1.170
22.4000,1.171
22.4400,1.167
22.4800,1.093
22.5200,1.144
22.5600,1.156
22.6000,1.140
22.6400,1.157
22.6800,1.125
22.7200,1.096
22.7600,1.111
22.8000,1.111
22.8400,1.103
22.8800,1.106
22.9200,1.120
22.9600,1.112
23.0000,1.135
23.0400,1.113
23.0800,1.121
23.1200,1.110
23.1600,1.129
23.2000,1.109
23.2400,1.070
23.2800,1.103
23.3200,1.126
23.3600,1.128
23.4000,1.083
23.4400,1.102
23.4800,1.043
23.5200,1.093
23.5600,1.127
23.6000,1.082
23.6400,1.088
23.6800,1.054
23.7200,1.049
23.7600,1.081
23.8000,1.096
23.8400,1.056
23.8800,1.067
23.9200,1.086
23.9600,1.031
24.0000,1.068
24.0400,1.048
24.0800,1.045
24.1200,1.147
24.1600,1.049
24.2000,1.043
24.2400,1.013
24.2800,1.109
24.3200,1.034
24.3600,1.022
24.4000,0.971
24.4400,1.012
24.4800,1.078
24.5200,1.077
24.5600,0.995
24.6000,1.005
24.6400,1.025
24.6800,0.986
24.7200,0.967
24.7600,1.001
24.8000,1.038
24.8400,1.075
24.8800,0.991
24.9200,1.037
24.9600,1.040
25.0000,1.010
25.0400,0.963
25.0800,0.950
25.1200,0.998
25.1600,1.033
25.2000,1.025
25.2400,1.013
25.2800,1.007
25.3200,1.018
25.3600,0.977
25.4000,0.962
25.4400,0.990
25.4800,0.989
25.5200,0.940
25.5600,0.977
25.6000,0.978
25.6400,0.981
25.6800,0.952
25.7200,0.974
25.7600,0.944
25.8000,0.948
25.8400,0.958
25.8800,0.985
25.9200,0.932
25.9600,0.913
26.0000,0.951
26.0400,0.971
26.0800,0.921
26.1200,0.939
26.1600,0.942
26.2000,0.881
26.2400,0.904
26.2800,0.932
26.3200,0.892
26.3600,0.884
26.4000,0.941
26.4400,0.926
26.4800,0.894
26.5200,0.886
26.5600,0.902
26.6000,0.843
26.6400,0.840
26.6800,0.827
26.7200,0.892
26.7600,0.854
26.8000,0.891
26.8400,0.859
26.8800,0.870
26.9200,0.856
26.9600,0.843
27.0000,0.854
27.0400,0.786
27.0800,0.899
27.1200,0.878
27.1600,0.859
27.2000,0.857
27.2400,0.817
27.2800,0.838
27.3200,0.842
27.3600,0.812
27.4000,0.854
27.4400,0.819
27.4800,0.853
27.5200,0.851
27.5600,0.836
27.6000,0.823
27.6400,0.769
27.6800,0.815
27.7200,0.762
27.7600,0.845
27.8000,0.810
27.8400,0.815
27.8800,0.779
27.9200,0.774
27.9600,0.775
28.0000,0.812
28.0400,0.766
28.0800,0.754
28.1200,0.753
28.1600,0.775
28.2000,0.783
28.2400,0.765
28.2800,0.769
28.3200,0.774
28.3600,0.793
28.4000,0.831
28.4400,0.754
28.4800,0.747
28.5200,0.722
28.5600,0.748
28.6000,0.765
28.6400,0.737
28.6800,0.750
28.7200,0.673
28.7600,0.735
28.8000,0.747
28.8400,0.739
28.8800,0.711
28.9200,0.744
28.9600,0.723
29.0000,0.775
29.0400,0.731
29.0800,0.708
29.1200,0.730
29.1600,0.720
29.2000,0.764
29.2400,0.709
29.2800,0.731
29.3200,0.694
29.3600,0.711
29.4000,0.727
29.4400,0.732
29.4800,0.709
29.5200,0.720
29.5600,0.720
29.6000,0.670
29.6400,0.702
29.6800,0.697
29.7200,0.675
29.7600,0.697
29.8000,0.663
29.8400,0.695
29.8800,0.733
29.9200,0.669
29.9600,0.684
30.0000,0.685
30.0400,0.706
30.0800,0.705
30.1200,0.704
30.1600,0.711
30.2000,0.652
30.2400,0.709
30.2800,0.668
30.3200,0.660
30.3600,0.672
30.4000,0.675
30.4400,0.656
30.4800,0.700
30.5200,0.649
30.5600,0.650
30.6000,0.683
30.6400,0.651
30.6800,0.630
30.7200,0.638
30.7600,0.637
30.8000,0.636
30.8400,0.689
30.8800,0.681
30.9200,0.638
30.9600,0.641
31.0000,0.674
31.0400,0.655
31.0800,0.659
31.1200,0.624
31.1600,0.644
31.2000,0.634
31.2400,0.666
31.2800,0.660
31.3200,0.649
31.3600,0.663
31.4000,0.622
31.4400,0.664
31.4800,0.626
31.5200,0.599
31.5600,0.602
31.6000,0.602
31.6400,0.616
31.6800,0.627
31.7200,0.642
31.7600,0.634
31.8000,0.634
31.8400,0.652
31.8800,0.630
31.9200,0.641
31.9600,0.626
32.0000,0.646
32.0400,0.619
32.0800,0.611
32.1200,0.602
32.1600,0.637
32.2000,0.608
32.2400,0.613
32.2800,0.592
32.3200,0.641
32.3600,0.619
32.4000,0.614
32.4400,0.591
32.4800,0.607
32.5200,0.609
32.5600,0.584
32.6000,0.632
32.6400,0.603
32.6800,0.635
32.7200,0.627
32.7600,0.585
32.8000,0.606
32.8400,0.609
32.8800,0.600
32.9200,0.562
32.9600,0.580
33.0000,0.564
33.0400,0.599
33.0800,0.566
33.1200,0.574
33.1600,0.580
33.2000,0.582
33.2400,0.567
33.2800,0.578
33.3200,0.598
33.3600,0.549
33.4000,0.559
33.4400,0.575
33.4800,0.602
33.5200,0.568
33.5600,0.570
33.6000,0.570
33.6400,0.554
33.6800,0.577
33.7200,0.554
33.7600,0.589
33.8000,0.586
33.8400,0.552
33.8800,0.588
33.9200,0.613
33.9600,0.551
34.0000,0.563
34.0400,0.545
34.0800,0.528
34.1200,0.606
34.1600,0.560
34.2000,0.522
34.2400,0.562
34.2800,0.586
34.3200,0.549
34.3600,0.540
34.4000,0.549
34.4400,0.566
34.4800,0.517
34.5200,0.541
34.5600,0.536
34.6000,0.565
34.6400,0.555
34.6800,0.561
34.7200,0.578
34.7600,0.522
34.8000,0.542
34.8400,0.543
34.8800,0.599
34.9200,0.557
34.9600,0.521
35.0000,0.533
35.0400,0.554
35.0800,0.554
35.1200,0.548
35.1600,0.559
35.2000,0.556
35.2400,0.508
35.2800,0.545
35.3200,0.548
35.3600,0.538
35.4000,0.526
35.4400,0.574
35.4800,0.542
35.5200,0.545
35.5600,0.554
35.6000,0.531
35.6400,0.512
35.6800,0.571
35.7200,0.514
35.7600,0.543
35.8000,0.553
35.8400,0.539
35.8800,0.560
35.9200,0.566
35.9600,0.536
36.0000,0.564
36.0400,0.522
36.0800,0.501
36.1200,0.532
36.1600,0.525
36.2000,0.508
36.2400,0.547
36.2800,0.568
36.3200,0.523
36.3600,0.531
36.4000,0.537
36.4400,0.544
36.4800,0.521
36.5200,0.542
36.5600,0.554
36.6000,0.506
36.6400,0.544
36.6800,0.517
36.7200,0.535
36.7600,0.567
36.8000,0.561
36.8400,0.536
36.8800,0.549
36.9200,0.576
36.9600,0.544
37.0000,0.556
37.0400,0.624
37.0800,0.554
37.1200,0.580
37.1600,0.569
37.2000,0.617
37.2400,0.591
37.2800,0.637
37.3200,0.610
37.3600,0.642
37.4000,0.671
37.4400,0.637
37.4800,0.676
37.5200,0.768
37.5600,0.824
37.6000,0.868
37.6400,0.984
37.6800,1.120
37.7200,1.322
37.7600,1.679
37.8000,2.170
37.8400,3.030
37.8800,4.059
37.9200,5.316
37.9600,6.659
38.0000,7.429
38.0400,7.232
38.0800,6.642
38.1200,5.557
38.1600,4.468
38.2000,3.252
38.2400,2.446
38.2800,1.914
38.3200,1.555
38.3600,1.313
38.4000,1.081
38.4400,0.998
38.4800,0.886
38.5200,0.816
38.5600,0.785
38.6000,0.750
38.6400,0.672
38.6800,0.648
38.7200,0.677
38.7600,0.632
38.8000,0.617
38.8400,0.601
38.8800,0.577
38.9200,0.576
38.9600,0.581
39.0000,0.615
39.0400,0.552
39.0800,0.550
39.1200,0.549
39.1600,0.541
39.2000,0.494
39.2400,0.501
39.2800,0.510
39.3200,0.495
39.3600,0.516
39.4000,0.482
39.4400,0.478
39.4800,0.489
39.5200,0.475
39.5600,0.515
39.6000,0.499
39.6400,0.505
39.6800,0.485
39.7200,0.466
39.7600,0.433
39.8000,0.447
39.8400,0.484
39.8800,0.443
39.9200,0.469
39.9600,0.425
40.0000,0.496
40.0400,0.477
40.0800,0.477
40.1200,0.469
40.1600,0.460
40.2000,0.485
40.2400,0.474
40.2800,0.501
40.3200,0.453
40.3600,0.462
40.4000,0.470
40.4400,0.449
40.4800,0.438
40.5200,0.437
40.5600,0.443
40.6000,0.439
40.6400,0.446
40.6800,0.419
40.7200,0.456
40.7600,0.454
40.8000,0.401
40.8400,0.433
40.8800,0.420
40.9200,0.422
40.9600,0.450
41.0000,0.430
41.0400,0.468
41.0800,0.421
41.1200,0.416
41.1600,0.442
41.2000,0.453
41.2400,0.428
41.2800,0.412
41.3200,0.419
41.3600,0.470
41.4000,0.441
41.4400,0.403
41.4800,0.420
41.5200,0.436
41.5600,0.423
41.6000,0.467
41.6400,0.428
41.6800,0.414
41.7200,0.433
41.7600,0.405
41.8000,0.426
41.8400,0.436
41.8800,0.436
41.9200,0.418
41.9600,0.414
42.0000,0.473
42.0400,0.408
42.0800,0.436
42.1200,0.426
42.1600,0.417
42.2000,0.426
42.2400,0.420
42.2800,0.410
42.3200,0.454
42.3600,0.429
42.4000,0.457
42.4400,0.396
42.4800,0.424
42.5200,0.446
42.5600,0.401
42.6000,0.415
42.6400,0.420
42.6800,0.420
42.7200,0.433
42.7600,0.427
42.8000,0.472
42.8400,0.412
42.8800,0.456
42.9200,0.459
42.9600,0.448
43.0000,0.442
43.0400,0.427
43.0800,0.441
43.1200,0.476
43.1600,0.457
43.2000,0.459
43.2400,0.441
43.2800,0.479
43.3200,0.475
43.3600,0.515
43.4000,0.491
43.4400,0.512
43.4800,0.536
43.5200,0.539
43.5600,0.524
43.6000,0.588
43.6400,0.596
43.6800,0.635
43.7200,0.699
43.7600,0.740
43.8000,0.790
43.8400,0.915
43.8800,1.011
43.9200,1.143
43.9600,1.291
44.0000,1.594
44.0400,1.832
44.0800,2.258
44.1200,2.385
44.1600,2.543
44.2000,2.500
44.2400,2.403
44.2800,2.194
44.3200,1.877
44.3600,1.574
44.4000,1.339
44.4400,1.176
44.4800,0.954
44.5200,0.873
44.5600,0.784
44.6000,0.708
44.6400,0.612
44.6800,0.609
44.7200,0.577
44.7600,0.528
44.8000,0.479
44.8400,0.491
44.8800,0.499
44.9200,0.498
44.9600,0.475
45.0000,0.492
45.0400,0.448
45.0800,0.427
45.1200,0.443
45.1600,0.383
45.2000,0.399
45.2400,0.405
45.2800,0.391
45.3200,0.397
45.3600,0.407
45.4000,0.412
45.4400,0.401
45.4800,0.365
