theta,intensity
5.0000,2.875
5.0400,2.858
5.0800,2.946
5.1200,2.740
5.1600,2.774
5.2000,2.716
5.2400,2.868
5.2800,2.627
5.3200,2.599
5.3600,2.674
5.4000,2.691
5.4400,2.570
5.4800,2.636
5.5200,2.666
5.5600,2.623
5.6000,2.608
5.6400,2.599
5.6800,2.530
5.7200,2.491
5.7600,2.519
5.8000,2.472
5.8400,2.489
5.8800,2.408
5.9200,2.434
5.9600,2.356
6.0000,2.398
6.0400,2.341
6.0800,2.392
6.1200,2.375
6.1600,2.365
6.2000,2.378
6.2400,2.335
6.2800,2.242
6.3200,2.270
6.3600,2.223
6.4000,2.190
6.4400,2.248
6.4800,2.184
6.5200,2.112
6.5600,2.150
6.6000,2.061
6.6400,2.040
6.6800,2.002
6.7200,1.941
6.7600,2.027
6.8000,1.884
6.8400,1.902
6.8800,1.879
6.9200,1.854
6.9600,1.876
7.0000,1.849
7.0400,1.731
7.0800,1.773
7.1200,1.786
7.1600,1.713
7.2000,1.762
7.2400,1.669
7.2800,1.672
7.3200,1.696
7.3600,1.693
7.4000,1.597
7.4400,1.596
7.4800,1.596
7.5200,1.569
7.5600,1.613
7.6000,1.635
7.6400,1.595
7.6800,1.612
7.7200,1.575
7.7600,1.568
7.8000,1.566
7.8400,1.501
7.8800,1.505
7.9200,1.546
7.9600,1.562
8.0000,1.505
8.0400,1.536
8.0800,1.491
8.1200,1.506
8.1600,1.468
8.2000,1.505
8.2400,1.474
8.2800,1.460
8.3200,1.441
8.3600,1.495
8.4000,1.423
8.4400,1.446
8.4800,1.443
8.5200,1.457
8.5600,1.420
8.6000,1.520
8.6400,1.490
8.6800,1.478
8.7200,1.437
8.7600,1.452
8.8000,1.431
8.8400,1.471
8.8800,1.432
8.9200,1.478
8.9600,1.476
9.0000,1.453
9.0400,1.405
9.0800,1.394
9.1200,1.456
9.1600,1.484
9.2000,1.481
9.2400,1.388
9.2800,1.412
9.3200,1.415
9.3600,1.477
9.4000,1.457
9.4400,1.414
9.4800,1.336
9.5200,1.370
9.5600,1.405
9.6000,1.424
9.6400,1.455
9.6800,1.434
9.7200,1.372
9.7600,1.421
9.8000,1.382
9.8400,1.466
9.8800,1.422
9.9200,1.361
9.9600,1.374
10.0000,1.433
10.0400,1.466
10.0800,1.444
10.1200,1.399
10.1600,1.355
10.2000,1.351
10.2400,1.368
10.2800,1.425
10.3200,1.402
10.3600,1.338
10.4000,1.379
10.4400,1.358
10.4800,1.347
10.5200,1.316
10.5600,1.371
10.6000,1.373
10.6400,1.378
10.6800,1.361
10.7200,1.422
10.7600,1.393
10.8000,1.422
10.8400,1.421
10.8800,1.394
10.9200,1.369
10.9600,1.322
11.0000,1.338
11.0400,1.412
11.0800,1.315
11.1200,1.388
11.1600,1.408
11.2000,1.400
11.2400,1.400
11.2800,1.368
11.3200,1.346
11.3600,1.357
11.4000,1.386
11.4400,1.312
11.4800,1.396
11.5200,1.374
11.5600,1.307
11.6000,1.324
11.6400,1.377
11.6800,1.312
11.7200,1.316
11.7600,1.362
11.8000,1.285
11.8400,1.336
11.8800,1.391
11.9200,1.360
11.9600,1.338
12.0000,1.375
12.0400,1.326
12.0800,1.306
12.1200,1.332
12.1600,1.365
12.2000,1.398
12.2400,1.362
12.2800,1.351
12.3200,1.271
12.3600,1.313
12.4000,1.326
12.4400,1.277
12.4800,1.251
12.5200,1.343
12.5600,1.313
12.6000,1.348
12.6400,1.292
12.6800,1.265
12.7200,1.313
12.7600,1.305
12.8000,1.313
12.8400,1.253
12.8800,1.236
12.9200,1.310
12.9600,1.303
13.0000,1.298
13.0400,1.335
13.0800,1.265
13.1200,1.344
13.1600,1.272
13.2000,1.277
13.2400,1.293
13.2800,1.274
13.3200,1.280
13.3600,1.294
13.4000,1.344
13.4400,1.280
13.4800,1.274
13.5200,1.258
13.5600,1.289
13.6000,1.298
13.6400,1.222
13.6800,1.292
13.7200,1.260
13.7600,1.349
13.8000,1.310
13.8400,1.277
13.8800,1.246
13.9200,1.285
13.9600,1.241
14.0000,1.311
14.0400,1.280
