theta,intensity
5.0000,2.969
5.0400,2.656
5.0800,2.567
5.1200,2.706
5.1600,2.747
5.2000,2.673
5.2400,2.621
5.2800,2.700
5.3200,2.545
5.3600,2.541
5.4000,2.512
5.4400,2.508
5.4800,2.610
5.5200,2.529
5.5600,2.412
5.6000,2.495
5.6400,2.469
5.6800,2.459
5.7200,2.488
5.7600,2.380
5.8000,2.406
5.8400,2.424
5.8800,2.380
5.9200,2.336
5.9600,2.295
6.0000,2.293
6.0400,2.221
6.0800,2.294
6.1200,2.244
6.1600,2.152
6.2000,2.097
6.2400,2.220
6.2800,2.186
6.3200,2.148
6.3600,2.057
6.4000,2.061
6.4400,2.081
6.4800,2.017
6.5200,1.952
6.5600,1.970
6.6000,1.967
6.6400,1.914
6.6800,1.865
6.7200,1.847
6.7600,1.799
6.8000,1.879
6.8400,1.796
6.8800,1.779
6.9200,1.785
6.9600,1.692
7.0000,1.722
7.0400,1.686
7.0800,1.715
7.1200,1.672
7.1600,1.675
7.2000,1.685
7.2400,1.610
7.2800,1.572
7.3200,1.606
7.3600,1.624
7.4000,1.580
7.4400,1.576
7.4800,1.578
7.5200,1.496
7.5600,1.492
7.6000,1.530
7.6400,1.513
7.6800,1.472
7.7200,1.530
7.7600,1.475
7.8000,1.432
7.8400,1.506
7.8800,1.495
7.9200,1.476
7.9600,1.483
8.0000,1.478
8.0400,1.527
8.0800,1.495
8.1200,1.483
8.1600,1.457
8.2000,1.490
8.2400,1.461
8.2800,1.429
8.3200,1.469
8.3600,1.494
8.4000,1.423
8.4400,1.481
8.4800,1.438
8.5200,1.423
8.5600,1.436
8.6000,1.459
8.6400,1.441
8.6800,1.427
8.7200,1.423
8.7600,1.459
8.8000,1.449
8.8400,1.391
8.8800,1.458
8.9200,1.486
8.9600,1.489
9.0000,1.463
9.0400,1.424
9.0800,1.494
9.1200,1.437
9.1600,1.393
9.2000,1.425
9.2400,1.449
9.2800,1.416
9.3200,1.398
9.3600,1.402
9.4000,1.404
9.4400,1.440
9.4800,1.464
9.5200,1.435
9.5600,1.484
9.6000,1.438
9.6400,1.455
9.6800,1.340
9.7200,1.412
9.7600,1.382
9.8000,1.365
9.8400,1.494
9.8800,1.418
9.9200,1.390
9.9600,1.366
10.0000,1.401
10.0400,1.417
10.0800,1.411
10.1200,1.400
10.1600,1.379
10.2000,1.358
10.2400,1.403
10.2800,1.385
10.3200,1.374
10.3600,1.382
10.4000,1.333
10.4400,1.365
10.4800,1.353
10.5200,1.374
10.5600,1.385
10.6000,1.399
10.6400,1.360
10.6800,1.318
10.7200,1.405
10.7600,1.319
10.8000,1.409
10.8400,1.408
10.8800,1.399
10.9200,1.321
10.9600,1.336
11.0000,1.318
11.0400,1.364
11.0800,1.323
11.1200,1.339
11.1600,1.383
11.2000,1.373
11.2400,1.308
11.2800,1.329
11.3200,1.374
11.3600,1.372
11.4000,1.305
11.4400,1.314
11.4800,1.341
11.5200,1.354
11.5600,1.375
11.6000,1.311
11.6400,1.359
11.6800,1.336
11.7200,1.313
11.7600,1.283
11.8000,1.306
11.8400,1.307
11.8800,1.348
11.9200,1.283
11.9600,1.320
12.0000,1.338
12.0400,1.363
12.0800,1.320
12.1200,1.354
12.1600,1.366
12.2000,1.336
12.2400,1.355
12.2800,1.432
12.3200,1.310
12.3600,1.311
12.4000,1.364
12.4400,1.264
12.4800,1.303
12.5200,1.323
12.5600,1.342
12.6000,1.307
12.6400,1.288
12.6800,1.283
12.7200,1.319
12.7600,1.303
12.8000,1.327
12.8400,1.307
12.8800,1.294
12.9200,1.311
12.9600,1.303
13.0000,1.299
13.0400,1.327
13.0800,1.278
13.1200,1.295
13.1600,1.296
13.2000,1.301
13.2400,1.248
13.2800,1.298
13.3200,1.320
13.3600,1.360
13.4000,1.297
13.4400,1.255
13.4800,1.294
13.5200,1.306
13.5600,1.298
13.6000,1.277
13.6400,1.267
13.6800,1.341
13.7200,1.305
13.7600,1.246
13.8000,1.234
13.8400,1.287
13.8800,1.329
13.9200,1.307
13.9600,1.334
14.0000,1.270
14.0400,1.306
14.0800,1.277
14.1200,1.248
14.1600,1.232
14.2000,1.329
14.2400,1.289
14.2800,1.264
14.3200,1.266
14.3600,1.288
14.4000,1.284
14.4400,1.268
14.4800,1.238
14.5200,1.290
14.5600,1.221
14.6000,1.321
14.6400,1.276
14.6800,1.266
14.7200,1.268
14.7600,1.245
14.8000,1.250
14.8400,1.242
14.8800,1.279
14.9200,1.274
14.9600,1.243
15.0000,1.275
15.0400,1.272
15.0800,1.287
15.1200,1.276
15.1600,1.315
15.2000,1.277
15.2400,1.233
15.2800,1.272
15.3200,1.222
15.3600,1.279
15.4000,1.268
15.4400,1.260
15.4800,1.295
15.5200,1.305
15.5600,1.243
15.6000,1.269
15.6400,1.268
15.6800,1.298
15.7200,1.338
15.7600,1.301
15.8000,1.243
15.8400,1.308
15.8800,1.289
15.9200,1.281
15.9600,1.333
16.0000,1.265
16.0400,1.274
16.0800,1.253
16.1200,1.287
16.1600,1.251
16.2000,1.273
16.2400,1.299
16.2800,1.271
16.3200,1.235
16.3600,1.321
16.4000,1.326
16.4400,1.269
16.4800,1.302
16.5200,1.249
16.5600,1.266
16.6000,1.281
16.6400,1.296
16.6800,1.238
16.7200,1.211
16.7600,1.260
16.8000,1.250
16.8400,1.215
16.8800,1.323
16.9200,1.256
16.9600,1.286
17.0000,1.230
17.0400,1.300
17.0800,1.282
17.1200,1.251
17.1600,1.235
17.2000,1.227
17.2400,1.242
17.2800,1.203
17.3200,1.236
17.3600,1.267
17.4000,1.250
17.4400,1.176
17.4800,1.228
17.5200,1.245
17.5600,1.199
17.6000,1.243
17.6400,1.194
17.6800,1.216
17.7200,1.214
17.7600,1.258
17.8000,1.257
17.8400,1.222
17.8800,1.237
17.9200,1.204
17.9600,1.185
18.0000,1.213
18.0400,1.266
18.0800,1.235
18.1200,1.252
18.1600,1.210
18.2000,1.289
18.2400,1.224
18.2800,1.249
18.3200,1.188
18.3600,1.212
18.4000,1.171
18.4400,1.218
18.4800,1.208
18.5200,1.213
18.5600,1.206
18.6000,1.238
18.6400,1.213
18.6800,1.250
18.7200,1.272
18.7600,1.164
18.8000,1.254
18.8400,1.182
18.8800,1.184
18.9200,1.198
18.9600,1.211
19.0000,1.229
19.0400,1.182
19.0800,1.235
19.1200,1.157
19.1600,1.194
19.2000,1.176
19.2400,1.221
19.2800,1.210
19.3200,1.177
19.3600,1.158
19.4000,1.139
19.4400,1.194
19.4800,1.188
19.5200,1.221
19.5600,1.213
19.6000,1.224
19.6400,1.222
19.6800,1.161
19.7200,1.195
19.7600,1.226
19.8000,1.210
19.8400,1.178
19.8800,1.184
19.9200,1.139
19.9600,1.160
20.0000,1.185
20.0400,1.178
20.0800,1.234
20.1200,1.223
20.1600,1.216
20.2000,1.169
20.2400,1.180
20.2800,1.229
20.3200,1.190
20.3600,1.150
20.4000,1.169
20.4400,1.197
20.4800,1.239
20.5200,1.209
20.5600,1.216
20.6000,1.176
20.6400,1.216
20.6800,1.180
20.7200,1.196
20.7600,1.213
20.8000,1.153
20.8400,1.166
20.8800,1.168
20.9200,1.140
20.9600,1.261
21.0000,1.134
21.0400,1.168
21.0800,1.104
21.1200,1.213
21.1600,1.200
21.2000,1.166
21.2400,1.160
21.2800,1.204
21.3200,1.154
21.3600,1.221
21.4000,1.170
21.4400,1.148
21.4800,1.151
21.5200,1.174
21.5600,1.153
21.6000,1.181
21.6400,1.119
21.6800,1.179
21.7200,1.187
21.7600,1.137
21.8000,1.145
21.8400,1.184
21.8800,1.139
21.9200,1.115
21.9600,1.155
22.0000,1.163
22.0400,1.105
22.0800,1.115
22.1200,1.105
22.1600,1.135
22.2000,1.155
22.2400,1.175
22.2800,1.124
22.3200,1.142
22.3600,1.151
22.4000,1.116
22.4400,1.103
22.4800,1.086
22.5200,1.118
22.5600,1.164
22.6000,1.152
22.6400,1.119
22.6800,1.142
22.7200,1.148
22.7600,1.108
22.8000,1.131
22.8400,1.071
22.8800,1.107
22.9200,1.079
22.9600,1.091
23.0000,1.134
23.0400,1.109
23.0800,1.083
23.1200,1.166
23.1600,1.134
