theta,intensity
5.0000,4.460
5.0400,4.383
5.0800,4.403
5.1200,4.393
5.1600,4.264
5.2000,4.214
5.2400,4.369
5.2800,4.241
5.3200,4.408
5.3600,4.440
5.4000,4.235
5.4400,4.322
5.4800,4.210
5.5200,4.367
5.5600,4.243
5.6000,4.304
5.6400,4.196
5.6800,4.240
5.7200,4.210
5.7600,4.244
5.8000,4.110
5.8400,4.236
5.8800,4.099
5.9200,4.126
5.9600,4.214
6.0000,4.266
6.0400,4.258
6.0800,4.171
6.1200,4.070
6.1600,4.227
6.2000,4.160
6.2400,4.223
6.2800,4.101
6.3200,4.190
6.3600,3.977
6.4000,4.114
6.4400,4.067
6.4800,4.016
6.5200,4.025
6.5600,4.052
6.6000,4.047
6.6400,4.007
6.6800,4.061
6.7200,3.983
6.7600,3.989
6.8000,4.079
6.8400,4.112
6.8800,4.080
6.9200,3.995
6.9600,3.965
7.0000,3.918
7.0400,3.970
7.0800,3.943
7.1200,3.907
7.1600,3.894
7.2000,3.972
7.2400,3.913
7.2800,3.998
7.3200,3.825
7.3600,4.035
7.4000,3.979
7.4400,3.852
7.4800,3.922
7.5200,3.909
7.5600,3.841
7.6000,3.912
7.6400,4.006
7.6800,3.901
7.7200,3.870
7.7600,3.879
7.8000,3.899
7.8400,3.913
7.8800,3.869
7.9200,3.722
7.9600,3.961
8.0000,3.973
8.0400,3.856
8.0800,3.909
8.1200,3.912
8.1600,3.856
8.2000,3.793
8.2400,3.805
8.2800,3.906
8.3200,3.876
8.3600,3.855
8.4000,3.814
8.4400,3.790
8.4800,3.756
8.5200,3.783
8.5600,3.813
8.6000,3.744
8.6400,3.739
8.6800,3.853
8.7200,3.764
8.7600,3.778
8.8000,3.662
8.8400,3.677
8.8800,3.687
8.9200,3.718
8.9600,3.770
9.0000,3.815
9.0400,3.675
9.0800,3.714
9.1200,3.700
9.1600,3.657
9.2000,3.601
9.2400,3.800
9.2800,3.696
9.3200,3.671
9.3600,3.755
9.4000,3.628
9.4400,3.659
9.4800,3.541
9.5200,3.722
9.5600,3.796
9.6000,3.853
9.6400,3.704
