theta,intensity
5.0000,4.439
5.0400,4.367
5.0800,4.533
5.1200,4.371
5.1600,4.415
5.2000,4.390
5.2400,4.255
5.2800,4.342
5.3200,4.326
5.3600,4.338
5.4000,4.306
5.4400,4.175
5.4800,4.389
5.5200,4.357
5.5600,4.346
5.6000,4.169
5.6400,4.132
5.6800,4.219
5.7200,4.309
5.7600,4.247
5.8000,4.316
5.8400,4.072
5.8800,4.187
5.9200,4.209
5.9600,4.200
6.0000,4.113
6.0400,4.171
6.0800,4.105
6.1200,4.165
6.1600,4.168
6.2000,4.144
6.2400,4.136
6.2800,4.146
6.3200,4.097
6.3600,4.131
6.4000,4.123
6.4400,4.253
6.4800,4.127
6.5200,4.055
6.5600,4.141
6.6000,4.129
6.6400,4.069
6.6800,4.174
6.7200,4.030
6.7600,3.986
6.8000,3.995
6.8400,4.036
6.8800,4.060
6.9200,4.039
6.9600,3.972
7.0000,4.008
7.0400,4.129
7.0800,3.921
7.1200,4.007
7.1600,3.932
7.2000,4.018
7.2400,3.894
7.2800,4.000
7.3200,4.037
7.3600,3.902
7.4000,3.931
7.4400,3.955
7.4800,4.081
7.5200,3.978
7.5600,3.982
7.6000,3.845
7.6400,3.681
7.6800,3.846
7.7200,3.968
7.7600,3.888
7.8000,3.879
7.8400,3.894
7.8800,3.894
7.9200,3.878
7.9600,3.905
8.0000,3.832
8.0400,3.751
8.0800,3.877
8.1200,3.841
8.1600,3.830
8.2000,3.862
8.2400,3.870
8.2800,3.963
8.3200,3.918
8.3600,3.796
8.4000,3.797
8.4400,3.817
8.4800,3.830
8.5200,3.857
8.5600,3.717
8.6000,3.872
8.6400,3.744
8.6800,3.847
8.7200,3.896
8.7600,3.734
8.8000,3.726
8.8400,3.671
8.8800,3.651
8.9200,3.706
8.9600,3.724
9.0000,3.754
9.0400,3.614
9.0800,3.674
9.1200,3.733
9.1600,3.771
9.2000,3.739
9.2400,3.815
9.2800,3.641
9.3200,3.754
9.3600,3.771
9.4000,3.739
9.4400,3.584
9.4800,3.594
9.5200,3.669
9.5600,3.634
9.6000,3.623
9.6400,3.578
9.6800,3.689
9.7200,3.706
9.7600,3.619
9.8000,3.583
9.8400,3.524
9.8800,3.708
9.9200,3.581
9.9600,3.618
10.0000,3.721
10.0400,3.595
10.0800,3.643
10.1200,3.639
10.1600,3.580
10.2000,3.648
10.2400,3.659
10.2800,3.597
10.3200,3.602
10.3600,3.622
10.4000,3.665
10.4400,3.504
10.4800,3.532
10.5200,3.524
10.5600,3.544
10.6000,3.559
10.6400,3.658
10.6800,3.603
10.7200,3.633
10.7600,3.651
10.8000,3.526
10.8400,3.500
10.8800,3.655
10.9200,3.510
10.9600,3.432
11.0000,3.498
11.0400,3.552
11.0800,3.520
11.1200,3.559
11.1600,3.579
11.2000,3.619
11.2400,3.474
11.2800,3.412
11.3200,3.545
11.3600,3.393
11.4000,3.557
11.4400,3.489
11.4800,3.474
11.5200,3.594
11.5600,3.459
11.6000,3.565
11.6400,3.450
11.6800,3.475
11.7200,3.506
11.7600,3.539
11.8000,3.497
11.8400,3.355
11.8800,3.477
11.9200,3.412
11.9600,3.396
12.0000,3.359
12.0400,3.507
12.0800,3.454
12.1200,3.386
12.1600,3.511
12.2000,3.341
12.2400,3.385
12.2800,3.397
12.3200,3.418
12.3600,3.506
12.4000,3.413
12.4400,3.398
12.4800,3.474
12.5200,3.374
12.5600,3.402
12.6000,3.339
12.6400,3.270
12.6800,3.372
12.7200,3.275
12.7600,3.454
12.8000,3.398
12.8400,3.344
12.8800,3.396
12.9200,3.416
12.9600,3.407
13.0000,3.374
13.0400,3.227
13.0800,3.202
13.1200,3.364
13.1600,3.289
13.2000,3.307
13.2400,3.340
13.2800,3.319
13.3200,3.357
13.3600,3.482
13.4000,3.247
13.4400,3.280
13.4800,3.335
13.5200,3.336
13.5600,3.275
13.6000,3.248
13.6400,3.293
13.6800,3.241
13.7200,3.361
13.7600,3.410
13.8000,3.261
13.8400,3.216
13.8800,3.327
13.9200,3.346
13.9600,3.293
14.0000,3.159
14.0400,3.188
14.0800,3.347
