theta,intensity
5.0000,4.230
5.0400,4.391
5.0800,4.351
5.1200,4.340
5.1600,4.198
5.2000,4.229
5.2400,4.117
5.2800,4.120
5.3200,4.072
5.3600,4.099
5.4000,4.180
5.4400,4.144
5.4800,4.239
5.5200,4.137
5.5600,4.275
5.6000,4.177
5.6400,4.074
5.6800,4.166
5.7200,4.197
5.7600,4.103
5.8000,4.207
5.8400,4.132
5.8800,4.154
5.9200,4.074
5.9600,4.044
6.0000,4.068
6.0400,4.063
6.0800,4.083
6.1200,4.128
6.1600,4.074
6.2000,4.086
6.2400,4.186
6.2800,4.141
6.3200,3.989
6.3600,4.023
6.4000,4.037
6.4400,4.077
6.4800,4.100
6.5200,4.011
6.5600,3.999
6.6000,4.038
6.6400,3.851
6.6800,4.058
6.7200,3.941
6.7600,4.043
6.8000,3.977
6.8400,3.935
6.8800,3.984
6.9200,3.872
6.9600,3.920
7.0000,3.913
7.0400,3.976
7.0800,3.853
7.1200,3.863
7.1600,3.862
7.2000,3.736
7.2400,3.895
7.2800,3.840
7.3200,3.790
7.3600,4.015
7.4000,3.889
7.4400,3.871
7.4800,3.758
7.5200,3.825
7.5600,3.887
7.6000,3.878
7.6400,3.932
7.6800,3.781
7.7200,3.766
7.7600,3.749
7.8000,3.920
7.8400,3.958
7.8800,3.861
7.9200,3.779
7.9600,3.837
8.0000,3.713
8.0400,3.773
8.0800,3.806
8.1200,3.895
8.1600,3.803
8.2000,3.722
8.2400,3.780
8.2800,3.801
8.3200,3.698
8.3600,3.795
8.4000,3.846
8.4400,3.753
8.4800,3.766
8.5200,3.872
8.5600,3.768
8.6000,3.725
8.6400,3.694
8.6800,3.607
8.7200,3.865
8.7600,3.837
8.8000,3.858
8.8400,3.786
8.8800,3.744
8.9200,3.832
8.9600,3.842
9.0000,3.742
9.0400,3.818
9.0800,3.746
9.1200,3.711
9.1600,3.683
9.2000,3.692
9.2400,3.701
9.2800,3.645
9.3200,3.634
9.3600,3.711
9.4000,3.694
9.4400,3.738
9.4800,3.751
9.5200,3.618
9.5600,3.685
9.6000,3.621
9.6400,3.747
9.6800,3.738
9.7200,3.646
9.7600,3.635
9.8000,3.547
9.8400,3.636
9.8800,3.666
9.9200,3.723
9.9600,3.570
10.0000,3.600
10.0400,3.626
10.0800,3.560
10.1200,3.539
10.1600,3.594
10.2000,3.569
10.2400,3.662
10.2800,3.544
10.3200,3.641
10.3600,3.454
10.4000,3.517
10.4400,3.531
10.4800,3.527
10.5200,3.578
10.5600,3.589
10.6000,3.445
10.6400,3.704
10.6800,3.494
10.7200,3.559
10.7600,3.550
10.8000,3.547
10.8400,3.435
10.8800,3.581
10.9200,3.554
10.9600,3.545
11.0000,3.507
11.0400,3.497
11.0800,3.661
11.1200,3.373
11.1600,3.413
11.2000,3.606
11.2400,3.485
11.2800,3.314
11.3200,3.454
11.3600,3.443
11.4000,3.434
11.4400,3.473
11.4800,3.423
11.5200,3.491
11.5600,3.382
11.6000,3.513
11.6400,3.539
11.6800,3.411
11.7200,3.388
11.7600,3.579
11.8000,3.407
11.8400,3.443
11.8800,3.389
11.9200,3.421
11.9600,3.442
12.0000,3.489
12.0400,3.394
12.0800,3.392
12.1200,3.252
12.1600,3.400
12.2000,3.437
12.2400,3.406
12.2800,3.377
12.3200,3.478
12.3600,3.399
12.4000,3.347
12.4400,3.501
12.4800,3.311
12.5200,3.258
12.5600,3.294
12.6000,3.372
12.6400,3.292
12.6800,3.360
12.7200,3.366
12.7600,3.499
12.8000,3.338
12.8400,3.314
12.8800,3.227
12.9200,3.360
12.9600,3.281
13.0000,3.217
13.0400,3.308
13.0800,3.364
13.1200,3.355
13.1600,3.314
13.2000,3.272
13.2400,3.361
13.2800,3.279
13.3200,3.366
13.3600,3.294
13.4000,3.297
13.4400,3.272
13.4800,3.307
13.5200,3.281
13.5600,3.302
13.6000,3.366
13.6400,3.264
13.6800,3.211
13.7200,3.373
13.7600,3.361
13.8000,3.162
13.8400,3.235
13.8800,3.253
13.9200,3.280
13.9600,3.304
14.0000,3.215
14.0400,3.195
14.0800,3.253
14.1200,3.071
14.1600,3.292
14.2000,3.184
14.2400,3.183
14.2800,3.292
14.3200,3.220
14.3600,3.206
14.4000,3.251
14.4400,3.169
14.4800,3.208
14.5200,3.195
14.5600,3.176
14.6000,3.187
14.6400,3.188
14.6800,3.212
14.7200,3.177
14.7600,3.109
14.8000,3.232
14.8400,3.167
14.8800,3.114
14.9200,3.072
14.9600,3.164
15.0000,3.236
15.0400,3.187
15.0800,3.096
15.1200,3.208
15.1600,3.148
15.2000,3.031
15.2400,3.177
15.2800,3.026
15.3200,3.173
15.3600,3.202
15.4000,3.152
15.4400,3.042
15.4800,3.055
15.5200,3.120
15.5600,3.180
15.6000,3.095
15.6400,3.036
15.6800,3.041
15.7200,3.234
15.7600,3.067
15.8000,3.081
15.8400,3.037
15.8800,2.964
15.9200,3.129
15.9600,2.991
16.0000,3.035
16.0400,3.129
16.0800,3.113
16.1200,3.116
16.1600,3.027
16.2000,3.029
16.2400,3.041
16.2800,3.053
16.3200,3.097
16.3600,3.072
16.4000,2.975
16.4400,3.018
16.4800,3.064
16.5200,2.971
16.5600,2.954
16.6000,2.985
16.6400,3.070
16.6800,2.989
16.7200,3.071
16.7600,3.007
16.8000,3.003
16.8400,3.054
16.8800,2.980
16.9200,2.992
16.9600,2.915
17.0000,2.915
17.0400,2.873
17.0800,2.982
17.1200,2.996
17.1600,3.018
17.2000,2.930
17.2400,3.038
17.2800,2.987
17.3200,3.025
17.3600,2.947
17.4000,2.951
17.4400,3.023
17.4800,2.936
17.5200,3.028
17.5600,2.917
17.6000,3.005
17.6400,2.943
17.6800,2.939
17.7200,3.024
17.7600,2.913
17.8000,2.958
17.8400,2.980
17.8800,2.969
17.9200,2.798
17.9600,2.899
18.0000,2.855
18.0400,2.901
18.0800,2.813
18.1200,2.897
18.1600,2.976
18.2000,2.972
18.2400,2.924
18.2800,2.745
18.3200,2.869
