theta,intensity
5.0000,4.524
5.0400,4.511
5.0800,4.537
5.1200,4.459
5.1600,4.650
5.2000,4.415
5.2400,4.430
5.2800,4.458
5.3200,4.428
5.3600,4.419
5.4000,4.498
5.4400,4.473
5.4800,4.416
5.5200,4.501
5.5600,4.426
5.6000,4.379
5.6400,4.314
5.6800,4.439
5.7200,4.496
5.7600,4.399
5.8000,4.523
5.8400,4.465
5.8800,4.416
5.9200,4.306
5.9600,4.300
6.0000,4.315
6.0400,4.468
6.0800,4.348
6.1200,4.303
6.1600,4.250
6.2000,4.315
6.2400,4.155
6.2800,4.143
6.3200,4.265
6.3600,4.241
6.4000,4.152
6.4400,4.271
6.4800,4.219
6.5200,4.057
6.5600,4.105
6.6000,4.186
6.6400,4.276
6.6800,4.183
6.7200,4.034
6.7600,3.972
6.8000,4.066
6.8400,4.059
6.8800,4.165
6.9200,4.076
6.9600,4.033
7.0000,4.019
7.0400,3.959
7.0800,3.953
7.1200,3.951
7.1600,3.931
7.2000,3.963
7.2400,3.970
7.2800,4.076
7.3200,4.044
7.3600,3.926
7.4000,3.942
7.4400,3.942
7.4800,3.848
7.5200,3.771
7.5600,3.818
7.6000,3.889
7.6400,4.035
7.6800,3.962
7.7200,3.872
7.7600,3.883
7.8000,3.717
7.8400,3.845
7.8800,3.830
7.9200,3.903
7.9600,3.924
8.0000,3.781
8.0400,3.877
8.0800,3.892
8.1200,3.861
8.1600,3.961
8.2000,3.835
8.2400,3.805
8.2800,3.757
8.3200,3.801
8.3600,3.898
8.4000,3.829
8.4400,3.717
8.4800,3.867
8.5200,3.708
8.5600,3.786
8.6000,3.705
8.6400,3.860
8.6800,3.819
8.7200,3.728
8.7600,3.753
8.8000,3.786
8.8400,3.789
8.8800,3.754
8.9200,3.739
8.9600,3.726
9.0000,3.745
9.0400,3.824
9.0800,3.761
9.1200,3.663
9.1600,3.714
9.2000,3.737
9.2400,3.656
9.2800,3.630
9.3200,3.743
9.3600,3.621
9.4000,3.681
9.4400,3.626
9.4800,3.593
9.5200,3.618
9.5600,3.693
9.6000,3.783
9.6400,3.629
9.6800,3.765
9.7200,3.670
9.7600,3.824
9.8000,3.758
9.8400,3.633
9.8800,3.628
9.9200,3.548
9.9600,3.672
10.0000,3.622
10.0400,3.705
10.0800,3.607
10.1200,3.693
10.1600,3.614
10.2000,3.623
10.2400,3.751
10.2800,3.605
10.3200,3.514
10.3600,3.578
10.4000,3.476
10.4400,3.527
10.4800,3.621
10.5200,3.534
10.5600,3.690
10.6000,3.541
10.6400,3.613
10.6800,3.514
10.7200,3.588
10.7600,3.541
10.8000,3.648
10.8400,3.548
10.8800,3.513
10.9200,3.500
10.9600,3.581
11.0000,3.656
11.0400,3.572
11.0800,3.399
11.1200,3.591
11.1600,3.511
11.2000,3.380
11.2400,3.556
11.2800,3.511
11.3200,3.656
11.3600,3.611
11.4000,3.454
11.4400,3.383
11.4800,3.541
11.5200,3.595
11.5600,3.482
11.6000,3.564
11.6400,3.466
11.6800,3.520
11.7200,3.488
11.7600,3.440
11.8000,3.485
11.8400,3.441
11.8800,3.473
11.9200,3.510
11.9600,3.439
12.0000,3.411
12.0400,3.578
12.0800,3.348
12.1200,3.400
12.1600,3.423
12.2000,3.468
12.2400,3.451
12.2800,3.376
12.3200,3.305
12.3600,3.317
12.4000,3.414
12.4400,3.277
12.4800,3.381
12.5200,3.391
12.5600,3.326
12.6000,3.284
12.6400,3.346
12.6800,3.470
12.7200,3.346
12.7600,3.267
12.8000,3.394
12.8400,3.413
12.8800,3.391
12.9200,3.331
12.9600,3.333
13.0000,3.429
13.0400,3.509
13.0800,3.299
13.1200,3.223
13.1600,3.307
13.2000,3.411
13.2400,3.380
13.2800,3.364
13.3200,3.363
13.3600,3.298
13.4000,3.305
13.4400,3.326
13.4800,3.326
13.5200,3.347
13.5600,3.377
13.6000,3.305
13.6400,3.286
13.6800,3.331
13.7200,3.331
13.7600,3.260
13.8000,3.246
13.8400,3.318
13.8800,3.226
13.9200,3.225
13.9600,3.164
14.0000,3.154
14.0400,3.175
14.0800,3.279
14.1200,3.204
14.1600,3.258
14.2000,3.302
14.2400,3.182
14.2800,3.197
14.3200,3.320
14.3600,3.213
14.4000,3.130
14.4400,3.225
14.4800,3.275
14.5200,3.192
14.5600,3.184
14.6000,3.282
14.6400,3.203
14.6800,3.172
14.7200,3.139
14.7600,3.111
14.8000,3.212
14.8400,3.099
14.8800,3.121
14.9200,3.165
14.9600,3.182
15.0000,3.165
15.0400,3.225
15.0800,3.146
15.1200,3.165
15.1600,3.209
15.2000,3.216
15.2400,3.175
15.2800,3.303
15.3200,3.187
15.3600,3.220
15.4000,3.212
15.4400,3.213
15.4800,3.141
15.5200,3.150
15.5600,3.091
15.6000,3.116
15.6400,3.060
15.6800,3.007
15.7200,3.106
15.7600,3.135
15.8000,3.081
15.8400,3.113
15.8800,3.083
15.9200,3.116
15.9600,3.177
16.0000,3.075
16.0400,3.111
16.0800,3.066
16.1200,3.127
16.1600,3.131
16.2000,3.067
16.2400,3.112
16.2800,3.089
16.3200,3.158
16.3600,3.037
16.4000,3.089
16.4400,3.018
16.4800,3.079
16.5200,3.079
16.5600,3.080
16.6000,3.019
16.6400,2.943
16.6800,3.128
16.7200,2.972
16.7600,3.090
16.8000,3.024
16.8400,3.027
16.8800,3.077
16.9200,3.024
16.9600,2.995
17.0000,3.079
17.0400,2.937
17.0800,3.029
17.1200,2.888
17.1600,2.919
17.2000,2.939
17.2400,3.101
17.2800,2.967
17.3200,2.969
17.3600,2.994
17.4000,2.880
17.4400,2.985
17.4800,2.945
17.5200,2.962
17.5600,2.959
17.6000,3.004
17.6400,2.986
17.6800,2.929
17.7200,2.870
17.7600,2.858
17.8000,2.922
17.8400,2.847
17.8800,2.815
17.9200,2.943
17.9600,2.834
18.0000,2.929
18.0400,2.927
18.0800,2.989
18.1200,2.900
18.1600,2.832
18.2000,2.864
18.2400,2.935
18.2800,2.926
18.3200,2.836
18.3600,3.015
18.4000,2.975
18.4400,2.939
18.4800,2.923
18.5200,2.813
18.5600,2.775
18.6000,2.773
18.6400,2.881
18.6800,2.888
18.7200,2.737
18.7600,2.734
18.8000,2.749
18.8400,2.861
18.8800,2.823
18.9200,2.841
18.9600,2.823
19.0000,2.770
19.0400,2.850
19.0800,2.875
19.1200,2.805
19.1600,2.745
19.2000,2.727
19.2400,2.832
19.2800,2.835
19.3200,2.750
19.3600,2.860
19.4000,2.756
19.4400,2.871
19.4800,2.793
19.5200,2.828
19.5600,2.855
19.6000,2.635
19.6400,2.707
19.6800,2.666
19.7200,2.873
19.7600,2.722
19.8000,2.698
19.8400,2.753
19.8800,2.737
19.9200,2.691
19.9600,2.657
20.0000,2.739
20.0400,2.798
20.0800,2.824
20.1200,2.774
20.1600,2.681
20.2000,2.782
20.2400,2.622
20.2800,2.725
20.3200,2.732
20.3600,2.757
20.4000,2.578
20.4400,2.663
20.4800,2.709
20.5200,2.696
20.5600,2.691
20.6000,2.638
20.6400,2.582
20.6800,2.643
20.7200,2.723
20.7600,2.740
20.8000,2.626
20.8400,2.682
20.8800,2.621
20.9200,2.626
20.9600,2.574
21.0000,2.713
21.0400,2.617
21.0800,2.699
21.1200,2.556
21.1600,2.593
21.2000,2.602
21.2400,2.680
21.2800,2.609
21.3200,2.601
21.3600,2.605
21.4000,2.600
21.4400,2.634
21.4800,2.573
21.5200,2.578
21.5600,2.594
21.6000,2.668
21.6400,2.631
21.6800,2.614
21.7200,2.624
21.7600,2.721
21.8000,2.712
21.8400,2.685
21.8800,2.676
21.9200,2.601
21.9600,2.658
22.0000,2.603
22.0400,2.591
22.0800,2.620
22.1200,2.632
22.1600,2.535
22.2000,2.563
22.2400,2.561
22.2800,2.548
22.3200,2.544
22.3600,2.475
22.4000,2.508
22.4400,2.492
22.4800,2.546
22.5200,2.509
22.5600,2.443
22.6000,2.537
22.6400,2.544
22.6800,2.445
22.7200,2.575
22.7600,2.518
22.8000,2.488
22.8400,2.450
22.8800,2.370
22.9200,2.527
22.9600,2.564
23.0000,2.533
23.0400,2.498
23.0800,2.490
23.1200,2.414
23.1600,2.432
23.2000,2.536
23.2400,2.509
23.2800,2.427
23.3200,2.441
23.3600,2.415
23.4000,2.468
23.4400,2.420
23.4800,2.544
23.5200,2.481
23.5600,2.538
23.6000,2.469
23.6400,2.461
23.6800,2.416
23.7200,2.465
23.7600,2.453
23.8000,2.478
23.8400,2.429
23.8800,2.379
23.9200,2.453
23.9600,2.473
24.0000,2.438
24.0400,2.406
24.0800,2.505
24.1200,2.485
24.1600,2.431
24.2000,2.394
24.2400,2.363
24.2800,2.371
24.3200,2.372
24.3600,2.313
24.4000,2.387
24.4400,2.327
24.4800,2.397
24.5200,2.278
24.5600,2.365
24.6000,2.405
24.6400,2.344
24.6800,2.337
24.7200,2.413
24.7600,2.332
24.8000,2.376
24.8400,2.343
24.8800,2.389
24.9200,2.310
24.9600,2.286
25.0000,2.345
25.0400,2.245
25.0800,2.324
25.1200,2.378
25.1600,2.310
25.2000,2.286
25.2400,2.309
25.2800,2.303
25.3200,2.274
25.3600,2.345
25.4000,2.231
25.4400,2.290
25.4800,2.319
25.5200,2.330
25.5600,2.302
25.6000,2.247
25.6400,2.277
25.6800,2.378
25.7200,2.291
25.7600,2.317
25.8000,2.254
25.8400,2.264
25.8800,2.313
25.9200,2.265
25.9600,2.283
26.0000,2.295
26.0400,2.216
26.0800,2.256
26.1200,2.236
26.1600,2.210
26.2000,2.255
26.2400,2.226
26.2800,2.272
26.3200,2.285
26.3600,2.254
26.4000,2.232
26.4400,2.228
26.4800,2.292
26.5200,2.240
26.5600,2.242
26.6000,2.172
26.6400,2.149
26.6800,2.206
26.7200,2.325
26.7600,2.326
26.8000,2.141
26.8400,2.225
26.8800,2.201
26.9200,2.142
26.9600,2.273
27.0000,2.195
27.0400,2.224
27.0800,2.259
27.1200,2.196
27.1600,2.178
27.2000,2.228
27.2400,2.163
27.2800,2.200
27.3200,2.290
27.3600,2.255
27.4000,2.137
27.4400,2.161
27.4800,2.187
27.5200,2.198
27.5600,2.286
27.6000,2.234
27.6400,2.300
27.6800,2.264
27.7200,2.205
27.7600,2.278
27.8000,2.220
27.8400,2.240
27.8800,2.296
27.9200,2.337
27.9600,2.328
28.0000,2.182
28.0400,2.273
28.0800,2.321
28.1200,2.248
28.1600,2.287
28.2000,2.362
28.2400,2.343
28.2800,2.210
28.3200,2.277
28.3600,2.267
28.4000,2.338
28.4400,2.308
28.4800,2.314
28.5200,2.307
28.5600,2.279
28.6000,2.291
28.6400,2.373
28.6800,2.274
28.7200,2.293
28.7600,2.325
28.8000,2.309
28.8400,2.241
28.8800,2.348
28.9200,2.189
28.9600,2.215
29.0000,2.245
29.0400,2.142
29.0800,2.155
29.1200,2.218
29.1600,2.174
29.2000,2.093
29.2400,2.112
29.2800,2.017
29.3200,2.040
29.3600,2.110
29.4000,2.175
29.4400,2.065
29.4800,2.006
29.5200,2.069
29.5600,2.052
29.6000,2.052
29.6400,2.051
29.6800,2.126
29.7200,2.084
29.7600,2.141
29.8000,2.025
29.8400,1.940
29.8800,1.939
29.9200,1.984
29.9600,2.034
30.0000,1.980
30.0400,2.054
30.0800,1.970
30.1200,1.991
30.1600,1.967
30.2000,2.060
30.2400,2.031
30.2800,1.958
30.3200,2.024
30.3600,2.017
30.4000,1.999
30.4400,2.018
30.4800,2.042
30.5200,1.942
