theta,intensity
5.0000,4.337
5.0400,4.406
5.0800,4.606
5.1200,4.378
5.1600,4.283
5.2000,4.369
5.2400,4.366
5.2800,4.214
5.3200,4.282
5.3600,4.403
5.4000,4.343
5.4400,4.332
5.4800,4.319
5.5200,4.386
5.5600,4.351
5.6000,4.197
5.6400,4.375
5.6800,4.311
5.7200,4.222
5.7600,4.316
5.8000,4.235
5.8400,4.288
5.8800,4.304
5.9200,4.195
5.9600,4.345
6.0000,4.195
6.0400,4.212
6.0800,4.132
6.1200,4.198
6.1600,4.152
6.2000,4.177
6.2400,4.082
6.2800,4.255
6.3200,4.182
6.3600,4.143
6.4000,4.178
6.4400,4.201
6.4800,4.103
6.5200,4.093
6.5600,4.096
6.6000,3.963
6.6400,4.150
6.6800,4.127
6.7200,4.148
6.7600,3.995
6.8000,4.102
6.8400,4.092
6.8800,4.050
6.9200,3.940
6.9600,4.077
7.0000,4.052
7.0400,3.949
7.0800,4.022
7.1200,4.188
7.1600,4.112
7.2000,3.891
7.2400,4.031
7.2800,3.918
7.3200,3.995
7.3600,4.028
7.4000,4.020
7.4400,3.835
7.4800,3.865
7.5200,3.969
7.5600,3.989
7.6000,4.003
7.6400,4.036
7.6800,3.956
7.7200,3.812
7.7600,3.826
7.8000,3.882
7.8400,4.009
7.8800,3.913
7.9200,3.757
7.9600,3.937
8.0000,3.901
8.0400,3.779
8.0800,3.867
8.1200,3.847
8.1600,3.969
8.2000,3.752
8.2400,3.856
8.2800,3.877
8.3200,3.910
8.3600,3.884
8.4000,3.853
8.4400,3.839
8.4800,3.695
8.5200,3.792
8.5600,3.837
8.6000,3.826
8.6400,3.873
8.6800,3.820
8.7200,3.847
8.7600,3.864
8.8000,3.700
8.8400,3.775
8.8800,3.858
8.9200,3.841
8.9600,3.786
9.0000,3.768
9.0400,3.754
9.0800,3.688
9.1200,3.774
9.1600,3.815
9.2000,3.671
9.2400,3.822
9.2800,3.805
9.3200,3.736
9.3600,3.744
9.4000,3.750
9.4400,3.691
9.4800,3.730
9.5200,3.624
9.5600,3.719
9.6000,3.773
9.6400,3.710
9.6800,3.752
9.7200,3.607
9.7600,3.600
9.8000,3.646
9.8400,3.583
9.8800,3.605
9.9200,3.587
9.9600,3.645
10.0000,3.690
10.0400,3.663
10.0800,3.623
10.1200,3.625
10.1600,3.562
10.2000,3.696
10.2400,3.622
10.2800,3.647
10.3200,3.686
10.3600,3.615
10.4000,3.661
10.4400,3.640
10.4800,3.560
10.5200,3.530
10.5600,3.580
10.6000,3.470
10.6400,3.556
10.6800,3.583
10.7200,3.629
10.7600,3.562
10.8000,3.533
10.8400,3.636
10.8800,3.581
10.9200,3.563
10.9600,3.572
11.0000,3.544
11.0400,3.597
11.0800,3.492
11.1200,3.605
11.1600,3.454
11.2000,3.584
11.2400,3.569
11.2800,3.556
11.3200,3.576
11.3600,3.582
11.4000,3.537
11.4400,3.416
11.4800,3.500
11.5200,3.452
11.5600,3.580
11.6000,3.390
11.6400,3.522
11.6800,3.529
11.7200,3.406
