theta,intensity
5.0000,4.184
5.0400,4.160
5.0800,4.119
5.1200,4.139
5.1600,4.183
5.2000,4.198
5.2400,4.118
5.2800,4.083
5.3200,4.161
5.3600,4.095
5.4000,4.098
5.4400,4.049
5.4800,4.118
5.5200,3.937
5.5600,4.129
5.6000,4.000
5.6400,4.094
5.6800,3.989
5.7200,4.032
5.7600,4.091
5.8000,4.109
5.8400,4.006
5.8800,3.996
5.9200,4.038
5.9600,4.002
6.0000,3.937
6.0400,3.996
6.0800,4.086
6.1200,3.985
6.1600,3.958
6.2000,3.991
6.2400,3.923
6.2800,4.027
6.3200,3.952
6.3600,3.980
6.4000,4.030
6.4400,4.074
6.4800,3.935
6.5200,3.848
6.5600,3.870
6.6000,3.989
6.6400,3.792
6.6800,4.008
6.7200,3.940
6.7600,3.913
6.8000,3.908
6.8400,3.918
6.8800,3.777
6.9200,3.902
6.9600,3.675
7.0000,3.914
7.0400,4.023
7.0800,3.903
7.1200,3.810
7.1600,3.859
7.2000,3.796
7.2400,3.783
7.2800,3.849
7.3200,3.734
7.3600,3.779
7.4000,3.854
7.4400,3.939
7.4800,3.822
7.5200,3.808
7.5600,3.751
7.6000,3.791
7.6400,3.794
7.6800,3.894
7.7200,3.814
7.7600,3.760
7.8000,3.730
7.8400,3.711
7.8800,3.854
7.9200,3.683
7.9600,3.842
8.0000,3.773
8.0400,3.902
8.0800,3.848
8.1200,3.794
8.1600,3.724
8.2000,3.777
8.2400,3.849
8.2800,3.779
8.3200,3.778
8.3600,3.775
8.4000,3.730
8.4400,3.639
8.4800,3.609
8.5200,3.718
8.5600,3.794
8.6000,3.753
8.6400,3.757
8.6800,3.678
8.7200,3.717
8.7600,3.665
8.8000,3.709
8.8400,3.767
8.8800,3.685
8.9200,3.715
8.9600,3.609
9.0000,3.659
9.0400,3.668
9.0800,3.680
9.1200,3.617
9.1600,3.637
9.2000,3.633
9.2400,3.615
9.2800,3.744
9.3200,3.628
9.3600,3.606
9.4000,3.681
9.4400,3.727
9.4800,3.704
9.5200,3.699
9.5600,3.621
9.6000,3.555
9.6400,3.527
9.6800,3.741
9.7200,3.711
9.7600,3.581
9.8000,3.634
9.8400,3.673
9.8800,3.628
9.9200,3.744
9.9600,3.550
10.0000,3.558
10.0400,3.576
10.0800,3.639
10.1200,3.398
10.1600,3.541
10.2000,3.548
10.2400,3.471
10.2800,3.684
10.3200,3.514
10.3600,3.577
10.4000,3.577
10.4400,3.627
10.4800,3.632
10.5200,3.569
10.5600,3.430
10.6000,3.556
10.6400,3.460
10.6800,3.580
10.7200,3.497
10.7600,3.410
10.8000,3.486
