theta,intensity
5.0000,4.240
5.0400,4.253
5.0800,4.298
5.1200,4.481
5.1600,4.246
5.2000,4.318
5.2400,4.213
5.2800,4.221
5.3200,4.238
5.3600,4.181
5.4000,4.199
5.4400,4.184
5.4800,4.329
5.5200,4.209
5.5600,4.179
5.6000,4.180
5.6400,4.289
5.6800,4.056
5.7200,4.085
5.7600,4.192
5.8000,4.172
5.8400,4.141
5.8800,4.184
5.9200,4.167
5.9600,3.975
6.0000,4.185
6.0400,4.133
6.0800,4.148
6.1200,4.006
6.1600,4.121
6.2000,4.143
6.2400,4.158
6.2800,4.084
6.3200,4.065
6.3600,4.073
6.4000,4.057
6.4400,4.114
6.4800,4.134
6.5200,3.995
6.5600,4.092
6.6000,4.015
6.6400,3.876
6.6800,4.006
6.7200,3.996
6.7600,4.060
6.8000,4.033
6.8400,3.961
6.8800,3.964
6.9200,4.070
6.9600,4.189
7.0000,4.060
7.0400,3.999
7.0800,3.931
7.1200,4.025
7.1600,4.057
7.2000,3.902
7.2400,3.886
7.2800,3.931
7.3200,4.039
7.3600,3.933
7.4000,3.913
7.4400,3.888
7.4800,3.960
7.5200,4.073
7.5600,3.934
7.6000,4.038
7.6400,4.045
7.6800,4.046
7.7200,3.960
7.7600,4.035
7.8000,4.009
7.8400,3.886
7.8800,3.863
7.9200,3.973
7.9600,3.901
8.0000,3.904
8.0400,3.755
8.0800,3.972
8.1200,3.944
8.1600,3.867
8.2000,3.822
8.2400,3.889
8.2800,3.839
8.3200,3.946
8.3600,3.869
8.4000,3.851
8.4400,3.791
8.4800,3.711
8.5200,3.871
8.5600,3.797
8.6000,3.908
8.6400,3.805
8.6800,3.779
8.7200,3.783
8.7600,3.836
8.8000,3.736
8.8400,3.814
8.8800,3.655
8.9200,3.829
8.9600,3.905
9.0000,3.873
9.0400,3.880
9.0800,3.886
9.1200,3.746
9.1600,3.739
9.2000,3.688
9.2400,3.732
9.2800,3.699
9.3200,3.682
9.3600,3.723
9.4000,3.656
9.4400,3.784
9.4800,3.635
9.5200,3.792
9.5600,3.613
9.6000,3.722
9.6400,3.665
9.6800,3.811
9.7200,3.786
9.7600,3.639
9.8000,3.701
9.8400,3.711
9.8800,3.589
9.9200,3.573
9.9600,3.577
10.0000,3.580
10.0400,3.683
10.0800,3.667
10.1200,3.703
10.1600,3.640
10.2000,3.652
10.2400,3.681
10.2800,3.576
10.3200,3.631
10.3600,3.705
10.4000,3.694
10.4400,3.676
10.4800,3.693
10.5200,3.598
10.5600,3.507
10.6000,3.651
10.6400,3.645
10.6800,3.613
10.7200,3.505
10.7600,3.615
10.8000,3.696
10.8400,3.476
10.8800,3.540
10.9200,3.626
10.9600,3.574
11.0000,3.518
11.0400,3.378
11.0800,3.442
11.1200,3.537
11.1600,3.493
11.2000,3.389
11.2400,3.538
11.2800,3.730
11.3200,3.521
11.3600,3.591
11.4000,3.507
11.4400,3.365
11.4800,3.555
11.5200,3.455
11.5600,3.517
11.6000,3.476
11.6400,3.467
11.6800,3.508
11.7200,3.473
11.7600,3.439
11.8000,3.454
11.8400,3.516
11.8800,3.552
11.9200,3.487
11.9600,3.409
12.0000,3.427
12.0400,3.499
12.0800,3.456
12.1200,3.536
12.1600,3.494
12.2000,3.440
12.2400,3.550
12.2800,3.496
12.3200,3.445
12.3600,3.528
12.4000,3.329
12.4400,3.462
12.4800,3.439
12.5200,3.440
12.5600,3.519
12.6000,3.427
12.6400,3.463
12.6800,3.362
12.7200,3.297
12.7600,3.360
12.8000,3.379
12.8400,3.476
12.8800,3.442
12.9200,3.400
12.9600,3.313
13.0000,3.415
13.0400,3.410
13.0800,3.422
13.1200,3.332
13.1600,3.361
13.2000,3.282
13.2400,3.441
13.2800,3.345
13.3200,3.336
13.3600,3.307
13.4000,3.354
13.4400,3.336
13.4800,3.301
13.5200,3.378
13.5600,3.367
13.6000,3.381
13.6400,3.358
13.6800,3.397
13.7200,3.303
13.7600,3.363
13.8000,3.298
13.8400,3.153
13.8800,3.294
13.9200,3.251
13.9600,3.299
14.0000,3.439
14.0400,3.258
14.0800,3.325
14.1200,3.232
14.1600,3.244
14.2000,3.286
14.2400,3.270
14.2800,3.240
14.3200,3.274
14.3600,3.329
14.4000,3.294
14.4400,3.290
14.4800,3.227
14.5200,3.161
14.5600,3.242
14.6000,3.197
14.6400,3.337
14.6800,3.191
14.7200,3.335
14.7600,3.187
14.8000,3.270
14.8400,3.197
14.8800,3.195
14.9200,3.199
14.9600,3.200
15.0000,3.247
15.0400,3.223
15.0800,3.183
15.1200,3.160
15.1600,3.245
15.2000,3.245
15.2400,3.174
15.2800,3.265
15.3200,3.163
15.3600,3.230
15.4000,3.174
15.4400,3.265
15.4800,3.235
15.5200,3.125
15.5600,3.304
15.6000,3.115
15.6400,3.178
15.6800,3.298
15.7200,3.191
15.7600,3.151
15.8000,3.204
15.8400,3.262
15.8800,3.232
15.9200,3.191
15.9600,3.231
