theta,intensity
5.0000,4.253
5.0400,4.298
5.0800,4.340
5.1200,4.297
5.1600,4.239
5.2000,4.262
5.2400,4.225
5.2800,4.241
5.3200,4.212
5.3600,4.337
5.4000,4.233
5.4400,4.190
5.4800,4.272
5.5200,4.314
5.5600,4.238
5.6000,4.208
5.6400,4.111
5.6800,4.248
5.7200,4.151
5.7600,4.052
5.8000,4.223
5.8400,4.077
5.8800,4.162
5.9200,4.157
5.9600,4.165
6.0000,4.037
6.0400,4.171
6.0800,4.098
6.1200,4.080
6.1600,4.167
6.2000,4.118
6.2400,4.195
6.2800,4.151
6.3200,4.049
6.3600,4.092
6.4000,4.028
6.4400,4.012
6.4800,3.985
6.5200,3.966
6.5600,3.947
6.6000,4.029
6.6400,3.961
6.6800,3.990
6.7200,3.952
6.7600,4.087
6.8000,3.901
6.8400,3.971
6.8800,3.940
6.9200,3.910
6.9600,3.939
7.0000,3.798
7.0400,3.962
7.0800,3.871
7.1200,3.987
7.1600,3.859
7.2000,3.975
7.2400,3.828
7.2800,3.951
7.3200,3.953
7.3600,3.903
7.4000,3.877
7.4400,3.962
7.4800,3.905
7.5200,3.857
7.5600,3.909
7.6000,3.858
7.6400,3.913
7.6800,4.019
7.7200,3.934
7.7600,3.886
7.8000,3.883
7.8400,3.754
7.8800,3.753
7.9200,3.813
7.9600,3.833
8.0000,3.876
8.0400,3.709
8.0800,3.763
8.1200,3.906
8.1600,3.832
8.2000,3.775
8.2400,3.937
8.2800,3.691
8.3200,3.834
8.3600,3.725
8.4000,3.726
8.4400,3.883
8.4800,3.823
8.5200,3.844
8.5600,3.910
8.6000,3.802
8.6400,3.711
8.6800,3.772
8.7200,3.642
8.7600,3.714
8.8000,3.750
8.8400,3.807
8.8800,3.605
8.9200,3.801
8.9600,3.673
9.0000,3.645
9.0400,3.678
9.0800,3.780
9.1200,3.849
9.1600,3.735
9.2000,3.692
9.2400,3.710
9.2800,3.554
9.3200,3.697
9.3600,3.592
9.4000,3.597
9.4400,3.670
9.4800,3.639
9.5200,3.657
9.5600,3.662
9.6000,3.563
9.6400,3.627
9.6800,3.612
9.7200,3.572
9.7600,3.670
9.8000,3.665
9.8400,3.576
9.8800,3.690
9.9200,3.679
9.9600,3.635
10.0000,3.558
10.0400,3.612
10.0800,3.709
10.1200,3.569
10.1600,3.671
10.2000,3.575
10.2400,3.574
10.2800,3.601
10.3200,3.571
10.3600,3.652
10.4000,3.653
10.4400,3.591
10.4800,3.546
10.5200,3.589
10.5600,3.485
10.6000,3.552
10.6400,3.459
10.6800,3.429
10.7200,3.555
10.7600,3.569
10.8000,3.541
10.8400,3.552
10.8800,3.658
10.9200,3.465
10.9600,3.558
11.0000,3.525
11.0400,3.427
11.0800,3.478
11.1200,3.469
11.1600,3.545
11.2000,3.566
11.2400,3.513
11.2800,3.494
11.3200,3.493
11.3600,3.537
11.4000,3.576
11.4400,3.573
11.4800,3.471
11.5200,3.415
11.5600,3.448
11.6000,3.521
11.6400,3.476
11.6800,3.448
11.7200,3.429
11.7600,3.461
11.8000,3.364
11.8400,3.552
11.8800,3.515
11.9200,3.399
11.9600,3.402
12.0000,3.561
12.0400,3.387
12.0800,3.411
12.1200,3.438
12.1600,3.369
12.2000,3.354
12.2400,3.379
12.2800,3.523
12.3200,3.421
12.3600,3.381
12.4000,3.301
12.4400,3.413
12.4800,3.496
12.5200,3.378
12.5600,3.348
12.6000,3.388
12.6400,3.292
12.6800,3.319
12.7200,3.324
12.7600,3.302
12.8000,3.309
12.8400,3.317
12.8800,3.352
12.9200,3.304
12.9600,3.329
13.0000,3.382
13.0400,3.355
13.0800,3.442
13.1200,3.303
13.1600,3.320
13.2000,3.465
13.2400,3.349
13.2800,3.245
13.3200,3.255
13.3600,3.216
13.4000,3.282
13.4400,3.302
13.4800,3.312
13.5200,3.378
13.5600,3.454
13.6000,3.234
13.6400,3.365
13.6800,3.349
13.7200,3.338
13.7600,3.311
13.8000,3.209
13.8400,3.313
13.8800,3.252
13.9200,3.203
13.9600,3.196
14.0000,3.317
14.0400,3.255
14.0800,3.191
14.1200,3.258
14.1600,3.219
14.2000,3.335
14.2400,3.339
14.2800,3.221
14.3200,3.234
14.3600,3.259
14.4000,3.223
14.4400,3.197
14.4800,3.211
14.5200,3.258
14.5600,3.232
14.6000,3.180
14.6400,3.182
14.6800,3.218
14.7200,3.292
14.7600,3.274
14.8000,3.137
14.8400,3.173
14.8800,3.098
14.9200,3.169
14.9600,3.233
15.0000,3.164
15.0400,3.192
15.0800,3.128
15.1200,3.181
15.1600,3.217
15.2000,3.271
15.2400,3.157
15.2800,3.215
15.3200,3.299
15.3600,3.262
15.4000,3.186
15.4400,3.216
15.4800,3.122
15.5200,3.208
15.5600,3.141
15.6000,3.194
15.6400,3.165
15.6800,3.083
15.7200,3.167
15.7600,3.117
15.8000,3.103
15.8400,3.241
15.8800,3.149
15.9200,3.163
15.9600,3.126
16.0000,3.155
16.0400,3.216
16.0800,3.169
16.1200,3.203
16.1600,3.153
16.2000,3.121
16.2400,3.156
16.2800,3.110
16.3200,3.054
16.3600,3.177
16.4000,3.133
16.4400,3.089
16.4800,3.087
16.5200,3.148
16.5600,3.078
16.6000,3.120
16.6400,3.111
16.6800,3.135
16.7200,3.033
16.7600,2.980
16.8000,3.107
16.8400,3.088
16.8800,3.099
16.9200,3.095
16.9600,2.981
17.0000,3.041
17.0400,2.984
17.0800,3.053
17.1200,3.051
17.1600,3.042
17.2000,3.050
17.2400,2.980
17.2800,2.951
17.3200,3.099
17.3600,2.941
17.4000,3.050
17.4400,2.949
17.4800,3.004
17.5200,2.980
17.5600,2.939
17.6000,3.011
17.6400,2.987
17.6800,3.084
17.7200,2.886
17.7600,2.963
17.8000,2.944
17.8400,3.000
17.8800,2.970
17.9200,2.826
17.9600,2.902
18.0000,2.901
18.0400,2.936
18.0800,2.959
18.1200,2.941
18.1600,2.967
18.2000,2.861
18.2400,2.880
18.2800,2.955
18.3200,2.914
18.3600,2.851
18.4000,2.915
18.4400,2.887
18.4800,2.876
18.5200,2.817
18.5600,2.982
18.6000,2.772
18.6400,2.793
18.6800,2.818
18.7200,2.844
18.7600,2.821
18.8000,2.826
18.8400,2.950
18.8800,2.922
18.9200,2.902
18.9600,2.878
19.0000,2.847
19.0400,2.826
19.0800,2.932
19.1200,2.830
19.1600,2.780
19.2000,2.885
19.2400,2.810
19.2800,2.803
19.3200,2.969
19.3600,2.844
19.4000,2.796
19.4400,2.745
19.4800,2.792
19.5200,2.792
19.5600,2.758
19.6000,2.744
19.6400,2.710
19.6800,2.826
19.7200,2.706
19.7600,2.805
19.8000,2.857
19.8400,2.751
19.8800,2.734
19.9200,2.684
19.9600,2.710
20.0000,2.782
20.0400,2.739
20.0800,2.750
20.1200,2.738
20.1600,2.778
20.2000,2.700
20.2400,2.640
20.2800,2.711
20.3200,2.651
20.3600,2.744
20.4000,2.762
20.4400,2.760
20.4800,2.694
20.5200,2.694
20.5600,2.722
20.6000,2.770
20.6400,2.688
20.6800,2.676
20.7200,2.629
20.7600,2.632
20.8000,2.742
20.8400,2.656
20.8800,2.790
20.9200,2.652
20.9600,2.595
21.0000,2.678
21.0400,2.658
21.0800,2.563
21.1200,2.642
21.1600,2.571
21.2000,2.661
21.2400,2.632
21.2800,2.666
21.3200,2.702
21.3600,2.692
21.4000,2.577
21.4400,2.644
21.4800,2.643
21.5200,2.663
21.5600,2.530
21.6000,2.571
21.6400,2.624
21.6800,2.599
21.7200,2.520
21.7600,2.629
21.8000,2.530
21.8400,2.614
21.8800,2.606
21.9200,2.516
21.9600,2.596
22.0000,2.560
22.0400,2.631
22.0800,2.506
22.1200,2.617
22.1600,2.520
22.2000,2.555
22.2400,2.521
22.2800,2.592
22.3200,2.506
22.3600,2.567
22.4000,2.546
22.4400,2.665
22.4800,2.474
22.5200,2.500
22.5600,2.469
22.6000,2.558
22.6400,2.508
22.6800,2.534
22.7200,2.590
22.7600,2.603
22.8000,2.511
22.8400,2.601
22.8800,2.446
22.9200,2.517
22.9600,2.535
23.0000,2.536
23.0400,2.489
23.0800,2.510
23.1200,2.511
23.1600,2.470
23.2000,2.409
23.2400,2.478
23.2800,2.509
23.3200,2.489
23.3600,2.496
23.4000,2.473
23.4400,2.518
23.4800,2.571
23.5200,2.505
23.5600,2.382
23.6000,2.415
23.6400,2.464
23.6800,2.475
23.7200,2.493
23.7600,2.513
23.8000,2.454
23.8400,2.396
23.8800,2.435
23.9200,2.488
23.9600,2.470
24.0000,2.350
24.0400,2.425
24.0800,2.438
