theta,intensity
5.0000,9.025
5.0400,8.846
5.0800,9.004
5.1200,8.817
5.1600,8.789
5.2000,8.885
5.2400,8.844
5.2800,8.802
5.3200,8.594
5.3600,8.411
5.4000,8.708
5.4400,8.383
5.4800,8.379
5.5200,8.453
5.5600,8.430
5.6000,8.345
5.6400,8.327
5.6800,8.143
5.7200,8.114
5.7600,7.967
5.8000,7.977
5.8400,7.775
5.8800,7.782
5.9200,7.768
5.9600,7.766
6.0000,7.551
6.0400,7.376
6.0800,7.219
6.1200,7.311
6.1600,7.232
6.2000,7.088
6.2400,7.013
6.2800,7.001
6.3200,6.725
6.3600,6.736
6.4000,6.738
6.4400,6.615
6.4800,6.549
6.5200,6.434
6.5600,6.310
6.6000,6.161
6.6400,6.171
6.6800,6.109
6.7200,6.114
6.7600,5.934
6.8000,5.856
6.8400,5.898
6.8800,5.929
6.9200,5.645
6.9600,5.684
7.0000,5.731
7.0400,5.661
7.0800,5.508
7.1200,5.559
7.1600,5.365
7.2000,5.272
7.2400,5.270
7.2800,5.243
7.3200,5.176
7.3600,5.161
7.4000,5.059
7.4400,5.067
7.4800,5.002
7.5200,4.948
7.5600,4.829
7.6000,4.889
7.6400,4.946
7.6800,4.879
7.7200,4.736
7.7600,4.799
7.8000,4.680
7.8400,4.667
7.8800,4.510
7.9200,4.612
7.9600,4.642
8.0000,4.533
8.0400,4.378
8.0800,4.543
8.1200,4.420
8.1600,4.278
8.2000,4.373
8.2400,4.370
8.2800,4.330
8.3200,4.264
8.3600,4.236
8.4000,4.247
8.4400,4.134
8.4800,4.204
8.5200,4.052
8.5600,4.140
8.6000,4.160
8.6400,4.077
8.6800,3.953
8.7200,4.058
8.7600,4.032
8.8000,4.009
8.8400,3.978
8.8800,4.038
8.9200,3.918
8.9600,3.969
9.0000,3.948
9.0400,3.935
9.0800,3.857
9.1200,3.964
9.1600,3.859
9.2000,3.869
9.2400,3.850
9.2800,3.844
9.3200,3.669
9.3600,3.860
9.4000,3.824
9.4400,3.784
9.4800,3.807
9.5200,3.752
9.5600,3.774
9.6000,3.696
9.6400,3.726
9.6800,3.756
9.7200,3.564
9.7600,3.633
9.8000,3.618
9.8400,3.586
9.8800,3.656
9.9200,3.714
9.9600,3.596
10.0000,3.662
10.0400,3.656
10.0800,3.695
10.1200,3.617
10.1600,3.560
10.2000,3.595
10.2400,3.475
10.2800,3.550
10.3200,3.562
10.3600,3.609
10.4000,3.522
10.4400,3.526
10.4800,3.587
10.5200,3.452
10.5600,3.455
10.6000,3.446
10.6400,3.501
10.6800,3.599
10.7200,3.568
10.7600,3.520
10.8000,3.404
10.8400,3.503
10.8800,3.392
10.9200,3.492
10.9600,3.366
11.0000,3.295
11.0400,3.360
11.0800,3.428
11.1200,3.356
11.1600,3.406
11.2000,3.388
11.2400,3.462
11.2800,3.474
11.3200,3.409
11.3600,3.472
11.4000,3.471
11.4400,3.365
11.4800,3.435
11.5200,3.479
11.5600,3.469
11.6000,3.373
11.6400,3.332
11.6800,3.325
11.7200,3.434
11.7600,3.437
11.8000,3.452
11.8400,3.393
11.8800,3.373
11.9200,3.382
11.9600,3.512
12.0000,3.408
12.0400,3.361
12.0800,3.351
12.1200,3.409
12.1600,3.347
12.2000,3.325
12.2400,3.363
12.2800,3.383
12.3200,3.415
12.3600,3.454
12.4000,3.370
12.4400,3.233
12.4800,3.348
12.5200,3.312
12.5600,3.275
12.6000,3.303
12.6400,3.402
12.6800,3.268
12.7200,3.208
12.7600,3.352
12.8000,3.320
12.8400,3.238
12.8800,3.190
12.9200,3.269
12.9600,3.347
13.0000,3.381
13.0400,3.245
13.0800,3.155
13.1200,3.239
13.1600,3.305
13.2000,3.241
13.2400,3.082
13.2800,3.166
13.3200,3.239
13.3600,3.120
13.4000,3.117
13.4400,3.094
13.4800,3.186
13.5200,3.209
13.5600,3.134
13.6000,3.207
13.6400,3.080
13.6800,3.139
13.7200,3.165
13.7600,3.200
13.8000,3.202
13.8400,3.186
13.8800,3.192
13.9200,3.213
13.9600,3.183
14.0000,3.157
14.0400,3.142
14.0800,3.193
14.1200,3.236
14.1600,3.202
14.2000,3.123
14.2400,3.134
14.2800,3.216
14.3200,3.246
14.3600,3.183
14.4000,3.238
14.4400,3.184
14.4800,3.111
14.5200,3.158
14.5600,3.111
14.6000,3.057
14.6400,3.103
14.6800,3.115
14.7200,3.152
14.7600,3.044
14.8000,3.100
14.8400,3.071
14.8800,2.965
14.9200,3.128
14.9600,3.070
15.0000,3.143
15.0400,3.192
15.0800,3.091
15.1200,3.124
15.1600,3.195
15.2000,2.963
15.2400,3.153
15.2800,2.987
15.3200,2.971
15.3600,3.074
15.4000,3.036
15.4400,3.034
15.4800,3.082
15.5200,2.933
15.5600,2.976
15.6000,2.979
15.6400,3.077
15.6800,3.076
15.7200,3.063
15.7600,2.908
15.8000,3.126
15.8400,3.010
15.8800,3.052
15.9200,2.962
15.9600,3.104
16.0000,2.958
16.0400,2.915
16.0800,3.011
16.1200,2.882
16.1600,2.886
16.2000,3.044
16.2400,2.879
16.2800,3.068
16.3200,2.996
16.3600,2.955
16.4000,3.009
16.4400,2.966
16.4800,3.000
16.5200,2.995
16.5600,2.926
16.6000,2.934
16.6400,2.983
16.6800,2.962
16.7200,2.930
16.7600,2.912
16.8000,2.858
16.8400,2.920
16.8800,2.863
16.9200,2.978
16.9600,2.961
17.0000,2.884
17.0400,2.904
17.0800,2.999
17.1200,2.911
17.1600,2.983
17.2000,2.896
17.2400,2.838
17.2800,2.860
17.3200,2.927
17.3600,2.874
17.4000,2.891
17.4400,2.836
17.4800,2.894
17.5200,2.826
17.5600,2.892
17.6000,2.801
17.6400,2.924
17.6800,2.879
17.7200,2.769
17.7600,2.863
17.8000,2.843
17.8400,2.844
17.8800,2.818
17.9200,2.836
17.9600,2.836
18.0000,2.819
18.0400,2.831
18.0800,2.839
18.1200,2.795
18.1600,2.835
18.2000,2.823
18.2400,2.866
18.2800,2.765
18.3200,2.786
18.3600,2.756
18.4000,2.847
18.4400,2.812
18.4800,2.773
18.5200,2.719
18.5600,2.728
18.6000,2.794
18.6400,2.726
18.6800,2.729
18.7200,2.768
18.7600,2.659
18.8000,2.799
18.8400,2.781
18.8800,2.724
18.9200,2.767
18.9600,2.685
19.0000,2.701
19.0400,2.703
19.0800,2.637
19.1200,2.674
19.1600,2.852
19.2000,2.732
19.2400,2.606
19.2800,2.711
19.3200,2.707
19.3600,2.707
19.4000,2.790
19.4400,2.698
19.4800,2.589
19.5200,2.688
19.5600,2.628
19.6000,2.705
19.6400,2.666
19.6800,2.642
19.7200,2.644
19.7600,2.644
19.8000,2.627
19.8400,2.627
19.8800,2.687
19.9200,2.696
19.9600,2.687
20.0000,2.722
20.0400,2.647
20.0800,2.691
20.1200,2.589
20.1600,2.577
20.2000,2.598
20.2400,2.713
20.2800,2.588
20.3200,2.583
20.3600,2.592
20.4000,2.513
20.4400,2.472
20.4800,2.484
20.5200,2.603
20.5600,2.667
20.6000,2.526
20.6400,2.553
20.6800,2.548
20.7200,2.546
20.7600,2.592
20.8000,2.533
20.8400,2.506
20.8800,2.626
20.9200,2.567
20.9600,2.521
21.0000,2.599
21.0400,2.572
21.0800,2.457
21.1200,2.533
21.1600,2.506
21.2000,2.494
21.2400,2.431
21.2800,2.431
21.3200,2.563
21.3600,2.588
21.4000,2.557
21.4400,2.494
21.4800,2.500
21.5200,2.527
21.5600,2.517
21.6000,2.556
21.6400,2.451
21.6800,2.495
21.7200,2.520
21.7600,2.512
21.8000,2.409
21.8400,2.460
21.8800,2.436
21.9200,2.516
21.9600,2.396
22.0000,2.463
22.0400,2.483
