theta,intensity
5.0000,5.244
5.0400,5.133
5.0800,5.107
5.1200,5.038
5.1600,5.047
5.2000,5.126
5.2400,5.053
5.2800,5.074
5.3200,4.889
5.3600,4.831
5.4000,4.856
5.4400,4.859
5.4800,4.786
5.5200,4.908
5.5600,4.807
5.6000,4.782
5.6400,4.796
5.6800,4.631
5.7200,4.559
5.7600,4.638
5.8000,4.494
5.8400,4.367
5.8800,4.484
5.9200,4.273
5.9600,4.305
6.0000,4.288
6.0400,4.286
6.0800,4.265
6.1200,4.227
6.1600,4.253
6.2000,4.199
6.2400,4.221
6.2800,4.221
6.3200,4.226
6.3600,4.113
6.4000,4.171
6.4400,4.019
6.4800,4.028
6.5200,4.179
6.5600,3.980
6.6000,4.059
6.6400,4.030
6.6800,4.064
6.7200,4.012
6.7600,4.058
6.8000,4.081
6.8400,4.059
6.8800,4.072
6.9200,3.979
6.9600,3.927
7.0000,3.931
7.0400,3.959
7.0800,4.024
7.1200,4.122
7.1600,3.985
7.2000,4.049
7.2400,3.914
7.2800,3.869
7.3200,3.912
7.3600,3.850
7.4000,3.918
7.4400,3.904
7.4800,4.103
7.5200,3.868
7.5600,3.845
7.6000,3.973
7.6400,3.850
7.6800,3.829
7.7200,3.924
7.7600,3.848
7.8000,3.833
7.8400,3.863
7.8800,3.830
7.9200,3.801
7.9600,3.806
8.0000,3.777
8.0400,3.740
8.0800,3.695
8.1200,3.874
8.1600,3.782
8.2000,3.743
8.2400,3.878
8.2800,3.773
8.3200,3.915
8.3600,3.819
8.4000,3.789
8.4400,3.628
8.4800,3.813
8.5200,3.780
8.5600,3.890
8.6000,3.632
8.6400,3.733
8.6800,3.787
8.7200,3.751
8.7600,3.724
8.8000,3.753
8.8400,3.649
8.8800,3.674
8.9200,3.715
8.9600,3.752
9.0000,3.706
9.0400,3.889
9.0800,3.733
9.1200,3.714
9.1600,3.583
9.2000,3.657
9.2400,3.682
9.2800,3.590
9.3200,3.715
9.3600,3.661
9.4000,3.725
9.4400,3.746
9.4800,3.643
9.5200,3.641
9.5600,3.692
9.6000,3.605
9.6400,3.718
9.6800,3.719
9.7200,3.639
9.7600,3.714
9.8000,3.582
9.8400,3.658
9.8800,3.709
9.9200,3.603
9.9600,3.660
10.0000,3.648
10.0400,3.763
10.0800,3.689
10.1200,3.593
10.1600,3.571
10.2000,3.525
10.2400,3.657
10.2800,3.603
10.3200,3.572
10.3600,3.597
10.4000,3.561
10.4400,3.457
10.4800,3.480
10.5200,3.559
10.5600,3.571
10.6000,3.603
10.6400,3.591
10.6800,3.635
10.7200,3.593
10.7600,3.400
10.8000,3.471
10.8400,3.452
10.8800,3.506
10.9200,3.587
10.9600,3.485
11.0000,3.490
11.0400,3.526
11.0800,3.358
11.1200,3.410
11.1600,3.362
11.2000,3.528
11.2400,3.488
11.2800,3.481
11.3200,3.518
11.3600,3.472
11.4000,3.399
11.4400,3.440
11.4800,3.444
11.5200,3.460
11.5600,3.480
11.6000,3.536
11.6400,3.320
11.6800,3.545
11.7200,3.363
11.7600,3.411
11.8000,3.469
11.8400,3.405
11.8800,3.456
11.9200,3.358
11.9600,3.440
12.0000,3.449
12.0400,3.517
12.0800,3.336
12.1200,3.385
12.1600,3.489
12.2000,3.293
12.2400,3.307
12.2800,3.409
12.3200,3.360
12.3600,3.425
12.4000,3.340
12.4400,3.219
12.4800,3.440
12.5200,3.368
12.5600,3.245
12.6000,3.398
12.6400,3.324
12.6800,3.365
12.7200,3.337
12.7600,3.346
12.8000,3.348
12.8400,3.344
12.8800,3.430
12.9200,3.464
12.9600,3.323
13.0000,3.320
13.0400,3.276
13.0800,3.349
13.1200,3.304
13.1600,3.318
13.2000,3.330
13.2400,3.206
13.2800,3.205
13.3200,3.326
13.3600,3.216
13.4000,3.298
13.4400,3.195
13.4800,3.213
13.5200,3.309
13.5600,3.248
13.6000,3.305
13.6400,3.262
13.6800,3.291
13.7200,3.277
13.7600,3.218
13.8000,3.160
13.8400,3.180
13.8800,3.162
13.9200,3.318
13.9600,3.317
14.0000,3.197
14.0400,3.371
14.0800,3.237
14.1200,3.233
14.1600,3.202
14.2000,3.247
14.2400,3.167
14.2800,3.182
14.3200,3.161
14.3600,3.165
14.4000,3.218
14.4400,3.216
14.4800,3.177
14.5200,3.234
14.5600,3.090
14.6000,3.251
14.6400,3.201
14.6800,3.332
14.7200,3.168
14.7600,3.273
14.8000,3.136
14.8400,3.073
14.8800,3.155
14.9200,3.234
14.9600,3.187
15.0000,3.118
15.0400,3.224
15.0800,3.216
15.1200,3.127
15.1600,3.087
15.2000,3.172
15.2400,3.143
15.2800,3.178
15.3200,3.160
15.3600,3.226
15.4000,3.187
15.4400,3.148
15.4800,3.149
15.5200,3.178
15.5600,3.100
15.6000,3.204
15.6400,3.243
15.6800,3.133
15.7200,3.129
15.7600,3.065
15.8000,3.117
15.8400,3.017
15.8800,3.122
15.9200,3.064
15.9600,3.059
16.0000,3.139
16.0400,3.135
16.0800,3.079
16.1200,3.110
16.1600,3.116
16.2000,2.979
16.2400,3.066
16.2800,3.105
16.3200,3.079
16.3600,3.172
16.4000,3.068
16.4400,3.041
16.4800,3.043
16.5200,2.980
16.5600,3.106
16.6000,2.957
16.6400,3.051
16.6800,3.023
16.7200,3.134
16.7600,3.015
16.8000,3.137
16.8400,2.981
16.8800,3.074
16.9200,3.065
16.9600,2.958
17.0000,2.965
17.0400,2.948
17.0800,2.976
17.1200,3.049
17.1600,3.007
17.2000,2.990
17.2400,2.820
17.2800,3.028
17.3200,3.114
17.3600,3.102
17.4000,2.964
17.4400,2.954
17.4800,2.980
17.5200,2.976
17.5600,2.971
17.6000,2.984
17.6400,3.060
17.6800,3.079
17.7200,2.945
17.7600,2.996
17.8000,2.958
17.8400,3.011
17.8800,2.899
17.9200,2.952
17.9600,3.049
18.0000,3.002
18.0400,2.938
18.0800,2.958
18.1200,2.837
18.1600,2.901
18.2000,2.858
18.2400,2.889
18.2800,2.912
18.3200,2.884
18.3600,2.966
18.4000,2.839
18.4400,2.853
18.4800,2.948
18.5200,2.907
18.5600,2.866
18.6000,2.849
18.6400,2.855
18.6800,2.818
18.7200,2.844
18.7600,2.836
18.8000,2.809
18.8400,2.875
18.8800,2.872
18.9200,2.918
18.9600,2.830
19.0000,2.879
19.0400,2.831
19.0800,2.850
19.1200,2.863
19.1600,2.846
19.2000,2.751
19.2400,2.765
19.2800,2.782
19.3200,2.860
19.3600,2.787
19.4000,2.783
19.4400,2.827
19.4800,2.703
19.5200,2.779
19.5600,2.763
19.6000,2.848
19.6400,2.709
19.6800,2.714
19.7200,2.661
19.7600,2.759
19.8000,2.786
19.8400,2.692
19.8800,2.660
19.9200,2.672
19.9600,2.772
20.0000,2.725
20.0400,2.661
20.0800,2.800
20.1200,2.773
20.1600,2.779
20.2000,2.755
20.2400,2.715
20.2800,2.714
20.3200,2.796
20.3600,2.809
20.4000,2.766
20.4400,2.745
20.4800,2.709
20.5200,2.707
20.5600,2.759
20.6000,2.811
20.6400,2.676
20.6800,2.685
20.7200,2.671
20.7600,2.654
20.8000,2.703
20.8400,2.728
20.8800,2.584
20.9200,2.692
20.9600,2.634
21.0000,2.754
21.0400,2.672
21.0800,2.708
21.1200,2.718
21.1600,2.715
21.2000,2.650
21.2400,2.664
21.2800,2.654
21.3200,2.686
21.3600,2.655
21.4000,2.619
21.4400,2.634
21.4800,2.675
21.5200,2.698
21.5600,2.680
21.6000,2.596
