theta,intensity
5.0000,8.728
5.0400,8.604
5.0800,8.650
5.1200,8.364
5.1600,8.285
5.2000,8.405
5.2400,8.340
5.2800,8.202
5.3200,8.171
5.3600,8.142
5.4000,8.181
5.4400,8.133
5.4800,7.816
5.5200,7.819
5.5600,7.845
5.6000,7.631
5.6400,7.437
5.6800,7.501
5.7200,7.350
5.7600,7.343
5.8000,7.191
5.8400,7.010
5.8800,6.991
5.9200,6.930
5.9600,6.831
6.0000,6.766
6.0400,6.657
6.0800,6.466
6.1200,6.603
6.1600,6.517
6.2000,6.319
6.2400,6.255
6.2800,6.214
6.3200,6.053
6.3600,5.980
6.4000,5.893
6.4400,5.824
6.4800,5.776
6.5200,5.690
6.5600,5.667
6.6000,5.436
6.6400,5.519
6.6800,5.375
6.7200,5.334
6.7600,5.458
6.8000,5.374
6.8400,5.337
6.8800,5.251
6.9200,5.218
6.9600,4.954
7.0000,5.114
7.0400,5.028
7.0800,4.875
7.1200,4.914
7.1600,4.650
7.2000,4.821
7.2400,4.730
7.2800,4.717
7.3200,4.811
7.3600,4.553
7.4000,4.642
7.4400,4.507
7.4800,4.649
7.5200,4.616
7.5600,4.482
7.6000,4.329
7.6400,4.391
7.6800,4.188
7.7200,4.317
7.7600,4.327
7.8000,4.115
7.8400,4.187
7.8800,4.266
7.9200,4.274
7.9600,4.227
8.0000,4.166
8.0400,4.088
8.0800,4.240
8.1200,4.083
8.1600,4.081
8.2000,4.102
8.2400,4.006
8.2800,3.901
8.3200,3.958
8.3600,3.971
8.4000,3.969
8.4400,3.949
8.4800,3.796
8.5200,3.930
8.5600,3.912
8.6000,3.840
8.6400,3.941
8.6800,3.845
8.7200,3.830
8.7600,3.857
8.8000,3.805
8.8400,3.788
8.8800,3.732
8.9200,3.782
8.9600,3.696
9.0000,3.757
9.0400,3.756
9.0800,3.736
9.1200,3.737
9.1600,3.731
9.2000,3.739
9.2400,3.737
9.2800,3.719
9.3200,3.657
9.3600,3.714
9.4000,3.555
9.4400,3.533
9.4800,3.576
9.5200,3.631
9.5600,3.614
9.6000,3.600
9.6400,3.572
9.6800,3.610
9.7200,3.555
9.7600,3.611
9.8000,3.601
9.8400,3.644
9.8800,3.620
9.9200,3.610
9.9600,3.572
10.0000,3.532
10.0400,3.511
10.0800,3.582
10.1200,3.533
10.1600,3.657
10.2000,3.494
10.2400,3.427
10.2800,3.635
10.3200,3.582
10.3600,3.671
10.4000,3.558
10.4400,3.533
10.4800,3.454
10.5200,3.527
10.5600,3.499
10.6000,3.501
10.6400,3.467
10.6800,3.413
10.7200,3.471
10.7600,3.437
10.8000,3.411
10.8400,3.598
10.8800,3.450
10.9200,3.379
10.9600,3.444
11.0000,3.507
11.0400,3.416
11.0800,3.516
11.1200,3.507
11.1600,3.444
11.2000,3.417
11.2400,3.491
11.2800,3.408
11.3200,3.487
11.3600,3.489
11.4000,3.459
11.4400,3.398
11.4800,3.365
11.5200,3.438
11.5600,3.365
11.6000,3.368
11.6400,3.416
11.6800,3.425
11.7200,3.371
11.7600,3.396
11.8000,3.360
11.8400,3.331
11.8800,3.317
11.9200,3.321
11.9600,3.417
12.0000,3.460
12.0400,3.358
12.0800,3.352
12.1200,3.284
12.1600,3.291
12.2000,3.324
12.2400,3.316
12.2800,3.257
12.3200,3.294
12.3600,3.347
12.4000,3.235
12.4400,3.230
12.4800,3.279
12.5200,3.235
12.5600,3.309
12.6000,3.313
12.6400,3.273
12.6800,3.365
12.7200,3.302
12.7600,3.247
12.8000,3.261
12.8400,3.242
12.8800,3.340
12.9200,3.303
12.9600,3.248
13.0000,3.305
13.0400,3.247
13.0800,3.253
13.1200,3.305
13.1600,3.322
13.2000,3.273
13.2400,3.328
13.2800,3.297
13.3200,3.318
13.3600,3.234
13.4000,3.230
13.4400,3.165
13.4800,3.158
13.5200,3.269
13.5600,3.275
13.6000,3.159
13.6400,3.069
13.6800,3.124
13.7200,3.178
13.7600,3.181
13.8000,3.197
13.8400,3.205
13.8800,3.145
13.9200,3.206
13.9600,3.142
14.0000,3.082
14.0400,3.135
14.0800,3.247
14.1200,3.089
14.1600,3.076
14.2000,3.102
14.2400,3.190
14.2800,3.135
14.3200,3.173
14.3600,3.166
14.4000,3.146
14.4400,3.096
14.4800,3.263
14.5200,3.082
14.5600,3.157
14.6000,3.116
14.6400,3.098
14.6800,3.095
14.7200,3.208
14.7600,3.100
14.8000,3.164
14.8400,3.007
14.8800,2.867
14.9200,3.008
14.9600,2.994
15.0000,3.135
15.0400,3.034
15.0800,3.003
15.1200,3.108
15.1600,3.061
15.2000,3.060
15.2400,3.041
15.2800,3.113
15.3200,3.024
15.3600,3.031
15.4000,3.194
15.4400,3.028
15.4800,3.034
15.5200,3.037
15.5600,3.004
15.6000,3.033
15.6400,3.099
15.6800,3.041
15.7200,3.056
15.7600,2.853
15.8000,3.094
15.8400,3.024
15.8800,3.019
15.9200,3.124
15.9600,3.014
16.0000,2.973
16.0400,3.064
16.0800,2.978
16.1200,3.020
16.1600,3.036
16.2000,3.007
16.2400,2.992
16.2800,2.979
16.3200,2.918
16.3600,2.968
16.4000,2.938
16.4400,2.913
16.4800,2.956
16.5200,3.023
16.5600,2.972
16.6000,2.992
16.6400,3.016
16.6800,2.883
16.7200,2.954
16.7600,2.886
16.8000,2.910
16.8400,2.844
16.8800,2.917
16.9200,3.005
16.9600,2.943
17.0000,2.998
17.0400,2.883
17.0800,2.904
17.1200,2.780
17.1600,2.886
17.2000,2.971
17.2400,2.868
17.2800,2.896
17.3200,2.902
17.3600,2.961
17.4000,2.896
17.4400,2.804
17.4800,2.820
17.5200,2.924
17.5600,2.723
17.6000,2.806
17.6400,2.840
17.6800,2.847
17.7200,2.833
17.7600,2.832
17.8000,2.939
17.8400,2.721
17.8800,2.780
17.9200,2.737
17.9600,2.731
18.0000,2.895
18.0400,2.714
18.0800,2.698
18.1200,2.740
18.1600,2.729
18.2000,2.849
18.2400,2.747
18.2800,2.864
18.3200,2.826
18.3600,2.697
18.4000,2.675
18.4400,2.805
18.4800,2.833
18.5200,2.785
18.5600,2.813
18.6000,2.808
18.6400,2.807
18.6800,2.751
18.7200,2.806
18.7600,2.673
18.8000,2.737
18.8400,2.709
18.8800,2.765
18.9200,2.781
18.9600,2.694
19.0000,2.739
19.0400,2.794
19.0800,2.691
19.1200,2.631
19.1600,2.711
19.2000,2.705
19.2400,2.658
19.2800,2.661
