theta,intensity
5.0000,5.492
5.0400,5.428
5.0800,5.322
5.1200,5.283
5.1600,5.391
5.2000,5.330
5.2400,5.266
5.2800,5.087
5.3200,5.198
5.3600,5.072
5.4000,4.968
5.4400,5.013
5.4800,4.789
5.5200,4.813
5.5600,4.834
5.6000,4.850
5.6400,4.675
5.6800,4.754
5.7200,4.696
5.7600,4.586
5.8000,4.499
5.8400,4.440
5.8800,4.392
5.9200,4.326
5.9600,4.384
6.0000,4.304
6.0400,4.340
6.0800,4.427
6.1200,4.280
6.1600,4.181
6.2000,4.124
6.2400,4.152
6.2800,4.030
6.3200,4.072
6.3600,4.127
6.4000,4.129
6.4400,4.102
6.4800,3.988
6.5200,4.072
6.5600,3.900
6.6000,3.961
6.6400,3.987
6.6800,3.897
6.7200,3.901
6.7600,4.006
6.8000,3.946
6.8400,3.983
6.8800,3.956
6.9200,3.963
6.9600,4.060
7.0000,3.919
7.0400,3.915
7.0800,3.991
7.1200,3.839
7.1600,3.946
7.2000,3.939
7.2400,3.922
7.2800,3.874
7.3200,3.983
7.3600,3.901
7.4000,3.879
7.4400,3.987
7.4800,3.938
7.5200,3.815
7.5600,3.826
7.6000,3.928
7.6400,3.753
7.6800,3.787
7.7200,3.842
7.7600,3.905
7.8000,3.787
7.8400,3.597
7.8800,3.759
7.9200,3.816
7.9600,3.829
8.0000,3.817
8.0400,3.864
8.0800,3.848
8.1200,3.741
8.1600,3.902
8.2000,3.772
8.2400,3.768
8.2800,3.718
8.3200,3.798
8.3600,3.730
8.4000,3.690
8.4400,3.759
8.4800,3.761
8.5200,3.773
8.5600,3.702
8.6000,3.712
8.6400,3.810
8.6800,3.662
8.7200,3.646
8.7600,3.601
8.8000,3.659
8.8400,3.646
8.8800,3.740
8.9200,3.768
8.9600,3.663
9.0000,3.688
9.0400,3.745
9.0800,3.681
9.1200,3.665
9.1600,3.564
9.2000,3.620
9.2400,3.606
9.2800,3.515
9.3200,3.591
9.3600,3.593
9.4000,3.618
9.4400,3.640
9.4800,3.587
9.5200,3.599
9.5600,3.700
9.6000,3.582
9.6400,3.540
9.6800,3.496
9.7200,3.505
9.7600,3.617
9.8000,3.567
9.8400,3.580
9.8800,3.601
9.9200,3.449
9.9600,3.527
