theta,intensity
5.0000,5.600
5.0400,5.612
5.0800,5.554
5.1200,5.522
5.1600,5.561
5.2000,5.627
5.2400,5.637
5.2800,5.480
5.3200,5.443
5.3600,5.533
5.4000,5.422
5.4400,5.380
5.4800,5.358
5.5200,5.330
5.5600,5.311
5.6000,5.239
5.6400,5.370
5.6800,5.264
5.7200,5.105
5.7600,5.088
5.8000,5.053
5.8400,5.048
5.8800,4.989
5.9200,4.956
5.9600,4.824
6.0000,4.796
6.0400,4.806
6.0800,4.762
6.1200,4.708
6.1600,4.559
6.2000,4.617
6.2400,4.623
6.2800,4.509
6.3200,4.419
6.3600,4.314
6.4000,4.284
6.4400,4.242
6.4800,4.249
6.5200,4.286
6.5600,4.209
6.6000,4.214
6.6400,4.129
6.6800,4.079
6.7200,4.115
6.7600,4.006
6.8000,4.018
6.8400,4.071
6.8800,4.056
6.9200,4.056
6.9600,4.060
7.0000,4.060
7.0400,3.946
7.0800,3.946
7.1200,3.949
7.1600,3.871
7.2000,4.098
7.2400,4.001
7.2800,3.922
7.3200,3.983
7.3600,3.929
7.4000,3.955
7.4400,3.996
7.4800,3.910
7.5200,3.973
7.5600,4.028
7.6000,3.852
7.6400,3.915
7.6800,3.812
7.7200,3.945
7.7600,3.845
7.8000,3.794
7.8400,3.884
7.8800,3.858
7.9200,3.835
7.9600,3.788
8.0000,3.782
8.0400,3.896
8.0800,3.820
8.1200,3.888
8.1600,3.741
8.2000,3.866
8.2400,3.837
8.2800,3.755
8.3200,3.770
8.3600,3.766
8.4000,3.841
8.4400,3.807
8.4800,3.669
8.5200,3.790
8.5600,3.712
8.6000,3.838
8.6400,3.661
8.6800,3.727
8.7200,3.713
8.7600,3.731
8.8000,3.695
8.8400,3.648
8.8800,3.761
8.9200,3.753
8.9600,3.784
9.0000,3.682
9.0400,3.672
9.0800,3.588
9.1200,3.631
9.1600,3.691
9.2000,3.641
9.2400,3.672
9.2800,3.656
9.3200,3.604
9.3600,3.699
9.4000,3.601
9.4400,3.648
9.4800,3.694
9.5200,3.690
9.5600,3.546
9.6000,3.654
9.6400,3.709
9.6800,3.558
9.7200,3.675
9.7600,3.549
9.8000,3.571
9.8400,3.671
9.8800,3.503
9.9200,3.568
9.9600,3.526
10.0000,3.638
10.0400,3.593
10.0800,3.599
10.1200,3.625
10.1600,3.474
10.2000,3.529
10.2400,3.526
10.2800,3.577
10.3200,3.579
10.3600,3.504
10.4000,3.527
10.4400,3.484
10.4800,3.500
10.5200,3.578
10.5600,3.532
10.6000,3.572
10.6400,3.543
10.6800,3.459
10.7200,3.504
10.7600,3.547
10.8000,3.455
10.8400,3.473
10.8800,3.543
10.9200,3.500
10.9600,3.531
11.0000,3.422
11.0400,3.611
11.0800,3.474
11.1200,3.537
11.1600,3.531
11.2000,3.471
11.2400,3.411
11.2800,3.456
11.3200,3.387
11.3600,3.422
11.4000,3.482
11.4400,3.487
11.4800,3.478
11.5200,3.440
11.5600,3.460
11.6000,3.402
11.6400,3.438
11.6800,3.334
11.7200,3.381
11.7600,3.502
11.8000,3.506
11.8400,3.418
11.8800,3.392
11.9200,3.427
11.9600,3.408
12.0000,3.371
12.0400,3.450
12.0800,3.374
12.1200,3.377
12.1600,3.424
12.2000,3.336
12.2400,3.355
12.2800,3.355
12.3200,3.359
12.3600,3.401
12.4000,3.411
12.4400,3.391
12.4800,3.278
12.5200,3.268
12.5600,3.298
12.6000,3.444
12.6400,3.326
12.6800,3.357
12.7200,3.311
12.7600,3.292
12.8000,3.194
12.8400,3.268
12.8800,3.398
12.9200,3.360
12.9600,3.362
13.0000,3.294
13.0400,3.351
13.0800,3.385
13.1200,3.406
13.1600,3.225
13.2000,3.215
13.2400,3.394
13.2800,3.398
13.3200,3.206
13.3600,3.216
13.4000,3.323
13.4400,3.296
13.4800,3.204
13.5200,3.312
13.5600,3.297
13.6000,3.218
13.6400,3.256
13.6800,3.276
13.7200,3.215
13.7600,3.285
13.8000,3.206
13.8400,3.193
13.8800,3.281
13.9200,3.314
13.9600,3.185
14.0000,3.291
14.0400,3.208
14.0800,3.123
14.1200,3.233
14.1600,3.270
14.2000,3.207
14.2400,3.229
14.2800,3.192
14.3200,3.239
14.3600,3.127
14.4000,3.252
14.4400,3.154
14.4800,3.236
14.5200,3.200
14.5600,3.222
14.6000,3.231
14.6400,3.141
14.6800,3.216
14.7200,3.248
14.7600,3.227
14.8000,3.093
14.8400,3.101
14.8800,3.083
14.9200,3.152
14.9600,3.185
15.0000,3.184
15.0400,3.164
15.0800,3.112
15.1200,3.148
15.1600,3.165
15.2000,3.102
15.2400,3.210
15.2800,3.091
15.3200,3.135
15.3600,3.015
15.4000,3.101
15.4400,3.090
15.4800,3.153
15.5200,3.089
15.5600,3.067
15.6000,3.038
15.6400,3.110
15.6800,3.057
15.7200,3.087
15.7600,3.082
15.8000,3.044
15.8400,3.008
15.8800,2.984
15.9200,3.039
15.9600,3.035
16.0000,2.998
16.0400,3.069
16.0800,3.090
16.1200,2.992
16.1600,2.980
16.2000,2.948
16.2400,3.010
16.2800,2.998
16.3200,3.010
16.3600,2.957
16.4000,3.094
16.4400,2.993
16.4800,3.060
16.5200,2.897
16.5600,2.987
16.6000,3.044
16.6400,3.024
16.6800,2.998
16.7200,2.932
16.7600,3.023
16.8000,2.931
16.8400,3.039
16.8800,3.018
16.9200,2.991
16.9600,3.039
17.0000,2.922
17.0400,3.100
17.0800,3.019
17.1200,2.996
17.1600,3.048
17.2000,2.978
17.2400,3.024
17.2800,2.919
17.3200,2.804
17.3600,2.931
17.4000,3.004
17.4400,2.947
17.4800,3.086
17.5200,2.977
17.5600,2.865
17.6000,2.886
