theta,intensity
5.0000,5.284
5.0400,5.137
5.0800,5.289
5.1200,5.215
5.1600,5.228
5.2000,5.089
5.2400,5.081
5.2800,5.201
5.3200,5.079
5.3600,4.993
5.4000,5.078
5.4400,5.078
5.4800,4.974
5.5200,5.034
5.5600,4.865
5.6000,4.823
5.6400,4.843
5.6800,4.806
5.7200,4.804
5.7600,4.661
5.8000,4.828
5.8400,4.707
5.8800,4.702
5.9200,4.422
5.9600,4.447
6.0000,4.450
6.0400,4.440
6.0800,4.387
6.1200,4.260
6.1600,4.374
6.2000,4.339
6.2400,4.272
6.2800,4.181
6.3200,4.065
6.3600,4.282
6.4000,4.129
6.4400,4.158
6.4800,4.215
6.5200,4.169
6.5600,4.038
6.6000,4.038
6.6400,4.170
6.6800,4.084
6.7200,4.076
6.7600,3.952
6.8000,4.025
6.8400,4.090
6.8800,3.945
6.9200,3.922
6.9600,3.960
7.0000,3.967
7.0400,3.929
7.0800,4.129
7.1200,3.874
7.1600,3.963
7.2000,3.999
7.2400,3.952
7.2800,3.933
7.3200,3.876
7.3600,3.868
7.4000,3.919
7.4400,4.008
7.4800,3.945
7.5200,3.879
7.5600,3.805
7.6000,3.804
7.6400,3.910
7.6800,3.924
7.7200,3.902
7.7600,3.833
7.8000,3.796
7.8400,3.782
7.8800,3.822
7.9200,3.853
7.9600,3.819
8.0000,3.863
8.0400,3.796
8.0800,3.788
8.1200,3.865
8.1600,3.744
8.2000,3.887
8.2400,3.936
8.2800,3.779
8.3200,3.806
8.3600,3.771
8.4000,3.700
8.4400,3.681
8.4800,3.798
8.5200,3.775
8.5600,3.693
8.6000,3.791
8.6400,3.725
8.6800,3.842
8.7200,3.656
8.7600,3.600
8.8000,3.685
8.8400,3.731
8.8800,3.629
8.9200,3.787
8.9600,3.651
9.0000,3.851
9.0400,3.606
9.0800,3.655
9.1200,3.624
9.1600,3.627
9.2000,3.625
9.2400,3.647
9.2800,3.690
9.3200,3.600
9.3600,3.684
9.4000,3.717
9.4400,3.698
9.4800,3.619
9.5200,3.629
