theta,intensity
5.0000,4.469
5.0400,4.346
5.0800,4.341
5.1200,4.367
5.1600,4.565
5.2000,4.440
5.2400,4.417
5.2800,4.314
5.3200,4.316
5.3600,4.372
5.4000,4.259
5.4400,4.282
5.4800,4.264
5.5200,4.196
5.5600,4.221
5.6000,4.210
5.6400,4.005
5.6800,4.037
5.7200,4.280
5.7600,4.076
5.8000,4.160
5.8400,3.937
5.8800,4.110
5.9200,4.102
5.9600,4.067
6.0000,3.945
6.0400,4.068
6.0800,4.003
6.1200,3.912
6.1600,3.810
6.2000,3.852
6.2400,3.974
6.2800,3.919
6.3200,3.945
6.3600,4.024
6.4000,3.867
6.4400,3.895
6.4800,3.905
6.5200,3.886
6.5600,3.912
6.6000,3.802
6.6400,3.870
6.6800,4.041
6.7200,3.725
6.7600,3.737
6.8000,3.754
6.8400,3.864
6.8800,3.744
6.9200,3.773
6.9600,3.739
7.0000,3.707
7.0400,3.714
7.0800,3.804
7.1200,3.767
7.1600,3.677
7.2000,3.657
7.2400,3.755
7.2800,3.755
7.3200,3.773
7.3600,3.691
7.4000,3.791
7.4400,3.775
7.4800,3.721
7.5200,3.647
7.5600,3.705
7.6000,3.801
7.6400,3.723
7.6800,3.728
7.7200,3.690
7.7600,3.648
7.8000,3.644
7.8400,3.594
7.8800,3.635
7.9200,3.580
7.9600,3.653
8.0000,3.610
8.0400,3.672
8.0800,3.685
8.1200,3.504
8.1600,3.618
8.2000,3.579
8.2400,3.548
8.2800,3.565
8.3200,3.495
8.3600,3.626
8.4000,3.530
8.4400,3.540
8.4800,3.531
8.5200,3.603
8.5600,3.523
8.6000,3.555
8.6400,3.391
8.6800,3.598
8.7200,3.517
8.7600,3.577
8.8000,3.635
8.8400,3.550
8.8800,3.508
8.9200,3.535
8.9600,3.460
9.0000,3.673
9.0400,3.553
9.0800,3.431
9.1200,3.562
9.1600,3.578
9.2000,3.552
9.2400,3.566
9.2800,3.459
9.3200,3.432
9.3600,3.459
9.4000,3.494
9.4400,3.535
9.4800,3.576
9.5200,3.560
9.5600,3.544
9.6000,3.394
9.6400,3.590
9.6800,3.410
9.7200,3.439
9.7600,3.311
9.8000,3.530
9.8400,3.465
9.8800,3.436
9.9200,3.370
9.9600,3.353
10.0000,3.503
10.0400,3.451
10.0800,3.381
10.1200,3.501
10.1600,3.431
10.2000,3.415
10.2400,3.503
10.2800,3.414
10.3200,3.371
10.3600,3.357
10.4000,3.274
10.4400,3.369
10.4800,3.481
10.5200,3.337
10.5600,3.359
10.6000,3.432
10.6400,3.343
10.6800,3.445
10.7200,3.337
10.7600,3.307
10.8000,3.463
10.8400,3.311
10.8800,3.382
10.9200,3.410
10.9600,3.309
11.0000,3.330
11.0400,3.240
11.0800,3.235
11.1200,3.346
11.1600,3.422
11.2000,3.218
11.2400,3.278
11.2800,3.197
11.3200,3.233
11.3600,3.338
11.4000,3.344
11.4400,3.276
11.4800,3.333
11.5200,3.304
11.5600,3.247
11.6000,3.218
11.6400,3.246
11.6800,3.345
11.7200,3.322
11.7600,3.303
11.8000,3.199
11.8400,3.245
11.8800,3.173
11.9200,3.152
11.9600,3.293
12.0000,3.239
12.0400,3.109
12.0800,3.219
12.1200,3.091
12.1600,3.192
12.2000,3.210
12.2400,3.274
12.2800,3.099
12.3200,3.156
12.3600,3.180
12.4000,3.185
12.4400,3.312
12.4800,3.266
12.5200,3.310
12.5600,3.279
12.6000,3.194
12.6400,3.142
12.6800,3.297
12.7200,3.258
12.7600,3.202
12.8000,3.219
12.8400,3.282
12.8800,3.254
12.9200,3.161
12.9600,3.123
13.0000,3.173
13.0400,3.257
13.0800,3.020
13.1200,3.100
13.1600,3.154
13.2000,3.197
13.2400,3.194
13.2800,3.043
13.3200,3.059
13.3600,3.197
13.4000,3.144
13.4400,3.105
13.4800,3.088
13.5200,3.181
13.5600,3.165
13.6000,3.092
13.6400,3.122
13.6800,3.127
13.7200,3.075
13.7600,3.064
13.8000,2.991
13.8400,3.079
13.8800,3.145
13.9200,3.006
13.9600,3.084
14.0000,3.090
14.0400,3.155
14.0800,3.085
14.1200,3.099
14.1600,3.008
14.2000,3.050
14.2400,3.069
14.2800,2.980
14.3200,3.021
14.3600,3.081
14.4000,3.071
14.4400,3.060
14.4800,3.021
14.5200,3.152
14.5600,3.029
14.6000,3.006
14.6400,2.991
14.6800,3.066
14.7200,2.947
14.7600,3.000
14.8000,3.029
14.8400,2.930
14.8800,2.991
14.9200,2.979
14.9600,2.979
15.0000,2.885
15.0400,3.063
15.0800,2.998
15.1200,3.037
15.1600,2.993
15.2000,3.038
15.2400,2.974
15.2800,3.040
15.3200,3.031
15.3600,3.055
15.4000,2.927
15.4400,3.023
15.4800,2.919
15.5200,2.930
15.5600,2.911
15.6000,3.012
15.6400,3.039
15.6800,2.976
15.7200,2.920
15.7600,2.962
15.8000,2.960
15.8400,2.988
15.8800,2.873
15.9200,3.025
15.9600,2.921
16.0000,2.864
16.0400,2.911
16.0800,2.898
16.1200,2.937
16.1600,2.828
16.2000,2.846
16.2400,2.892
16.2800,2.930
16.3200,2.913
16.3600,2.920
16.4000,2.864
16.4400,2.780
16.4800,2.872
16.5200,2.822
16.5600,2.858
16.6000,2.891
16.6400,2.865
16.6800,2.955
16.7200,2.833
16.7600,2.762
16.8000,2.823
16.8400,2.832
16.8800,2.917
16.9200,2.873
16.9600,2.802
17.0000,2.878
17.0400,2.805
17.0800,2.883
17.1200,2.744
17.1600,2.884
17.2000,2.780
17.2400,2.770
17.2800,2.733
17.3200,2.767
17.3600,2.732
17.4000,2.782
17.4400,2.892
17.4800,2.745
17.5200,2.821
17.5600,2.783
17.6000,2.660
17.6400,2.724
17.6800,2.653
17.7200,2.737
17.7600,2.755
17.8000,2.706
17.8400,2.741
17.8800,2.690
17.9200,2.730
17.9600,2.749
18.0000,2.677
18.0400,2.744
18.0800,2.740
18.1200,2.921
18.1600,2.671
18.2000,2.743
18.2400,2.687
18.2800,2.694
18.3200,2.705
18.3600,2.744
18.4000,2.645
18.4400,2.672
18.4800,2.678
18.5200,2.755
18.5600,2.634
18.6000,2.676
18.6400,2.648
18.6800,2.690
18.7200,2.734
18.7600,2.628
18.8000,2.689
18.8400,2.628
18.8800,2.589
18.9200,2.725
18.9600,2.669
19.0000,2.564
19.0400,2.594
19.0800,2.614
19.1200,2.655
19.1600,2.614
19.2000,2.591
19.2400,2.607
19.2800,2.626
19.3200,2.732
19.3600,2.643
19.4000,2.580
19.4400,2.638
19.4800,2.565
19.5200,2.640
19.5600,2.483
19.6000,2.589
19.6400,2.677
19.6800,2.449
19.7200,2.553
19.7600,2.639
19.8000,2.505
19.8400,2.597
19.8800,2.516
19.9200,2.601
19.9600,2.426
20.0000,2.545
20.0400,2.519
20.0800,2.554
20.1200,2.568
20.1600,2.584
20.2000,2.618
20.2400,2.439
20.2800,2.482
20.3200,2.527
20.3600,2.548
20.4000,2.473
20.4400,2.527
20.4800,2.504
20.5200,2.566
20.5600,2.540
20.6000,2.605
20.6400,2.431
20.6800,2.520
20.7200,2.578
20.7600,2.425
20.8000,2.555
20.8400,2.533
20.8800,2.452
20.9200,2.390
20.9600,2.477
21.0000,2.468
21.0400,2.456
21.0800,2.575
21.1200,2.559
21.1600,2.527
21.2000,2.472
21.2400,2.489
21.2800,2.437
21.3200,2.504
21.3600,2.432
21.4000,2.449
21.4400,2.434
21.4800,2.424
21.5200,2.387
21.5600,2.465
21.6000,2.331
21.6400,2.403
21.6800,2.434
21.7200,2.458
21.7600,2.505
21.8000,2.397
21.8400,2.336
21.8800,2.376
21.9200,2.464
21.9600,2.402
22.0000,2.422
22.0400,2.298
22.0800,2.289
22.1200,2.419
22.1600,2.318
22.2000,2.323
22.2400,2.363
22.2800,2.452
22.3200,2.447
22.3600,2.339
22.4000,2.444
22.4400,2.371
