theta,intensity
5.0000,5.223
5.0400,5.124
5.0800,5.165
5.1200,5.079
5.1600,5.144
5.2000,5.157
5.2400,5.039
5.2800,5.039
5.3200,5.036
5.3600,4.925
5.4000,4.952
5.4400,4.999
5.4800,4.817
5.5200,4.876
5.5600,4.833
5.6000,4.787
5.6400,4.706
5.6800,4.755
5.7200,4.704
5.7600,4.528
5.8000,4.624
5.8400,4.603
5.8800,4.398
5.9200,4.347
5.9600,4.471
6.0000,4.379
6.0400,4.277
6.0800,4.189
6.1200,4.337
6.1600,4.293
6.2000,4.163
6.2400,4.100
6.2800,4.112
6.3200,4.158
6.3600,4.067
6.4000,4.038
6.4400,4.123
6.4800,4.131
6.5200,4.055
6.5600,4.059
6.6000,4.038
6.6400,4.089
6.6800,4.107
6.7200,4.039
6.7600,4.053
6.8000,4.018
6.8400,3.977
6.8800,3.990
6.9200,3.902
6.9600,3.972
7.0000,3.918
7.0400,3.863
7.0800,3.923
7.1200,4.036
7.1600,3.993
7.2000,3.865
7.2400,3.814
7.2800,3.921
7.3200,3.820
7.3600,3.922
7.4000,3.952
7.4400,3.780
7.4800,3.785
7.5200,3.762
7.5600,3.855
7.6000,3.739
7.6400,3.726
7.6800,3.848
7.7200,3.754
7.7600,3.838
7.8000,3.803
7.8400,3.749
7.8800,3.886
7.9200,3.770
7.9600,3.869
8.0000,3.725
8.0400,3.806
8.0800,3.808
8.1200,3.808
8.1600,3.827
8.2000,3.755
8.2400,3.728
8.2800,3.759
8.3200,3.706
8.3600,3.705
8.4000,3.636
8.4400,3.719
8.4800,3.677
8.5200,3.646
8.5600,3.656
8.6000,3.696
8.6400,3.618
8.6800,3.777
8.7200,3.667
8.7600,3.556
8.8000,3.664
8.8400,3.591
8.8800,3.707
8.9200,3.554
8.9600,3.605
9.0000,3.520
9.0400,3.744
9.0800,3.621
9.1200,3.696
9.1600,3.707
9.2000,3.712
9.2400,3.607
9.2800,3.641
9.3200,3.554
9.3600,3.552
9.4000,3.582
9.4400,3.579
9.4800,3.577
9.5200,3.603
9.5600,3.774
9.6000,3.506
9.6400,3.423
9.6800,3.519
9.7200,3.513
9.7600,3.526
9.8000,3.579
9.8400,3.470
9.8800,3.560
9.9200,3.515
9.9600,3.500
10.0000,3.487
10.0400,3.484
10.0800,3.571
10.1200,3.477
10.1600,3.523
10.2000,3.494
10.2400,3.486
10.2800,3.556
10.3200,3.536
10.3600,3.476
10.4000,3.530
10.4400,3.453
10.4800,3.422
10.5200,3.619
10.5600,3.386
10.6000,3.452
10.6400,3.425
10.6800,3.557
10.7200,3.466
10.7600,3.455
10.8000,3.474
10.8400,3.428
10.8800,3.401
10.9200,3.431
10.9600,3.377
11.0000,3.420
11.0400,3.449
11.0800,3.334
11.1200,3.454
11.1600,3.390
11.2000,3.441
11.2400,3.347
11.2800,3.296
11.3200,3.288
11.3600,3.340
11.4000,3.373
11.4400,3.314
11.4800,3.305
11.5200,3.419
11.5600,3.321
11.6000,3.229
11.6400,3.347
11.6800,3.286
11.7200,3.353
11.7600,3.386
11.8000,3.326
11.8400,3.328
11.8800,3.290
11.9200,3.208
11.9600,3.311
12.0000,3.310
12.0400,3.316
12.0800,3.331
12.1200,3.307
12.1600,3.362
12.2000,3.350
12.2400,3.271
