theta,intensity
5.0000,5.507
5.0400,5.485
5.0800,5.478
5.1200,5.489
5.1600,5.494
5.2000,5.290
5.2400,5.362
5.2800,5.306
5.3200,5.249
5.3600,5.191
5.4000,5.221
5.4400,5.244
5.4800,5.208
5.5200,4.997
5.5600,4.914
5.6000,4.865
5.6400,4.997
5.6800,4.978
5.7200,4.803
5.7600,4.871
5.8000,4.670
5.8400,4.656
5.8800,4.465
5.9200,4.679
5.9600,4.424
6.0000,4.406
6.0400,4.361
6.0800,4.349
6.1200,4.375
6.1600,4.363
6.2000,4.354
6.2400,4.231
6.2800,4.157
6.3200,4.336
6.3600,4.141
6.4000,4.364
6.4400,4.243
6.4800,4.210
6.5200,4.177
6.5600,4.144
6.6000,4.071
6.6400,4.194
6.6800,3.997
6.7200,4.148
6.7600,4.097
6.8000,4.151
6.8400,4.163
6.8800,4.141
6.9200,4.104
6.9600,3.983
7.0000,4.008
7.0400,4.192
7.0800,4.191
7.1200,4.158
7.1600,4.129
7.2000,4.117
7.2400,3.966
7.2800,4.068
7.3200,4.066
7.3600,3.920
7.4000,4.017
7.4400,3.954
7.4800,3.887
7.5200,3.999
7.5600,3.914
7.6000,4.052
7.6400,3.971
7.6800,3.941
7.7200,3.875
7.7600,3.980
7.8000,3.988
7.8400,4.005
7.8800,4.053
7.9200,3.861
7.9600,3.939
8.0000,3.883
8.0400,3.939
8.0800,3.922
8.1200,3.812
8.1600,3.810
8.2000,3.751
8.2400,3.946
8.2800,3.960
8.3200,3.882
8.3600,3.901
8.4000,3.792
8.4400,3.915
8.4800,3.773
8.5200,3.798
8.5600,3.935
8.6000,3.946
8.6400,3.793
8.6800,3.815
8.7200,3.859
8.7600,3.850
8.8000,3.734
8.8400,3.659
8.8800,3.813
8.9200,3.829
8.9600,3.658
9.0000,3.941
9.0400,3.842
9.0800,3.646
9.1200,3.787
9.1600,3.723
9.2000,3.760
9.2400,3.601
9.2800,3.735
9.3200,3.752
9.3600,3.712
9.4000,3.797
9.4400,3.636
9.4800,3.701
9.5200,3.761
9.5600,3.637
9.6000,3.758
9.6400,3.743
9.6800,3.768
9.7200,3.700
9.7600,3.651
9.8000,3.792
9.8400,3.719
9.8800,3.851
9.9200,3.617
9.9600,3.523
10.0000,3.701
10.0400,3.657
10.0800,3.665
10.1200,3.591
10.1600,3.526
10.2000,3.637
10.2400,3.661
10.2800,3.692
10.3200,3.456
10.3600,3.693
10.4000,3.632
10.4400,3.706
10.4800,3.583
10.5200,3.599
10.5600,3.667
10.6000,3.542
10.6400,3.506
10.6800,3.593
10.7200,3.577
10.7600,3.452
10.8000,3.594
10.8400,3.526
10.8800,3.489
10.9200,3.626
10.9600,3.576
11.0000,3.536
11.0400,3.601
11.0800,3.510
11.1200,3.611
11.1600,3.489
11.2000,3.638
11.2400,3.612
11.2800,3.501
11.3200,3.521
11.3600,3.456
11.4000,3.556
11.4400,3.425
11.4800,3.440
11.5200,3.729
11.5600,3.487
11.6000,3.512
11.6400,3.636
11.6800,3.469
11.7200,3.489
11.7600,3.609
11.8000,3.616
11.8400,3.561
11.8800,3.339
11.9200,3.458
11.9600,3.497
12.0000,3.489
12.0400,3.523
12.0800,3.449
12.1200,3.587
12.1600,3.564
12.2000,3.397
12.2400,3.537
12.2800,3.530
12.3200,3.483
12.3600,3.537
12.4000,3.356
12.4400,3.541
12.4800,3.419
12.5200,3.369
12.5600,3.283
12.6000,3.329
12.6400,3.343
12.6800,3.473
12.7200,3.332
12.7600,3.390
12.8000,3.315
12.8400,3.418
12.8800,3.527
12.9200,3.423
12.9600,3.498
13.0000,3.385
13.0400,3.422
13.0800,3.386
13.1200,3.248
13.1600,3.446
13.2000,3.273
13.2400,3.295
13.2800,3.471
13.3200,3.414
13.3600,3.342
13.4000,3.337
13.4400,3.256
13.4800,3.378
13.5200,3.313
13.5600,3.327
13.6000,3.397
13.6400,3.344
13.6800,3.304
13.7200,3.191
13.7600,3.310
13.8000,3.430
13.8400,3.232
13.8800,3.251
13.9200,3.363
13.9600,3.294
14.0000,3.273
14.0400,3.283
14.0800,3.183
14.1200,3.342
14.1600,3.254
14.2000,3.163
14.2400,3.243
14.2800,3.227
14.3200,3.130
14.3600,3.210
14.4000,3.304
14.4400,3.256
14.4800,3.365
14.5200,3.342
14.5600,3.376
14.6000,3.324
14.6400,3.278
14.6800,3.221
14.7200,3.281
14.7600,3.252
14.8000,3.274
14.8400,3.216
14.8800,3.198
14.9200,3.173
14.9600,3.186
15.0000,3.171
15.0400,3.237
15.0800,3.076
15.1200,3.103
15.1600,3.106
15.2000,3.139
15.2400,3.250
15.2800,3.027
15.3200,3.299
15.3600,3.234
15.4000,3.221
15.4400,3.231
15.4800,3.171
15.5200,3.224
15.5600,3.026
15.6000,3.165
15.6400,3.187
15.6800,3.159
15.7200,3.164
15.7600,3.112
15.8000,3.141
15.8400,3.088
15.8800,3.150
15.9200,3.032
15.9600,3.073
16.0000,3.073
16.0400,3.069
16.0800,3.013
16.1200,3.128
16.1600,3.212
16.2000,3.145
16.2400,3.134
16.2800,2.972
16.3200,3.034
16.3600,3.130
16.4000,3.098
16.4400,3.125
16.4800,3.086
16.5200,3.031
16.5600,3.160
16.6000,2.979
16.6400,3.138
16.6800,2.926
16.7200,2.839
16.7600,3.026
16.8000,3.168
16.8400,2.989
16.8800,3.061
16.9200,2.924
16.9600,2.961
17.0000,3.033
17.0400,2.956
17.0800,2.987
17.1200,3.005
17.1600,2.974
17.2000,3.008
17.2400,2.990
17.2800,2.983
17.3200,2.969
17.3600,2.988
17.4000,2.877
17.4400,3.029
17.4800,2.905
17.5200,2.946
17.5600,2.885
17.6000,2.926
17.6400,2.820
17.6800,2.779
17.7200,2.890
17.7600,2.944
17.8000,2.915
17.8400,2.897
17.8800,2.959
