theta,intensity
5.0000,8.617
5.0400,8.619
5.0800,8.484
5.1200,8.353
5.1600,8.219
5.2000,8.069
5.2400,7.860
5.2800,7.988
5.3200,7.586
5.3600,7.463
5.4000,7.609
5.4400,7.352
5.4800,7.264
5.5200,7.160
5.5600,7.056
5.6000,6.944
5.6400,6.635
5.6800,6.447
5.7200,6.411
5.7600,6.268
5.8000,6.123
5.8400,6.244
5.8800,5.900
5.9200,5.729
5.9600,5.749
6.0000,5.703
6.0400,5.649
6.0800,5.533
6.1200,5.349
6.1600,5.255
6.2000,5.122
6.2400,5.132
6.2800,5.004
6.3200,4.989
6.3600,4.853
6.4000,5.009
6.4400,4.718
6.4800,4.643
6.5200,4.640
6.5600,4.572
6.6000,4.606
6.6400,4.394
6.6800,4.344
6.7200,4.541
6.7600,4.378
6.8000,4.314
6.8400,4.251
6.8800,4.396
6.9200,4.242
6.9600,4.293
7.0000,4.212
7.0400,4.373
7.0800,4.231
7.1200,4.033
7.1600,4.230
7.2000,4.255
7.2400,4.070
7.2800,4.139
7.3200,4.210
7.3600,4.080
7.4000,4.221
7.4400,3.972
7.4800,4.212
7.5200,4.071
7.5600,4.075
7.6000,4.153
7.6400,4.091
7.6800,4.098
7.7200,4.056
7.7600,4.154
7.8000,4.069
7.8400,3.940
7.8800,4.097
7.9200,4.177
7.9600,4.218
8.0000,3.938
8.0400,3.952
8.0800,3.904
8.1200,4.061
8.1600,3.983
8.2000,3.814
8.2400,4.032
8.2800,3.893
8.3200,3.914
8.3600,3.903
8.4000,3.922
8.4400,4.005
8.4800,3.827
8.5200,3.969
8.5600,3.864
8.6000,3.818
8.6400,3.940
8.6800,3.815
8.7200,3.909
8.7600,3.966
8.8000,3.788
8.8400,3.851
8.8800,3.856
8.9200,3.871
8.9600,3.790
9.0000,3.799
9.0400,3.838
9.0800,4.008
9.1200,3.784
9.1600,3.904
9.2000,3.620
9.2400,3.660
9.2800,3.821
9.3200,3.810
9.3600,3.675
9.4000,3.615
9.4400,3.741
9.4800,3.743
9.5200,3.838
9.5600,3.850
9.6000,3.764
9.6400,3.779
9.6800,3.741
9.7200,3.836
9.7600,3.740
9.8000,3.557
9.8400,3.922
9.8800,3.811
9.9200,3.829
9.9600,3.836
10.0000,3.751
10.0400,3.580
10.0800,3.681
10.1200,3.715
10.1600,3.800
10.2000,3.635
10.2400,3.680
10.2800,3.585
10.3200,3.517
10.3600,3.464
10.4000,3.637
10.4400,3.631
10.4800,3.770
10.5200,3.658
10.5600,3.452
10.6000,3.604
10.6400,3.623
10.6800,3.597
10.7200,3.585
10.7600,3.719
10.8000,3.673
10.8400,3.716
10.8800,3.572
10.9200,3.537
10.9600,3.651
11.0000,3.650
11.0400,3.563
11.0800,3.537
11.1200,3.530
11.1600,3.574
11.2000,3.493
11.2400,3.470
11.2800,3.525
11.3200,3.668
11.3600,3.517
11.4000,3.576
11.4400,3.729
11.4800,3.551
11.5200,3.561
11.5600,3.531
11.6000,3.505
11.6400,3.677
11.6800,3.611
11.7200,3.705
11.7600,3.469
11.8000,3.520
11.8400,3.602
11.8800,3.590
11.9200,3.650
11.9600,3.503
12.0000,3.532
12.0400,3.607
12.0800,3.422
12.1200,3.411
12.1600,3.339
12.2000,3.523
12.2400,3.303
12.2800,3.541
12.3200,3.527
12.3600,3.489
12.4000,3.521
12.4400,3.467
12.4800,3.415
12.5200,3.347
12.5600,3.447
12.6000,3.432
12.6400,3.486
12.6800,3.402
12.7200,3.392
12.7600,3.424
12.8000,3.353
12.8400,3.447
12.8800,3.501
12.9200,3.517
12.9600,3.405
13.0000,3.460
13.0400,3.365
13.0800,3.417
13.1200,3.488
13.1600,3.429
13.2000,3.445
13.2400,3.486
13.2800,3.372
13.3200,3.444
13.3600,3.384
13.4000,3.380
13.4400,3.308
13.4800,3.383
13.5200,3.481
13.5600,3.514
13.6000,3.385
13.6400,3.365
13.6800,3.415
13.7200,3.396
13.7600,3.239
13.8000,3.220
13.8400,3.279
13.8800,3.398
13.9200,3.304
13.9600,3.250
14.0000,3.190
14.0400,3.198
14.0800,3.273
14.1200,3.364
14.1600,3.269
14.2000,3.362
14.2400,3.345
14.2800,3.234
14.3200,3.322
14.3600,3.329
14.4000,3.309
14.4400,3.388
14.4800,3.271
14.5200,3.257
14.5600,3.254
14.6000,3.272
14.6400,3.263
14.6800,3.324
14.7200,3.101
14.7600,3.413
14.8000,3.453
14.8400,3.245
14.8800,3.258
14.9200,3.285
14.9600,3.279
15.0000,3.176
15.0400,3.202
15.0800,3.205
15.1200,3.313
15.1600,3.248
15.2000,3.245
15.2400,3.227
15.2800,3.037
15.3200,3.169
15.3600,3.159
15.4000,3.126
15.4400,3.168
15.4800,3.121
15.5200,3.176
15.5600,3.109
15.6000,3.234
15.6400,3.210
15.6800,3.174
15.7200,3.135
15.7600,3.303
15.8000,3.112
15.8400,3.131
15.8800,3.039
15.9200,3.125
15.9600,3.244
16.0000,3.017
16.0400,3.147
16.0800,3.027
16.1200,3.056
16.1600,3.007
16.2000,3.125
16.2400,3.178
16.2800,3.136
16.3200,3.166
16.3600,3.054
16.4000,2.947
16.4400,2.953
16.4800,3.055
16.5200,3.067
16.5600,2.860
16.6000,3.083
16.6400,3.146
16.6800,3.022
16.7200,3.254
16.7600,3.132
16.8000,3.041
16.8400,3.069
16.8800,3.035
16.9200,3.020
16.9600,2.885
17.0000,3.041
17.0400,2.906
17.0800,3.132
17.1200,3.039
17.1600,2.976
17.2000,3.073
17.2400,3.070
17.2800,2.937
17.3200,3.072
17.3600,3.088
17.4000,2.974
17.4400,2.860
17.4800,2.827
17.5200,2.971
17.5600,3.034
17.6000,2.964
17.6400,2.935
17.6800,2.999
17.7200,3.082
17.7600,3.019
17.8000,3.102
17.8400,3.042
17.8800,3.030
17.9200,2.976
17.9600,3.064
18.0000,2.876
18.0400,2.873
18.0800,2.913
18.1200,2.889
18.1600,2.880
18.2000,2.985
18.2400,2.957
18.2800,2.973
18.3200,2.878
18.3600,3.022
18.4000,2.911
18.4400,2.956
18.4800,2.802
18.5200,3.014
18.5600,2.979
18.6000,2.872
18.6400,2.865
18.6800,2.781
18.7200,2.821
18.7600,2.868
18.8000,2.902
18.8400,2.792
18.8800,2.899
18.9200,2.908
18.9600,2.877
19.0000,2.790
19.0400,2.746
19.0800,2.841
19.1200,2.831
19.1600,2.876
19.2000,2.924
19.2400,2.694
19.2800,2.871
19.3200,2.898
19.3600,2.886
19.4000,2.886
19.4400,2.842
19.4800,2.807
19.5200,2.858
19.5600,2.841
19.6000,2.726
19.6400,2.900
19.6800,2.839
19.7200,2.735
19.7600,2.801
19.8000,2.750
19.8400,2.765
19.8800,2.889
19.9200,2.709
19.9600,2.780
20.0000,2.816
20.0400,2.757
20.0800,2.896
20.1200,2.683
20.1600,2.780
20.2000,2.736
20.2400,2.657
20.2800,2.696
20.3200,2.699
20.3600,2.637
20.4000,2.809
20.4400,2.674
20.4800,2.779
20.5200,2.670
20.5600,2.789
20.6000,2.629
20.6400,2.821
20.6800,2.639
20.7200,2.622
20.7600,2.699
20.8000,2.628
20.8400,2.614
20.8800,2.677
20.9200,2.627
20.9600,2.660
21.0000,2.597
21.0400,2.605
21.0800,2.672
21.1200,2.710
21.1600,2.682
21.2000,2.734
21.2400,2.651
21.2800,2.591
21.3200,2.554
21.3600,2.695
21.4000,2.593
21.4400,2.650
21.4800,2.595
21.5200,2.563
21.5600,2.712
21.6000,2.529
21.6400,2.594
21.6800,2.670
21.7200,2.696
21.7600,2.747
21.8000,2.593
21.8400,2.579
21.8800,2.565
21.9200,2.585
21.9600,2.536
22.0000,2.683
22.0400,2.636
22.0800,2.484
22.1200,2.646
22.1600,2.586
22.2000,2.602
22.2400,2.572
22.2800,2.568
22.3200,2.417
22.3600,2.576
22.4000,2.585
22.4400,2.627
22.4800,2.667
22.5200,2.477
22.5600,2.562
22.6000,2.663
22.6400,2.559
22.6800,2.494
22.7200,2.481
22.7600,2.519
22.8000,2.493
22.8400,2.445
22.8800,2.604
22.9200,2.525
22.9600,2.590
23.0000,2.526
23.0400,2.533
23.0800,2.368
23.1200,2.503
23.1600,2.483
23.2000,2.487
23.2400,2.458
23.2800,2.518
23.3200,2.583
23.3600,2.488
23.4000,2.509
23.4400,2.593
23.4800,2.514
23.5200,2.598
23.5600,2.558
23.6000,2.438
23.6400,2.490
23.6800,2.469
23.7200,2.605
23.7600,2.575
23.8000,2.522
23.8400,2.712
23.8800,2.505
23.9200,2.687
23.9600,2.716
24.0000,2.711
24.0400,2.784
24.0800,2.956
24.1200,3.049
24.1600,3.079
24.2000,3.056
24.2400,3.081
24.2800,2.900
