theta,intensity
5.0000,6.283
5.0400,6.142
5.0800,6.071
5.1200,6.231
5.1600,6.115
5.2000,6.022
5.2400,5.827
5.2800,5.986
5.3200,5.747
5.3600,5.572
5.4000,5.463
5.4400,5.346
5.4800,5.555
5.5200,5.264
5.5600,5.070
5.6000,5.316
5.6400,5.243
5.6800,5.020
5.7200,4.983
5.7600,4.896
5.8000,4.884
5.8400,4.996
5.8800,4.689
5.9200,4.731
5.9600,4.507
6.0000,4.533
6.0400,4.428
6.0800,4.601
6.1200,4.445
6.1600,4.290
6.2000,4.469
6.2400,4.340
6.2800,4.344
6.3200,4.335
6.3600,4.373
6.4000,4.347
6.4400,4.415
6.4800,4.349
6.5200,4.232
6.5600,4.305
6.6000,4.157
6.6400,4.258
6.6800,4.246
6.7200,4.218
6.7600,4.198
6.8000,4.178
6.8400,4.257
6.8800,4.118
6.9200,4.201
6.9600,4.149
7.0000,4.255
7.0400,4.245
7.0800,4.125
7.1200,4.141
7.1600,4.166
7.2000,4.129
7.2400,4.113
7.2800,4.063
7.3200,4.131
7.3600,4.191
7.4000,3.938
7.4400,4.050
7.4800,4.111
7.5200,4.116
7.5600,3.981
7.6000,4.149
7.6400,4.067
7.6800,4.043
7.7200,4.048
7.7600,4.039
7.8000,4.038
7.8400,4.124
7.8800,4.081
7.9200,4.085
7.9600,4.036
8.0000,3.861
8.0400,4.093
8.0800,3.989
8.1200,3.961
8.1600,3.909
8.2000,3.880
8.2400,3.891
8.2800,4.044
8.3200,3.810
8.3600,3.904
8.4000,3.885
8.4400,3.886
8.4800,4.053
8.5200,4.038
8.5600,3.848
8.6000,3.876
8.6400,3.973
8.6800,3.825
8.7200,3.847
8.7600,3.867
8.8000,3.844
8.8400,3.920
8.8800,3.886
8.9200,3.782
8.9600,3.911
9.0000,3.980
9.0400,3.816
9.0800,3.763
9.1200,3.740
9.1600,3.987
9.2000,3.747
9.2400,3.959
9.2800,3.825
9.3200,3.791
9.3600,3.968
9.4000,3.932
9.4400,3.743
9.4800,3.733
9.5200,3.815
9.5600,3.842
9.6000,3.762
9.6400,3.776
9.6800,3.990
9.7200,3.833
9.7600,3.803
9.8000,3.819
9.8400,3.803
9.8800,3.751
9.9200,3.786
9.9600,3.749
10.0000,3.736
10.0400,3.751
10.0800,3.844
10.1200,3.860
10.1600,3.742
10.2000,3.563
10.2400,3.844
10.2800,3.771
10.3200,3.710
10.3600,3.722
10.4000,3.697
10.4400,3.748
10.4800,3.681
10.5200,3.639
10.5600,3.709
10.6000,3.601
10.6400,3.791
10.6800,3.686
10.7200,3.667
10.7600,3.671
10.8000,3.770
10.8400,3.630
10.8800,3.651
10.9200,3.817
10.9600,3.709
11.0000,3.684
11.0400,3.769
11.0800,3.619
11.1200,3.605
11.1600,3.521
11.2000,3.646
11.2400,3.633
11.2800,3.597
11.3200,3.582
11.3600,3.638
11.4000,3.546
11.4400,3.543
11.4800,3.537
11.5200,3.436
11.5600,3.581
11.6000,3.642
11.6400,3.585
11.6800,3.642
11.7200,3.577
11.7600,3.485
11.8000,3.593
11.8400,3.523
11.8800,3.634
11.9200,3.544
11.9600,3.554
12.0000,3.436
12.0400,3.458
12.0800,3.387
12.1200,3.588
12.1600,3.641
12.2000,3.680
12.2400,3.558
12.2800,3.534
12.3200,3.597
12.3600,3.456
12.4000,3.471
12.4400,3.512
