theta,intensity
5.0000,10.665
5.0400,10.337
5.0800,10.231
5.1200,10.171
5.1600,9.972
5.2000,9.909
5.2400,9.636
5.2800,9.659
5.3200,9.764
5.3600,9.441
5.4000,9.272
5.4400,9.333
5.4800,9.358
5.5200,9.102
5.5600,8.685
5.6000,8.687
5.6400,8.539
5.6800,8.240
5.7200,8.374
5.7600,8.188
5.8000,7.889
5.8400,7.827
5.8800,7.612
5.9200,7.767
5.9600,7.437
6.0000,7.280
6.0400,7.252
6.0800,6.785
6.1200,6.903
6.1600,6.679
6.2000,6.599
6.2400,6.709
6.2800,6.654
6.3200,6.597
6.3600,6.368
6.4000,6.115
6.4400,5.893
6.4800,5.850
6.5200,5.822
6.5600,5.702
6.6000,5.705
6.6400,5.533
6.6800,5.386
6.7200,5.386
6.7600,5.364
6.8000,5.394
6.8400,5.229
6.8800,5.138
6.9200,5.029
6.9600,5.010
7.0000,5.106
7.0400,4.912
7.0800,5.078
7.1200,5.058
7.1600,4.766
7.2000,4.680
7.2400,4.710
7.2800,4.600
7.3200,4.549
7.3600,4.421
7.4000,4.493
7.4400,4.505
7.4800,4.331
7.5200,4.536
7.5600,4.288
7.6000,4.647
7.6400,4.277
7.6800,4.340
7.7200,4.357
7.7600,4.171
7.8000,4.064
7.8400,4.208
7.8800,4.169
7.9200,4.279
7.9600,4.055
8.0000,4.128
8.0400,4.031
8.0800,4.228
8.1200,4.053
8.1600,4.013
8.2000,4.131
8.2400,4.067
8.2800,3.979
8.3200,4.021
8.3600,4.014
8.4000,4.038
8.4400,4.043
8.4800,4.000
8.5200,3.919
8.5600,3.970
8.6000,3.927
8.6400,3.857
8.6800,3.899
8.7200,3.896
8.7600,3.995
8.8000,3.869
8.8400,3.905
8.8800,3.939
8.9200,3.943
8.9600,3.906
9.0000,3.741
9.0400,3.862
9.0800,3.779
9.1200,3.789
9.1600,3.808
9.2000,3.811
9.2400,4.067
9.2800,3.890
9.3200,3.917
9.3600,3.901
9.4000,3.658
9.4400,3.823
9.4800,3.849
9.5200,3.894
9.5600,3.687
9.6000,3.842
9.6400,3.854
9.6800,3.877
9.7200,3.845
9.7600,3.738
9.8000,3.790
9.8400,3.678
9.8800,3.643
9.9200,3.847
9.9600,3.809
10.0000,3.728
10.0400,3.667
10.0800,3.742
10.1200,3.652
10.1600,3.677
10.2000,3.703
10.2400,3.561
10.2800,3.645
10.3200,3.643
10.3600,3.678
10.4000,3.706
10.4400,3.672
10.4800,3.658
10.5200,3.694
10.5600,3.625
10.6000,3.524
10.6400,3.568
10.6800,3.672
10.7200,3.677
10.7600,3.851
10.8000,3.611
10.8400,3.507
10.8800,3.646
10.9200,3.502
10.9600,3.578
11.0000,3.583
11.0400,3.733
11.0800,3.673
11.1200,3.553
11.1600,3.578
11.2000,3.520
11.2400,3.778
11.2800,3.643
11.3200,3.680
11.3600,3.619
11.4000,3.498
11.4400,3.705
11.4800,3.666
11.5200,3.735
11.5600,3.726
11.6000,3.708
11.6400,3.559
11.6800,3.540
11.7200,3.518
11.7600,3.561
11.8000,3.533
11.8400,3.678
11.8800,3.542
11.9200,3.428
11.9600,3.612
12.0000,3.484
12.0400,3.463
12.0800,3.500
12.1200,3.500
12.1600,3.379
12.2000,3.314
12.2400,3.463
12.2800,3.489
12.3200,3.483
12.3600,3.564
12.4000,3.505
12.4400,3.499
12.4800,3.505
12.5200,3.540
12.5600,3.560
12.6000,3.392
12.6400,3.399
12.6800,3.458
12.7200,3.565
12.7600,3.431
12.8000,3.443
12.8400,3.512
12.8800,3.319
12.9200,3.296
12.9600,3.306
13.0000,3.461
13.0400,3.448
13.0800,3.420
13.1200,3.419
13.1600,3.424
13.2000,3.387
13.2400,3.365
13.2800,3.360
13.3200,3.429
13.3600,3.320
13.4000,3.481
13.4400,3.455
13.4800,3.366
13.5200,3.276
13.5600,3.313
13.6000,3.342
13.6400,3.386
13.6800,3.349
13.7200,3.267
13.7600,3.393
13.8000,3.397
13.8400,3.251
13.8800,3.216
13.9200,3.384
13.9600,3.200
14.0000,3.371
14.0400,3.268
14.0800,3.389
14.1200,3.307
14.1600,3.213
14.2000,3.244
14.2400,3.329
14.2800,3.298
14.3200,3.316
14.3600,3.265
14.4000,3.253
14.4400,3.232
14.4800,3.198
14.5200,3.227
14.5600,3.303
14.6000,3.195
14.6400,3.266
14.6800,3.275
14.7200,3.260
14.7600,3.267
14.8000,3.267
14.8400,3.165
14.8800,3.135
14.9200,3.201
14.9600,3.174
15.0000,3.272
15.0400,3.169
15.0800,3.146
15.1200,3.354
15.1600,3.300
15.2000,3.253
15.2400,3.177
15.2800,3.220
15.3200,3.212
15.3600,3.208
15.4000,3.216
15.4400,3.158
15.4800,3.186
15.5200,3.305
15.5600,3.126
15.6000,3.156
15.6400,3.120
15.6800,3.093
15.7200,3.129
15.7600,3.105
15.8000,3.081
15.8400,3.191
15.8800,3.196
15.9200,3.010
15.9600,3.224
16.0000,3.103
16.0400,3.207
16.0800,3.115
16.1200,3.094
16.1600,3.042
16.2000,3.199
16.2400,3.116
16.2800,2.949
16.3200,3.173
16.3600,3.132
16.4000,3.174
16.4400,3.154
16.4800,3.120
16.5200,3.234
16.5600,3.081
16.6000,3.087
16.6400,3.090
16.6800,3.108
16.7200,3.048
16.7600,3.132
16.8000,3.026
16.8400,2.989
16.8800,3.064
16.9200,3.134
16.9600,3.084
17.0000,3.032
17.0400,2.999
17.0800,3.084
17.1200,2.965
17.1600,3.119
17.2000,3.036
17.2400,2.991
17.2800,3.079
17.3200,2.903
17.3600,2.925
17.4000,3.045
17.4400,2.975
17.4800,3.103
17.5200,3.014
17.5600,3.035
17.6000,3.004
17.6400,2.994
17.6800,2.892
17.7200,2.869
17.7600,2.872
17.8000,3.116
17.8400,2.977
17.8800,3.077
17.9200,3.020
17.9600,2.985
18.0000,2.911
18.0400,3.082
18.0800,2.937
18.1200,3.025
18.1600,2.952
18.2000,2.800
18.2400,3.009
18.2800,2.911
18.3200,2.979
18.3600,2.935
18.4000,3.017
18.4400,2.938
18.4800,2.960
18.5200,2.740
18.5600,2.841
18.6000,2.867
18.6400,2.750
18.6800,2.838
18.7200,2.855
18.7600,2.874
18.8000,2.775
18.8400,2.807
18.8800,2.751
18.9200,2.830
18.9600,2.918
19.0000,2.837
19.0400,2.747
19.0800,2.803
19.1200,2.911
19.1600,2.991
19.2000,2.805
19.2400,2.808
19.2800,2.830
19.3200,2.890
19.3600,2.856
19.4000,2.716
19.4400,2.860
19.4800,2.908
19.5200,2.834
19.5600,2.797
19.6000,2.564
19.6400,2.693
19.6800,2.854
19.7200,2.764
19.7600,2.837
19.8000,2.866
19.8400,2.729
19.8800,2.794
19.9200,2.824
19.9600,2.837
20.0000,2.766
20.0400,2.805
20.0800,2.837
20.1200,2.770
20.1600,2.758
20.2000,2.774
20.2400,2.667
20.2800,2.653
20.3200,2.719
20.3600,2.791
20.4000,2.599
20.4400,2.792
20.4800,2.706
20.5200,2.801
20.5600,2.663
20.6000,2.705
20.6400,2.847
20.6800,2.807
20.7200,2.689
20.7600,2.637
20.8000,2.707
20.8400,2.720
20.8800,2.645
20.9200,2.851
20.9600,2.776
21.0000,2.793
21.0400,2.605
21.0800,2.683
21.1200,2.747
21.1600,2.704
21.2000,2.607
21.2400,2.685
21.2800,2.580
21.3200,2.768
21.3600,2.662
21.4000,2.707
21.4400,2.674
21.4800,2.681
21.5200,2.651
21.5600,2.543
21.6000,2.495
21.6400,2.659
21.6800,2.694
21.7200,2.747
21.7600,2.727
21.8000,2.688
21.8400,2.708
21.8800,2.668
21.9200,2.607
21.9600,2.616
22.0000,2.656
22.0400,2.489
22.0800,2.574
22.1200,2.707
22.1600,2.595
22.2000,2.697
22.2400,2.658
22.2800,2.613
22.3200,2.581
22.3600,2.537
22.4000,2.779
22.4400,2.694
22.4800,2.770
22.5200,2.756
22.5600,2.684
22.6000,2.636
22.6400,2.622
22.6800,2.628
22.7200,2.784
22.7600,2.625
22.8000,2.535
22.8400,2.658
22.8800,2.698
22.9200,2.732
22.9600,2.719
23.0000,2.726
23.0400,2.593
23.0800,2.575
23.1200,2.690
23.1600,2.621
23.2000,2.631
23.2400,2.612
23.2800,2.514
23.3200,2.762
23.3600,2.586
23.4000,2.641
23.4400,2.599
23.4800,2.695
23.5200,2.572
23.5600,2.637
23.6000,2.666
23.6400,2.765
23.6800,2.663
23.7200,2.814
23.7600,2.815
23.8000,2.940
23.8400,2.921
23.8800,2.918
23.9200,2.861
23.9600,2.932
24.0000,2.956
24.0400,2.955
24.0800,2.810
24.1200,2.930
24.1600,2.977
24.2000,2.888
24.2400,2.877
24.2800,2.890
24.3200,2.958
24.3600,2.749
24.4000,2.779
24.4400,2.710
24.4800,2.706
24.5200,2.721
24.5600,2.681
24.6000,2.735
24.6400,2.768
24.6800,2.645
24.7200,2.646
24.7600,2.644
24.8000,2.630
24.8400,2.723
24.8800,2.569
24.9200,2.492
24.9600,2.553
25.0000,2.546
25.0400,2.584
25.0800,2.425
25.1200,2.585
25.1600,2.607
25.2000,2.531
25.2400,2.534
25.2800,2.446
25.3200,2.441
25.3600,2.515
25.4000,2.518
25.4400,2.475
25.4800,2.542
25.5200,2.442
25.5600,2.496
25.6000,2.555
25.6400,2.394
25.6800,2.293
25.7200,2.390
25.7600,2.383
25.8000,2.390
25.8400,2.410
25.8800,2.318
25.9200,2.498
25.9600,2.327
26.0000,2.386
26.0400,2.382
26.0800,2.317
26.1200,2.405
26.1600,2.375
26.2000,2.354
26.2400,2.299
26.2800,2.184
26.3200,2.367
26.3600,2.276
26.4000,2.358
26.4400,2.476
26.4800,2.313
26.5200,2.321
26.5600,2.272
26.6000,2.412
26.6400,2.309
26.6800,2.206
26.7200,2.212
26.7600,2.309
26.8000,2.393
26.8400,2.361
26.8800,2.309
26.9200,2.267
26.9600,2.296
27.0000,2.195
27.0400,2.296
27.0800,2.317
27.1200,2.278
27.1600,2.278
27.2000,2.351
27.2400,2.261
27.2800,2.356
27.3200,2.326
27.3600,2.310
27.4000,2.112
27.4400,2.303
27.4800,2.340
27.5200,2.387
27.5600,2.223
27.6000,2.227
27.6400,2.299
27.6800,2.293
27.7200,2.310
27.7600,2.305
27.8000,2.284
27.8400,2.327
27.8800,2.414
27.9200,2.326
27.9600,2.363
28.0000,2.403
28.0400,2.310
28.0800,2.317
28.1200,2.347
28.1600,2.363
28.2000,2.417
28.2400,2.357
28.2800,2.639
28.3200,2.452
28.3600,2.405
28.4000,2.344
28.4400,2.437
28.4800,2.325
28.5200,2.494
28.5600,2.388
28.6000,2.316
28.6400,2.446
28.6800,2.304
28.7200,2.333
28.7600,2.281
28.8000,2.429
28.8400,2.335
28.8800,2.444
28.9200,2.333
28.9600,2.289
29.0000,2.298
29.0400,2.191
29.0800,2.184
29.1200,2.108
29.1600,2.212
29.2000,2.164
29.2400,2.214
29.2800,2.231
29.3200,2.227
29.3600,2.162
29.4000,2.045
29.4400,2.114
29.4800,2.214
29.5200,2.213
29.5600,2.117
29.6000,2.123
29.6400,2.204
29.6800,2.127
29.7200,2.102
29.7600,2.129
29.8000,2.028
29.8400,2.005
29.8800,2.037
29.9200,1.974
29.9600,2.033
30.0000,1.995
30.0400,2.114
30.0800,2.064
30.1200,1.935
30.1600,1.987
30.2000,1.914
30.2400,2.094
30.2800,1.904
30.3200,1.865
30.3600,1.996
30.4000,1.988
30.4400,1.904
30.4800,1.976
30.5200,1.978
30.5600,1.864
30.6000,1.929
30.6400,2.006
30.6800,1.965
30.7200,1.933
30.7600,1.978
30.8000,1.923
30.8400,1.846
30.8800,1.985
30.9200,1.875
30.9600,1.879
31.0000,1.926
31.0400,1.942
31.0800,1.936
31.1200,1.980
31.1600,1.917
31.2000,1.941
31.2400,1.929
31.2800,1.948
31.3200,1.974
31.3600,1.930
31.4000,1.955
31.4400,1.968
31.4800,2.022
31.5200,1.900
31.5600,2.071
