theta,intensity
5.0000,6.363
5.0400,6.417
5.0800,6.343
5.1200,6.009
5.1600,6.111
5.2000,6.093
5.2400,5.900
5.2800,6.055
5.3200,5.799
5.3600,5.765
5.4000,5.568
5.4400,5.707
5.4800,5.598
5.5200,5.533
5.5600,5.326
5.6000,5.428
5.6400,5.188
5.6800,5.324
5.7200,5.117
5.7600,4.978
5.8000,5.087
5.8400,4.866
5.8800,4.898
5.9200,4.871
5.9600,5.041
6.0000,4.839
6.0400,4.770
6.0800,4.531
6.1200,4.609
6.1600,4.501
6.2000,4.472
6.2400,4.506
6.2800,4.465
6.3200,4.395
6.3600,4.335
6.4000,4.323
6.4400,4.320
6.4800,4.339
6.5200,4.209
6.5600,4.344
6.6000,4.167
6.6400,4.231
6.6800,4.271
6.7200,4.305
6.7600,4.169
6.8000,4.245
6.8400,4.288
6.8800,4.221
6.9200,4.111
6.9600,4.226
7.0000,4.196
7.0400,4.130
7.0800,4.025
7.1200,3.969
7.1600,4.165
7.2000,4.173
7.2400,4.266
7.2800,4.248
7.3200,4.060
7.3600,3.963
7.4000,3.984
7.4400,4.061
7.4800,4.155
7.5200,3.922
7.5600,4.149
7.6000,4.065
7.6400,4.103
7.6800,4.014
7.7200,4.186
7.7600,4.223
7.8000,4.098
7.8400,4.063
7.8800,4.054
7.9200,3.981
7.9600,4.054
8.0000,4.043
8.0400,3.941
8.0800,3.919
8.1200,4.002
8.1600,3.885
8.2000,4.020
8.2400,3.940
8.2800,3.915
8.3200,4.008
8.3600,4.093
8.4000,4.102
8.4400,3.959
8.4800,3.938
8.5200,4.066
8.5600,3.831
8.6000,3.771
8.6400,4.002
8.6800,3.766
8.7200,3.956
8.7600,3.875
8.8000,3.860
8.8400,3.894
8.8800,3.839
8.9200,3.864
8.9600,3.832
9.0000,3.758
9.0400,3.811
9.0800,3.944
9.1200,3.847
9.1600,3.992
9.2000,3.816
9.2400,3.871
9.2800,3.865
9.3200,3.961
9.3600,3.860
9.4000,3.768
9.4400,3.801
9.4800,3.926
9.5200,3.730
9.5600,3.916
9.6000,3.911
9.6400,3.657
9.6800,3.802
9.7200,3.685
9.7600,3.795
9.8000,3.764
9.8400,3.684
9.8800,3.732
9.9200,3.809
9.9600,3.710
10.0000,3.771
10.0400,3.538
10.0800,3.825
10.1200,3.822
10.1600,3.649
10.2000,3.827
10.2400,3.732
10.2800,3.660
10.3200,3.644
10.3600,3.727
10.4000,3.753
10.4400,3.521
10.4800,3.644
10.5200,3.733
10.5600,3.590
10.6000,3.626
10.6400,3.715
10.6800,3.662
10.7200,3.652
10.7600,3.668
10.8000,3.685
10.8400,3.764
10.8800,3.651
10.9200,3.551
10.9600,3.546
11.0000,3.586
11.0400,3.637
11.0800,3.726
11.1200,3.681
11.1600,3.647
11.2000,3.579
11.2400,3.728
11.2800,3.529
11.3200,3.623
11.3600,3.625
11.4000,3.516
11.4400,3.563
11.4800,3.620
11.5200,3.563
11.5600,3.590
11.6000,3.451
11.6400,3.553
11.6800,3.544
11.7200,3.631
11.7600,3.554
11.8000,3.487
11.8400,3.420
11.8800,3.515
11.9200,3.536
11.9600,3.575
12.0000,3.435
12.0400,3.470
12.0800,3.601
12.1200,3.614
12.1600,3.618
12.2000,3.504
12.2400,3.503
12.2800,3.529
12.3200,3.543
12.3600,3.418
12.4000,3.473
12.4400,3.558
12.4800,3.503
12.5200,3.492
12.5600,3.449
12.6000,3.585
12.6400,3.465
12.6800,3.480
12.7200,3.631
12.7600,3.552
12.8000,3.543
12.8400,3.472
12.8800,3.464
12.9200,3.358
12.9600,3.516
13.0000,3.538
13.0400,3.447
13.0800,3.452
13.1200,3.483
13.1600,3.296
13.2000,3.325
13.2400,3.481
13.2800,3.343
13.3200,3.425
13.3600,3.424
13.4000,3.431
13.4400,3.354
13.4800,3.374
13.5200,3.329
13.5600,3.329
13.6000,3.428
13.6400,3.426
13.6800,3.362
13.7200,3.315
13.7600,3.332
13.8000,3.448
13.8400,3.323
13.8800,3.272
13.9200,3.291
13.9600,3.409
14.0000,3.320
14.0400,3.306
14.0800,3.361
14.1200,3.480
14.1600,3.479
14.2000,3.326
14.2400,3.406
14.2800,3.389
14.3200,3.218
14.3600,3.228
14.4000,3.347
14.4400,3.417
14.4800,3.398
14.5200,3.329
14.5600,3.264
14.6000,3.322
14.6400,3.369
14.6800,3.472
14.7200,3.310
14.7600,3.317
14.8000,3.171
14.8400,3.239
14.8800,3.481
14.9200,3.208
14.9600,3.377
15.0000,3.319
15.0400,3.275
15.0800,3.295
15.1200,3.321
15.1600,3.227
15.2000,3.240
15.2400,3.250
15.2800,3.313
15.3200,3.269
15.3600,3.356
15.4000,3.293
15.4400,3.475
15.4800,3.389
15.5200,3.163
15.5600,3.206
15.6000,3.347
15.6400,3.340
15.6800,3.254
15.7200,3.183
15.7600,3.178
15.8000,3.459
15.8400,3.311
15.8800,3.250
15.9200,3.255
15.9600,3.303
16.0000,3.376
16.0400,3.332
16.0800,3.244
16.1200,3.148
16.1600,3.319
16.2000,3.230
16.2400,3.206
16.2800,3.239
16.3200,3.251
16.3600,3.139
16.4000,3.229
16.4400,3.248
16.4800,3.281
16.5200,3.307
16.5600,3.106
16.6000,3.197
16.6400,3.267
16.6800,3.065
16.7200,3.068
16.7600,3.216
16.8000,3.111
16.8400,3.192
16.8800,3.278
16.9200,3.208
16.9600,3.329
17.0000,3.227
17.0400,3.286
17.0800,3.102
17.1200,3.269
17.1600,3.084
17.2000,3.135
17.2400,3.150
17.2800,2.943
17.3200,3.110
17.3600,3.140
17.4000,3.003
17.4400,3.104
17.4800,3.054
17.5200,3.240
17.5600,2.926
17.6000,3.104
17.6400,3.031
17.6800,2.941
17.7200,3.164
17.7600,2.931
17.8000,3.051
17.8400,3.071
17.8800,3.003
17.9200,2.998
17.9600,2.998
18.0000,3.016
18.0400,2.961
18.0800,3.113
18.1200,3.097
18.1600,2.989
18.2000,3.018
18.2400,3.003
18.2800,2.893
18.3200,2.916
18.3600,3.067
18.4000,2.956
18.4400,2.996
18.4800,2.967
18.5200,3.001
18.5600,2.954
18.6000,2.925
18.6400,2.810
18.6800,2.948
18.7200,2.911
18.7600,2.834
18.8000,2.847
18.8400,2.853
18.8800,2.969
18.9200,2.975
18.9600,2.959
19.0000,2.919
19.0400,2.963
19.0800,2.886
19.1200,2.918
19.1600,2.819
19.2000,2.803
19.2400,2.834
19.2800,2.857
19.3200,2.945
19.3600,2.879
19.4000,2.762
19.4400,2.938
19.4800,2.899
19.5200,2.858
19.5600,3.030
19.6000,2.852
19.6400,2.807
19.6800,2.918
19.7200,2.708
19.7600,2.806
19.8000,2.977
19.8400,2.814
19.8800,2.870
19.9200,2.831
19.9600,2.807
20.0000,2.897
20.0400,2.756
20.0800,2.802
20.1200,2.780
20.1600,2.853
20.2000,2.894
20.2400,2.746
20.2800,2.838
20.3200,2.807
20.3600,2.870
20.4000,2.892
20.4400,2.725
20.4800,2.695
20.5200,2.790
20.5600,2.686
20.6000,2.768
20.6400,2.694
20.6800,2.626
20.7200,2.833
20.7600,2.787
20.8000,2.853
20.8400,2.627
20.8800,2.628
20.9200,2.773
20.9600,2.712
21.0000,2.765
21.0400,2.710
21.0800,2.725
21.1200,2.617
21.1600,2.837
21.2000,2.660
21.2400,2.565
21.2800,2.663
21.3200,2.622
21.3600,2.793
21.4000,2.862
21.4400,2.783
21.4800,2.684
21.5200,2.610
21.5600,2.672
21.6000,2.533
21.6400,2.569
21.6800,2.717
21.7200,2.614
21.7600,2.684
21.8000,2.675
21.8400,2.611
21.8800,2.633
21.9200,2.595
21.9600,2.688
22.0000,2.631
22.0400,2.676
22.0800,2.586
22.1200,2.730
22.1600,2.626
22.2000,2.702
22.2400,2.593
22.2800,2.602
22.3200,2.620
22.3600,2.746
22.4000,2.622
22.4400,2.689
22.4800,2.593
22.5200,2.530
22.5600,2.425
22.6000,2.599
22.6400,2.612
22.6800,2.657
22.7200,2.571
22.7600,2.600
22.8000,2.653
22.8400,2.611
22.8800,2.685
22.9200,2.608
22.9600,2.632
23.0000,2.520
23.0400,2.510
23.0800,2.529
23.1200,2.645
23.1600,2.616
23.2000,2.641
23.2400,2.634
23.2800,2.527
23.3200,2.659
23.3600,2.660
23.4000,2.753
23.4400,2.781
23.4800,2.702
23.5200,2.785
23.5600,2.578
23.6000,2.593
23.6400,2.706
23.6800,2.496
23.7200,2.585
23.7600,2.661
23.8000,2.656
23.8400,2.574
23.8800,2.631
23.9200,2.509
23.9600,2.487
24.0000,2.559
24.0400,2.520
24.0800,2.539
24.1200,2.486
24.1600,2.511
24.2000,2.519
24.2400,2.567
24.2800,2.467
24.3200,2.413
24.3600,2.479
24.4000,2.558
24.4400,2.392
24.4800,2.406
24.5200,2.522
24.5600,2.588
24.6000,2.613
24.6400,2.447
24.6800,2.511
24.7200,2.385
24.7600,2.575
24.8000,2.318
24.8400,2.427
