theta,intensity
5.0000,7.888
5.0400,7.663
5.0800,7.704
5.1200,7.409
5.1600,7.371
5.2000,7.444
5.2400,7.264
5.2800,7.125
5.3200,7.199
5.3600,7.026
5.4000,7.171
5.4400,7.100
5.4800,7.055
5.5200,7.001
5.5600,6.621
5.6000,6.658
5.6400,6.541
5.6800,6.395
5.7200,6.264
5.7600,6.290
5.8000,6.095
5.8400,5.894
5.8800,5.679
5.9200,5.676
5.9600,5.651
6.0000,5.570
6.0400,5.457
6.0800,5.324
6.1200,5.308
6.1600,5.189
6.2000,5.364
6.2400,5.089
6.2800,4.822
6.3200,4.904
6.3600,4.752
6.4000,4.823
6.4400,4.915
6.4800,4.751
6.5200,4.728
6.5600,4.623
6.6000,4.518
6.6400,4.511
6.6800,4.528
6.7200,4.458
6.7600,4.410
6.8000,4.360
6.8400,4.373
6.8800,4.322
6.9200,4.339
6.9600,4.170
7.0000,4.320
7.0400,4.390
7.0800,4.350
7.1200,4.385
7.1600,4.193
7.2000,4.120
7.2400,4.071
7.2800,4.086
7.3200,4.126
7.3600,4.367
7.4000,4.017
7.4400,4.122
7.4800,4.018
7.5200,4.057
7.5600,3.900
7.6000,3.966
7.6400,4.095
7.6800,4.069
7.7200,4.090
7.7600,3.963
7.8000,4.105
7.8400,3.925
7.8800,3.920
7.9200,3.955
7.9600,3.850
8.0000,4.160
8.0400,3.882
8.0800,4.008
8.1200,4.065
8.1600,3.936
8.2000,3.954
8.2400,4.044
8.2800,4.022
8.3200,3.970
8.3600,3.985
8.4000,4.102
8.4400,3.760
8.4800,3.829
8.5200,3.731
8.5600,3.911
8.6000,3.819
8.6400,3.877
8.6800,3.989
8.7200,3.765
8.7600,3.840
8.8000,3.999
8.8400,3.963
8.8800,3.821
8.9200,3.832
8.9600,3.831
9.0000,3.881
9.0400,3.817
9.0800,3.780
9.1200,3.820
9.1600,3.765
9.2000,3.885
9.2400,3.803
9.2800,3.663
9.3200,3.807
9.3600,3.769
9.4000,3.796
9.4400,3.769
9.4800,3.897
9.5200,3.712
9.5600,3.762
9.6000,3.620
9.6400,3.680
9.6800,3.713
9.7200,3.797
9.7600,3.691
9.8000,3.691
9.8400,3.744
9.8800,3.735
9.9200,3.701
9.9600,3.686
10.0000,3.902
10.0400,3.805
10.0800,3.749
10.1200,3.623
10.1600,3.621
10.2000,3.747
10.2400,3.818
10.2800,3.783
10.3200,3.825
10.3600,3.661
10.4000,3.671
10.4400,3.711
10.4800,3.666
10.5200,3.662
10.5600,3.736
10.6000,3.708
10.6400,3.673
10.6800,3.686
10.7200,3.743
10.7600,3.558
10.8000,3.531
10.8400,3.536
10.8800,3.589
10.9200,3.691
10.9600,3.609
11.0000,3.604
11.0400,3.519
11.0800,3.676
11.1200,3.740
11.1600,3.674
11.2000,3.646
11.2400,3.601
11.2800,3.627
11.3200,3.409
11.3600,3.534
11.4000,3.532
11.4400,3.500
11.4800,3.432
11.5200,3.494
11.5600,3.427
11.6000,3.514
11.6400,3.596
11.6800,3.548
11.7200,3.395
11.7600,3.553
11.8000,3.589
11.8400,3.526
11.8800,3.402
11.9200,3.491
11.9600,3.516
12.0000,3.342
12.0400,3.573
12.0800,3.648
12.1200,3.451
12.1600,3.549
12.2000,3.505
12.2400,3.387
12.2800,3.395
12.3200,3.443
12.3600,3.520
12.4000,3.416
12.4400,3.562
12.4800,3.496
12.5200,3.554
12.5600,3.386
12.6000,3.389
12.6400,3.455
12.6800,3.440
12.7200,3.296
12.7600,3.604
12.8000,3.431
12.8400,3.406
12.8800,3.274
12.9200,3.403
12.9600,3.301
13.0000,3.352
13.0400,3.453
13.0800,3.288
13.1200,3.287
13.1600,3.325
13.2000,3.279
13.2400,3.457
13.2800,3.446
13.3200,3.441
13.3600,3.292
13.4000,3.414
13.4400,3.384
13.4800,3.412
13.5200,3.253
13.5600,3.394
13.6000,3.304
13.6400,3.161
13.6800,3.315
13.7200,3.425
13.7600,3.267
13.8000,3.382
13.8400,3.332
13.8800,3.291
13.9200,3.357
13.9600,3.448
14.0000,3.381
14.0400,3.429
14.0800,3.321
14.1200,3.170
14.1600,3.325
14.2000,3.338
14.2400,3.247
14.2800,3.339
14.3200,3.338
14.3600,3.408
14.4000,3.318
14.4400,3.210
14.4800,3.319
14.5200,3.134
14.5600,3.151
14.6000,3.325
14.6400,3.044
14.6800,3.087
14.7200,3.214
14.7600,3.330
14.8000,3.334
14.8400,3.349
14.8800,3.465
14.9200,3.270
14.9600,3.149
15.0000,3.359
15.0400,3.169
15.0800,3.184
15.1200,3.203
15.1600,3.122
15.2000,3.253
15.2400,3.186
15.2800,3.219
15.3200,3.161
15.3600,3.405
15.4000,3.306
15.4400,3.267
15.4800,3.262
15.5200,3.243
15.5600,3.233
15.6000,3.250
15.6400,3.160
15.6800,3.190
15.7200,3.034
15.7600,3.206
15.8000,3.170
15.8400,3.061
15.8800,3.173
15.9200,3.182
15.9600,3.189
16.0000,3.130
16.0400,3.015
16.0800,3.042
16.1200,3.021
16.1600,3.216
16.2000,3.105
16.2400,3.193
16.2800,3.069
16.3200,3.361
16.3600,3.006
16.4000,3.022
16.4400,3.045
16.4800,3.166
16.5200,3.118
16.5600,3.087
16.6000,3.065
16.6400,2.984
16.6800,3.294
16.7200,3.174
16.7600,3.092
16.8000,2.967
16.8400,3.169
16.8800,3.103
16.9200,3.032
16.9600,3.103
17.0000,2.951
17.0400,3.069
17.0800,3.054
17.1200,3.069
17.1600,3.050
17.2000,2.965
17.2400,2.988
17.2800,2.893
17.3200,2.825
17.3600,3.074
17.4000,3.009
17.4400,3.013
17.4800,2.977
17.5200,3.019
17.5600,3.058
17.6000,2.940
17.6400,2.973
17.6800,2.836
17.7200,2.892
17.7600,3.030
17.8000,3.058
17.8400,3.096
17.8800,2.873
17.9200,3.037
17.9600,2.932
18.0000,2.933
18.0400,2.794
18.0800,2.943
18.1200,2.890
18.1600,2.909
18.2000,2.762
18.2400,2.898
18.2800,2.832
18.3200,3.020
18.3600,2.936
18.4000,2.889
18.4400,2.901
18.4800,2.848
18.5200,2.811
18.5600,2.860
18.6000,2.823
18.6400,2.785
18.6800,2.884
18.7200,2.896
18.7600,2.757
18.8000,2.777
18.8400,2.825
18.8800,2.737
18.9200,2.809
18.9600,2.951
19.0000,2.938
19.0400,2.906
19.0800,2.930
19.1200,2.901
19.1600,2.962
19.2000,2.928
19.2400,2.811
19.2800,2.896
19.3200,2.949
19.3600,2.653
19.4000,2.804
19.4400,2.811
19.4800,2.769
19.5200,2.761
19.5600,2.745
19.6000,2.896
19.6400,2.858
19.6800,2.854
19.7200,2.745
19.7600,2.862
19.8000,2.717
19.8400,2.799
19.8800,2.811
19.9200,2.629
19.9600,2.740
20.0000,2.747
20.0400,2.704
20.0800,2.793
20.1200,2.680
20.1600,2.696
20.2000,2.725
20.2400,2.758
20.2800,2.900
20.3200,2.740
20.3600,2.832
20.4000,2.697
20.4400,2.799
20.4800,2.668
20.5200,2.669
20.5600,2.723
20.6000,2.647
20.6400,2.614
20.6800,2.662
20.7200,2.675
20.7600,2.733
20.8000,2.736
20.8400,2.725
20.8800,2.669
20.9200,2.578
20.9600,2.656
21.0000,2.711
21.0400,2.609
21.0800,2.659
21.1200,2.661
21.1600,2.572
21.2000,2.771
21.2400,2.682
21.2800,2.566
21.3200,2.634
21.3600,2.618
21.4000,2.698
21.4400,2.616
21.4800,2.632
21.5200,2.675
21.5600,2.533
21.6000,2.510
21.6400,2.484
21.6800,2.630
21.7200,2.476
21.7600,2.532
21.8000,2.596
21.8400,2.556
21.8800,2.537
21.9200,2.474
21.9600,2.487
22.0000,2.607
22.0400,2.701
22.0800,2.499
22.1200,2.535
22.1600,2.554
22.2000,2.587
22.2400,2.555
22.2800,2.560
22.3200,2.622
22.3600,2.622
22.4000,2.570
22.4400,2.597
22.4800,2.557
22.5200,2.558
22.5600,2.490
22.6000,2.572
22.6400,2.618
22.6800,2.395
22.7200,2.441
22.7600,2.457
22.8000,2.520
22.8400,2.635
22.8800,2.531
22.9200,2.545
22.9600,2.420
23.0000,2.446
23.0400,2.534
23.0800,2.521
23.1200,2.449
23.1600,2.424
23.2000,2.475
23.2400,2.565
23.2800,2.508
23.3200,2.449
23.3600,2.385
23.4000,2.503
23.4400,2.587
23.4800,2.320
23.5200,2.425
23.5600,2.384
23.6000,2.459
23.6400,2.604
23.6800,2.454
23.7200,2.377
23.7600,2.430
23.8000,2.514
23.8400,2.538
23.8800,2.484
23.9200,2.389
23.9600,2.421
24.0000,2.435
24.0400,2.486
24.0800,2.353
24.1200,2.544
24.1600,2.536
24.2000,2.499
24.2400,2.436
24.2800,2.438
24.3200,2.486
24.3600,2.462
24.4000,2.511
24.4400,2.535
24.4800,2.455
24.5200,2.346
24.5600,2.552
24.6000,2.538
24.6400,2.576
24.6800,2.686
24.7200,2.735
24.7600,2.707
24.8000,2.809
24.8400,2.860
24.8800,2.842
24.9200,2.785
24.9600,2.768
25.0000,2.568
25.0400,2.497
25.0800,2.630
25.1200,2.643
25.1600,2.528
25.2000,2.497
25.2400,2.318
25.2800,2.372
25.3200,2.509
25.3600,2.508
25.4000,2.361
25.4400,2.358
25.4800,2.343
25.5200,2.388
25.5600,2.353
25.6000,2.282
25.6400,2.320
25.6800,2.345
25.7200,2.314
25.7600,2.363
25.8000,2.338
25.8400,2.188
25.8800,2.284
25.9200,2.253
25.9600,2.349
26.0000,2.318
26.0400,2.258
26.0800,2.199
26.1200,2.242
26.1600,2.230
26.2000,2.300
26.2400,2.269
26.2800,2.185
26.3200,2.165
26.3600,2.140
26.4000,2.274
26.4400,2.180
26.4800,2.197
26.5200,2.234
26.5600,2.299
26.6000,2.115
26.6400,2.121
26.6800,2.284
26.7200,2.172
26.7600,2.082
26.8000,2.250
26.8400,2.146
26.8800,2.186
26.9200,2.209
26.9600,2.144
27.0000,2.085
27.0400,2.259
27.0800,2.229
27.1200,2.168
27.1600,2.130
27.2000,2.128
27.2400,2.285
27.2800,2.196
27.3200,2.126
27.3600,2.203
27.4000,2.276
27.4400,2.204
27.4800,2.188
27.5200,2.205
27.5600,2.022
27.6000,2.175
27.6400,2.197
27.6800,2.224
27.7200,2.195
27.7600,2.235
27.8000,2.135
27.8400,2.107
27.8800,2.250
27.9200,2.136
27.9600,2.049
28.0000,2.171
28.0400,2.190
28.0800,2.289
28.1200,2.247
28.1600,2.196
28.2000,2.264
28.2400,2.324
28.2800,2.204
28.3200,2.242
28.3600,2.360
28.4000,2.299
28.4400,2.204
28.4800,2.239
28.5200,2.197
28.5600,2.284
28.6000,2.235
28.6400,2.226
28.6800,2.214
28.7200,2.154
28.7600,2.141
28.8000,2.102
28.8400,2.054
28.8800,2.144
28.9200,2.213
28.9600,2.111
29.0000,2.238
29.0400,2.209
29.0800,2.180
29.1200,2.307
29.1600,2.250
29.2000,2.317
29.2400,2.572
29.2800,2.648
29.3200,2.781
29.3600,2.687
29.4000,2.718
29.4400,2.579
29.4800,2.546
29.5200,2.520
29.5600,2.343
29.6000,2.174
29.6400,2.085
29.6800,2.044
29.7200,2.101
29.7600,1.943
29.8000,1.918
29.8400,2.011
29.8800,1.922
29.9200,1.887
29.9600,2.009
30.0000,2.016
30.0400,1.976
30.0800,2.041
30.1200,1.941
30.1600,1.794
30.2000,1.987
30.2400,1.945
30.2800,1.974
30.3200,2.009
30.3600,1.887
30.4000,1.915
30.4400,1.690
30.4800,1.947
30.5200,1.877
30.5600,1.837
30.6000,1.805
30.6400,1.793
30.6800,1.767
30.7200,1.830
30.7600,1.832
30.8000,1.812
30.8400,1.897
30.8800,1.937
30.9200,1.795
30.9600,1.766
31.0000,1.768
31.0400,1.925
31.0800,1.782
31.1200,1.766
31.1600,1.715
31.2000,1.790
31.2400,1.765
31.2800,1.735
31.3200,1.873
31.3600,1.751
31.4000,1.712
31.4400,1.774
31.4800,1.842
31.5200,1.795
31.5600,1.726
31.6000,1.758
31.6400,1.795
31.6800,1.776
31.7200,1.710
31.7600,1.689
31.8000,1.766
31.8400,1.836
31.8800,1.762
31.9200,1.767
31.9600,1.732
32.0000,1.796
32.0400,1.768
32.0800,1.663
32.1200,1.644
32.1600,1.749
32.2000,1.745
32.2400,1.644
32.2800,1.704
32.3200,1.671
32.3600,1.680
32.4000,1.736
32.4400,1.675
32.4800,1.709
32.5200,1.750
32.5600,1.661
32.6000,1.598
32.6400,1.661
32.6800,1.619
32.7200,1.698
32.7600,1.701
32.8000,1.691
32.8400,1.654
32.8800,1.655
32.9200,1.639
32.9600,1.692
33.0000,1.697
33.0400,1.701
33.0800,1.664
33.1200,1.689
33.1600,1.612
33.2000,1.584
33.2400,1.766
33.2800,1.625
33.3200,1.640
33.3600,1.675
33.4000,1.762
33.4400,1.646
33.4800,1.667
33.5200,1.681
33.5600,1.604
33.6000,1.544
33.6400,1.621
33.6800,1.616
33.7200,1.589
33.7600,1.656
33.8000,1.645
33.8400,1.691
33.8800,1.562
33.9200,1.558
33.9600,1.702
34.0000,1.629
34.0400,1.547
34.0800,1.590
34.1200,1.568
34.1600,1.598
34.2000,1.505
34.2400,1.526
34.2800,1.625
34.3200,1.586
34.3600,1.643
34.4000,1.634
34.4400,1.573
34.4800,1.478
34.5200,1.476
34.5600,1.599
34.6000,1.610
34.6400,1.450
34.6800,1.546
34.7200,1.521
34.7600,1.596
34.8000,1.497
34.8400,1.591
34.8800,1.564
34.9200,1.568
34.9600,1.476
35.0000,1.464
35.0400,1.439
35.0800,1.532
35.1200,1.564
35.1600,1.541
35.2000,1.466
35.2400,1.525
35.2800,1.510
35.3200,1.480
35.3600,1.469
35.4000,1.568
35.4400,1.480
35.4800,1.488
35.5200,1.486
35.5600,1.527
35.6000,1.565
35.6400,1.543
35.6800,1.617
35.7200,1.480
35.7600,1.542
35.8000,1.526
35.8400,1.508
35.8800,1.591
35.9200,1.446
35.9600,1.536
36.0000,1.486
36.0400,1.552
36.0800,1.400
36.1200,1.421
36.1600,1.436
36.2000,1.510
36.2400,1.450
36.2800,1.501
36.3200,1.422
36.3600,1.395
36.4000,1.445
36.4400,1.490
36.4800,1.478
36.5200,1.425
36.5600,1.433
36.6000,1.368
36.6400,1.491
36.6800,1.505
36.7200,1.431
36.7600,1.457
36.8000,1.449
36.8400,1.386
36.8800,1.419
36.9200,1.471
36.9600,1.499
37.0000,1.411
37.0400,1.484
37.0800,1.492
37.1200,1.464
37.1600,1.509
37.2000,1.443
37.2400,1.464
37.2800,1.416
37.3200,1.531
37.3600,1.421
37.4000,1.468
37.4400,1.517
37.4800,1.507
37.5200,1.560
37.5600,1.496
37.6000,1.552
37.6400,1.489
37.6800,1.517
37.7200,1.585
37.7600,1.528
37.8000,1.471
37.8400,1.598
37.8800,1.676
37.9200,1.643
37.9600,1.677
38.0000,1.627
38.0400,1.760
38.0800,1.608
38.1200,1.840
38.1600,1.845
38.2000,1.913
38.2400,2.029
38.2800,2.197
38.3200,2.288
38.3600,2.513
38.4000,2.795
38.4400,3.117
38.4800,3.671
38.5200,4.338
38.5600,5.021
38.6000,5.947
38.6400,7.668
38.6800,9.429
38.7200,12.352
38.7600,16.366
38.8000,21.175
38.8400,24.240
38.8800,24.860
38.9200,22.663
38.9600,18.876
39.0000,14.775
39.0400,11.268
39.0800,8.360
39.1200,6.276
39.1600,4.868
39.2000,4.130
39.2400,3.460
39.2800,3.076
39.3200,2.846
39.3600,2.601
39.4000,2.380
39.4400,2.286
39.4800,2.224
39.5200,2.076
39.5600,1.896
39.6000,1.783
39.6400,1.748
39.6800,1.818
39.7200,1.741
39.7600,1.736
39.8000,1.591
39.8400,1.640
39.8800,1.565
39.9200,1.449
39.9600,1.544
40.0000,1.602
40.0400,1.550
40.0800,1.563
40.1200,1.518
40.1600,1.388
40.2000,1.506
40.2400,1.479
40.2800,1.446
40.3200,1.403
40.3600,1.368
40.4000,1.348
40.4400,1.455
40.4800,1.465
40.5200,1.411
40.5600,1.366
40.6000,1.414
40.6400,1.347
40.6800,1.335
40.7200,1.338
40.7600,1.466
40.8000,1.371
40.8400,1.353
40.8800,1.356
40.9200,1.402
40.9600,1.360
41.0000,1.418
41.0400,1.325
41.0800,1.443
41.1200,1.398
41.1600,1.375
41.2000,1.536
41.2400,1.446
41.2800,1.520
41.3200,1.501
41.3600,1.643
41.4000,1.572
41.4400,1.573
41.4800,1.674
41.5200,1.751
41.5600,1.960
41.6000,1.895
41.6400,2.046
41.6800,2.380
41.7200,2.696
41.7600,2.858
41.8000,3.372
41.8400,3.863
41.8800,4.694
41.9200,5.599
41.9600,6.217
42.0000,6.846
42.0400,7.208
42.0800,6.728
42.1200,6.229
42.1600,5.606
42.2000,4.842
42.2400,3.913
42.2800,3.482
42.3200,2.970
