theta,intensity
5.0000,7.928
5.0400,7.934
5.0800,7.771
5.1200,7.878
5.1600,7.683
5.2000,7.457
5.2400,7.559
5.2800,7.581
5.3200,7.340
5.3600,7.241
5.4000,7.163
5.4400,7.102
5.4800,6.907
5.5200,6.720
5.5600,6.712
5.6000,6.577
5.6400,6.489
5.6800,6.487
5.7200,6.290
5.7600,6.333
5.8000,6.020
5.8400,5.769
5.8800,5.564
5.9200,5.713
5.9600,5.540
6.0000,5.277
6.0400,5.452
6.0800,5.229
6.1200,5.226
6.1600,5.344
6.2000,5.215
6.2400,5.070
6.2800,4.964
6.3200,4.832
6.3600,4.781
6.4000,4.588
6.4400,4.408
6.4800,4.703
6.5200,4.741
6.5600,4.559
6.6000,4.378
6.6400,4.475
6.6800,4.425
6.7200,4.472
6.7600,4.483
6.8000,4.402
6.8400,4.247
6.8800,4.362
6.9200,4.242
6.9600,4.439
7.0000,4.313
7.0400,4.300
7.0800,4.234
7.1200,4.280
7.1600,4.273
7.2000,4.209
7.2400,4.221
7.2800,4.007
7.3200,4.238
7.3600,4.204
7.4000,4.087
7.4400,4.192
7.4800,4.172
7.5200,4.181
7.5600,4.133
7.6000,4.102
7.6400,4.072
7.6800,3.998
7.7200,4.193
7.7600,4.138
7.8000,4.038
7.8400,4.063
7.8800,4.087
7.9200,4.029
7.9600,4.054
8.0000,3.906
8.0400,3.879
8.0800,4.042
8.1200,4.000
8.1600,4.043
8.2000,3.968
8.2400,4.100
8.2800,3.811
8.3200,3.997
8.3600,3.942
8.4000,3.845
8.4400,3.814
8.4800,4.071
8.5200,3.712
8.5600,3.860
8.6000,3.865
8.6400,3.894
8.6800,3.841
8.7200,3.820
8.7600,3.892
8.8000,3.906
8.8400,3.876
8.8800,3.804
8.9200,3.823
8.9600,3.823
9.0000,3.852
9.0400,3.801
9.0800,3.746
9.1200,3.833
9.1600,3.835
9.2000,3.873
9.2400,3.800
9.2800,3.745
9.3200,3.943
9.3600,3.753
9.4000,3.879
9.4400,3.812
9.4800,3.896
9.5200,3.738
9.5600,3.645
9.6000,3.851
9.6400,3.860
9.6800,3.810
9.7200,3.597
9.7600,3.697
9.8000,3.780
9.8400,3.812
9.8800,3.726
9.9200,3.677
9.9600,3.722
10.0000,3.729
10.0400,3.776
10.0800,3.635
10.1200,3.660
10.1600,3.581
10.2000,3.756
10.2400,3.847
10.2800,3.602
10.3200,3.669
10.3600,3.748
10.4000,3.673
10.4400,3.700
10.4800,3.850
10.5200,3.753
10.5600,3.716
10.6000,3.791
10.6400,3.589
10.6800,3.578
10.7200,3.614
10.7600,3.655
10.8000,3.647
10.8400,3.496
10.8800,3.563
10.9200,3.581
10.9600,3.661
11.0000,3.473
11.0400,3.520
11.0800,3.556
11.1200,3.541
11.1600,3.581
11.2000,3.510
11.2400,3.518
11.2800,3.548
11.3200,3.669
11.3600,3.558
11.4000,3.439
11.4400,3.482
11.4800,3.494
11.5200,3.595
11.5600,3.457
11.6000,3.617
11.6400,3.501
11.6800,3.547
11.7200,3.462
11.7600,3.587
11.8000,3.691
11.8400,3.563
11.8800,3.452
11.9200,3.494
11.9600,3.350
12.0000,3.492
12.0400,3.423
12.0800,3.398
12.1200,3.590
12.1600,3.411
12.2000,3.501
12.2400,3.475
12.2800,3.324
12.3200,3.416
12.3600,3.509
12.4000,3.515
12.4400,3.569
12.4800,3.350
12.5200,3.516
12.5600,3.268
12.6000,3.336
12.6400,3.429
12.6800,3.512
12.7200,3.355
12.7600,3.287
12.8000,3.355
12.8400,3.384
12.8800,3.357
12.9200,3.375
12.9600,3.405
13.0000,3.514
13.0400,3.295
13.0800,3.281
13.1200,3.318
13.1600,3.426
13.2000,3.267
13.2400,3.278
13.2800,3.345
13.3200,3.373
13.3600,3.203
13.4000,3.372
13.4400,3.491
13.4800,3.363
13.5200,3.216
13.5600,3.267
13.6000,3.287
13.6400,3.467
13.6800,3.312
13.7200,3.303
13.7600,3.319
13.8000,3.197
13.8400,3.364
13.8800,3.359
13.9200,3.245
13.9600,3.316
14.0000,3.301
14.0400,3.253
14.0800,3.277
14.1200,3.396
14.1600,3.175
14.2000,3.127
14.2400,3.472
14.2800,3.332
14.3200,3.344
14.3600,3.209
14.4000,3.408
14.4400,3.222
14.4800,3.189
14.5200,3.240
14.5600,3.162
14.6000,3.029
14.6400,3.229
14.6800,3.265
14.7200,3.145
14.7600,3.165
14.8000,3.317
14.8400,3.273
14.8800,3.062
14.9200,3.249
14.9600,3.009
15.0000,3.149
15.0400,3.199
15.0800,3.209
15.1200,3.165
15.1600,3.133
15.2000,3.124
15.2400,3.102
15.2800,3.138
15.3200,3.092
15.3600,3.224
15.4000,3.146
15.4400,3.230
15.4800,3.062
15.5200,3.101
15.5600,3.045
15.6000,3.147
15.6400,3.189
15.6800,3.213
15.7200,3.131
15.7600,3.062
15.8000,3.109
15.8400,3.167
15.8800,3.214
15.9200,3.112
15.9600,3.051
16.0000,3.077
16.0400,3.063
16.0800,3.205
16.1200,3.037
16.1600,3.034
16.2000,3.096
16.2400,3.102
16.2800,2.967
16.3200,3.059
16.3600,3.246
16.4000,3.181
16.4400,3.117
16.4800,3.093
16.5200,2.969
16.5600,3.047
16.6000,3.026
16.6400,3.059
16.6800,3.069
16.7200,3.052
16.7600,3.061
16.8000,2.972
16.8400,3.013
16.8800,3.083
16.9200,3.173
16.9600,3.008
17.0000,3.000
17.0400,3.051
17.0800,2.978
17.1200,2.978
17.1600,3.069
17.2000,3.034
17.2400,2.965
17.2800,2.988
17.3200,3.027
17.3600,2.991
17.4000,2.844
17.4400,2.996
17.4800,3.121
17.5200,3.016
17.5600,2.944
17.6000,3.000
17.6400,2.814
17.6800,2.931
17.7200,2.952
17.7600,2.900
17.8000,3.028
17.8400,2.881
17.8800,2.820
17.9200,3.044
17.9600,2.861
18.0000,2.965
18.0400,2.898
18.0800,2.773
18.1200,2.929
18.1600,2.843
18.2000,3.030
18.2400,2.823
18.2800,2.899
18.3200,2.884
18.3600,2.960
18.4000,2.954
18.4400,2.986
18.4800,2.791
18.5200,2.896
18.5600,2.764
18.6000,2.932
18.6400,2.978
18.6800,2.853
18.7200,2.937
18.7600,2.777
18.8000,2.797
18.8400,2.746
18.8800,2.819
18.9200,2.843
18.9600,2.791
19.0000,2.792
19.0400,2.891
19.0800,2.736
19.1200,2.692
19.1600,2.895
19.2000,2.838
19.2400,2.708
19.2800,2.660
19.3200,2.801
19.3600,2.798
19.4000,2.781
19.4400,2.802
19.4800,2.761
19.5200,2.684
19.5600,2.669
19.6000,2.745
19.6400,2.781
19.6800,2.798
19.7200,2.751
19.7600,2.633
19.8000,2.816
19.8400,2.706
19.8800,2.869
19.9200,2.680
19.9600,2.731
20.0000,2.812
20.0400,2.704
20.0800,2.783
20.1200,2.686
20.1600,2.726
20.2000,2.795
20.2400,2.755
20.2800,2.749
20.3200,2.632
20.3600,2.717
20.4000,2.733
20.4400,2.711
20.4800,2.647
20.5200,2.773
20.5600,2.648
20.6000,2.646
20.6400,2.596
20.6800,2.528
20.7200,2.690
20.7600,2.614
20.8000,2.662
20.8400,2.614
20.8800,2.665
20.9200,2.750
20.9600,2.772
21.0000,2.674
21.0400,2.601
21.0800,2.652
21.1200,2.550
21.1600,2.639
21.2000,2.640
21.2400,2.560
21.2800,2.622
21.3200,2.634
21.3600,2.745
21.4000,2.595
21.4400,2.592
21.4800,2.676
21.5200,2.589
21.5600,2.551
21.6000,2.658
21.6400,2.653
21.6800,2.544
21.7200,2.496
21.7600,2.566
21.8000,2.663
21.8400,2.701
21.8800,2.544
21.9200,2.502
21.9600,2.572
22.0000,2.556
22.0400,2.581
22.0800,2.626
22.1200,2.510
22.1600,2.668
22.2000,2.492
22.2400,2.468
22.2800,2.476
22.3200,2.509
22.3600,2.504
22.4000,2.562
22.4400,2.491
22.4800,2.546
22.5200,2.499
22.5600,2.571
22.6000,2.602
22.6400,2.479
22.6800,2.513
22.7200,2.434
22.7600,2.563
22.8000,2.490
