theta,intensity
5.0000,7.356
5.0400,7.312
5.0800,7.390
5.1200,7.335
5.1600,7.209
5.2000,7.114
5.2400,6.902
5.2800,6.920
5.3200,6.706
5.3600,6.845
5.4000,6.715
5.4400,6.589
5.4800,6.383
5.5200,6.301
5.5600,6.215
5.6000,6.167
5.6400,5.860
5.6800,5.684
5.7200,5.960
5.7600,5.873
5.8000,5.523
5.8400,5.595
5.8800,5.392
5.9200,5.454
5.9600,5.101
6.0000,5.128
6.0400,5.100
6.0800,5.009
6.1200,5.041
6.1600,4.747
6.2000,4.767
6.2400,4.793
6.2800,4.577
6.3200,4.728
6.3600,4.582
6.4000,4.351
6.4400,4.521
6.4800,4.495
6.5200,4.436
6.5600,4.383
6.6000,4.410
6.6400,4.374
6.6800,4.289
6.7200,4.464
6.7600,4.201
6.8000,4.263
6.8400,4.117
6.8800,4.285
6.9200,4.130
6.9600,4.197
7.0000,3.996
7.0400,4.068
7.0800,4.185
7.1200,4.141
7.1600,4.101
7.2000,4.095
7.2400,4.155
7.2800,4.119
7.3200,4.221
7.3600,4.154
7.4000,3.930
7.4400,4.176
7.4800,4.022
7.5200,4.122
7.5600,4.022
7.6000,3.903
7.6400,3.932
7.6800,4.015
7.7200,3.926
7.7600,3.928
7.8000,3.958
7.8400,3.999
7.8800,4.060
7.9200,3.999
7.9600,3.986
8.0000,4.059
8.0400,3.892
8.0800,4.010
8.1200,3.943
8.1600,4.050
8.2000,4.016
8.2400,3.932
8.2800,3.933
8.3200,3.985
8.3600,4.001
8.4000,3.805
8.4400,3.896
8.4800,3.985
8.5200,3.933
8.5600,3.800
8.6000,3.810
8.6400,3.912
8.6800,3.949
8.7200,3.899
8.7600,3.633
8.8000,3.887
8.8400,3.965
8.8800,3.944
8.9200,3.836
8.9600,3.906
9.0000,3.837
9.0400,3.798
9.0800,3.690
9.1200,3.849
9.1600,3.954
9.2000,3.723
9.2400,3.740
9.2800,3.792
9.3200,3.754
9.3600,3.773
9.4000,3.670
9.4400,3.707
9.4800,3.671
9.5200,3.736
9.5600,3.634
9.6000,3.793
9.6400,3.771
9.6800,3.744
9.7200,3.662
9.7600,3.718
9.8000,3.612
9.8400,3.770
9.8800,3.668
9.9200,3.621
9.9600,3.686
10.0000,3.727
10.0400,3.633
10.0800,3.601
10.1200,3.637
10.1600,3.570
10.2000,3.718
10.2400,3.619
10.2800,3.644
10.3200,3.807
10.3600,3.753
10.4000,3.553
10.4400,3.759
10.4800,3.701
10.5200,3.637
10.5600,3.724
10.6000,3.778
10.6400,3.660
10.6800,3.640
10.7200,3.743
10.7600,3.515
10.8000,3.711
10.8400,3.664
10.8800,3.609
10.9200,3.606
10.9600,3.677
11.0000,3.433
11.0400,3.683
11.0800,3.540
11.1200,3.561
11.1600,3.607
11.2000,3.740
11.2400,3.629
11.2800,3.462
11.3200,3.384
11.3600,3.336
11.4000,3.476
11.4400,3.668
11.4800,3.497
11.5200,3.647
11.5600,3.465
11.6000,3.621
11.6400,3.616
11.6800,3.566
11.7200,3.408
11.7600,3.601
11.8000,3.555
11.8400,3.489
11.8800,3.494
11.9200,3.601
11.9600,3.456
12.0000,3.423
12.0400,3.564
12.0800,3.499
12.1200,3.615
12.1600,3.523
12.2000,3.440
12.2400,3.513
12.2800,3.533
12.3200,3.537
12.3600,3.378
12.4000,3.461
12.4400,3.477
12.4800,3.388
12.5200,3.426
12.5600,3.390
12.6000,3.550
12.6400,3.388
12.6800,3.600
12.7200,3.374
12.7600,3.334
12.8000,3.220
12.8400,3.369
12.8800,3.412
12.9200,3.474
12.9600,3.272
13.0000,3.429
