theta,intensity
5.0000,13.835
5.0400,13.619
5.0800,13.405
5.1200,13.525
5.1600,13.460
5.2000,13.603
5.2400,13.412
5.2800,13.264
5.3200,12.871
5.3600,12.884
5.4000,12.614
5.4400,12.474
5.4800,12.023
5.5200,11.767
5.5600,11.913
5.6000,11.815
5.6400,11.571
5.6800,11.264
5.7200,11.158
5.7600,11.097
5.8000,10.722
5.8400,10.844
5.8800,10.722
5.9200,10.274
5.9600,10.207
6.0000,10.015
6.0400,10.134
6.0800,9.657
6.1200,9.393
6.1600,9.523
6.2000,9.331
6.2400,9.045
6.2800,9.195
6.3200,9.016
6.3600,8.695
6.4000,8.731
6.4400,8.553
6.4800,8.565
6.5200,8.353
6.5600,8.290
6.6000,7.888
6.6400,7.963
6.6800,7.903
6.7200,7.832
6.7600,7.656
6.8000,7.888
6.8400,7.516
6.8800,7.523
6.9200,7.607
6.9600,7.006
7.0000,6.904
7.0400,7.028
7.0800,7.158
7.1200,6.706
7.1600,6.817
7.2000,6.603
7.2400,6.619
7.2800,6.438
7.3200,6.178
7.3600,6.102
7.4000,6.200
7.4400,6.104
7.4800,6.067
7.5200,5.875
7.5600,5.946
7.6000,5.760
7.6400,5.801
7.6800,5.585
7.7200,5.463
7.7600,5.693
7.8000,5.534
7.8400,5.530
7.8800,5.505
7.9200,5.323
7.9600,5.397
8.0000,5.108
8.0400,5.282
8.0800,5.198
8.1200,5.037
8.1600,5.238
8.2000,4.757
8.2400,4.996
8.2800,5.016
8.3200,5.164
8.3600,4.877
8.4000,4.948
8.4400,4.888
8.4800,4.750
8.5200,4.787
8.5600,4.661
8.6000,4.510
8.6400,4.549
8.6800,4.654
8.7200,4.625
8.7600,4.366
8.8000,4.476
8.8400,4.395
8.8800,4.530
8.9200,4.269
8.9600,4.221
9.0000,4.222
9.0400,4.363
9.0800,4.237
9.1200,4.151
9.1600,4.173
9.2000,4.110
9.2400,4.108
9.2800,4.146
9.3200,4.155
9.3600,4.095
9.4000,4.203
9.4400,4.016
9.4800,4.004
9.5200,3.978
9.5600,3.886
9.6000,3.983
9.6400,3.810
9.6800,3.912
9.7200,3.996
9.7600,3.918
9.8000,3.901
9.8400,3.843
9.8800,3.961
9.9200,3.737
9.9600,3.759
10.0000,3.932
10.0400,3.894
10.0800,3.728
10.1200,3.941
10.1600,3.794
10.2000,3.728
10.2400,3.833
10.2800,3.804
10.3200,3.816
10.3600,3.845
10.4000,3.742
10.4400,3.724
10.4800,3.719
10.5200,3.846
10.5600,3.675
10.6000,3.808
10.6400,3.888
