theta,intensity
5.0000,5.253
5.0400,5.294
5.0800,5.331
5.1200,5.337
5.1600,5.285
5.2000,5.262
5.2400,5.104
5.2800,5.156
5.3200,5.096
5.3600,5.271
5.4000,5.184
5.4400,4.986
5.4800,4.992
5.5200,5.074
5.5600,4.933
5.6000,4.987
5.6400,4.845
5.6800,4.866
5.7200,4.821
5.7600,4.693
5.8000,4.693
5.8400,4.657
5.8800,4.636
5.9200,4.568
5.9600,4.363
6.0000,4.507
6.0400,4.451
6.0800,4.373
6.1200,4.377
6.1600,4.274
6.2000,4.184
6.2400,4.184
6.2800,4.296
6.3200,4.216
6.3600,4.229
6.4000,4.160
6.4400,4.099
6.4800,4.169
6.5200,4.236
6.5600,4.172
6.6000,4.271
6.6400,4.122
6.6800,4.159
6.7200,4.018
6.7600,4.049
6.8000,4.168
6.8400,4.168
6.8800,4.133
6.9200,4.047
6.9600,4.158
7.0000,4.030
7.0400,3.973
7.0800,4.057
7.1200,4.080
7.1600,4.032
7.2000,4.163
7.2400,4.127
7.2800,4.079
7.3200,3.913
7.3600,4.003
7.4000,3.995
7.4400,4.071
7.4800,3.942
7.5200,3.947
7.5600,3.989
7.6000,3.943
7.6400,3.894
7.6800,3.985
7.7200,3.983
7.7600,4.013
7.8000,3.951
7.8400,3.929
7.8800,3.913
7.9200,3.949
7.9600,4.016
8.0000,3.923
8.0400,3.845
8.0800,3.938
8.1200,3.929
8.1600,3.922
8.2000,3.925
8.2400,3.831
8.2800,3.865
8.3200,3.913
8.3600,3.939
8.4000,3.898
8.4400,3.791
8.4800,3.990
8.5200,3.841
8.5600,3.934
8.6000,3.881
8.6400,3.879
8.6800,3.914
8.7200,3.765
8.7600,3.802
8.8000,3.861
8.8400,3.834
8.8800,3.822
8.9200,3.781
8.9600,3.782
9.0000,3.819
9.0400,3.842
9.0800,3.913
9.1200,3.702
9.1600,3.856
9.2000,3.726
9.2400,3.822
9.2800,3.865
9.3200,3.675
9.3600,3.660
9.4000,3.676
9.4400,3.818
9.4800,3.685
9.5200,3.727
9.5600,3.724
9.6000,3.850
9.6400,3.792
9.6800,3.779
9.7200,3.759
9.7600,3.698
9.8000,3.625
9.8400,3.700
9.8800,3.679
9.9200,3.730
9.9600,3.599
10.0000,3.672
10.0400,3.632
10.0800,3.637
10.1200,3.587
10.1600,3.735
10.2000,3.758
10.2400,3.673
10.2800,3.646
10.3200,3.618
10.3600,3.605
10.4000,3.627
10.4400,3.705
10.4800,3.642
10.5200,3.630
10.5600,3.685
10.6000,3.599
10.6400,3.581
10.6800,3.587
10.7200,3.594
10.7600,3.648
