theta,intensity
5.0000,5.340
5.0400,5.371
5.0800,5.399
5.1200,5.223
5.1600,5.283
5.2000,5.301
5.2400,5.159
5.2800,5.155
5.3200,5.203
5.3600,5.177
5.4000,5.157
5.4400,5.088
5.4800,5.053
5.5200,5.010
5.5600,5.005
5.6000,4.980
5.6400,4.951
5.6800,4.852
5.7200,4.886
5.7600,4.741
5.8000,4.744
5.8400,4.707
5.8800,4.690
5.9200,4.550
5.9600,4.392
6.0000,4.490
6.0400,4.426
6.0800,4.355
6.1200,4.234
6.1600,4.312
6.2000,4.328
6.2400,4.282
6.2800,4.118
6.3200,4.144
6.3600,4.249
6.4000,4.226
6.4400,4.130
6.4800,4.195
6.5200,4.239
6.5600,4.140
6.6000,4.133
6.6400,4.130
6.6800,4.049
6.7200,4.187
6.7600,4.195
6.8000,3.919
6.8400,4.101
6.8800,4.039
6.9200,4.118
6.9600,4.045
7.0000,3.981
7.0400,3.943
7.0800,4.028
7.1200,4.019
7.1600,4.004
7.2000,3.978
7.2400,3.978
7.2800,4.037
7.3200,3.908
7.3600,4.085
7.4000,3.988
7.4400,4.021
7.4800,4.060
7.5200,3.985
7.5600,3.885
7.6000,3.850
7.6400,3.944
7.6800,3.997
7.7200,4.054
7.7600,3.832
7.8000,3.931
7.8400,3.909
7.8800,3.961
7.9200,3.889
7.9600,4.006
8.0000,3.882
8.0400,3.860
8.0800,3.893
8.1200,3.855
8.1600,3.818
8.2000,3.850
8.2400,3.937
8.2800,3.985
8.3200,3.852
8.3600,3.888
8.4000,3.831
8.4400,3.840
8.4800,3.823
8.5200,3.807
8.5600,3.761
8.6000,3.792
8.6400,3.803
8.6800,3.768
8.7200,3.836
8.7600,3.789
8.8000,3.760
8.8400,3.878
8.8800,3.884
8.9200,3.809
8.9600,3.805
9.0000,3.820
9.0400,3.778
9.0800,3.833
9.1200,3.807
9.1600,3.744
9.2000,3.755
9.2400,3.654
9.2800,3.728
9.3200,3.754
9.3600,3.678
9.4000,3.737
9.4400,3.729
9.4800,3.608
9.5200,3.634
9.5600,3.748
9.6000,3.874
9.6400,3.699
9.6800,3.694
9.7200,3.548
9.7600,3.722
9.8000,3.748
9.8400,3.628
9.8800,3.706
9.9200,3.646
9.9600,3.612
10.0000,3.710
10.0400,3.544
10.0800,3.491
10.1200,3.678
10.1600,3.561
10.2000,3.571
10.2400,3.709
10.2800,3.670
10.3200,3.619
10.3600,3.633
10.4000,3.625
10.4400,3.650
10.4800,3.718
10.5200,3.609
10.5600,3.635
10.6000,3.673
10.6400,3.634
10.6800,3.620
10.7200,3.560
10.7600,3.586
10.8000,3.560
10.8400,3.533
10.8800,3.529
10.9200,3.550
10.9600,3.486
11.0000,3.558
11.0400,3.539
11.0800,3.587
11.1200,3.618
11.1600,3.667
11.2000,3.554
11.2400,3.555
11.2800,3.533
11.3200,3.482
11.3600,3.471
11.4000,3.523
11.4400,3.533
11.4800,3.508
11.5200,3.509
11.5600,3.393
11.6000,3.563
11.6400,3.507
11.6800,3.397
11.7200,3.470
11.7600,3.560
11.8000,3.490
11.8400,3.664
11.8800,3.489
11.9200,3.489
11.9600,3.441
12.0000,3.504
12.0400,3.421
12.0800,3.446
12.1200,3.396
12.1600,3.419
12.2000,3.521
12.2400,3.526
12.2800,3.537
12.3200,3.462
12.3600,3.493
12.4000,3.401
12.4400,3.435
12.4800,3.476
12.5200,3.359
12.5600,3.484
12.6000,3.378
12.6400,3.408
12.6800,3.376
12.7200,3.483
12.7600,3.421
12.8000,3.283
12.8400,3.378
12.8800,3.369
12.9200,3.388
12.9600,3.381
13.0000,3.382
13.0400,3.286
13.0800,3.437
13.1200,3.445
13.1600,3.452
13.2000,3.378
13.2400,3.261
13.2800,3.327
13.3200,3.356
13.3600,3.246
13.4000,3.355
13.4400,3.293
13.4800,3.423
13.5200,3.369
13.5600,3.335
13.6000,3.330
13.6400,3.302
13.6800,3.244
13.7200,3.332
13.7600,3.341
13.8000,3.329
13.8400,3.331
13.8800,3.336
13.9200,3.254
13.9600,3.370
14.0000,3.308
14.0400,3.214
14.0800,3.199
14.1200,3.175
14.1600,3.293
14.2000,3.281
14.2400,3.232
14.2800,3.209
14.3200,3.317
14.3600,3.185
14.4000,3.215
14.4400,3.181
14.4800,3.203
14.5200,3.177
14.5600,3.196
14.6000,3.145
14.6400,3.221
14.6800,3.237
14.7200,3.140
14.7600,3.253
14.8000,3.198
14.8400,3.151
14.8800,3.111
14.9200,3.223
14.9600,3.169
15.0000,3.168
15.0400,3.134
15.0800,3.063
15.1200,3.175
15.1600,3.214
15.2000,3.159
15.2400,3.136
15.2800,3.173
15.3200,3.126
15.3600,3.155
15.4000,3.098
15.4400,3.077
15.4800,3.104
15.5200,3.126
15.5600,3.013
15.6000,3.114
15.6400,3.113
15.6800,3.151
15.7200,3.224
15.7600,3.134
15.8000,3.147
15.8400,3.114
15.8800,3.077
15.9200,3.141
15.9600,3.117
16.0000,2.997
16.0400,3.052
16.0800,2.998
16.1200,3.082
16.1600,3.100
16.2000,3.020
16.2400,3.061
16.2800,3.029
16.3200,2.996
16.3600,2.987
16.4000,3.014
16.4400,3.131
16.4800,3.101
16.5200,2.997
16.5600,3.030
16.6000,2.959
16.6400,2.982
16.6800,3.104
16.7200,2.959
16.7600,3.161
16.8000,3.044
16.8400,3.064
16.8800,2.908
16.9200,3.064
16.9600,3.067
17.0000,3.031
17.0400,3.120
17.0800,2.896
17.1200,2.963
17.1600,2.912
17.2000,2.934
17.2400,2.975
17.2800,2.907
17.3200,2.845
17.3600,2.936
17.4000,2.953
17.4400,2.975
17.4800,3.006
17.5200,2.875
17.5600,2.809
17.6000,2.977
17.6400,2.973
17.6800,2.969
17.7200,3.011
17.7600,2.974
17.8000,2.842
17.8400,2.943
17.8800,2.838
17.9200,2.906
17.9600,2.924
18.0000,2.891
18.0400,2.858
18.0800,2.944
18.1200,2.870
18.1600,2.839
18.2000,2.870
18.2400,2.811
18.2800,2.966
18.3200,2.774
18.3600,2.771
18.4000,2.819
18.4400,2.886
18.4800,2.719
18.5200,2.857
18.5600,2.870
18.6000,2.824
18.6400,2.874
18.6800,2.813
18.7200,2.851
18.7600,2.882
18.8000,2.889
18.8400,2.835
18.8800,2.842
18.9200,2.717
18.9600,2.857
19.0000,2.720
19.0400,2.727
19.0800,2.797
19.1200,2.753
19.1600,2.752
19.2000,2.789
19.2400,2.779
19.2800,2.684
19.3200,2.759
19.3600,2.790
19.4000,2.784
19.4400,2.612
19.4800,2.781
19.5200,2.785
19.5600,2.753
19.6000,2.697
19.6400,2.688
19.6800,2.755
19.7200,2.670
19.7600,2.746
19.8000,2.692
19.8400,2.732
19.8800,2.762
19.9200,2.716
19.9600,2.738
20.0000,2.688
20.0400,2.789
20.0800,2.742
20.1200,2.645
20.1600,2.669
20.2000,2.694
20.2400,2.632
20.2800,2.665
20.3200,2.738
20.3600,2.632
20.4000,2.710
20.4400,2.662
20.4800,2.594
20.5200,2.637
20.5600,2.616
20.6000,2.667
20.6400,2.695
20.6800,2.650
20.7200,2.643
20.7600,2.560
20.8000,2.587
20.8400,2.597
20.8800,2.568
20.9200,2.536
20.9600,2.585
21.0000,2.597
21.0400,2.533
21.0800,2.578
21.1200,2.623
21.1600,2.626
21.2000,2.568
21.2400,2.640
21.2800,2.522
21.3200,2.570
21.3600,2.601
21.4000,2.534
21.4400,2.537
21.4800,2.569
21.5200,2.486
21.5600,2.480
21.6000,2.462
21.6400,2.497
21.6800,2.542
21.7200,2.608
21.7600,2.535
21.8000,2.488
21.8400,2.540
21.8800,2.565
21.9200,2.524
21.9600,2.544
22.0000,2.523
22.0400,2.559
22.0800,2.450
22.1200,2.588
22.1600,2.566
22.2000,2.478
22.2400,2.445
22.2800,2.455
22.3200,2.516
22.3600,2.451
22.4000,2.493
22.4400,2.460
22.4800,2.553
22.5200,2.425
22.5600,2.407
22.6000,2.455
22.6400,2.468
22.6800,2.522
22.7200,2.464
22.7600,2.385
22.8000,2.432
22.8400,2.435
22.8800,2.364
22.9200,2.380
22.9600,2.420
23.0000,2.507
23.0400,2.413
23.0800,2.465
23.1200,2.447
23.1600,2.386
23.2000,2.378
23.2400,2.389
23.2800,2.352
23.3200,2.422
23.3600,2.497
23.4000,2.395
23.4400,2.368
23.4800,2.350
23.5200,2.455
23.5600,2.414
23.6000,2.373
23.6400,2.380
23.6800,2.348
23.7200,2.353
23.7600,2.386
23.8000,2.388
23.8400,2.306
23.8800,2.268
23.9200,2.324
23.9600,2.395
24.0000,2.308
24.0400,2.454
24.0800,2.308
24.1200,2.360
24.1600,2.404
24.2000,2.354
24.2400,2.267
24.2800,2.319
24.3200,2.334
24.3600,2.339
24.4000,2.333
24.4400,2.241
24.4800,2.313
24.5200,2.217
24.5600,2.262
24.6000,2.360
24.6400,2.266
24.6800,2.238
24.7200,2.305
24.7600,2.290
24.8000,2.340
24.8400,2.257
24.8800,2.176
24.9200,2.186
24.9600,2.273
25.0000,2.233
25.0400,2.214
25.0800,2.243
25.1200,2.198
25.1600,2.366
25.2000,2.192
25.2400,2.179
25.2800,2.234
25.3200,2.198
25.3600,2.233
25.4000,2.148
25.4400,2.208
25.4800,2.209
25.5200,2.246
