theta,intensity
5.0000,6.361
5.0400,6.608
5.0800,6.516
5.1200,6.332
5.1600,6.142
5.2000,6.281
5.2400,6.271
5.2800,6.125
5.3200,6.143
5.3600,6.037
5.4000,5.997
5.4400,5.819
5.4800,5.959
5.5200,5.860
5.5600,5.759
5.6000,5.643
5.6400,5.628
5.6800,5.500
5.7200,5.388
5.7600,5.359
5.8000,5.379
5.8400,5.252
5.8800,5.230
5.9200,5.154
5.9600,5.052
6.0000,4.975
6.0400,4.957
6.0800,4.846
6.1200,4.883
6.1600,4.681
6.2000,4.675
6.2400,4.579
6.2800,4.580
6.3200,4.564
6.3600,4.525
6.4000,4.459
6.4400,4.477
6.4800,4.275
6.5200,4.326
6.5600,4.324
6.6000,4.226
6.6400,4.094
6.6800,4.306
6.7200,4.205
6.7600,4.317
6.8000,4.255
6.8400,4.137
6.8800,4.084
6.9200,4.189
6.9600,4.256
7.0000,4.071
7.0400,4.254
7.0800,4.104
7.1200,4.130
7.1600,4.154
7.2000,4.074
7.2400,4.178
7.2800,4.072
7.3200,4.054
7.3600,4.152
7.4000,4.094
7.4400,4.147
7.4800,4.044
7.5200,4.060
7.5600,4.076
7.6000,4.054
7.6400,3.967
7.6800,4.138
7.7200,4.143
7.7600,4.115
7.8000,4.161
7.8400,3.927
7.8800,4.065
7.9200,4.053
7.9600,3.996
8.0000,3.966
8.0400,4.136
8.0800,3.979
8.1200,3.986
8.1600,3.888
8.2000,3.913
8.2400,4.031
8.2800,4.044
8.3200,3.953
8.3600,3.828
8.4000,3.849
8.4400,3.937
8.4800,3.935
8.5200,3.974
8.5600,3.953
8.6000,3.964
8.6400,3.918
8.6800,3.871
8.7200,3.948
8.7600,3.856
8.8000,3.979
8.8400,3.857
8.8800,3.854
8.9200,3.768
8.9600,3.815
9.0000,3.871
9.0400,3.923
9.0800,3.867
9.1200,3.828
9.1600,3.810
9.2000,3.764
9.2400,3.794
9.2800,3.909
9.3200,3.821
9.3600,3.855
9.4000,3.876
9.4400,3.963
9.4800,3.715
9.5200,3.736
9.5600,3.750
9.6000,3.813
9.6400,3.874
9.6800,3.808
9.7200,3.863
9.7600,3.744
9.8000,3.734
9.8400,3.732
9.8800,3.776
9.9200,3.700
9.9600,3.811
10.0000,3.772
10.0400,3.714
10.0800,3.713
10.1200,3.779
10.1600,3.687
10.2000,3.745
10.2400,3.755
10.2800,3.720
10.3200,3.605
10.3600,3.718
10.4000,3.805
10.4400,3.692
10.4800,3.629
10.5200,3.644
10.5600,3.682
10.6000,3.625
10.6400,3.612
10.6800,3.594
10.7200,3.596
10.7600,3.638
10.8000,3.642
10.8400,3.617
10.8800,3.574
10.9200,3.579
10.9600,3.588
11.0000,3.561
11.0400,3.562
11.0800,3.606
11.1200,3.706
11.1600,3.601
11.2000,3.713
