theta,intensity
5.0000,7.013
5.0400,7.014
5.0800,6.846
5.1200,6.834
5.1600,6.978
5.2000,6.747
5.2400,6.754
5.2800,6.646
5.3200,6.597
5.3600,6.516
5.4000,6.554
5.4400,6.471
5.4800,6.300
5.5200,6.313
5.5600,6.162
5.6000,6.303
5.6400,5.883
5.6800,5.781
5.7200,5.726
5.7600,5.580
5.8000,5.656
5.8400,5.616
5.8800,5.391
5.9200,5.355
5.9600,5.489
6.0000,5.251
6.0400,5.355
6.0800,5.220
6.1200,5.258
6.1600,5.122
6.2000,5.109
6.2400,5.111
6.2800,5.096
6.3200,4.857
6.3600,4.843
6.4000,5.046
6.4400,4.899
6.4800,4.878
6.5200,4.750
6.5600,4.822
6.6000,4.910
6.6400,4.675
6.6800,4.715
6.7200,4.728
6.7600,4.654
6.8000,4.564
6.8400,4.686
6.8800,4.659
6.9200,4.443
6.9600,4.439
7.0000,4.498
7.0400,4.492
7.0800,4.417
7.1200,4.476
7.1600,4.432
7.2000,4.379
7.2400,4.228
7.2800,4.269
7.3200,4.429
7.3600,4.280
7.4000,4.269
7.4400,4.244
7.4800,4.301
7.5200,4.232
7.5600,4.173
7.6000,4.157
7.6400,4.193
7.6800,4.182
7.7200,4.093
7.7600,4.206
7.8000,4.216
7.8400,4.216
7.8800,4.125
7.9200,4.149
7.9600,3.992
8.0000,4.118
8.0400,4.110
8.0800,4.020
8.1200,4.003
8.1600,4.028
8.2000,4.082
8.2400,4.040
8.2800,3.952
8.3200,3.909
8.3600,4.022
8.4000,4.005
8.4400,4.043
8.4800,3.910
8.5200,4.025
8.5600,3.960
8.6000,4.007
8.6400,3.933
8.6800,3.957
8.7200,3.961
8.7600,4.026
8.8000,3.988
8.8400,3.809
8.8800,3.782
8.9200,4.015
8.9600,3.950
9.0000,3.928
9.0400,3.854
9.0800,3.865
9.1200,3.859
9.1600,3.849
9.2000,3.853
9.2400,3.703
9.2800,3.913
9.3200,3.858
9.3600,3.867
9.4000,3.768
9.4400,3.780
9.4800,3.790
9.5200,3.789
9.5600,3.737
9.6000,3.841
9.6400,3.888
9.6800,3.777
9.7200,3.812
9.7600,3.842
9.8000,3.715
9.8400,3.696
9.8800,3.664
9.9200,3.654
9.9600,3.716
10.0000,3.673
10.0400,3.713
10.0800,3.639
10.1200,3.804
10.1600,3.815
10.2000,3.733
10.2400,3.754
10.2800,3.734
10.3200,3.720
10.3600,3.703
10.4000,3.750
10.4400,3.622
10.4800,3.654
10.5200,3.595
10.5600,3.649
10.6000,3.556
10.6400,3.633
10.6800,3.682
10.7200,3.594
10.7600,3.655
10.8000,3.593
10.8400,3.614
10.8800,3.503
10.9200,3.586
10.9600,3.610
11.0000,3.562
11.0400,3.546
11.0800,3.605
11.1200,3.580
11.1600,3.606
11.2000,3.561
11.2400,3.452
11.2800,3.591
11.3200,3.616
11.3600,3.577
11.4000,3.475
11.4400,3.588
11.4800,3.599
11.5200,3.541
11.5600,3.594
11.6000,3.540
11.6400,3.508
11.6800,3.547
11.7200,3.619
11.7600,3.482
11.8000,3.361
11.8400,3.527
11.8800,3.475
11.9200,3.556
11.9600,3.524
12.0000,3.470
12.0400,3.471
12.0800,3.419
12.1200,3.460
12.1600,3.567
12.2000,3.499
12.2400,3.430
12.2800,3.487
12.3200,3.545
12.3600,3.532
12.4000,3.548
12.4400,3.377
12.4800,3.380
12.5200,3.445
12.5600,3.492
12.6000,3.455
12.6400,3.446
12.6800,3.402
12.7200,3.468
12.7600,3.469
12.8000,3.388
12.8400,3.471
12.8800,3.488
12.9200,3.544
12.9600,3.315
13.0000,3.339
13.0400,3.364
13.0800,3.380
13.1200,3.380
13.1600,3.351
13.2000,3.450
13.2400,3.344
13.2800,3.436
13.3200,3.356
13.3600,3.303
13.4000,3.354
13.4400,3.435
13.4800,3.446
13.5200,3.298
13.5600,3.259
13.6000,3.328
13.6400,3.341
13.6800,3.299
13.7200,3.378
13.7600,3.348
13.8000,3.342
13.8400,3.373
13.8800,3.344
13.9200,3.351
13.9600,3.306
14.0000,3.382
14.0400,3.330
14.0800,3.279
14.1200,3.320
14.1600,3.384
14.2000,3.275
14.2400,3.269
14.2800,3.329
14.3200,3.293
14.3600,3.333
14.4000,3.260
14.4400,3.274
14.4800,3.269
14.5200,3.322
14.5600,3.370
14.6000,3.223
14.6400,3.110
14.6800,3.254
14.7200,3.325
14.7600,3.336
14.8000,3.375
14.8400,3.358
14.8800,3.262
14.9200,3.176
14.9600,3.084
15.0000,3.168
15.0400,3.233
15.0800,3.142
15.1200,3.073
15.1600,3.113
15.2000,3.114
15.2400,3.174
15.2800,3.205
15.3200,3.204
15.3600,3.161
15.4000,3.276
15.4400,3.192
15.4800,3.189
15.5200,3.144
15.5600,3.150
15.6000,3.229
15.6400,3.108
15.6800,3.152
15.7200,3.181
15.7600,3.086
15.8000,3.193
15.8400,3.127
15.8800,3.144
15.9200,3.073
15.9600,3.207
16.0000,3.227
16.0400,3.174
16.0800,3.123
16.1200,3.087
16.1600,3.210
16.2000,3.153
16.2400,3.160
16.2800,3.052
16.3200,2.985
16.3600,2.941
16.4000,3.125
16.4400,3.221
16.4800,3.088
16.5200,2.997
16.5600,2.983
16.6000,3.110
16.6400,3.127
16.6800,3.018
16.7200,3.091
16.7600,3.033
16.8000,3.095
16.8400,2.964
16.8800,3.093
16.9200,3.009
16.9600,3.060
17.0000,3.028
17.0400,2.976
17.0800,3.050
17.1200,3.054
17.1600,3.116
17.2000,3.041
17.2400,2.920
17.2800,2.948
17.3200,2.915
17.3600,3.036
17.4000,2.985
17.4400,2.924
17.4800,2.904
17.5200,3.034
17.5600,3.007
17.6000,3.026
17.6400,2.923
17.6800,2.898
17.7200,2.894
17.7600,3.011
17.8000,2.916
17.8400,3.030
17.8800,2.973
17.9200,2.928
17.9600,2.930
18.0000,2.925
18.0400,2.859
18.0800,2.913
18.1200,2.966
18.1600,2.881
18.2000,2.917
18.2400,2.975
18.2800,2.996
18.3200,2.900
18.3600,2.961
18.4000,2.816
18.4400,2.942
18.4800,2.898
18.5200,2.827
18.5600,2.823
18.6000,2.917
18.6400,2.866
18.6800,2.971
18.7200,2.871
18.7600,2.886
18.8000,2.888
18.8400,2.853
18.8800,2.877
18.9200,2.869
18.9600,2.810
19.0000,2.789
19.0400,2.884
19.0800,2.826
19.1200,2.771
19.1600,2.806
19.2000,2.734
19.2400,2.728
19.2800,2.777
19.3200,2.885
19.3600,2.925
19.4000,2.710
19.4400,2.754
19.4800,2.788
19.5200,2.785
19.5600,2.798
19.6000,2.762
19.6400,2.825
19.6800,2.716
19.7200,2.807
19.7600,2.756
19.8000,2.844
19.8400,2.688
19.8800,2.774
19.9200,2.736
19.9600,2.636
20.0000,2.729
20.0400,2.756
20.0800,2.784
20.1200,2.713
20.1600,2.766
20.2000,2.686
20.2400,2.702
20.2800,2.782
20.3200,2.769
20.3600,2.711
20.4000,2.778
20.4400,2.735
20.4800,2.674
20.5200,2.712
20.5600,2.702
20.6000,2.686
20.6400,2.724
20.6800,2.704
20.7200,2.707
20.7600,2.749
20.8000,2.665
20.8400,2.680
20.8800,2.679
20.9200,2.663
20.9600,2.737
21.0000,2.692
21.0400,2.662
21.0800,2.799
21.1200,2.708
21.1600,2.689
21.2000,2.668
21.2400,2.826
21.2800,2.861
21.3200,2.848
21.3600,2.957
21.4000,2.892
21.4400,3.010
21.4800,2.950
21.5200,2.886
21.5600,2.863
21.6000,2.808
21.6400,2.899
21.6800,2.713
21.7200,2.729
21.7600,2.772
21.8000,2.665
21.8400,2.735
21.8800,2.621
21.9200,2.622
21.9600,2.545
22.0000,2.665
22.0400,2.599
22.0800,2.559
22.1200,2.633
22.1600,2.704
22.2000,2.573
22.2400,2.549
22.2800,2.658
22.3200,2.522
22.3600,2.618
22.4000,2.618
22.4400,2.565
22.4800,2.533
22.5200,2.434
22.5600,2.499
22.6000,2.577
22.6400,2.589
22.6800,2.557
22.7200,2.628
22.7600,2.439
22.8000,2.533
22.8400,2.537
22.8800,2.515
22.9200,2.511
22.9600,2.436
23.0000,2.438
23.0400,2.515
23.0800,2.445
23.1200,2.539
23.1600,2.585
23.2000,2.452
23.2400,2.550
23.2800,2.512
23.3200,2.473
23.3600,2.458
23.4000,2.437
23.4400,2.445
23.4800,2.472
23.5200,2.419
23.5600,2.396
23.6000,2.465
23.6400,2.388
23.6800,2.410
23.7200,2.484
23.7600,2.479
23.8000,2.482
23.8400,2.528
23.8800,2.398
23.9200,2.436
23.9600,2.406
24.0000,2.443
24.0400,2.404
24.0800,2.413
24.1200,2.393
24.1600,2.453
24.2000,2.513
24.2400,2.262
24.2800,2.360
