theta,intensity
5.0000,4.709
5.0400,4.734
5.0800,4.713
5.1200,4.544
5.1600,4.565
5.2000,4.555
5.2400,4.584
5.2800,4.512
5.3200,4.608
5.3600,4.559
5.4000,4.634
5.4400,4.610
5.4800,4.601
5.5200,4.462
5.5600,4.556
5.6000,4.640
5.6400,4.542
5.6800,4.494
5.7200,4.565
5.7600,4.511
5.8000,4.463
5.8400,4.520
5.8800,4.409
5.9200,4.310
5.9600,4.487
6.0000,4.381
6.0400,4.374
6.0800,4.351
6.1200,4.314
6.1600,4.209
6.2000,4.285
6.2400,4.090
6.2800,4.157
6.3200,4.179
6.3600,4.201
6.4000,4.137
6.4400,4.101
6.4800,4.152
6.5200,3.978
6.5600,4.054
6.6000,4.019
6.6400,4.009
6.6800,4.066
6.7200,4.011
6.7600,4.036
6.8000,4.030
6.8400,4.019
6.8800,4.065
6.9200,3.947
6.9600,4.005
7.0000,4.104
7.0400,3.998
7.0800,3.959
7.1200,3.963
7.1600,3.987
7.2000,4.002
7.2400,3.968
7.2800,3.910
7.3200,3.910
7.3600,3.894
7.4000,3.869
7.4400,3.910
7.4800,3.960
7.5200,3.895
7.5600,3.924
7.6000,3.956
7.6400,3.876
7.6800,3.909
7.7200,3.976
7.7600,3.950
7.8000,3.678
7.8400,3.849
7.8800,3.853
7.9200,3.844
7.9600,3.825
8.0000,3.821
8.0400,3.772
8.0800,3.863
8.1200,3.890
8.1600,3.903
8.2000,3.754
8.2400,3.849
8.2800,3.951
8.3200,3.913
8.3600,3.702
8.4000,3.703
8.4400,3.890
8.4800,3.704
8.5200,3.886
8.5600,3.828
8.6000,3.758
8.6400,3.867
8.6800,3.771
8.7200,3.847
8.7600,3.847
8.8000,3.761
8.8400,3.694
8.8800,3.678
8.9200,3.678
8.9600,3.742
9.0000,3.770
9.0400,3.710
9.0800,3.686
9.1200,3.825
9.1600,3.689
9.2000,3.707
9.2400,3.723
9.2800,3.682
9.3200,3.791
9.3600,3.831
9.4000,3.704
9.4400,3.677
9.4800,3.689
9.5200,3.711
9.5600,3.804
9.6000,3.714
9.6400,3.689
9.6800,3.756
9.7200,3.637
9.7600,3.713
9.8000,3.650
9.8400,3.674
9.8800,3.669
9.9200,3.614
9.9600,3.568
10.0000,3.662
10.0400,3.662
10.0800,3.592
10.1200,3.753
10.1600,3.686
10.2000,3.605
10.2400,3.659
10.2800,3.611
10.3200,3.739
10.3600,3.677
10.4000,3.604
10.4400,3.649
10.4800,3.593
10.5200,3.662
10.5600,3.522
10.6000,3.576
10.6400,3.630
10.6800,3.542
10.7200,3.594
10.7600,3.544
10.8000,3.650
10.8400,3.609
10.8800,3.507
10.9200,3.468
10.9600,3.499
11.0000,3.650
11.0400,3.541
11.0800,3.558
11.1200,3.544
11.1600,3.533
11.2000,3.463
11.2400,3.426
11.2800,3.523
11.3200,3.521
11.3600,3.496
11.4000,3.544
11.4400,3.508
11.4800,3.469
11.5200,3.494
11.5600,3.452
11.6000,3.502
11.6400,3.501
11.6800,3.420
11.7200,3.455
11.7600,3.335
11.8000,3.520
11.8400,3.474
11.8800,3.488
11.9200,3.469
11.9600,3.510
12.0000,3.373
12.0400,3.408
12.0800,3.480
12.1200,3.488
12.1600,3.404
12.2000,3.447
12.2400,3.367
12.2800,3.440
12.3200,3.452
12.3600,3.513
12.4000,3.284
12.4400,3.332
12.4800,3.371
12.5200,3.426
12.5600,3.402
12.6000,3.444
12.6400,3.385
12.6800,3.461
12.7200,3.439
12.7600,3.309
12.8000,3.291
12.8400,3.481
12.8800,3.300
12.9200,3.295
12.9600,3.346
13.0000,3.491
13.0400,3.312
13.0800,3.252
13.1200,3.331
13.1600,3.403
13.2000,3.272
13.2400,3.375
13.2800,3.358
13.3200,3.325
13.3600,3.319
13.4000,3.271
13.4400,3.450
13.4800,3.364
13.5200,3.286
13.5600,3.320
13.6000,3.387
13.6400,3.302
13.6800,3.334
13.7200,3.278
13.7600,3.320
13.8000,3.289
13.8400,3.314
13.8800,3.286
13.9200,3.288
13.9600,3.219
14.0000,3.303
14.0400,3.251
14.0800,3.261
14.1200,3.342
14.1600,3.263
14.2000,3.187
14.2400,3.206
14.2800,3.190
14.3200,3.256
14.3600,3.230
14.4000,3.338
14.4400,3.211
14.4800,3.161
14.5200,3.178
14.5600,3.273
14.6000,3.202
14.6400,3.219
14.6800,3.155
14.7200,3.245
14.7600,3.233
14.8000,3.224
14.8400,3.154
14.8800,3.205
14.9200,3.167
14.9600,3.177
15.0000,3.195
15.0400,3.213
15.0800,3.225
15.1200,3.254
15.1600,3.161
15.2000,3.209
15.2400,3.200
15.2800,3.264
15.3200,3.255
15.3600,3.191
15.4000,3.058
15.4400,3.158
15.4800,3.141
15.5200,3.175
15.5600,3.067
15.6000,3.136
15.6400,3.141
15.6800,3.107
15.7200,3.112
15.7600,3.127
15.8000,3.030
15.8400,3.098
15.8800,3.158
15.9200,3.089
15.9600,3.022
16.0000,3.037
16.0400,3.092
16.0800,3.159
16.1200,3.110
16.1600,3.010
16.2000,3.114
16.2400,3.087
16.2800,3.155
16.3200,3.043
16.3600,3.040
16.4000,3.161
16.4400,3.139
16.4800,3.079
16.5200,3.156
16.5600,3.150
16.6000,3.054
16.6400,3.045
16.6800,3.076
16.7200,2.993
16.7600,3.077
16.8000,2.950
16.8400,3.100
16.8800,3.083
16.9200,3.061
16.9600,3.050
17.0000,3.005
17.0400,3.012
17.0800,2.940
17.1200,2.932
17.1600,2.915
17.2000,3.015
17.2400,2.998
17.2800,2.971
17.3200,2.884
17.3600,2.947
17.4000,2.911
17.4400,2.920
17.4800,2.889
17.5200,2.939
17.5600,3.033
17.6000,2.906
17.6400,2.941
17.6800,3.024
17.7200,2.965
17.7600,3.058
17.8000,2.929
17.8400,2.850
17.8800,2.953
17.9200,2.851
17.9600,2.980
18.0000,2.927
18.0400,2.942
18.0800,2.898
18.1200,2.895
18.1600,2.872
18.2000,2.842
18.2400,2.874
18.2800,2.887
18.3200,2.800
18.3600,2.835
18.4000,2.804
18.4400,2.939
18.4800,2.824
18.5200,2.808
18.5600,2.862
18.6000,2.811
18.6400,2.835
18.6800,2.878
18.7200,2.928
18.7600,2.900
18.8000,2.813
18.8400,2.891
18.8800,2.800
18.9200,2.767
18.9600,2.851
19.0000,2.905
19.0400,2.924
19.0800,2.765
19.1200,2.848
19.1600,2.802
19.2000,2.791
19.2400,2.785
19.2800,2.682
19.3200,2.803
19.3600,2.749
19.4000,2.743
19.4400,2.862
19.4800,2.770
19.5200,2.795
19.5600,2.830
19.6000,2.805
19.6400,2.811
19.6800,2.795
19.7200,2.662
19.7600,2.717
19.8000,2.684
19.8400,2.749
19.8800,2.703
19.9200,2.721
19.9600,2.697
20.0000,2.670
20.0400,2.755
20.0800,2.647
20.1200,2.760
20.1600,2.661
20.2000,2.669
20.2400,2.610
20.2800,2.749
20.3200,2.698
20.3600,2.701
20.4000,2.655
20.4400,2.658
20.4800,2.601
20.5200,2.614
20.5600,2.662
20.6000,2.629
20.6400,2.748
20.6800,2.673
20.7200,2.639
20.7600,2.561
20.8000,2.677
20.8400,2.598
20.8800,2.725
20.9200,2.573
20.9600,2.750
21.0000,2.666
21.0400,2.778
21.0800,2.579
21.1200,2.675
21.1600,2.539
21.2000,2.597
21.2400,2.564
21.2800,2.603
21.3200,2.568
21.3600,2.568
21.4000,2.599
21.4400,2.578
21.4800,2.538
21.5200,2.571
21.5600,2.571
21.6000,2.578
21.6400,2.527
21.6800,2.599
21.7200,2.553
21.7600,2.538
21.8000,2.654
21.8400,2.568
21.8800,2.534
21.9200,2.556
21.9600,2.503
22.0000,2.576
22.0400,2.538
22.0800,2.555
22.1200,2.549
22.1600,2.595
22.2000,2.525
22.2400,2.518
22.2800,2.521
22.3200,2.406
22.3600,2.500
22.4000,2.493
22.4400,2.536
22.4800,2.492
22.5200,2.484
22.5600,2.458
22.6000,2.503
22.6400,2.511
22.6800,2.506
22.7200,2.383
22.7600,2.378
22.8000,2.410
22.8400,2.392
22.8800,2.492
22.9200,2.527
22.9600,2.435
23.0000,2.419
23.0400,2.467
23.0800,2.395
23.1200,2.493
23.1600,2.321
23.2000,2.376
23.2400,2.513
23.2800,2.372
23.3200,2.458
23.3600,2.433
23.4000,2.421
23.4400,2.450
23.4800,2.396
23.5200,2.387
23.5600,2.321
23.6000,2.350
23.6400,2.376
23.6800,2.260
23.7200,2.319
23.7600,2.419
23.8000,2.339
23.8400,2.368
23.8800,2.501
23.9200,2.393
23.9600,2.335
24.0000,2.411
24.0400,2.368
24.0800,2.403
24.1200,2.277
24.1600,2.339
24.2000,2.455
24.2400,2.356
24.2800,2.354
24.3200,2.284
24.3600,2.311
24.4000,2.333
24.4400,2.323
24.4800,2.314
24.5200,2.364
24.5600,2.265
24.6000,2.316
24.6400,2.330
24.6800,2.256
24.7200,2.324
