theta,intensity
5.0000,4.429
5.0400,4.406
5.0800,4.418
5.1200,4.408
5.1600,4.343
5.2000,4.315
5.2400,4.179
5.2800,4.381
5.3200,4.350
5.3600,4.327
5.4000,4.142
5.4400,4.188
5.4800,4.234
5.5200,4.226
5.5600,4.186
5.6000,4.260
5.6400,4.169
5.6800,4.279
5.7200,4.161
5.7600,4.244
5.8000,4.181
5.8400,4.293
5.8800,4.215
5.9200,4.193
5.9600,4.168
6.0000,4.269
6.0400,4.176
6.0800,4.227
6.1200,4.328
6.1600,4.088
6.2000,4.232
6.2400,4.185
6.2800,4.024
6.3200,4.042
6.3600,3.982
6.4000,4.126
6.4400,3.936
6.4800,4.125
6.5200,4.054
6.5600,3.860
6.6000,4.084
6.6400,4.171
6.6800,4.001
6.7200,4.065
6.7600,3.913
6.8000,4.005
6.8400,3.963
6.8800,4.093
6.9200,3.974
6.9600,3.849
7.0000,4.022
7.0400,4.011
7.0800,3.940
7.1200,3.840
7.1600,3.969
7.2000,3.808
7.2400,3.848
7.2800,4.048
7.3200,3.986
7.3600,3.938
7.4000,3.937
7.4400,4.002
7.4800,3.971
7.5200,3.907
7.5600,4.027
7.6000,3.970
7.6400,3.908
7.6800,3.915
7.7200,3.905
7.7600,3.849
7.8000,3.939
7.8400,3.955
7.8800,3.905
7.9200,3.787
7.9600,3.846
8.0000,3.857
8.0400,3.815
8.0800,3.896
8.1200,3.635
8.1600,3.779
8.2000,3.892
8.2400,3.952
8.2800,3.720
8.3200,3.835
8.3600,3.856
8.4000,3.992
8.4400,3.761
8.4800,3.849
8.5200,3.788
8.5600,3.760
8.6000,3.766
8.6400,3.903
8.6800,3.897
8.7200,3.775
8.7600,3.849
8.8000,3.746
8.8400,3.859
8.8800,3.755
8.9200,3.820
8.9600,3.684
9.0000,3.775
9.0400,3.665
9.0800,3.638
9.1200,3.727
9.1600,3.783
9.2000,3.690
9.2400,3.811
9.2800,3.721
9.3200,3.693
9.3600,3.710
9.4000,3.686
9.4400,3.831
9.4800,3.765
9.5200,3.681
9.5600,3.605
9.6000,3.630
9.6400,3.772
9.6800,3.702
9.7200,3.681
9.7600,3.609
9.8000,3.617
9.8400,3.727
9.8800,3.680
9.9200,3.547
9.9600,3.573
10.0000,3.591
10.0400,3.683
10.0800,3.735
10.1200,3.721
10.1600,3.545
10.2000,3.596
10.2400,3.625
10.2800,3.576
10.3200,3.759
10.3600,3.561
10.4000,3.459
10.4400,3.698
10.4800,3.610
10.5200,3.610
10.5600,3.667
10.6000,3.679
10.6400,3.643
10.6800,3.713
10.7200,3.665
10.7600,3.431
10.8000,3.557
10.8400,3.590
10.8800,3.563
10.9200,3.618
10.9600,3.634
11.0000,3.497
11.0400,3.635
11.0800,3.614
11.1200,3.626
11.1600,3.470
11.2000,3.559
11.2400,3.544
11.2800,3.371
11.3200,3.450
11.3600,3.582
11.4000,3.603
11.4400,3.428
11.4800,3.366
11.5200,3.480
11.5600,3.457
11.6000,3.577
11.6400,3.479
11.6800,3.628
11.7200,3.504
11.7600,3.408
11.8000,3.386
11.8400,3.446
11.8800,3.499
11.9200,3.475
11.9600,3.535
12.0000,3.497
12.0400,3.563
12.0800,3.494
12.1200,3.498
12.1600,3.275
12.2000,3.408
12.2400,3.427
12.2800,3.469
12.3200,3.406
12.3600,3.430
12.4000,3.345
12.4400,3.505
12.4800,3.366
12.5200,3.273
12.5600,3.415
12.6000,3.405
12.6400,3.408
12.6800,3.468
12.7200,3.431
12.7600,3.360
12.8000,3.353
12.8400,3.377
12.8800,3.338
12.9200,3.325
12.9600,3.396
13.0000,3.389
13.0400,3.424
13.0800,3.325
13.1200,3.316
13.1600,3.283
13.2000,3.299
13.2400,3.199
13.2800,3.341
13.3200,3.346
13.3600,3.407
13.4000,3.355
13.4400,3.345
13.4800,3.147
13.5200,3.243
13.5600,3.258
13.6000,3.338
13.6400,3.288
