theta,intensity
5.0000,6.535
5.0400,6.409
5.0800,6.564
5.1200,6.422
5.1600,6.312
5.2000,6.328
5.2400,6.174
5.2800,6.186
5.3200,6.105
5.3600,6.015
5.4000,6.008
5.4400,5.846
5.4800,5.782
5.5200,5.781
5.5600,5.677
5.6000,5.579
5.6400,5.450
5.6800,5.369
5.7200,5.389
5.7600,5.299
5.8000,5.223
5.8400,5.097
5.8800,4.947
5.9200,4.891
5.9600,4.986
6.0000,4.786
6.0400,4.732
6.0800,4.706
6.1200,4.538
6.1600,4.463
6.2000,4.413
6.2400,4.470
6.2800,4.434
6.3200,4.448
6.3600,4.378
6.4000,4.347
6.4400,4.339
6.4800,4.351
6.5200,4.432
6.5600,4.293
6.6000,4.139
6.6400,4.261
6.6800,4.211
6.7200,4.261
6.7600,4.354
6.8000,4.175
6.8400,4.106
6.8800,4.166
6.9200,4.252
6.9600,4.319
7.0000,4.186
7.0400,4.073
7.0800,4.150
7.1200,4.145
7.1600,4.121
7.2000,4.099
7.2400,4.103
7.2800,4.100
7.3200,4.096
7.3600,4.255
7.4000,4.141
7.4400,4.002
7.4800,4.129
7.5200,3.953
7.5600,4.137
7.6000,4.019
7.6400,4.079
7.6800,4.133
7.7200,4.202
7.7600,4.036
7.8000,3.963
7.8400,3.991
7.8800,4.009
7.9200,4.013
7.9600,4.044
8.0000,4.026
8.0400,4.012
8.0800,3.928
8.1200,4.012
8.1600,3.956
8.2000,3.990
8.2400,3.903
8.2800,3.876
8.3200,3.960
8.3600,3.945
8.4000,4.004
8.4400,4.007
8.4800,3.957
8.5200,3.838
8.5600,3.949
8.6000,3.951
8.6400,3.936
8.6800,3.847
8.7200,3.871
8.7600,3.919
8.8000,3.860
8.8400,3.846
8.8800,3.807
8.9200,3.833
8.9600,3.944
9.0000,3.948
9.0400,3.922
9.0800,3.928
9.1200,3.950
9.1600,3.727
9.2000,3.828
9.2400,3.892
9.2800,3.786
9.3200,3.816
9.3600,3.871
9.4000,3.821
9.4400,3.858
9.4800,3.822
9.5200,3.876
9.5600,3.868
9.6000,3.908
9.6400,3.750
9.6800,3.879
9.7200,3.788
9.7600,3.665
9.8000,3.803
9.8400,3.701
9.8800,3.752
9.9200,3.774
9.9600,3.836
10.0000,3.761
10.0400,3.774
10.0800,3.807
10.1200,3.685
10.1600,3.667
10.2000,3.699
10.2400,3.660
10.2800,3.782
10.3200,3.726
10.3600,3.680
10.4000,3.692
10.4400,3.814
10.4800,3.686
10.5200,3.786
10.5600,3.716
10.6000,3.748
10.6400,3.642
10.6800,3.701
10.7200,3.617
10.7600,3.715
10.8000,3.812
10.8400,3.676
10.8800,3.579
10.9200,3.681
10.9600,3.708
11.0000,3.729
11.0400,3.669
11.0800,3.598
11.1200,3.673
11.1600,3.651
11.2000,3.547
11.2400,3.654
11.2800,3.589
11.3200,3.787
11.3600,3.556
11.4000,3.490
11.4400,3.583
11.4800,3.618
11.5200,3.564
11.5600,3.549
11.6000,3.695
11.6400,3.627
11.6800,3.519
11.7200,3.571
11.7600,3.587
11.8000,3.544
11.8400,3.612
11.8800,3.432
11.9200,3.586
11.9600,3.513
12.0000,3.522
12.0400,3.574
12.0800,3.509
12.1200,3.524
12.1600,3.556
12.2000,3.542
12.2400,3.548
12.2800,3.450
12.3200,3.512
12.3600,3.559
12.4000,3.465
12.4400,3.509
12.4800,3.448
12.5200,3.537
12.5600,3.441
12.6000,3.460
12.6400,3.454
12.6800,3.489
12.7200,3.510
12.7600,3.405
12.8000,3.362
12.8400,3.381
12.8800,3.474
12.9200,3.366
12.9600,3.401
13.0000,3.427
13.0400,3.452
13.0800,3.446
13.1200,3.438
13.1600,3.413
13.2000,3.419
13.2400,3.288
13.2800,3.392
13.3200,3.357
13.3600,3.414
13.4000,3.371
13.4400,3.389
13.4800,3.358
13.5200,3.328
13.5600,3.330
13.6000,3.395
13.6400,3.396
13.6800,3.298
13.7200,3.318
13.7600,3.361
13.8000,3.403
13.8400,3.189
13.8800,3.348
13.9200,3.382
13.9600,3.261
14.0000,3.343
14.0400,3.354
14.0800,3.318
14.1200,3.416
14.1600,3.317
14.2000,3.340
14.2400,3.270
14.2800,3.380
14.3200,3.369
14.3600,3.293
14.4000,3.285
14.4400,3.307
14.4800,3.280
14.5200,3.275
14.5600,3.205
14.6000,3.242
14.6400,3.220
14.6800,3.315
14.7200,3.263
14.7600,3.176
14.8000,3.265
14.8400,3.238
14.8800,3.245
14.9200,3.231
14.9600,3.317
15.0000,3.237
15.0400,3.230
15.0800,3.257
15.1200,3.173
15.1600,3.176
15.2000,3.177
15.2400,3.278
15.2800,3.226
15.3200,3.241
15.3600,3.204
15.4000,3.285
15.4400,3.169
15.4800,3.142
15.5200,3.268
15.5600,3.174
15.6000,3.224
15.6400,3.270
15.6800,3.169
15.7200,3.146
15.7600,3.217
15.8000,3.133
15.8400,3.269
15.8800,3.217
15.9200,3.104
15.9600,3.126
16.0000,3.094
16.0400,3.148
16.0800,3.182
16.1200,3.093
16.1600,3.062
16.2000,3.075
16.2400,3.166
16.2800,3.112
16.3200,3.048
16.3600,3.125
16.4000,3.104
16.4400,3.012
16.4800,3.081
16.5200,3.007
16.5600,3.013
16.6000,3.135
16.6400,3.015
16.6800,3.093
16.7200,3.061
16.7600,3.163
16.8000,3.086
16.8400,3.009
16.8800,3.043
16.9200,3.105
16.9600,3.067
17.0000,3.055
17.0400,3.094
17.0800,3.115
17.1200,3.026
17.1600,2.980
17.2000,3.045
17.2400,3.116
17.2800,3.039
17.3200,2.978
17.3600,2.989
17.4000,3.024
17.4400,2.997
17.4800,3.016
17.5200,3.003
17.5600,3.094
