theta,intensity
5.0000,2.936
5.0400,3.021
5.0800,2.848
5.1200,2.898
5.1600,2.979
5.2000,2.980
5.2400,2.971
5.2800,2.858
5.3200,2.823
5.3600,2.851
5.4000,2.772
5.4400,2.791
5.4800,2.723
5.5200,2.652
5.5600,2.731
5.6000,2.735
5.6400,2.602
5.6800,2.634
5.7200,2.606
5.7600,2.580
5.8000,2.517
5.8400,2.513
5.8800,2.535
5.9200,2.482
5.9600,2.497
6.0000,2.371
6.0400,2.315
6.0800,2.384
6.1200,2.345
6.1600,2.274
6.2000,2.339
6.2400,2.227
6.2800,2.223
6.3200,2.193
6.3600,2.103
6.4000,2.130
6.4400,2.105
6.4800,2.050
6.5200,1.978
6.5600,1.932
6.6000,1.964
6.6400,1.877
6.6800,1.883
6.7200,1.848
6.7600,1.779
6.8000,1.809
6.8400,1.830
6.8800,1.770
6.9200,1.744
6.9600,1.681
7.0000,1.657
7.0400,1.631
7.0800,1.661
7.1200,1.666
7.1600,1.608
7.2000,1.631
7.2400,1.610
7.2800,1.620
7.3200,1.611
7.3600,1.600
7.4000,1.562
7.4400,1.551
7.4800,1.507
7.5200,1.523
7.5600,1.481
7.6000,1.470
7.6400,1.480
7.6800,1.474
7.7200,1.451
7.7600,1.415
7.8000,1.397
7.8400,1.411
7.8800,1.366
7.9200,1.428
7.9600,1.370
8.0000,1.393
8.0400,1.362
8.0800,1.342
8.1200,1.356
8.1600,1.417
8.2000,1.355
8.2400,1.361
8.2800,1.396
8.3200,1.379
8.3600,1.354
8.4000,1.319
8.4400,1.365
8.4800,1.387
8.5200,1.412
8.5600,1.370
8.6000,1.322
8.6400,1.378
8.6800,1.348
8.7200,1.350
8.7600,1.313
8.8000,1.400
8.8400,1.359
8.8800,1.330
8.9200,1.354
8.9600,1.363
9.0000,1.332
9.0400,1.319
9.0800,1.304
9.1200,1.308
9.1600,1.327
9.2000,1.292
9.2400,1.296
9.2800,1.314
9.3200,1.299
9.3600,1.282
9.4000,1.281
9.4400,1.344
9.4800,1.316
9.5200,1.277
9.5600,1.302
9.6000,1.294
9.6400,1.322
9.6800,1.281
9.7200,1.282
9.7600,1.290
9.8000,1.302
9.8400,1.238
9.8800,1.306
9.9200,1.299
9.9600,1.306
10.0000,1.314
10.0400,1.273
10.0800,1.272
10.1200,1.263
10.1600,1.261
10.2000,1.251
10.2400,1.286
10.2800,1.278
10.3200,1.320
10.3600,1.254
10.4000,1.292
10.4400,1.267
10.4800,1.302
10.5200,1.263
10.5600,1.280
10.6000,1.226
10.6400,1.199
10.6800,1.213
10.7200,1.215
10.7600,1.286
10.8000,1.213
