theta,intensity
5.0000,4.265
5.0400,4.211
5.0800,4.199
5.1200,4.189
5.1600,4.362
5.2000,4.304
5.2400,4.348
5.2800,4.264
5.3200,4.242
5.3600,4.328
5.4000,4.338
5.4400,4.414
5.4800,4.242
5.5200,4.172
5.5600,4.234
5.6000,4.188
5.6400,4.105
5.6800,4.161
5.7200,4.040
5.7600,4.221
5.8000,4.201
5.8400,4.189
5.8800,4.119
5.9200,4.147
5.9600,4.141
6.0000,4.092
6.0400,3.926
6.0800,3.966
6.1200,4.007
6.1600,3.926
6.2000,3.919
6.2400,3.829
6.2800,3.885
6.3200,3.880
6.3600,3.877
6.4000,3.908
6.4400,3.861
6.4800,3.753
6.5200,3.869
6.5600,3.875
6.6000,3.870
6.6400,3.790
6.6800,3.989
6.7200,3.719
6.7600,3.867
6.8000,3.807
6.8400,3.691
6.8800,3.731
6.9200,3.859
6.9600,3.888
7.0000,3.809
7.0400,3.844
7.0800,3.866
7.1200,3.823
7.1600,3.777
7.2000,3.691
7.2400,3.714
7.2800,3.767
7.3200,3.722
7.3600,3.710
7.4000,3.718
7.4400,3.793
7.4800,3.840
7.5200,3.729
7.5600,3.726
7.6000,3.706
7.6400,3.666
7.6800,3.798
7.7200,3.701
7.7600,3.717
7.8000,3.787
7.8400,3.719
7.8800,3.710
7.9200,3.729
7.9600,3.701
8.0000,3.719
8.0400,3.752
8.0800,3.712
8.1200,3.536
8.1600,3.648
8.2000,3.580
8.2400,3.658
8.2800,3.694
8.3200,3.694
8.3600,3.627
8.4000,3.657
8.4400,3.712
8.4800,3.691
8.5200,3.628
8.5600,3.654
8.6000,3.610
8.6400,3.503
8.6800,3.560
8.7200,3.652
8.7600,3.724
8.8000,3.564
8.8400,3.637
8.8800,3.565
8.9200,3.698
8.9600,3.557
9.0000,3.578
9.0400,3.632
9.0800,3.571
9.1200,3.684
9.1600,3.587
9.2000,3.616
9.2400,3.660
9.2800,3.557
9.3200,3.585
9.3600,3.533
9.4000,3.639
9.4400,3.405
9.4800,3.604
9.5200,3.622
9.5600,3.567
9.6000,3.547
9.6400,3.498
9.6800,3.580
9.7200,3.543
9.7600,3.363
9.8000,3.473
9.8400,3.504
9.8800,3.450
9.9200,3.450
9.9600,3.459
10.0000,3.593
10.0400,3.589
10.0800,3.568
10.1200,3.444
10.1600,3.617
10.2000,3.476
10.2400,3.419
10.2800,3.438
10.3200,3.342
10.3600,3.438
10.4000,3.490
10.4400,3.480
10.4800,3.472
10.5200,3.465
10.5600,3.476
10.6000,3.471
10.6400,3.481
10.6800,3.408
10.7200,3.359
10.7600,3.440
10.8000,3.344
10.8400,3.508
10.8800,3.401
10.9200,3.389
10.9600,3.438
11.0000,3.376
11.0400,3.419
11.0800,3.448
11.1200,3.426
11.1600,3.357
11.2000,3.384
11.2400,3.418
11.2800,3.438
11.3200,3.296
11.3600,3.395
11.4000,3.353
11.4400,3.347
11.4800,3.306
11.5200,3.325
11.5600,3.328
11.6000,3.401
11.6400,3.301
11.6800,3.303
11.7200,3.309
11.7600,3.322
11.8000,3.258
11.8400,3.272
11.8800,3.239
11.9200,3.370
11.9600,3.310
12.0000,3.240
12.0400,3.269
12.0800,3.264
12.1200,3.320
12.1600,3.231
12.2000,3.311
12.2400,3.231
12.2800,3.325
12.3200,3.238
12.3600,3.224
12.4000,3.332
12.4400,3.299
12.4800,3.207
12.5200,3.298
12.5600,3.235
12.6000,3.270
12.6400,3.356
12.6800,3.225
12.7200,3.242
12.7600,3.119
12.8000,3.278
12.8400,3.320
12.8800,3.238
12.9200,3.224
12.9600,3.215
13.0000,3.273
13.0400,3.186
13.0800,3.122
13.1200,3.310
13.1600,3.181
13.2000,3.199
13.2400,3.155
13.2800,3.291
13.3200,3.199
13.3600,3.112
13.4000,3.217
13.4400,3.133
13.4800,3.086
13.5200,3.129
13.5600,3.214
13.6000,3.128
13.6400,3.008
13.6800,3.086
13.7200,3.045
13.7600,3.090
13.8000,3.132
13.8400,3.140
13.8800,3.131
13.9200,3.254
13.9600,3.054
14.0000,3.101
14.0400,3.135
14.0800,3.052
14.1200,3.179
14.1600,3.131
14.2000,3.100
14.2400,3.193
14.2800,3.044
14.3200,3.050
14.3600,3.193
14.4000,3.140
14.4400,3.155
14.4800,3.155
14.5200,3.064
14.5600,3.055
14.6000,3.148
14.6400,3.070
14.6800,3.075
14.7200,2.971
14.7600,3.040
14.8000,3.029
14.8400,3.179
14.8800,3.123
14.9200,3.140
14.9600,3.053
15.0000,3.103
15.0400,3.069
15.0800,3.061
15.1200,2.971
15.1600,3.031
15.2000,3.051
15.2400,3.039
15.2800,2.982
15.3200,3.105
15.3600,3.090
15.4000,3.039
15.4400,2.956
15.4800,3.032
15.5200,2.969
15.5600,2.916
15.6000,2.967
15.6400,3.007
15.6800,3.051
15.7200,3.018
15.7600,3.082
15.8000,2.870
15.8400,2.979
15.8800,2.995
15.9200,2.914
15.9600,2.903
16.0000,2.979
16.0400,2.978
16.0800,2.922
16.1200,2.859
16.1600,2.851
16.2000,2.903
16.2400,2.950
16.2800,2.931
16.3200,2.980
16.3600,2.968
16.4000,2.902
16.4400,2.919
16.4800,2.925
16.5200,2.867
16.5600,2.960
16.6000,2.990
16.6400,2.941
16.6800,2.907
16.7200,2.843
16.7600,2.824
16.8000,2.933
16.8400,2.873
16.8800,2.871
16.9200,2.744
16.9600,2.885
17.0000,2.903
17.0400,2.829
17.0800,2.984
17.1200,2.916
17.1600,2.763
17.2000,2.852
17.2400,2.939
17.2800,2.856
17.3200,2.855
17.3600,2.829
17.4000,2.813
17.4400,2.822
17.4800,2.855
17.5200,2.789
17.5600,2.854
17.6000,2.868
17.6400,2.752
17.6800,2.843
17.7200,2.745
17.7600,2.842
17.8000,2.847
17.8400,2.780
17.8800,2.763
17.9200,2.741
17.9600,2.776
18.0000,2.746
18.0400,2.790
18.0800,2.767
18.1200,2.760
18.1600,2.702
18.2000,2.826
18.2400,2.833
18.2800,2.746
18.3200,2.732
18.3600,2.821
18.4000,2.704
18.4400,2.804
18.4800,2.794
18.5200,2.792
18.5600,2.693
18.6000,2.706
18.6400,2.671
18.6800,2.741
18.7200,2.770
18.7600,2.699
18.8000,2.692
18.8400,2.593
18.8800,2.666
18.9200,2.731
18.9600,2.651
19.0000,2.594
19.0400,2.630
19.0800,2.713
19.1200,2.768
19.1600,2.715
19.2000,2.713
19.2400,2.681
19.2800,2.648
19.3200,2.616
19.3600,2.751
19.4000,2.619
19.4400,2.669
19.4800,2.682
19.5200,2.759
19.5600,2.726
19.6000,2.751
19.6400,2.751
19.6800,2.738
19.7200,2.730
19.7600,2.651
19.8000,2.640
19.8400,2.636
19.8800,2.641
19.9200,2.599
19.9600,2.664
20.0000,2.661
20.0400,2.653
20.0800,2.637
20.1200,2.682
20.1600,2.683
20.2000,2.722
20.2400,2.713
20.2800,2.616
20.3200,2.533
20.3600,2.584
20.4000,2.587
20.4400,2.547
20.4800,2.541
20.5200,2.529
20.5600,2.622
20.6000,2.586
20.6400,2.676
20.6800,2.624
20.7200,2.627
20.7600,2.596
20.8000,2.652
20.8400,2.572
20.8800,2.553
20.9200,2.546
20.9600,2.598
21.0000,2.558
21.0400,2.563
21.0800,2.599
21.1200,2.514
21.1600,2.522
21.2000,2.579
21.2400,2.538
21.2800,2.468
21.3200,2.519
21.3600,2.578
21.4000,2.571
21.4400,2.515
21.4800,2.442
21.5200,2.506
21.5600,2.507
21.6000,2.449
21.6400,2.456
21.6800,2.539
21.7200,2.459
21.7600,2.460
21.8000,2.565
21.8400,2.517
21.8800,2.421
21.9200,2.470
21.9600,2.477
22.0000,2.474
22.0400,2.451
22.0800,2.460
22.1200,2.418
22.1600,2.434
22.2000,2.488
22.2400,2.438
22.2800,2.478
22.3200,2.384
22.3600,2.457
22.4000,2.450
22.4400,2.481
22.4800,2.415
22.5200,2.436
22.5600,2.358
22.6000,2.386
22.6400,2.394
22.6800,2.338
22.7200,2.334
22.7600,2.361
22.8000,2.458
22.8400,2.430
22.8800,2.427
22.9200,2.353
22.9600,2.317
23.0000,2.369
23.0400,2.423
23.0800,2.428
23.1200,2.377
23.1600,2.471
23.2000,2.393
23.2400,2.385
23.2800,2.350
23.3200,2.465
23.3600,2.282
23.4000,2.325
23.4400,2.403
23.4800,2.277
23.5200,2.359
23.5600,2.320
23.6000,2.274
23.6400,2.335
23.6800,2.411
23.7200,2.360
23.7600,2.360
23.8000,2.320
23.8400,2.340
23.8800,2.344
23.9200,2.337
23.9600,2.405
24.0000,2.335
24.0400,2.222
24.0800,2.279
24.1200,2.262
24.1600,2.286
24.2000,2.317
24.2400,2.283
24.2800,2.196
24.3200,2.338
24.3600,2.266
24.4000,2.302
24.4400,2.274
24.4800,2.250
24.5200,2.252
24.5600,2.179
24.6000,2.246
24.6400,2.307
24.6800,2.265
24.7200,2.218
24.7600,2.252
24.8000,2.210
24.8400,2.140
24.8800,2.220
24.9200,2.199
24.9600,2.198
25.0000,2.186
25.0400,2.219
