theta,intensity
5.0000,3.932
5.0400,3.995
5.0800,3.978
5.1200,3.900
5.1600,3.888
5.2000,3.873
5.2400,3.778
5.2800,3.873
5.3200,3.886
5.3600,3.825
5.4000,3.803
5.4400,3.692
5.4800,3.829
5.5200,3.850
5.5600,3.886
5.6000,3.826
5.6400,3.820
5.6800,3.814
5.7200,3.765
5.7600,3.761
5.8000,3.861
5.8400,3.883
5.8800,3.866
5.9200,3.851
5.9600,3.755
6.0000,3.843
6.0400,3.718
6.0800,3.891
6.1200,3.697
6.1600,3.782
6.2000,3.729
6.2400,3.710
6.2800,3.741
6.3200,3.791
6.3600,3.735
6.4000,3.733
6.4400,3.654
6.4800,3.708
6.5200,3.762
6.5600,3.770
6.6000,3.726
6.6400,3.707
6.6800,3.726
6.7200,3.633
6.7600,3.782
6.8000,3.749
6.8400,3.685
6.8800,3.749
6.9200,3.711
6.9600,3.613
7.0000,3.642
7.0400,3.635
7.0800,3.705
7.1200,3.623
7.1600,3.527
7.2000,3.648
7.2400,3.611
7.2800,3.586
7.3200,3.576
7.3600,3.648
7.4000,3.652
7.4400,3.601
7.4800,3.632
7.5200,3.565
7.5600,3.577
7.6000,3.661
7.6400,3.575
7.6800,3.687
7.7200,3.580
7.7600,3.597
7.8000,3.579
7.8400,3.651
7.8800,3.542
7.9200,3.517
7.9600,3.485
8.0000,3.643
8.0400,3.502
8.0800,3.642
8.1200,3.635
8.1600,3.623
8.2000,3.527
8.2400,3.543
8.2800,3.551
8.3200,3.447
8.3600,3.514
8.4000,3.427
8.4400,3.538
8.4800,3.481
8.5200,3.621
8.5600,3.472
8.6000,3.496
8.6400,3.489
8.6800,3.458
8.7200,3.491
8.7600,3.519
8.8000,3.441
8.8400,3.566
8.8800,3.472
8.9200,3.473
8.9600,3.455
9.0000,3.424
9.0400,3.461
9.0800,3.376
9.1200,3.472
9.1600,3.471
9.2000,3.487
9.2400,3.454
9.2800,3.520
9.3200,3.279
9.3600,3.413
9.4000,3.458
9.4400,3.409
9.4800,3.456
9.5200,3.420
9.5600,3.461
9.6000,3.366
9.6400,3.414
9.6800,3.387
9.7200,3.379
9.7600,3.413
9.8000,3.373
9.8400,3.350
9.8800,3.376
9.9200,3.392
9.9600,3.380
10.0000,3.426
10.0400,3.464
10.0800,3.372
10.1200,3.300
10.1600,3.362
10.2000,3.376
10.2400,3.417
10.2800,3.361
10.3200,3.330
10.3600,3.450
10.4000,3.373
10.4400,3.419
10.4800,3.324
10.5200,3.275
10.5600,3.298
10.6000,3.378
10.6400,3.308
10.6800,3.372
10.7200,3.321
10.7600,3.363
