theta,intensity
5.0000,7.477
5.0400,7.322
5.0800,7.297
5.1200,7.190
5.1600,7.171
5.2000,7.016
5.2400,6.895
5.2800,6.759
5.3200,6.637
5.3600,6.699
5.4000,6.435
5.4400,6.404
5.4800,6.255
5.5200,6.185
5.5600,6.231
5.6000,5.906
5.6400,5.969
5.6800,5.783
5.7200,5.706
5.7600,5.618
5.8000,5.613
5.8400,5.518
5.8800,5.494
5.9200,5.350
5.9600,5.309
6.0000,5.362
6.0400,5.144
6.0800,5.128
6.1200,5.018
6.1600,4.910
6.2000,4.835
6.2400,4.882
6.2800,4.867
6.3200,4.618
6.3600,4.684
6.4000,4.556
6.4400,4.650
6.4800,4.511
6.5200,4.433
6.5600,4.347
6.6000,4.443
6.6400,4.402
6.6800,4.349
6.7200,4.330
6.7600,4.446
6.8000,4.237
6.8400,4.382
6.8800,4.307
6.9200,4.485
6.9600,4.368
7.0000,4.362
7.0400,4.204
7.0800,4.263
7.1200,4.176
7.1600,4.346
7.2000,4.224
7.2400,4.185
7.2800,4.335
7.3200,4.219
7.3600,4.278
7.4000,4.162
7.4400,4.204
7.4800,4.225
7.5200,4.269
7.5600,4.260
7.6000,4.155
7.6400,4.296
7.6800,4.086
7.7200,4.216
7.7600,4.185
7.8000,4.162
7.8400,4.120
7.8800,4.101
7.9200,4.162
7.9600,4.119
8.0000,4.122
8.0400,4.086
8.0800,4.135
8.1200,4.029
8.1600,4.118
8.2000,4.084
8.2400,4.058
8.2800,4.065
8.3200,4.057
8.3600,4.132
8.4000,4.029
8.4400,4.051
8.4800,4.060
8.5200,3.983
8.5600,4.110
8.6000,4.041
8.6400,4.012
8.6800,4.000
8.7200,3.952
8.7600,3.991
8.8000,4.135
8.8400,4.156
8.8800,3.940
8.9200,4.076
8.9600,4.059
9.0000,3.997
9.0400,3.954
9.0800,4.011
9.1200,3.982
9.1600,3.926
9.2000,4.042
9.2400,3.961
9.2800,3.923
9.3200,3.959
9.3600,3.979
9.4000,4.101
9.4400,3.915
9.4800,3.914
9.5200,3.884
9.5600,3.917
9.6000,3.898
9.6400,3.927
9.6800,3.996
9.7200,3.849
9.7600,3.915
9.8000,3.819
9.8400,3.822
9.8800,3.754
9.9200,3.857
9.9600,3.870
10.0000,3.903
10.0400,3.880
10.0800,3.886
10.1200,3.848
10.1600,3.880
10.2000,3.806
10.2400,3.702
10.2800,3.843
10.3200,3.880
10.3600,3.874
10.4000,3.863
10.4400,3.800
10.4800,3.824
10.5200,3.773
10.5600,3.766
10.6000,3.830
10.6400,3.801
10.6800,3.729
10.7200,3.731
10.7600,3.761
10.8000,3.737
10.8400,3.704
10.8800,3.854
10.9200,3.721
10.9600,3.732
11.0000,3.754
11.0400,3.790
11.0800,3.712
11.1200,3.740
11.1600,3.625
11.2000,3.630
11.2400,3.826
11.2800,3.779
11.3200,3.636
11.3600,3.708
11.4000,3.578
11.4400,3.578
11.4800,3.593
11.5200,3.599
11.5600,3.676
11.6000,3.746
11.6400,3.687
11.6800,3.576
11.7200,3.667
11.7600,3.710
11.8000,3.579
11.8400,3.563
11.8800,3.594
11.9200,3.614
11.9600,3.665
12.0000,3.665
12.0400,3.709
12.0800,3.601
12.1200,3.625
12.1600,3.524
12.2000,3.558
12.2400,3.552
12.2800,3.667
12.3200,3.611
12.3600,3.666
12.4000,3.558
12.4400,3.574
12.4800,3.615
12.5200,3.606
12.5600,3.574
12.6000,3.593
12.6400,3.539
12.6800,3.461
12.7200,3.464
12.7600,3.429
12.8000,3.577
12.8400,3.568
12.8800,3.512
12.9200,3.396
12.9600,3.351
13.0000,3.543
13.0400,3.586
13.0800,3.531
13.1200,3.416
13.1600,3.454
13.2000,3.530
13.2400,3.626
13.2800,3.565
13.3200,3.510
13.3600,3.559
13.4000,3.637
13.4400,3.481
13.4800,3.505
13.5200,3.381
13.5600,3.357
13.6000,3.416
13.6400,3.501
13.6800,3.513
13.7200,3.438
13.7600,3.468
13.8000,3.479
13.8400,3.421
13.8800,3.512
13.9200,3.363
13.9600,3.538
14.0000,3.391
14.0400,3.506
14.0800,3.374
14.1200,3.360
14.1600,3.536
14.2000,3.365
14.2400,3.410
14.2800,3.431
14.3200,3.386
14.3600,3.400
14.4000,3.425
14.4400,3.335
14.4800,3.382
14.5200,3.421
14.5600,3.386
14.6000,3.376
14.6400,3.309
14.6800,3.328
14.7200,3.319
14.7600,3.375
14.8000,3.315
14.8400,3.448
14.8800,3.302
14.9200,3.257
14.9600,3.306
15.0000,3.360
15.0400,3.296
15.0800,3.343
15.1200,3.292
15.1600,3.243
15.2000,3.268
15.2400,3.276
15.2800,3.287
15.3200,3.331
15.3600,3.290
15.4000,3.271
15.4400,3.282
15.4800,3.375
15.5200,3.329
15.5600,3.255
15.6000,3.209
15.6400,3.267
15.6800,3.234
15.7200,3.279
15.7600,3.331
15.8000,3.211
15.8400,3.248
15.8800,3.320
15.9200,3.283
15.9600,3.326
16.0000,3.208
16.0400,3.317
16.0800,3.289
16.1200,3.317
16.1600,3.233
16.2000,3.310
16.2400,3.254
16.2800,3.266
16.3200,3.186
16.3600,3.157
16.4000,3.230
16.4400,3.209
16.4800,3.225
16.5200,3.230
16.5600,3.152
16.6000,3.033
16.6400,3.283
16.6800,3.206
16.7200,3.183
16.7600,3.149
16.8000,3.197
16.8400,3.208
16.8800,3.135
16.9200,3.117
16.9600,3.145
17.0000,3.197
17.0400,3.123
17.0800,3.103
17.1200,3.131
17.1600,3.109
17.2000,3.128
17.2400,3.151
17.2800,3.193
17.3200,3.165
17.3600,3.186
17.4000,3.204
17.4400,3.049
17.4800,3.067
17.5200,3.121
17.5600,3.132
17.6000,3.220
17.6400,3.128
17.6800,3.078
17.7200,3.106
17.7600,3.051
17.8000,3.106
17.8400,3.166
17.8800,3.087
17.9200,3.122
17.9600,3.193
18.0000,2.991
18.0400,3.094
18.0800,3.061
18.1200,3.125
18.1600,2.989
18.2000,3.153
18.2400,3.115
18.2800,3.093
18.3200,3.135
18.3600,3.062
18.4000,3.069
18.4400,3.026
18.4800,3.146
18.5200,3.101
18.5600,3.058
18.6000,2.996
18.6400,2.964
18.6800,3.039
18.7200,3.101
18.7600,3.024
18.8000,2.969
18.8400,2.949
18.8800,3.048
18.9200,3.071
18.9600,3.052
19.0000,3.067
19.0400,3.014
19.0800,3.027
19.1200,2.974
19.1600,3.005
19.2000,3.001
19.2400,3.059
19.2800,2.941
19.3200,2.995
19.3600,2.930
19.4000,2.945
19.4400,3.042
19.4800,2.983
19.5200,2.961
19.5600,3.011
19.6000,3.053
19.6400,2.965
19.6800,3.014
19.7200,3.042
19.7600,2.949
19.8000,3.003
19.8400,3.033
19.8800,2.935
19.9200,2.974
19.9600,2.994
20.0000,2.882
20.0400,3.006
20.0800,2.958
20.1200,2.995
20.1600,2.817
20.2000,2.921
20.2400,2.978
20.2800,2.950
20.3200,2.958
20.3600,2.981
