theta,intensity
5.0000,7.079
5.0400,7.018
5.0800,7.011
5.1200,6.816
5.1600,6.846
5.2000,6.656
5.2400,6.550
5.2800,6.594
5.3200,6.469
5.3600,6.412
5.4000,6.174
5.4400,6.317
5.4800,6.108
5.5200,5.957
5.5600,5.837
5.6000,5.809
5.6400,5.651
5.6800,5.592
5.7200,5.439
5.7600,5.449
5.8000,5.364
5.8400,5.312
5.8800,5.146
5.9200,4.990
5.9600,5.068
6.0000,4.877
6.0400,4.884
6.0800,4.656
6.1200,4.582
6.1600,4.605
6.2000,4.514
6.2400,4.361
6.2800,4.227
6.3200,4.225
6.3600,4.308
6.4000,4.411
6.4400,4.354
6.4800,4.424
6.5200,4.179
6.5600,4.243
6.6000,4.176
6.6400,4.215
6.6800,4.154
6.7200,4.249
6.7600,4.132
6.8000,4.080
6.8400,4.070
6.8800,4.133
6.9200,4.192
6.9600,4.114
7.0000,4.105
7.0400,4.152
7.0800,4.109
7.1200,4.039
7.1600,4.151
7.2000,4.158
7.2400,4.065
7.2800,4.120
7.3200,4.007
7.3600,4.003
7.4000,3.927
7.4400,4.003
7.4800,4.049
7.5200,4.012
7.5600,3.873
7.6000,3.963
7.6400,4.047
7.6800,3.988
7.7200,3.951
7.7600,3.949
7.8000,4.042
7.8400,3.957
7.8800,3.920
7.9200,3.919
7.9600,3.881
8.0000,3.875
8.0400,3.890
8.0800,4.024
8.1200,3.872
8.1600,3.863
8.2000,3.922
8.2400,3.865
8.2800,3.941
8.3200,3.802
8.3600,3.995
8.4000,3.831
8.4400,3.828
8.4800,3.852
8.5200,3.848
8.5600,3.864
8.6000,3.752
8.6400,3.854
8.6800,3.848
8.7200,3.828
8.7600,3.845
8.8000,3.819
8.8400,3.914
8.8800,3.912
8.9200,3.912
8.9600,3.798
9.0000,3.757
9.0400,3.724
9.0800,3.853
9.1200,3.756
9.1600,3.853
9.2000,3.787
9.2400,3.784
9.2800,3.707
9.3200,3.844
9.3600,3.777
9.4000,3.860
9.4400,3.787
9.4800,3.629
9.5200,3.800
9.5600,3.745
9.6000,3.841
9.6400,3.743
9.6800,3.737
9.7200,3.744
9.7600,3.747
9.8000,3.657
9.8400,3.818
9.8800,3.646
9.9200,3.608
9.9600,3.687
10.0000,3.747
10.0400,3.735
10.0800,3.703
10.1200,3.729
10.1600,3.635
10.2000,3.700
10.2400,3.630
10.2800,3.666
10.3200,3.688
10.3600,3.548
10.4000,3.673
10.4400,3.618
10.4800,3.577
10.5200,3.578
10.5600,3.695
10.6000,3.593
