theta,intensity
5.0000,9.743
5.0400,9.850
5.0800,9.521
5.1200,9.641
5.1600,9.519
5.2000,9.440
5.2400,9.382
5.2800,9.411
5.3200,9.154
5.3600,9.009
5.4000,8.938
5.4400,8.790
5.4800,8.695
5.5200,8.577
5.5600,8.526
5.6000,8.422
5.6400,8.381
5.6800,8.161
5.7200,8.199
5.7600,8.051
5.8000,7.771
5.8400,7.704
5.8800,7.391
5.9200,7.572
5.9600,7.603
6.0000,7.358
6.0400,7.106
6.0800,7.027
6.1200,7.001
6.1600,6.944
6.2000,6.657
6.2400,6.555
6.2800,6.506
6.3200,6.556
6.3600,6.201
6.4000,6.125
6.4400,5.870
6.4800,5.840
6.5200,5.842
6.5600,5.726
6.6000,5.601
6.6400,5.526
6.6800,5.442
6.7200,5.495
6.7600,5.363
6.8000,5.080
6.8400,5.176
6.8800,5.129
6.9200,5.131
6.9600,5.107
7.0000,5.001
7.0400,4.873
7.0800,4.863
7.1200,4.690
7.1600,4.760
7.2000,4.806
7.2400,4.647
7.2800,4.588
7.3200,4.572
7.3600,4.561
7.4000,4.574
7.4400,4.416
7.4800,4.445
7.5200,4.399
7.5600,4.317
7.6000,4.362
7.6400,4.240
7.6800,4.189
7.7200,4.280
7.7600,4.258
7.8000,4.162
7.8400,4.162
7.8800,4.129
7.9200,4.073
7.9600,4.038
8.0000,4.043
8.0400,4.100
8.0800,4.054
8.1200,4.058
8.1600,3.969
8.2000,4.034
8.2400,3.902
8.2800,3.934
8.3200,3.919
8.3600,3.856
8.4000,3.867
8.4400,4.024
8.4800,3.957
8.5200,3.851
8.5600,3.981
8.6000,3.920
8.6400,3.879
8.6800,3.868
8.7200,3.872
8.7600,3.846
8.8000,3.848
8.8400,3.942
8.8800,3.899
8.9200,3.899
8.9600,3.858
9.0000,3.859
9.0400,3.806
9.0800,3.849
9.1200,3.895
9.1600,3.852
9.2000,3.794
9.2400,3.819
9.2800,3.671
9.3200,3.725
9.3600,3.763
9.4000,3.713
9.4400,3.816
9.4800,3.892
9.5200,3.707
9.5600,3.740
9.6000,3.740
9.6400,3.750
9.6800,3.714
9.7200,3.667
9.7600,3.733
9.8000,3.750
9.8400,3.739
9.8800,3.754
9.9200,3.693
9.9600,3.720
10.0000,3.701
10.0400,3.750
10.0800,3.629
10.1200,3.638
10.1600,3.773
10.2000,3.636
10.2400,3.650
10.2800,3.684
10.3200,3.676
10.3600,3.604
10.4000,3.673
10.4400,3.644
10.4800,3.631
10.5200,3.589
10.5600,3.619
10.6000,3.608
10.6400,3.558
10.6800,3.575
10.7200,3.639
10.7600,3.686
10.8000,3.641
10.8400,3.575
10.8800,3.551
10.9200,3.491
10.9600,3.628
11.0000,3.653
11.0400,3.534
11.0800,3.488
11.1200,3.513
11.1600,3.667
11.2000,3.627
