theta,intensity
5.0000,6.778
5.0400,6.606
5.0800,6.602
5.1200,6.645
5.1600,6.587
5.2000,6.478
5.2400,6.511
5.2800,6.302
5.3200,6.389
5.3600,6.407
5.4000,6.341
5.4400,6.296
5.4800,6.164
5.5200,6.222
5.5600,6.037
5.6000,6.076
5.6400,5.798
5.6800,5.825
5.7200,5.810
5.7600,5.572
5.8000,5.666
5.8400,5.586
5.8800,5.438
5.9200,5.418
5.9600,5.187
6.0000,5.181
6.0400,4.990
6.0800,4.878
6.1200,4.753
6.1600,4.756
6.2000,4.666
6.2400,4.581
6.2800,4.719
6.3200,4.600
6.3600,4.496
6.4000,4.485
6.4400,4.485
6.4800,4.399
6.5200,4.458
6.5600,4.378
6.6000,4.364
6.6400,4.313
6.6800,4.314
6.7200,4.362
6.7600,4.385
6.8000,4.353
6.8400,4.239
6.8800,4.283
6.9200,4.181
6.9600,4.234
7.0000,4.277
7.0400,4.142
7.0800,4.171
7.1200,4.199
7.1600,4.090
7.2000,4.097
7.2400,4.173
7.2800,4.099
7.3200,4.172
7.3600,4.097
7.4000,4.102
7.4400,4.094
7.4800,4.161
7.5200,4.042
7.5600,4.088
7.6000,4.112
7.6400,4.079
7.6800,4.112
7.7200,4.085
7.7600,4.079
7.8000,4.077
7.8400,4.090
7.8800,4.102
7.9200,4.046
7.9600,4.033
8.0000,4.091
8.0400,3.982
8.0800,4.099
8.1200,4.078
8.1600,4.049
8.2000,4.013
8.2400,4.094
8.2800,3.924
8.3200,3.963
8.3600,4.016
8.4000,4.021
8.4400,3.978
8.4800,3.972
8.5200,4.036
8.5600,4.010
8.6000,4.043
8.6400,3.897
8.6800,3.909
8.7200,3.906
8.7600,3.825
8.8000,3.959
8.8400,3.967
8.8800,3.919
8.9200,3.855
8.9600,3.862
9.0000,3.979
9.0400,4.010
9.0800,3.910
9.1200,3.996
9.1600,3.900
9.2000,3.879
9.2400,3.886
9.2800,3.912
9.3200,3.911
9.3600,3.838
9.4000,3.849
9.4400,3.822
9.4800,3.836
9.5200,3.847
9.5600,3.756
9.6000,3.834
9.6400,3.841
9.6800,3.794
9.7200,3.703
9.7600,3.834
9.8000,3.813
9.8400,3.845
9.8800,3.805
9.9200,3.706
9.9600,3.868
10.0000,3.800
10.0400,3.710
10.0800,3.856
10.1200,3.868
10.1600,3.716
10.2000,3.823
10.2400,3.757
10.2800,3.845
10.3200,3.759
10.3600,3.749
10.4000,3.634
10.4400,3.663
10.4800,3.792
10.5200,3.626
10.5600,3.700
10.6000,3.683
10.6400,3.791
10.6800,3.585
10.7200,3.699
10.7600,3.658
10.8000,3.782
10.8400,3.742
10.8800,3.654
10.9200,3.607
10.9600,3.709
11.0000,3.766
11.0400,3.666
11.0800,3.720
11.1200,3.733
11.1600,3.727
11.2000,3.723
11.2400,3.607
11.2800,3.747
11.3200,3.605
11.3600,3.697
11.4000,3.703
11.4400,3.702
11.4800,3.649
11.5200,3.524
11.5600,3.687
11.6000,3.674
11.6400,3.635
11.6800,3.634
11.7200,3.622
11.7600,3.574
11.8000,3.611
11.8400,3.655
11.8800,3.669
11.9200,3.543
11.9600,3.615
12.0000,3.617
12.0400,3.626
12.0800,3.612
