theta,intensity
5.0000,4.139
5.0400,4.154
5.0800,4.175
5.1200,4.205
5.1600,4.188
5.2000,4.190
5.2400,4.218
5.2800,3.982
5.3200,4.234
5.3600,4.231
5.4000,4.203
5.4400,4.059
5.4800,4.114
5.5200,4.117
5.5600,4.003
5.6000,4.049
5.6400,3.986
5.6800,4.162
5.7200,4.049
5.7600,4.030
5.8000,4.019
5.8400,4.000
5.8800,3.991
5.9200,3.954
5.9600,3.995
6.0000,4.008
6.0400,3.947
6.0800,3.884
6.1200,3.894
6.1600,3.851
6.2000,3.803
6.2400,3.898
6.2800,3.810
6.3200,3.917
6.3600,3.759
6.4000,3.807
6.4400,3.760
6.4800,3.744
6.5200,3.780
6.5600,3.777
6.6000,3.814
6.6400,3.827
6.6800,3.772
6.7200,3.794
6.7600,3.708
6.8000,3.770
6.8400,3.707
6.8800,3.822
6.9200,3.724
6.9600,3.649
7.0000,3.729
7.0400,3.658
7.0800,3.853
7.1200,3.736
7.1600,3.674
7.2000,3.773
7.2400,3.682
7.2800,3.703
7.3200,3.709
7.3600,3.611
7.4000,3.590
7.4400,3.739
7.4800,3.661
7.5200,3.695
7.5600,3.731
7.6000,3.703
7.6400,3.666
7.6800,3.654
7.7200,3.648
7.7600,3.694
7.8000,3.674
7.8400,3.636
7.8800,3.635
7.9200,3.615
7.9600,3.608
8.0000,3.599
8.0400,3.640
8.0800,3.563
8.1200,3.587
8.1600,3.501
8.2000,3.621
8.2400,3.565
8.2800,3.647
8.3200,3.532
8.3600,3.670
8.4000,3.660
8.4400,3.600
8.4800,3.502
8.5200,3.564
8.5600,3.645
8.6000,3.591
8.6400,3.603
8.6800,3.558
8.7200,3.569
8.7600,3.635
8.8000,3.479
8.8400,3.547
8.8800,3.513
8.9200,3.570
8.9600,3.552
9.0000,3.400
9.0400,3.413
9.0800,3.552
9.1200,3.587
9.1600,3.492
9.2000,3.428
9.2400,3.477
9.2800,3.479
9.3200,3.586
9.3600,3.459
9.4000,3.520
9.4400,3.482
9.4800,3.540
9.5200,3.477
9.5600,3.426
9.6000,3.548
9.6400,3.476
9.6800,3.439
9.7200,3.484
9.7600,3.416
9.8000,3.400
9.8400,3.437
9.8800,3.438
9.9200,3.475
9.9600,3.325
10.0000,3.308
10.0400,3.414
10.0800,3.432
10.1200,3.439
10.1600,3.461
10.2000,3.348
10.2400,3.493
10.2800,3.570
10.3200,3.354
10.3600,3.328
10.4000,3.276
10.4400,3.341
10.4800,3.351
10.5200,3.386
10.5600,3.342
10.6000,3.416
10.6400,3.302
10.6800,3.272
10.7200,3.360
10.7600,3.302
10.8000,3.230
10.8400,3.392
10.8800,3.374
10.9200,3.371
10.9600,3.294
11.0000,3.308
11.0400,3.293
11.0800,3.293
11.1200,3.235
11.1600,3.283
11.2000,3.314
11.2400,3.463
11.2800,3.282
11.3200,3.283
11.3600,3.258
11.4000,3.318
11.4400,3.315
11.4800,3.280
11.5200,3.342
11.5600,3.352
11.6000,3.314
11.6400,3.343
11.6800,3.264
11.7200,3.294
11.7600,3.322
11.8000,3.285
11.8400,3.335
11.8800,3.345
11.9200,3.269
11.9600,3.238
12.0000,3.301
12.0400,3.198
12.0800,3.275
12.1200,3.224
12.1600,3.210
12.2000,3.218
12.2400,3.154
12.2800,3.295
12.3200,3.223
12.3600,3.238
12.4000,3.291
12.4400,3.259
12.4800,3.186
12.5200,3.105
12.5600,3.369
12.6000,3.211
12.6400,3.186
12.6800,3.186
12.7200,3.138
12.7600,3.131
12.8000,3.219
12.8400,3.238
12.8800,3.144
12.9200,3.195
12.9600,3.192
13.0000,3.213
13.0400,3.203
13.0800,3.176
13.1200,3.163
13.1600,3.227
13.2000,3.154
13.2400,3.110
13.2800,3.150
13.3200,3.141
13.3600,3.181
13.4000,3.052
13.4400,3.113
13.4800,3.076
13.5200,3.108
13.5600,3.082
13.6000,3.146
13.6400,3.114
13.6800,3.132
13.7200,3.127
13.7600,3.049
13.8000,3.102
13.8400,3.028
13.8800,3.132
13.9200,3.120
13.9600,3.034
14.0000,3.117
14.0400,3.109
14.0800,3.033
14.1200,3.132
14.1600,3.074
14.2000,3.191
14.2400,2.999
14.2800,3.104
14.3200,3.051
14.3600,3.002
14.4000,3.022
14.4400,3.000
14.4800,2.981
14.5200,3.044
14.5600,2.971
14.6000,3.115
14.6400,3.070
14.6800,2.986
14.7200,3.037
14.7600,3.069
14.8000,3.024
14.8400,3.019
14.8800,3.062
14.9200,2.997
14.9600,3.066
15.0000,3.048
15.0400,2.995
15.0800,3.048
15.1200,3.023
15.1600,3.000
15.2000,2.990
15.2400,3.107
15.2800,3.045
15.3200,2.996
15.3600,3.059
15.4000,3.103
15.4400,3.015
15.4800,2.928
15.5200,2.924
15.5600,2.936
15.6000,2.926
15.6400,2.898
15.6800,2.903
15.7200,2.980
15.7600,2.956
15.8000,2.905
15.8400,2.889
15.8800,2.917
15.9200,2.842
15.9600,2.948
16.0000,3.003
16.0400,2.956
16.0800,2.862
16.1200,2.922
16.1600,2.918
16.2000,2.883
16.2400,2.911
16.2800,2.928
16.3200,2.927
16.3600,2.890
16.4000,2.946
16.4400,2.901
16.4800,2.961
16.5200,2.911
16.5600,2.901
16.6000,2.873
16.6400,2.970
16.6800,2.860
16.7200,2.882
16.7600,2.883
16.8000,2.833
16.8400,2.865
16.8800,2.882
16.9200,2.963
16.9600,2.779
17.0000,2.837
17.0400,2.818
17.0800,2.865
17.1200,2.814
17.1600,2.732
17.2000,2.765
17.2400,2.838
17.2800,2.824
17.3200,2.762
17.3600,2.797
17.4000,2.751
17.4400,2.796
17.4800,2.823
17.5200,2.819
17.5600,2.809
17.6000,2.777
17.6400,2.775
17.6800,2.813
17.7200,2.742
17.7600,2.699
17.8000,2.699
17.8400,2.798
17.8800,2.806
17.9200,2.687
17.9600,2.734
18.0000,2.730
18.0400,2.745
18.0800,2.745
18.1200,2.691
18.1600,2.658
18.2000,2.671
18.2400,2.800
18.2800,2.745
18.3200,2.683
18.3600,2.720
18.4000,2.718
18.4400,2.698
18.4800,2.703
18.5200,2.672
18.5600,2.712
18.6000,2.691
18.6400,2.730
18.6800,2.737
18.7200,2.697
18.7600,2.714
18.8000,2.676
18.8400,2.692
18.8800,2.663
18.9200,2.726
18.9600,2.719
19.0000,2.660
19.0400,2.660
19.0800,2.645
19.1200,2.696
19.1600,2.581
19.2000,2.610
19.2400,2.749
19.2800,2.667
19.3200,2.623
19.3600,2.754
19.4000,2.740
19.4400,2.612
19.4800,2.623
19.5200,2.628
19.5600,2.745
19.6000,2.696
19.6400,2.605
19.6800,2.596
19.7200,2.562
19.7600,2.646
19.8000,2.608
19.8400,2.624
19.8800,2.541
19.9200,2.478
19.9600,2.543
20.0000,2.565
20.0400,2.514
20.0800,2.510
20.1200,2.559
20.1600,2.632
20.2000,2.532
20.2400,2.552
20.2800,2.602
20.3200,2.531
20.3600,2.598
20.4000,2.532
20.4400,2.527
20.4800,2.559
20.5200,2.472
20.5600,2.572
20.6000,2.433
20.6400,2.532
20.6800,2.553
20.7200,2.478
20.7600,2.488
20.8000,2.511
20.8400,2.437
20.8800,2.536
20.9200,2.540
20.9600,2.556
21.0000,2.518
21.0400,2.522
21.0800,2.518
21.1200,2.480
21.1600,2.536
21.2000,2.448
21.2400,2.526
21.2800,2.477
21.3200,2.486
21.3600,2.460
21.4000,2.416
21.4400,2.500
21.4800,2.435
21.5200,2.441
21.5600,2.533
21.6000,2.368
21.6400,2.463
21.6800,2.440
21.7200,2.464
21.7600,2.414
21.8000,2.454
21.8400,2.458
21.8800,2.365
21.9200,2.406
21.9600,2.356
22.0000,2.432
22.0400,2.431
22.0800,2.446
22.1200,2.392
22.1600,2.272
22.2000,2.344
22.2400,2.328
22.2800,2.334
22.3200,2.371
22.3600,2.478
22.4000,2.404
22.4400,2.399
22.4800,2.338
22.5200,2.331
22.5600,2.400
22.6000,2.373
22.6400,2.311
22.6800,2.308
22.7200,2.317
22.7600,2.330
22.8000,2.386
22.8400,2.366
22.8800,2.255
22.9200,2.325
22.9600,2.344
23.0000,2.413
23.0400,2.270
23.0800,2.243
23.1200,2.281
23.1600,2.316
23.2000,2.341
23.2400,2.341
23.2800,2.358
23.3200,2.355
23.3600,2.262
23.4000,2.234
23.4400,2.259
23.4800,2.220
23.5200,2.262
23.5600,2.205
23.6000,2.255
23.6400,2.208
23.6800,2.297
23.7200,2.337
23.7600,2.343
23.8000,2.251
23.8400,2.233
23.8800,2.256
23.9200,2.205
23.9600,2.233
24.0000,2.269
24.0400,2.261
24.0800,2.204
24.1200,2.317
24.1600,2.256
24.2000,2.199
24.2400,2.230
24.2800,2.240
24.3200,2.239
24.3600,2.223
24.4000,2.287
24.4400,2.253
24.4800,2.172
24.5200,2.265
24.5600,2.235
24.6000,2.178
24.6400,2.184
24.6800,2.163
24.7200,2.181
24.7600,2.135
24.8000,2.226
24.8400,2.143
24.8800,2.094
24.9200,2.192
24.9600,2.192
25.0000,2.112
25.0400,2.189
25.0800,2.154
25.1200,2.223
