theta,intensity
5.0000,4.331
5.0400,4.199
5.0800,4.126
5.1200,4.210
5.1600,4.265
5.2000,4.333
5.2400,4.277
5.2800,4.194
5.3200,4.302
5.3600,4.187
5.4000,4.192
5.4400,4.041
5.4800,4.078
5.5200,4.291
5.5600,4.098
5.6000,4.226
5.6400,4.142
5.6800,4.091
5.7200,4.052
5.7600,4.147
5.8000,4.129
5.8400,4.122
5.8800,4.056
5.9200,4.072
5.9600,4.051
6.0000,4.052
6.0400,4.106
6.0800,4.011
6.1200,4.015
6.1600,3.940
6.2000,3.936
6.2400,3.967
6.2800,3.921
6.3200,3.972
6.3600,4.016
6.4000,3.881
6.4400,3.950
6.4800,4.068
6.5200,4.052
6.5600,3.946
6.6000,3.856
6.6400,3.925
6.6800,3.991
6.7200,3.853
6.7600,3.993
6.8000,3.966
6.8400,4.004
6.8800,3.870
6.9200,3.864
6.9600,3.955
7.0000,3.911
7.0400,3.848
7.0800,3.952
7.1200,3.967
7.1600,3.857
7.2000,3.830
7.2400,3.864
7.2800,3.823
7.3200,3.762
7.3600,3.765
7.4000,3.882
7.4400,3.871
7.4800,3.793
7.5200,3.842
7.5600,3.770
7.6000,3.823
7.6400,3.866
7.6800,3.838
7.7200,3.801
7.7600,3.860
7.8000,3.780
7.8400,3.838
7.8800,3.768
7.9200,3.876
7.9600,3.614
8.0000,3.720
8.0400,3.718
8.0800,3.798
8.1200,3.787
8.1600,3.752
8.2000,3.927
8.2400,3.755
8.2800,3.678
8.3200,3.820
8.3600,3.735
8.4000,3.745
8.4400,3.733
8.4800,3.705
8.5200,3.790
8.5600,3.647
8.6000,3.719
8.6400,3.722
8.6800,3.692
8.7200,3.715
8.7600,3.692
8.8000,3.745
8.8400,3.709
8.8800,3.755
8.9200,3.785
8.9600,3.655
9.0000,3.716
9.0400,3.619
9.0800,3.775
9.1200,3.540
9.1600,3.615
9.2000,3.580
9.2400,3.765
9.2800,3.636
9.3200,3.592
9.3600,3.666
9.4000,3.630
9.4400,3.599
9.4800,3.655
9.5200,3.640
9.5600,3.663
9.6000,3.553
9.6400,3.626
9.6800,3.557
9.7200,3.642
9.7600,3.607
9.8000,3.566
9.8400,3.621
9.8800,3.606
9.9200,3.551
9.9600,3.577
10.0000,3.669
10.0400,3.597
10.0800,3.454
10.1200,3.579
10.1600,3.656
10.2000,3.569
10.2400,3.616
10.2800,3.476
10.3200,3.504
10.3600,3.616
10.4000,3.568
10.4400,3.499
10.4800,3.436
10.5200,3.574
10.5600,3.500
10.6000,3.540
10.6400,3.452
10.6800,3.480
10.7200,3.494
10.7600,3.511
10.8000,3.541
10.8400,3.554
10.8800,3.516
10.9200,3.407
10.9600,3.407
11.0000,3.421
11.0400,3.472
11.0800,3.489
11.1200,3.439
11.1600,3.407
11.2000,3.453
11.2400,3.384
11.2800,3.491
11.3200,3.485
11.3600,3.493
11.4000,3.462
11.4400,3.378
11.4800,3.438
11.5200,3.383
11.5600,3.412
11.6000,3.470
11.6400,3.348
11.6800,3.482
11.7200,3.417
11.7600,3.404
11.8000,3.419
11.8400,3.428
11.8800,3.338
11.9200,3.355
11.9600,3.442
12.0000,3.465
12.0400,3.369
12.0800,3.325
12.1200,3.294
12.1600,3.383
12.2000,3.333
12.2400,3.477
12.2800,3.367
12.3200,3.394
12.3600,3.367
12.4000,3.288
12.4400,3.331
12.4800,3.335
12.5200,3.296
12.5600,3.387
12.6000,3.405
12.6400,3.325
12.6800,3.407
12.7200,3.290
12.7600,3.338
12.8000,3.255
12.8400,3.334
12.8800,3.178
12.9200,3.268
12.9600,3.342
13.0000,3.370
13.0400,3.301
13.0800,3.267
13.1200,3.184
13.1600,3.354
13.2000,3.262
13.2400,3.301
13.2800,3.265
13.3200,3.242
13.3600,3.239
13.4000,3.329
13.4400,3.304
13.4800,3.198
13.5200,3.199
13.5600,3.212
13.6000,3.173
13.6400,3.180
13.6800,3.280
13.7200,3.172
13.7600,3.383
13.8000,3.279
13.8400,3.213
13.8800,3.265
13.9200,3.119
13.9600,3.103
14.0000,3.160
14.0400,3.203
14.0800,3.130
14.1200,3.164
14.1600,3.282
14.2000,3.191
14.2400,3.184
14.2800,3.241
14.3200,3.244
14.3600,3.266
14.4000,3.151
14.4400,3.086
14.4800,3.227
14.5200,3.256
14.5600,3.165
14.6000,3.205
14.6400,3.196
14.6800,3.145
14.7200,3.095
14.7600,3.101
14.8000,3.130
14.8400,3.211
14.8800,3.110
14.9200,3.086
14.9600,3.111
15.0000,3.034
15.0400,3.080
15.0800,3.046
15.1200,3.147
15.1600,3.059
15.2000,3.051
15.2400,3.135
15.2800,3.071
15.3200,3.138
15.3600,3.099
15.4000,3.146
15.4400,3.035
15.4800,3.136
15.5200,3.060
15.5600,3.061
15.6000,3.067
