theta,intensity
5.0000,4.477
5.0400,4.604
5.0800,4.682
5.1200,4.509
5.1600,4.527
5.2000,4.428
5.2400,4.459
5.2800,4.342
5.3200,4.483
5.3600,4.519
5.4000,4.248
5.4400,4.380
5.4800,4.389
5.5200,4.317
5.5600,4.283
5.6000,4.237
5.6400,4.253
5.6800,4.312
5.7200,4.319
5.7600,4.186
5.8000,4.194
5.8400,4.096
5.8800,4.215
5.9200,4.208
5.9600,4.045
6.0000,4.101
6.0400,4.079
6.0800,4.138
6.1200,4.103
6.1600,4.165
6.2000,4.072
6.2400,4.070
6.2800,4.061
6.3200,4.086
6.3600,4.042
6.4000,4.087
6.4400,4.058
6.4800,4.023
6.5200,4.071
6.5600,3.959
6.6000,4.008
6.6400,4.082
6.6800,3.969
6.7200,4.002
6.7600,4.111
6.8000,4.084
6.8400,4.058
6.8800,3.959
6.9200,3.983
6.9600,3.898
7.0000,3.958
7.0400,3.954
7.0800,3.938
7.1200,3.946
7.1600,4.048
7.2000,3.959
7.2400,3.971
7.2800,3.850
7.3200,3.826
7.3600,3.950
7.4000,3.976
7.4400,4.005
7.4800,3.940
7.5200,3.996
7.5600,3.891
7.6000,3.907
7.6400,3.899
7.6800,3.830
7.7200,3.870
7.7600,3.830
7.8000,3.912
7.8400,3.813
7.8800,3.780
7.9200,3.829
7.9600,3.908
8.0000,3.918
8.0400,3.791
8.0800,3.877
8.1200,3.778
8.1600,3.788
8.2000,3.859
8.2400,3.795
8.2800,3.724
8.3200,3.838
8.3600,3.933
8.4000,3.889
8.4400,3.776
8.4800,3.771
8.5200,3.811
8.5600,3.823
8.6000,3.737
8.6400,3.767
8.6800,3.762
8.7200,3.751
8.7600,3.742
8.8000,3.746
8.8400,3.832
8.8800,3.809
8.9200,3.714
8.9600,3.692
9.0000,3.716
9.0400,3.819
9.0800,3.752
9.1200,3.723
9.1600,3.765
9.2000,3.661
9.2400,3.699
9.2800,3.714
9.3200,3.734
9.3600,3.700
9.4000,3.623
9.4400,3.618
9.4800,3.733
9.5200,3.699
9.5600,3.674
9.6000,3.680
9.6400,3.652
9.6800,3.615
9.7200,3.644
9.7600,3.638
9.8000,3.572
9.8400,3.637
9.8800,3.635
9.9200,3.562
9.9600,3.608
10.0000,3.705
10.0400,3.668
10.0800,3.654
10.1200,3.614
10.1600,3.689
10.2000,3.596
10.2400,3.611
10.2800,3.647
10.3200,3.622
10.3600,3.524
10.4000,3.551
10.4400,3.491
10.4800,3.611
10.5200,3.473
10.5600,3.575
10.6000,3.597
10.6400,3.580
10.6800,3.644
10.7200,3.581
10.7600,3.566
10.8000,3.529
10.8400,3.508
10.8800,3.508
10.9200,3.576
10.9600,3.450
11.0000,3.411
11.0400,3.550
11.0800,3.435
11.1200,3.582
11.1600,3.502
11.2000,3.511
11.2400,3.492
11.2800,3.512
11.3200,3.433
11.3600,3.437
11.4000,3.464
11.4400,3.502
11.4800,3.544
11.5200,3.475
11.5600,3.404
11.6000,3.488
11.6400,3.420
11.6800,3.487
11.7200,3.368
11.7600,3.511
11.8000,3.475
11.8400,3.351
11.8800,3.449
11.9200,3.375
11.9600,3.287
12.0000,3.347
12.0400,3.402
12.0800,3.343
12.1200,3.383
12.1600,3.457
12.2000,3.400
12.2400,3.380
12.2800,3.338
12.3200,3.400
12.3600,3.449
12.4000,3.476
12.4400,3.396
12.4800,3.453
12.5200,3.386
12.5600,3.531
12.6000,3.416
12.6400,3.427
12.6800,3.439
12.7200,3.404
12.7600,3.264
12.8000,3.411
12.8400,3.323
12.8800,3.284
12.9200,3.347
12.9600,3.385
13.0000,3.201
13.0400,3.279
13.0800,3.256
13.1200,3.241
13.1600,3.387
13.2000,3.371
13.2400,3.230
13.2800,3.291
13.3200,3.227
13.3600,3.346
13.4000,3.302
13.4400,3.319
13.4800,3.289
13.5200,3.236
13.5600,3.282
13.6000,3.270
13.6400,3.248
13.6800,3.295
13.7200,3.288
13.7600,3.281
13.8000,3.287
13.8400,3.267
13.8800,3.219
13.9200,3.242
13.9600,3.181
14.0000,3.159
14.0400,3.252
14.0800,3.259
14.1200,3.201
14.1600,3.146
14.2000,3.259
14.2400,3.196
14.2800,3.203
14.3200,3.190
14.3600,3.222
14.4000,3.323
14.4400,3.281
14.4800,3.289
14.5200,3.222
14.5600,3.139
14.6000,3.188
14.6400,3.129
14.6800,3.203
14.7200,3.255
14.7600,3.258
14.8000,3.166
14.8400,3.132
14.8800,3.189
14.9200,3.140
14.9600,3.182
15.0000,3.168
15.0400,3.265
15.0800,3.177
15.1200,3.124
15.1600,3.033
15.2000,3.121
15.2400,3.056
15.2800,3.086
15.3200,3.063
15.3600,2.998
15.4000,3.106
15.4400,3.062
15.4800,3.151
15.5200,3.138
15.5600,3.063
15.6000,3.141
15.6400,3.138
15.6800,3.169
15.7200,2.969
15.7600,3.081
15.8000,3.141
15.8400,3.015
15.8800,3.006
15.9200,3.013
15.9600,3.073
16.0000,3.123
16.0400,2.970
16.0800,3.074
16.1200,3.055
16.1600,3.035
16.2000,2.935
16.2400,3.080
16.2800,3.149
16.3200,2.965
16.3600,3.008
16.4000,3.036
16.4400,3.015
16.4800,2.964
16.5200,3.012
16.5600,3.131
16.6000,2.957
16.6400,3.070
16.6800,2.996
16.7200,3.027
16.7600,2.994
16.8000,2.926
16.8400,2.900
16.8800,3.012
16.9200,3.038
16.9600,3.068
17.0000,2.971
17.0400,2.996
17.0800,2.976
17.1200,2.922
17.1600,2.893
17.2000,2.891
17.2400,2.933
17.2800,3.010
17.3200,2.929
17.3600,2.944
17.4000,3.022
17.4400,2.929
17.4800,2.884
17.5200,2.982
17.5600,2.930
17.6000,2.869
17.6400,2.955
17.6800,2.862
17.7200,2.863
17.7600,2.895
17.8000,2.934
17.8400,2.861
17.8800,2.906
17.9200,3.029
17.9600,2.863
18.0000,2.873
18.0400,2.855
18.0800,2.921
18.1200,2.916
18.1600,2.890
18.2000,2.847
18.2400,2.852
18.2800,2.850
18.3200,2.926
18.3600,2.853
18.4000,2.753
18.4400,2.842
18.4800,2.789
18.5200,2.785
18.5600,2.854
18.6000,2.770
18.6400,2.798
18.6800,2.853
18.7200,2.779
18.7600,2.743
18.8000,2.762
18.8400,2.794
18.8800,2.827
18.9200,2.798
18.9600,2.802
19.0000,2.709
19.0400,2.770
19.0800,2.764
19.1200,2.732
19.1600,2.731
19.2000,2.863
19.2400,2.792
19.2800,2.771
19.3200,2.749
19.3600,2.789
19.4000,2.745
19.4400,2.755
19.4800,2.753
19.5200,2.776
19.5600,2.781
19.6000,2.755
19.6400,2.710
19.6800,2.742
19.7200,2.689
19.7600,2.697
19.8000,2.744
19.8400,2.686
19.8800,2.843
19.9200,2.750
19.9600,2.637
20.0000,2.630
20.0400,2.739
20.0800,2.729
20.1200,2.687
20.1600,2.776
20.2000,2.756
20.2400,2.618
20.2800,2.752
20.3200,2.612
20.3600,2.727
20.4000,2.691
20.4400,2.601
20.4800,2.658
20.5200,2.719
20.5600,2.713
20.6000,2.733
20.6400,2.686
20.6800,2.682
20.7200,2.663
20.7600,2.696
20.8000,2.761
20.8400,2.729
20.8800,2.755
20.9200,2.766
20.9600,2.715
21.0000,2.729
21.0400,2.909
21.0800,2.762
21.1200,2.855
21.1600,2.841
21.2000,2.942
21.2400,3.029
21.2800,3.139
21.3200,3.135
21.3600,3.261
21.4000,3.302
21.4400,3.369
21.4800,3.315
21.5200,3.499
21.5600,3.438
21.6000,3.439
21.6400,3.468
21.6800,3.230
21.7200,3.205
21.7600,3.157
21.8000,2.964
21.8400,2.965
21.8800,2.873
