theta,intensity
5.0000,6.086
5.0400,5.979
5.0800,5.921
5.1200,5.834
5.1600,5.830
5.2000,5.750
5.2400,5.686
5.2800,5.759
5.3200,5.720
5.3600,5.611
5.4000,5.474
5.4400,5.506
5.4800,5.369
5.5200,5.245
5.5600,5.180
5.6000,5.122
5.6400,5.117
5.6800,4.957
5.7200,4.845
5.7600,4.730
5.8000,4.757
5.8400,4.551
5.8800,4.506
5.9200,4.491
5.9600,4.386
6.0000,4.505
6.0400,4.354
6.0800,4.210
6.1200,4.216
6.1600,4.144
6.2000,4.302
6.2400,4.290
6.2800,4.259
6.3200,4.247
6.3600,4.149
6.4000,4.198
6.4400,4.215
6.4800,4.276
6.5200,4.340
6.5600,4.162
6.6000,4.217
6.6400,4.171
6.6800,4.180
6.7200,4.071
6.7600,4.059
6.8000,4.089
6.8400,4.098
6.8800,4.091
6.9200,4.062
6.9600,4.153
7.0000,4.211
7.0400,4.144
7.0800,4.070
7.1200,4.057
7.1600,4.032
7.2000,4.048
7.2400,3.979
7.2800,4.062
7.3200,3.998
7.3600,4.053
7.4000,4.094
7.4400,4.063
7.4800,4.072
7.5200,4.010
7.5600,3.919
7.6000,3.986
7.6400,3.997
7.6800,3.960
7.7200,3.914
7.7600,3.985
7.8000,3.973
7.8400,3.916
7.8800,3.791
7.9200,3.894
7.9600,3.886
8.0000,3.859
8.0400,4.005
8.0800,3.918
8.1200,3.901
8.1600,3.943
8.2000,3.857
8.2400,3.855
8.2800,3.905
8.3200,3.891
8.3600,3.946
8.4000,3.862
8.4400,3.843
8.4800,3.907
8.5200,3.946
8.5600,3.855
8.6000,3.884
8.6400,3.852
8.6800,3.823
8.7200,3.825
8.7600,3.775
8.8000,3.826
8.8400,3.734
8.8800,3.876
8.9200,3.767
8.9600,3.848
9.0000,3.766
9.0400,3.806
9.0800,3.784
9.1200,3.801
9.1600,3.784
9.2000,3.778
9.2400,3.923
9.2800,3.693
9.3200,3.786
9.3600,3.779
9.4000,3.693
9.4400,3.833
9.4800,3.742
9.5200,3.704
9.5600,3.796
9.6000,3.774
9.6400,3.757
9.6800,3.654
9.7200,3.634
9.7600,3.690
9.8000,3.684
9.8400,3.820
9.8800,3.905
9.9200,3.638
9.9600,3.647
10.0000,3.687
10.0400,3.674
10.0800,3.632
10.1200,3.648
10.1600,3.582
10.2000,3.611
10.2400,3.591
10.2800,3.700
10.3200,3.616
10.3600,3.560
10.4000,3.619
10.4400,3.637
10.4800,3.671
10.5200,3.650
10.5600,3.610
10.6000,3.511
