theta,intensity
5.0000,7.831
5.0400,7.642
5.0800,7.397
5.1200,7.503
5.1600,7.421
5.2000,7.187
5.2400,7.133
5.2800,6.901
5.3200,6.861
5.3600,6.598
5.4000,6.653
5.4400,6.404
5.4800,6.324
5.5200,6.260
5.5600,6.103
5.6000,5.942
5.6400,5.798
5.6800,5.613
5.7200,5.488
5.7600,5.349
5.8000,5.399
5.8400,5.299
5.8800,5.165
5.9200,5.050
5.9600,4.966
6.0000,4.917
6.0400,4.924
6.0800,4.863
6.1200,4.622
6.1600,4.654
6.2000,4.613
6.2400,4.478
6.2800,4.459
6.3200,4.498
6.3600,4.579
6.4000,4.519
6.4400,4.306
6.4800,4.316
6.5200,4.341
6.5600,4.166
6.6000,4.262
6.6400,4.313
6.6800,4.164
6.7200,4.181
6.7600,4.173
6.8000,4.210
6.8400,4.126
6.8800,4.183
6.9200,4.209
6.9600,4.204
7.0000,4.211
7.0400,4.104
7.0800,4.090
7.1200,4.115
7.1600,4.084
7.2000,4.034
7.2400,4.188
7.2800,4.063
7.3200,4.140
7.3600,4.059
7.4000,4.104
7.4400,4.152
7.4800,3.934
7.5200,4.010
7.5600,3.987
7.6000,4.134
7.6400,4.114
7.6800,3.947
7.7200,4.042
7.7600,4.082
7.8000,4.078
7.8400,4.028
7.8800,4.082
7.9200,3.825
7.9600,3.974
8.0000,4.017
8.0400,3.895
8.0800,3.970
8.1200,3.964
8.1600,3.960
8.2000,3.976
8.2400,3.942
8.2800,4.023
8.3200,4.007
8.3600,3.962
8.4000,3.929
8.4400,3.959
8.4800,3.833
8.5200,3.967
8.5600,3.801
8.6000,3.917
8.6400,3.785
8.6800,3.838
8.7200,3.756
8.7600,3.847
8.8000,3.930
8.8400,3.814
8.8800,3.931
8.9200,3.742
8.9600,3.811
9.0000,3.854
9.0400,3.771
9.0800,3.707
9.1200,3.619
9.1600,3.780
9.2000,3.886
9.2400,3.840
9.2800,3.826
9.3200,3.777
9.3600,3.766
9.4000,3.764
9.4400,3.797
9.4800,3.734
9.5200,3.737
9.5600,3.807
9.6000,3.741
9.6400,3.801
9.6800,3.824
9.7200,3.726
9.7600,3.871
9.8000,3.728
9.8400,3.722
9.8800,3.756
9.9200,3.628
9.9600,3.708
10.0000,3.765
10.0400,3.690
10.0800,3.642
10.1200,3.679
10.1600,3.671
10.2000,3.694
10.2400,3.620
10.2800,3.658
10.3200,3.678
10.3600,3.581
10.4000,3.659
10.4400,3.697
10.4800,3.626
10.5200,3.645
10.5600,3.548
10.6000,3.710
10.6400,3.642
10.6800,3.688
10.7200,3.634
10.7600,3.553
10.8000,3.623
10.8400,3.608
10.8800,3.619
10.9200,3.682
10.9600,3.574
11.0000,3.621
11.0400,3.644
11.0800,3.548
11.1200,3.573
11.1600,3.584
11.2000,3.633
11.2400,3.582
11.2800,3.595
11.3200,3.563
11.3600,3.587
11.4000,3.511
11.4400,3.630
11.4800,3.562
11.5200,3.530
11.5600,3.465
11.6000,3.488
11.6400,3.598
11.6800,3.508
11.7200,3.466
11.7600,3.518
11.8000,3.655
11.8400,3.468
11.8800,3.436
11.9200,3.526
11.9600,3.371
12.0000,3.462
12.0400,3.586
12.0800,3.545
12.1200,3.487
12.1600,3.448
12.2000,3.467
12.2400,3.384
12.2800,3.436
12.3200,3.449
12.3600,3.449
12.4000,3.444
12.4400,3.452
12.4800,3.384
12.5200,3.322
12.5600,3.556
12.6000,3.459
12.6400,3.409
12.6800,3.469
12.7200,3.489
12.7600,3.429
12.8000,3.374
12.8400,3.333
12.8800,3.392
12.9200,3.416
12.9600,3.345
13.0000,3.284
13.0400,3.364
13.0800,3.321
13.1200,3.384
13.1600,3.401
13.2000,3.328
13.2400,3.376
13.2800,3.412
13.3200,3.375
13.3600,3.380
13.4000,3.371
13.4400,3.244
13.4800,3.451
13.5200,3.319
13.5600,3.379
13.6000,3.330
13.6400,3.373
13.6800,3.265
13.7200,3.335
13.7600,3.244
13.8000,3.283
13.8400,3.377
13.8800,3.333
13.9200,3.244
13.9600,3.262
14.0000,3.201
14.0400,3.332
14.0800,3.251
14.1200,3.251
14.1600,3.281
14.2000,3.229
14.2400,3.256
14.2800,3.195
14.3200,3.283
14.3600,3.268
14.4000,3.231
14.4400,3.183
14.4800,3.243
14.5200,3.199
14.5600,3.185
14.6000,3.231
14.6400,3.247
14.6800,3.121
14.7200,3.138
14.7600,3.128
14.8000,3.147
14.8400,3.166
14.8800,3.191
14.9200,3.079
14.9600,3.187
15.0000,3.212
15.0400,3.110
15.0800,3.223
15.1200,3.120
15.1600,3.115
15.2000,3.194
15.2400,3.113
15.2800,3.165
15.3200,3.071
15.3600,3.092
15.4000,3.211
15.4400,3.135
15.4800,3.078
15.5200,3.165
15.5600,3.238
15.6000,3.114
15.6400,3.105
15.6800,3.137
15.7200,3.192
15.7600,3.175
15.8000,3.077
15.8400,3.031
15.8800,3.045
15.9200,3.110
15.9600,2.988
16.0000,3.076
16.0400,3.080
16.0800,3.050
16.1200,3.052
16.1600,3.204
16.2000,3.010
16.2400,3.078
16.2800,3.106
16.3200,3.053
16.3600,3.068
16.4000,2.956
16.4400,2.975
16.4800,2.976
16.5200,3.015
16.5600,2.941
16.6000,3.036
16.6400,3.047
16.6800,3.024
16.7200,2.956
16.7600,3.030
16.8000,2.995
16.8400,3.075
16.8800,3.047
16.9200,2.941
16.9600,2.936
17.0000,2.886
17.0400,2.935
17.0800,3.007
17.1200,2.974
17.1600,2.898
17.2000,2.988
17.2400,2.974
17.2800,2.927
17.3200,2.931
17.3600,2.952
17.4000,2.915
17.4400,2.932
17.4800,2.948
17.5200,2.910
17.5600,2.927
17.6000,2.868
17.6400,2.855
17.6800,2.874
17.7200,2.884
17.7600,2.884
17.8000,2.962
17.8400,2.956
17.8800,2.905
17.9200,2.905
17.9600,2.866
18.0000,2.888
18.0400,2.837
18.0800,2.864
18.1200,2.821
18.1600,2.865
18.2000,2.877
18.2400,2.815
18.2800,2.844
18.3200,2.908
18.3600,2.877
18.4000,2.793
18.4400,2.824
18.4800,2.813
18.5200,2.848
18.5600,2.902
18.6000,2.812
18.6400,2.786
18.6800,2.778
18.7200,2.795
18.7600,2.815
